,https://roic.ai/company/GOL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,17642000,88676000,202570000,204292000,229825000,-2802000,44305000,-134696000,172299000,-248880000,-71907000,71363000,164601000,844140000,259058000,-307213000,297128000,209607000,77958000,-192423000
23,Net Income,-3639000,35357000,175459000,384710000,513230000,569137000,102513000,-1239347000,890832000,214197000,-751538000,-1512915000,-796547000,-1246169000,-4460883000,849619000,19184000,-1085393000,-117273000,-5988128000,-7221538000
24,Net Income ratio,-0.0158,0.0522,0.1253,0.1962,0.1923,0.1497,0.0208,-0.1935,0.1478,0.0307,-0.0997,-0.1867,-0.0889,-0.1238,-0.4562,0.0861,0.0018,-0.0951,-0.0085,-0.9398,-0.9715
25,EPS,-0.12,0.72,2.14,4.28,5.32,5.80,1.04,-12.32,7.84,1.60,-5.56,-11.21,-5.76,-8.96,-29.53,4.91,0.11,-6.23,-0.67,-33.66,-38.31
26,EPS Diluted,-0.12,0.72,2.14,4.26,5.30,5.80,1.04,-12.32,7.82,1.59,-5.56,-11.21,-5.76,-8.96,-29.53,4.90,0.11,-6.23,-0.67,-33.66,-38.31
27,Weighted Average Shares Outstanding,30325000,49133934,82205118,89885514,96471805,98127069,98570192,100596500,113626531,134477000,135188000,134934500,138357000,139004600,151071600,173059600,173494000,174247500,175936257,177893000,188652500
28,Weighted Average Shares Outstanding Diluted,30325000,49133934,82205118,90307512,96835849,98127069,98570192,100596500,113917136,134545854,135188000,134934500,138357000,139004600,151071600,173232600,174801000,174247500,175936257,177893000,188652500
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281405000833/0001292814-05-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000119312506058473/0001193125-06-058473-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281407000433/0001292814-07-000433-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281408001195/0001292814-08-001195-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281409001102/0001292814-09-001102-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281411001005/0001292814-11-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281412000912/0001292814-12-000912-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281414000990/0001292814-14-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281415001067/0001292814-15-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281416004381/0001292814-16-004381-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281417001139/0001292814-17-001139-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281418001508/0001292814-18-001508-index.htm,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5156000,9452000,146291000,405730000,106347000,280977000,574363000,169330000,1382408000,1955858000,1230287000,775551000,1635647000,1898773000,1072332000,562207000,1026862000,826187000,1645425000,662830000,486258000
32,Short-Term Investments,- -,- -,- -,443361000,762688000,1425369000,858438000,245585000,40444000,22606000,1009068000,585028000,1155617000,296824000,491720000,431233000,955589000,478364000,953762000,628343000,291363000
33,Cash and Short-Term Investments,5156000,9452000,146291000,849091000,869035000,1706346000,1432801000,414915000,1422852000,1978464000,2239355000,1360579000,2791264000,2195597000,1564052000,993440000,1982451000,1304551000,2599187000,1291173000,777621000
34,Net Receivables,- -,105245000,240576000,386370000,563958000,659306000,1006223000,344927000,605433000,391197000,610492000,505585000,376945000,433529000,520694000,787524000,1019688000,1214124000,1539204000,926654000,1027074000
35,Inventory,- -,16845000,13570000,21038000,40683000,75165000,209926000,200514000,180942000,170990000,151023000,138039000,117144000,138682000,199236000,182588000,178491000,180141000,199213000,195638000,222055000
36,Other Current Assets,- -,26523000,35973000,48230000,66962000,370506000,480597000,701565000,193977000,164201000,137433000,83780000,280356000,218390000,177584000,117162000,164368000,612019000,589773000,831886000,661291000
37,Total Current Assets,- -,158065000,436410000,1304729000,1540638000,2811323000,3129547000,1661921000,2403204000,2704852000,3138303000,2087983000,3565709000,2986198000,2461566000,2080714000,3344998000,3310835000,4927377000,3245351000,2688041000
38,PP&E,- -,38290000,67182000,131358000,578600000,1079223000,2144885000,2998756000,3325713000,3460968000,3890470000,3885799000,3772159000,3602034000,4256614000,3025010000,3195767000,2818057000,6058101000,4960290000,7675170000
39,Goodwill,- -,- -,- -,- -,- -,- -,272975000,- -,542302000,- -,542302000,542302000,542302000,557485000,542302000,542302000,542302000,542302000,542302000,542302000,542302000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,124883000,- -,689483000,- -,1241655000,1157628000,1151888000,1156701000,1172303000,1197414000,1204983000,1235164000,1234373000,1204806000,1280907000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,397858000,1197861000,1231785000,1267177000,1783957000,1699930000,1694190000,1714186000,1714605000,1739716000,1747285000,1777466000,1776675000,1747108000,1823209000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8483000,18424000,17222000,1333000,1177000,1254000,1807000,82326000
43,Tax Assets,- -,- -,- -,- -,- -,- -,47121000,729784000,866136000,817545000,1086990000,433353000,561694000,486975000,107788000,107159000,276514000,73822000,59809000,53563000,75799000
44,Other Non-Current Assets,- -,121987000,181427000,298197000,436605000,367908000,1283010000,670256000,893282000,813305000,755421000,920033000,1044696000,1178771000,1809400000,1434534000,1438851000,2396909000,2475230000,2806017000,2057798000
45,Total Non-Current Assets,- -,160277000,248609000,429555000,1015205000,1447131000,3872874000,5596657000,6316916000,6358995000,7516838000,6939115000,7072739000,6990449000,7906831000,6323641000,6659750000,7067431000,10371069000,9568785000,11714302000
46,Other Assets,125107000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,125107000,318342000,685019000,1734284000,2555843000,4258454000,7002421000,7258578000,8720120000,9063847000,10655141000,9027098000,10638448000,9976647000,10368397000,8404355000,10004748000,10378266000,15298446000,12814136000,14402343000
48,Accounts Payable,- -,25118000,48605000,36436000,73924000,124110000,326364000,283719000,362382000,215792000,414563000,480185000,502919000,686151000,900682000,1097997000,1327540000,1769511000,1840742000,1612536000,1820056000
49,Short-Term Debt,37045000,42297000,39176000,118349000,54016000,169602000,898093000,967452000,591695000,346008000,1552440000,1719625000,440834000,1110734000,1396623000,835290000,1191259000,1359123000,3947751000,3670287000,2692301000
50,Tax Payable,- -,- -,21025880,51544992,83564190,139197730,153080000,39605000,76331000,85140000,266765000,314038000,365764000,100094000,118957000,146174000,134951000,111702000,116523000,73614000,122036000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,90043000,92541000,26200000,30252000,916785000,1387561000,1104807000,1220114000,1202768000,1478657000,1843954000,16424000,2078696000,2907561000
52,Other Current Liabilities,- -,129355000,220546000,363029000,518285000,706634000,1062885000,1241365000,1392640000,1071864000,1598410000,945098000,1115477000,1310954000,2024589000,1712687000,1752589000,2227968000,4557683000,3036697000,3661876000
53,Total Current Liabilities,37045000,196770000,308327000,517814000,646225000,1000346000,2287342000,2582579000,2439258000,1659864000,3595665000,4061693000,3446791000,4212646000,5542008000,4848742000,5750045000,7200556000,10362600000,10398216000,11081794000
54,Long-Term Debt,- -,23701000,6147000,9238000,- -,949006000,1842680000,2438881000,2542167000,3395080000,3439008000,3471550000,5148551000,5124505000,7908303000,5543930000,6053518000,5996829000,10514870000,13890871000,19970713000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,287191000,262626000,221414000,181456000,- -,- -,3645000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,26036000,47236000,44493000,63694000,28064000,- -,548680000,562303000,741900000,763706000,- -,- -,- -,245355000,338020000,188005000,227290000,244041000,219634000,411000
57,Other Non-Current Liabilities,- -,252000,8570000,14286000,23593000,75880000,209945000,354204000,344992000,156378000,650851000,761027000,820961000,972470000,995171000,1030414000,1082126000,1458942000,1282352000,2072474000,4403103000
58,Total Non-Current Liabilities,- -,49989000,61953000,68017000,87287000,1052950000,2339816000,3604391000,3670876000,4474814000,4853565000,4232577000,5973157000,6096975000,9148829000,6912364000,7323649000,7683061000,12041263000,16182979000,24374227000
59,Other Liabilities,68334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,19709000,270000,- -,- -,- -,869598000,- -,- -,- -,- -,- -,2195328000,2224679000,2994095000,1718012000,1615261000,912145000,6052780000,7584192000,10762984000
61,Total Liabilities,105379000,246759000,370280000,585831000,733512000,2053296000,4627158000,6186970000,6110134000,6134678000,8449230000,8294270000,9419948000,10309621000,14690837000,11761106000,13073694000,14883617000,22403863000,26581195000,35456021000
62,Preferred Stock,- -,- -,94200000,564634000,843714000,846125000,1205801000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,41500000,41500000,41500000,41500000,41500000,41500000,- -,- -,2183133000,2316500000,2499689000,2501574000,2618748000,3080110000,3080110000,3082802000,2942612000,3008178000,3009436000,4039112000
64,Retained Earnings,- -,30083000,179039000,503073000,898433000,1286425000,1086163000,-227386000,498520000,642860000,- -,-1658478000,-2455025000,-3701194000,-8162077000,-7312458000,-7293274000,-8396567000,-10996413000,-16985370000,-24206908000
65,Other Comprehensive Income/Loss,- -,-8951000,-22795000,- -,6411000,-4322000,2667000,-225101000,- -,- -,-225408000,-7195000,85204000,-35347000,-80078000,-55830000,9446000,-411546000,413523000,-370123000,-844371000
66,Other Total Stockholders Equity,19728000,8951000,22795000,39246000,32273000,35430000,39132000,- -,- -,103176000,114819000,-101188000,519173000,599406000,615583000,638180000,720067000,880089000,-101959000,-61035000,-41511000
67,Total Stockholders Equity,19728000,71583000,314739000,1148453000,1822331000,2205158000,2375263000,1071608000,2609986000,2929169000,2205911000,732828000,650926000,-518387000,-4546462000,-3649998000,-3480959000,-4985412000,-7676671000,-14407092000,-21053678000
68,Total Liabilities And Stockholders Equity,125107000,318342000,685019000,1734284000,2555843000,4258454000,7002421000,7258578000,8720120000,9063847000,10655141000,9027098000,10070874000,9791234000,10144375000,8111108000,9592735000,9898205000,14727192000,12174103000,14402343000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567574000,185413000,224022000,293247000,412013000,480061000,571254000,640033000,- -
70,Total Liabilities & Equity,125107000,318342000,685019000,1734284000,2555843000,4258454000,7002421000,7258578000,8720120000,9063847000,10655141000,9027098000,10638448000,9976647000,10368397000,8404355000,10004748000,10378266000,15298446000,12814136000,14402343000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281405000833/0001292814-05-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000119312506058473/0001193125-06-058473-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281407000433/0001292814-07-000433-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281408001195/0001292814-08-001195-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281409001102/0001292814-09-001102-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281411001005/0001292814-11-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281412000912/0001292814-12-000912-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281414000990/0001292814-14-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281415001067/0001292814-15-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281416004381/0001292814-16-004381-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281417001139/0001292814-17-001139-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281418001508/0001292814-18-001508-index.htm,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3639000,35357000,175459000,384710000,513230000,569137000,102513000,-1239347000,890832000,214197000,-751538000,-1512915000,-796547000,-1246169000,-4460883000,849619000,19184000,-1085393000,-117273000,-5988128000,-7221538000
74,Depreciation and Amortization,- -,7885000,13844000,31300000,35519000,69313000,121570000,125127000,142853000,281604000,395807000,519631000,560966000,463296000,419691000,447668000,505425000,668516000,1727982000,1870552000,1335813000
75,Deferred Income Tax,- -,16246000,27929000,36860000,20926000,-27882000,-113930000,- -,-135305000,118444000,-254671000,-78460000,-25444000,43817000,648000000,1114000,-547059000,244989000,30986000,-17579000,-241285000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5362000,4540000,24743000,24875000,10652000,7088000,10338000,14352000,13524000,14849000,18572000,40725000,23430000,21841000
77,Change in Working Capital,- -,-43770000,-134452000,-178564000,-217273000,-68875000,-257894000,527609000,-8464000,-163986000,-553294000,831294000,-2380000,956191000,906756000,-537071000,-12127000,470355000,-836165000,586450000,1962104000
78,Accounts Receivable,- -,- -,-136668220,-145668320,-178532627,-100682330,-233674840,- -,- -,- -,84840000,22807000,-3545000,-44606000,-149623000,-307574000,-198370000,95844000,-384147000,498901000,-111571000
79,Inventory,- -,-6672000,3275000,-7468000,- -,-34482000,-129319000,9412000,45878000,-41433000,22406000,13593000,26259000,-22169000,-60140000,16648000,1038000,-6673000,-21240000,2873000,-74634000
80,Accounts Payable,- -,- -,6096005,-2932224,37405368,50114855,-18698900,-42645000,78663000,-146590000,131971000,65622000,22734000,183231000,210474000,204184000,-126305000,283884000,-43250000,249226000,264533000
81,Other Working Capital,- -,-37431000,-2428695,-13864752,-14214839,68082800,42797080,134901000,-250431000,-85479000,126504000,499947000,-652689000,-351925000,125242000,-365763000,4919000,-627798000,96111000,-238348000,321707000
82,Other Non-Cash Items,-15574000,1305000,2455000,-213000,1343000,-11257000,-6537000,748109000,-437197000,248895000,536301000,363091000,660198000,741209000,1872617000,-795921000,692481000,1764830000,1614821000,4279211000,4848627000
83,Cash Provided by Operating Activities,-19213000,17023000,85235000,274093000,353745000,530436000,-154278000,166860000,457259000,723897000,-602520000,133293000,403881000,968682000,-599467000,-21067000,672753000,2081869000,2461076000,753936000,705562000
84,CAPEX,- -,-22400000,-42736000,-41971000,-169443000,-489790000,-454036000,-447742000,-161906000,-288981000,-360689000,-475014000,-289017000,-245484000,-602189000,-439365000,-425887000,-875653000,-979219000,-661946000,-788506000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-201029000,- -,- -,- -,-33885000,- -,13000,-25791000,- -,-3439000,68163000,- -,- -,720417000,608884000
86,Purchases of Investments,- -,- -,- -,-443361000,-318618252,-2021593000,-858438000,- -,-37812000,-8416000,-74594000,- -,- -,- -,-254416000,-45651000,-171174000,-163218000,-501607000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1358912000,1425369000,574758000,205140000,17938000,- -,- -,- -,65703000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-29666000,-12079000,3473000,-47710000,-313725748,-81617000,-147070000,-97194000,-31431000,-58512000,-80863000,-136201000,-80967000,-111836000,-445364000,1050888000,-86356000,-630464000,650370000,-90694000,-152584000
89,Cash Used for Investing Activites,-29666000,-34479000,-39263000,-533042000,-801787000,-1234088000,-235204000,40650000,5422000,-279459000,-469168000,-590443000,-318936000,-271100000,-1259157000,592089000,-559805000,-1587256000,-754611000,31770000,-179622000
90,Debt Repayment,- -,- -,-19280455,-79491424,-64191218,- -,- -,-533863000,-42416000,-433760000,-391054000,-334698000,-676634000,-2053211000,-2041558000,-863310000,-1220714000,-2200895000,-2411214000,-4806931000,-2982860000
91,Common Stock Issued,- -,16500000,- -,470717568,278459330,- -,420000,- -,- -,- -,183455000,17916000,1100892000,119520000,465048000,- -,2692000,15428000,31526000,1180000,421322000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-41180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15929000,-102417000,- -,- -
93,Dividends Paid,- -,- -,- -,-60713504,-60676000,-181145000,-250705000,-36258000,- -,-185839000,-50866000,- -,-21080000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,53239000,5252000,110147455,187875360,-4933112,1059427000,933153000,- -,811654000,759499000,613012000,312401000,403984000,1624107000,2326700000,-199473000,1577695000,1448207000,1589932000,2870254000,1889515000
95,Cash Used/Provided by Financing Activities,53239000,21752000,90867000,518388000,148659000,878282000,682868000,-611301000,769238000,139900000,354547000,-4381000,807162000,-309584000,750190000,-1062783000,359673000,-753189000,-892173000,-1935497000,-672023000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-18841000,-10888000,-8430000,6795000,-32011000,-124872000,281993000,-18364000,-7966000,57901000,4946000,167196000,-30489000
97,Net Change In Cash,53239000,4296000,136839000,259439000,-299383000,174630000,293386000,-403791000,1213078000,573450000,-725571000,-454736000,860096000,263126000,-826441000,-510125000,464655000,-200675000,819238000,-982595000,-176572000
98,Cash at the End of Period,- -,9452000,146291000,405730000,106347000,280977000,574363000,169330000,1382408000,1955858000,1230287000,775551000,1635647000,1898773000,1072332000,562207000,1026862000,826187000,1645425000,662830000,486258000
99,Cash at the Beginning of Period,- -,5156000,9452000,146291000,405730000,106347000,280977000,573121000,169330000,1382408000,1955858000,1230287000,775551000,1635647000,1898773000,1072332000,562207000,1026862000,826187000,1645425000,662830000
100,Free Cash Flow,-19213000,-5377000,42499000,232122000,184302000,40646000,-608314000,-280882000,295353000,434916000,-963209000,-341721000,114864000,723198000,-1201656000,-460432000,246866000,1206216000,1481857000,91990000,-82944000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281405000833/0001292814-05-000833-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000119312506058473/0001193125-06-058473-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281407000433/0001292814-07-000433-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281408001195/0001292814-08-001195-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281409001102/0001292814-09-001102-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281411001005/0001292814-11-001005-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281412000912/0001292814-12-000912-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1291733/000129281414000990/0001292814-14-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281415001067/0001292814-15-001067-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281416004381/0001292814-16-004381-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281417001139/0001292814-17-001139-index.htm,https://www.sec.gov/Archives/edgar/data/1291733/000129281418001508/0001292814-18-001508-index.htm,- -,- -,- -,- -
102,Forex Rate,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
