,https://roic.ai/company/IPHA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-4.7146,-0.9753,-0.6241,-0.7623,-1.8955,-3.1616,-0.5945,-0.3083,-0.2319,-21.6615,-0.3745,0.2304,-1.4715,0.0340,-0.3010,-1.1258,-3.7548
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,301000,368000,-333000,- -,- -,- -
23,Net Income,-6129000,-6042000,-8918000,-9852000,-14626000,-13658000,-6980000,-3199000,-2892000,-19647000,-6706000,12640000,-48385000,3049000,-20759000,-63984000,-52809000
24,Net Income ratio,-4.7146,-0.9753,-0.6241,-0.7623,-1.8955,-3.1616,-0.5945,-0.3083,-0.2319,-21.6615,-0.3745,0.2251,-1.4828,0.0382,-0.3010,-1.1258,-4.3601
25,EPS,-41.00,-34.00,-0.36,-0.38,-0.56,-0.36,-0.19,-0.08,-0.07,-0.39,-0.13,0.23,-0.89,0.05,-0.31,-0.81,-1.68
26,EPS Diluted,-41.00,-34.00,-0.36,-0.38,-0.56,-0.36,-0.19,-0.08,-0.07,-0.39,-0.13,0.23,-0.89,0.05,-0.31,-0.81,-1.68
27,Weighted Average Shares Outstanding,14901000,17769000,25082000,25665000,26299000,37435000,37687000,37802000,38703000,50152000,53400000,53869000,54352000,58777000,66908389,78935000,31421000
28,Weighted Average Shares Outstanding Diluted,14901000,17769000,25082000,25665000,26299000,37435000,37687000,37802000,38703000,50152000,53400000,53869000,54352000,58777000,66908389,78935000,31469000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2586000,6159000,2482000,10885000,46448000,31818000,46606000,30584000,38360000,64286000,152870000,175906000,99367000,152314000,202887000,136792000,103756000
32,Short-Term Investments,15757000,53664000,48301000,22947000,2746000,2763000,- -,2032000,2989000,4952000,83040000,21782000,16743000,15217000,15978000,14845000,16080000
33,Cash and Short-Term Investments,18343000,59823000,50783000,33832000,49194000,34581000,46606000,32616000,41349000,69238000,235910000,197688000,116110000,167531000,218865000,151637000,119836000
34,Net Receivables,- -,- -,- -,- -,7071000,6083000,- -,7229000,7062000,8585000,9948000,25554000,15084000,146637000,13141000,13867000,18420000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2866000,4450000,4812000,18377000,1000,- -,6369000,1152000,939000,1491000,6268000,6836000,6327000,5475000,5599000,7947000,- -
37,Total Current Assets,21209000,64273000,55595000,52209000,56266000,40664000,52975000,40997000,49350000,79314000,252126000,230078000,137521000,319643000,237605000,173451000,138256000
38,PP&E,707000,774000,1517000,8523000,7943000,7335000,6442000,6824000,6258000,5931000,6304000,9094000,10729000,10216000,11672000,11694000,10174000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5362000,9732000,9075000,46192000,84529000,96968000,46289000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5362000,9732000,9075000,46192000,84529000,96968000,46289000,44192000
42,Investments,- -,- -,- -,- -,- -,- -,- -,475000,272000,- -,37794000,32975000,60469000,35181000,37005000,38934000,39878000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1561000,1286000,7087000,5028000
44,Other Non-Current Assets,2851000,4208000,6041000,130000,10000,11000,692000,- -,2000,84000,- -,355000,111000,87000,16825000,29968000,29969000
45,Total Non-Current Assets,3558000,4982000,7558000,8653000,7953000,7346000,7134000,7299000,6532000,11377000,53830000,51499000,117501000,131574000,163756000,133972000,129241000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24767000,69255000,63153000,60862000,64219000,48010000,60109000,48296000,55882000,90691000,305956000,281577000,255022000,451217000,401361000,307423000,267496000
48,Accounts Payable,1341000,2896000,9670000,9721000,8369000,6660000,- -,4670000,5141000,6846000,59541000,15599000,19970000,41676000,27936000,20730000,28573000
49,Short-Term Debt,169000,585000,- -,- -,723000,701000,13221000,1178000,613000,453000,622000,1264000,1343000,1347000,2130000,2142000,30748000
50,Tax Payable,597000,1191000,- -,- -,- -,- -,- -,1711000,2092000,2386000,- -,4391000,4404000,5661000,6999000,8325000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,7663000,1259000,885000,- -,54912000,47909000,82096000,48770000,11299000,12500000
52,Other Current Liabilities,750000,6556000,876000,3098000,173000,13000,2273000,1853000,2265000,2591000,- -,4666000,4687000,71618000,42986000,11317000,8065000
53,Total Current Liabilities,2260000,10037000,10546000,12819000,9265000,7374000,15494000,15364000,9278000,10775000,60163000,76441000,73909000,196737000,121822000,45488000,79886000
54,Long-Term Debt,411000,2723000,- -,- -,7554000,6786000,- -,3327000,4206000,3753000,3132000,4063000,4521000,3175000,16593000,16945000,13503000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112348000,87005000,68098000,40342000,32674000,25413000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1561000,1286000,7087000,5028000
57,Other Non-Current Liabilities,2031000,126000,3001000,6702000,278000,334000,17990000,6240000,2112000,1536000,170594000,2556000,3632000,14405000,3902000,49253000,36226000
58,Total Non-Current Liabilities,2442000,2849000,3001000,6702000,7832000,7120000,17990000,9567000,6318000,5289000,173726000,118967000,95158000,87239000,62123000,105959000,80170000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,21000,15000,- -,- -,- -,- -,- -,3756000,3188000,2707000,2254000,3902000,3015000,2097000,3129000,3534000,- -
61,Total Liabilities,4702000,12886000,13547000,19521000,17097000,14494000,33484000,24931000,15596000,16064000,233889000,195408000,169067000,283976000,183945000,151447000,160056000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,745000,1249000,1259000,1296000,1832000,1884000,1884000,1897000,2287000,2648000,2692000,2696000,2880000,3197000,3941000,3950000,3978000
64,Retained Earnings,-19769000,-26145000,-34461000,-44060000,-63223000,-76883000,-6980000,-87069000,-89964000,-109528000,-116231000,-103595000,-151980000,-134791000,-155671000,-220460000,-272213000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,219000,341000,- -,-17000,-38000,-241000,-730000,-503000,180000,-1099000,-472000,355000,456000
66,Other Total Stockholders Equity,39089000,81265000,82808000,84105000,108294000,108174000,31721000,108553000,128001000,181747000,186336000,187571000,234876000,299933000,369618000,372131000,375219000
67,Total Stockholders Equity,20065000,56369000,49606000,41341000,47122000,33516000,26625000,23364000,40286000,74626000,72067000,86169000,85956000,167240000,217416000,155976000,107440000
68,Total Liabilities And Stockholders Equity,24767000,69255000,63153000,60862000,64219000,48010000,60109000,48295000,55882000,90690000,305956000,281577000,255023000,451216000,401361000,307423000,267496000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1000,- -,1000,- -,- -,-1000,1000,- -,- -,- -
70,Total Liabilities & Equity,24767000,69255000,63153000,60862000,64219000,48010000,60109000,48296000,55882000,90691000,305956000,281577000,255022000,451217000,401361000,307423000,267496000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-6129000,-6042000,-8918000,-9852000,-14626000,-13658000,-6980000,-3199000,-2892000,-19647000,-6706000,12640000,-48385000,3049000,-20759000,-63984000,-52809000
74,Depreciation and Amortization,301000,298000,536000,539000,1023000,1100000,901000,839000,880000,2344000,2655000,3263000,4393000,7401000,16529000,56797000,4596000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,214000,1187000,1260000,1344000,1774000,35000,219000,- -,325000,377000,1011000,1031000,9829000,2707000,3826000,2475000,2617000
77,Change in Working Capital,-1635000,4867000,-2271000,-7629000,6778000,-666000,19120000,-8559000,-9415000,-1300000,211491000,-50788000,-16980000,-47096000,40246000,-49204000,-9884000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-2012000,379000,-2074000,- -,- -,- -,- -,- -,-22919000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,969000,-5521000,1657000,9235000,7889000,- -,- -,1385000,-6528000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-7516000,-4273000,-883000,208397000,-42503000,-32346000,62364000,-61083000,-45139000,- -
82,Other Non-Cash Items,- -,50000,111000,857000,-885000,-260000,-274000,444000,135000,92000,-539000,-2997000,3083000,1408000,-4918000,2149000,-2977000
83,Cash Provided by Operating Activities,-7249000,360000,-9282000,-14741000,-5936000,-13449000,12986000,-10475000,-10967000,-18134000,207912000,-36851000,-48060000,-32531000,34924000,-51767000,-58457000
84,CAPEX,-112000,-752000,-1296000,-1902000,-511000,-408000,-322000,-1225000,-433000,-2343000,-7397000,-9393000,-6026000,-1429000,-65401000,-11282000,-1330000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-120000,-60000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-5359000,-99449000,- -,-15913000,-549000,- -,- -,-2032000,-2996000,-1963000,-121867000,-18154000,-43272000,- -,- -,-3000000,- -
87,Sales/Maturities of Investments,4041000,61209000,5966000,41460000,20000000,- -,2767000,- -,2476000,541000,6967000,88057000,19838000,25662000,2000000,- -,- -
88,Other Investing Activites,- -,- -,304000,-1124000,- -,119000,- -,-154000,115000,2000,- -,-8043000,-3062000,-510000,-62850000,-9463000,12000
89,Cash Used for Investing Activites,-1430000,-38992000,4974000,22521000,18940000,-289000,2445000,-3411000,-958000,-3823000,-122297000,60510000,-29460000,24279000,-62121000,-13370000,-917000
90,Debt Repayment,-16000,-169000,-708000,-826000,-1457000,-789000,-719000,-2264000,-1186000,-613000,-452000,-685000,-1202000,-1343000,-1982000,-2245000,-2069000
91,Common Stock Issued,- -,41493000,293000,- -,23117000,8000,60000,116000,19085000,47785000,125000,14000,- -,62557000,66006000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-300000,-112000,- -,- -,- -,-70000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,265000,882000,1046000,1449000,1199000,- -,- -,- -,1778000,848000,3359000,69000,2117000,8000,13741000,1068000,28887000
95,Cash Used/Provided by Financing Activities,249000,42206000,631000,623000,22559000,-893000,-659000,-2148000,19677000,47950000,3032000,-602000,915000,61222000,77765000,-1177000,26818000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,17000,12000,23000,-68000,-63000,-23000,66000,-26000,5000,219000,-483000
97,Net Change In Cash,-8430000,3574000,-3677000,8403000,35563000,-14630000,14788000,-16022000,7776000,25926000,88584000,23036000,-76539000,52947000,50573000,-66095000,-33036000
98,Cash at the End of Period,2585000,6159000,2482000,10885000,46448000,31818000,46606000,30584000,38360000,64286000,152870000,175906000,99367000,152314000,202887000,136792000,103756000
99,Cash at the Beginning of Period,11015000,2585000,6159000,2482000,10885000,46448000,31818000,46606000,30584000,38360000,64286000,152870000,175906000,99367000,152314000,202887000,136792000
100,Free Cash Flow,-7361000,-392000,-10578000,-16643000,-6447000,-13857000,12664000,-11700000,-11400000,-20477000,200515000,-46244000,-54086000,-33960000,-30477000,-63049000,-59787000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
