,https://roic.ai/company/SNDR,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,1276202000,1503957000,1758055000,1858100000,1922200000,1851600000,1831900000,2051000000
39,Goodwill,- -,33722000,26706000,164035000,164800000,162200000,127500000,128100000,240500000
40,Intangible Assets,- -,92746000,71932000,76782000,74700000,82600000,165900000,204200000,93900000
41,Intangible Assets,- -,126468000,98638000,240817000,239500000,244800000,293400000,332300000,334400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,89213000,106344000,132121000,138900000,133200000,109400000,131300000,303400000
45,Total Non-Current Assets,- -,1491883000,1708939000,2130993000,2236500000,2300200000,2254400000,2295500000,2688800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2320211000,2621937000,3054641000,3330500000,3624500000,3660100000,3516200000,3937300000
48,Accounts Payable,- -,167725000,203319000,222112000,230400000,226000000,207700000,245700000,331700000
49,Short-Term Debt,- -,- -,- -,- -,19100000,51700000,55500000,40400000,61400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,186590000,202795000,455156000,212500000,244900000,202000000,248500000,297100000
53,Total Current Liabilities,- -,354315000,406114000,677268000,462000000,522600000,465200000,534600000,690200000
54,Long-Term Debt,- -,492291000,528640000,428807000,420600000,359600000,305800000,266400000,208900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,377604000,464314000,538624000,386600000,450600000,449000000,450400000,451000000
57,Other Non-Current Liabilities,- -,161320000,167346000,223492000,171100000,159400000,203700000,209300000,163400000
58,Total Non-Current Liabilities,- -,1031215000,1160300000,1190923000,978300000,969600000,958500000,926100000,823300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,16932000,10966000,10820000,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1385530000,1566414000,1868191000,1440300000,1492200000,1423700000,1460700000,1513500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,826902000,945561000,1060392000,1534600000,1544000000,1542700000,- -,- -
64,Retained Earnings,- -,106969000,109550000,125175000,355600000,589300000,693600000,502500000,857800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1271500000,-1000000,-1300500000,800000,- -
66,Other Total Stockholders Equity,- -,810000,412000,883000,1271500000,- -,1300600000,- -,- -
67,Total Stockholders Equity,- -,934681000,1055523000,1186450000,1890200000,2132300000,2236400000,2055500000,2423800000
68,Total Liabilities And Stockholders Equity,- -,2320211000,2621937000,3054641000,3330500000,3624500000,3660100000,3516200000,3937300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2320211000,2621937000,3054641000,3330500000,3624500000,3660100000,3516200000,3937300000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692063/000169206318000056/0001692063-18-000056-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206319000043/0001692063-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206320000032/0001692063-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206321000056/0001692063-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1692063/000169206322000050/0001692063-22-000050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,95474000,133568000,140932000,156851000,389900000,268900000,147000000,211700000,405400000
74,Depreciation and Amortization,212557000,230008000,236330000,266031000,279000000,291300000,292900000,290500000,296200000
75,Deferred Income Tax,20731000,57257000,86719000,75574000,-152000000,62200000,-200000,1700000,2000000
76,Stock Based Compensation,- -,- -,- -,- -,17000000,22800000,-3600000,8900000,14400000
77,Change in Working Capital,-31788000,474013000,32871000,-260504000,385620000,169700000,138800000,-254400000,-148400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1425000,5448000,32441000,-552000,16000000,3000000,- -,- -,- -
81,Other Working Capital,- -,474013000,506884000,246380000,632000000,801700000,940500000,686100000,6800000
82,Other Non-Cash Items,-18691000,-549097000,-11295000,217361000,-458220000,-248400000,61400000,359800000,-3500000
83,Cash Provided by Operating Activities,278283000,345749000,485557000,455313000,461300000,566500000,636300000,618200000,566100000
84,CAPEX,-370360000,-579405000,-607260000,-547522000,-532000000,-512500000,-465700000,-419000000,-540600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-271300000
86,Purchases of Investments,-17256000,-13032000,-18581000,-14228000,- -,-20100000,-17400000,-34000000,-23900000
87,Sales/Maturities of Investments,16795000,12084000,15166000,11098000,10500000,9900000,22100000,24200000,14600000
88,Other Investing Activites,100358000,104629000,127373000,37305000,131000000,185100000,110800000,110100000,194800000
89,Cash Used for Investing Activites,-270463000,-475724000,-483302000,-513347000,-390500000,-337600000,-350200000,-318700000,-626400000
90,Debt Repayment,-197381000,-211013000,-277419000,-118052000,-258700000,-28700000,-52000000,-55600000,-40800000
91,Common Stock Issued,3226000,1268000,3262000,2299000,340600000,- -,- -,- -,- -
92,Common Stock Repurchased,-7054000,-6430000,-2149000,-1430000,-100000,- -,- -,- -,- -
93,Dividends Paid,-16001000,-20697000,-25158000,-31265000,-25500000,-40700000,-42500000,-400000000,-49600000
94,Other Financing Activites,210000000,345900000,310000000,176593000,-19400000,-19300000,-18700000,- -,- -
95,Cash Used/Provided by Financing Activities,-7210000,109028000,8536000,28145000,36900000,-88700000,-113200000,-455600000,-90400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,610000,-20947000,10791000,-29889000,107700000,140200000,172900000,-156100000,-150700000
98,Cash at the End of Period,170832000,149885000,160676000,130787000,238500000,378700000,551600000,395500000,244800000
99,Cash at the Beginning of Period,170222000,170832000,149885000,160676000,130800000,238500000,378700000,551600000,395500000
100,Free Cash Flow,-92077000,-233656000,-121703000,-92209000,-70700000,54000000,170600000,199200000,25500000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692063/000169206318000056/0001692063-18-000056-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206319000043/0001692063-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206320000032/0001692063-20-000032-index.html,https://www.sec.gov/Archives/edgar/data/1692063/000169206321000056/0001692063-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1692063/000169206322000050/0001692063-22-000050-index.htm
102,false,,,,,,,,,
