,https://roic.ai/company/NOVN,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1467154/000156459017004762/0001564590-17-004762-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000156459018006881/0001564590-18-006881-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715419000018/0001467154-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715420000014/0001467154-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715421000012/0001467154-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715422000012/0001467154-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,740000,7419000,45688000,34611000,2524000,8194000,13711000,35879000,47085000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,740000,7419000,45688000,34611000,2524000,8194000,13711000,35879000,47085000
34,Net Receivables,940000,- -,- -,- -,- -,- -,419000,4863000,4473000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,50000,575000,1245000,958000,1180000,1156000,1594000,3265000,2572000
37,Total Current Assets,1730000,7994000,46933000,35569000,3704000,9350000,15724000,44007000,54130000
38,PP&E,1380000,1918000,2344000,16290000,16624000,15868000,12339000,2406000,13894000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,75000,75000,- -,75000,75000,75000
41,Intangible Assets,- -,- -,- -,75000,75000,75000,75000,75000,75000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,15000,539000,539000,731000,1069000,959000,341000,861000
45,Total Non-Current Assets,1380000,1933000,2883000,16904000,17430000,17012000,13373000,2822000,14830000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3110000,9927000,49816000,52473000,21134000,26362000,29097000,46829000,68960000
48,Accounts Payable,610000,947000,1626000,3130000,479000,1250000,1602000,1192000,2170000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,478000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,2164000,4401000,4428000,2990000,2586000
52,Other Current Liabilities,740000,820000,3469000,10247000,5775000,3410000,6869000,4040000,6394000
53,Total Current Liabilities,1350000,1767000,5095000,13377000,8418000,9061000,12899000,8700000,11150000
54,Long-Term Debt,20000,- -,- -,- -,- -,- -,- -,478000,3613000
55,Deferred Revenue,- -,- -,- -,- -,6919000,2566000,7076000,8238000,10665000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-10000,37709000,104802000,8030000,8019000,9537000,32909000,26436000,25213000
58,Total Non-Current Liabilities,10000,37709000,104802000,8030000,14938000,12103000,39985000,35152000,39491000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,16000,10000,42000,32000,8019000,6262000,- -,3613000
61,Total Liabilities,1360000,39476000,109897000,21407000,23356000,21164000,52884000,43852000,50641000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000,2000,3000,3000,14000,2000
64,Retained Earnings,-18560000,-29949000,-63334000,-123033000,-160160000,-172327000,-203682000,-249277000,-278969000
65,Other Comprehensive Income/Loss,-2060090000,-1136000,-1751000,-2438000,-3035000,-4588000,-5679000,- -,- -
66,Other Total Stockholders Equity,2080400000,1536000,5004000,156535000,160971000,182110000,185571000,252240000,- -
67,Total Stockholders Equity,1750000,-29549000,-60081000,31066000,-2222000,5198000,-23787000,2977000,18319000
68,Total Liabilities And Stockholders Equity,3110000,9927000,49816000,52473000,21134000,26362000,29097000,46829000,68960000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3110000,9927000,49816000,52473000,21134000,26362000,29097000,46829000,68960000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467154/000156459017004762/0001564590-17-004762-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000156459018006881/0001564590-18-006881-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715419000018/0001467154-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715420000014/0001467154-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715421000012/0001467154-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715422000012/0001467154-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6180000,-11388000,-28060000,-59699000,-37127000,-12673000,-30641000,-29293000,-29692000
74,Depreciation and Amortization,300000,462000,631000,757000,1423000,1664000,2033000,1170000,344000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,177000,1974000,1573000,3758000,2204000,1838000,1308000,275000
77,Change in Working Capital,-540000,5847000,35611000,-19646000,-26906000,5003000,2536000,32482000,4318000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-419000,-4444000,47000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,338000,825000,1372000,-2523000,777000,352000,-427000,544000
81,Other Working Capital,380000,6227000,41838000,22192000,-4714000,289000,2825000,35307000,2227000
82,Other Non-Cash Items,-130000,-3701000,-32348000,27847000,28995000,-24823000,4358000,-36727000,-22000
83,Cash Provided by Operating Activities,-6550000,-8603000,-22192000,-49168000,-29857000,-28625000,-19876000,-31060000,-24777000
84,CAPEX,-470000,-772000,-1212000,-6218000,-2168000,-1107000,-422000,-648000,-9050000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-6000,-678000,-75000,26000,49000,- -,522000,1523000
89,Cash Used for Investing Activites,-470000,-778000,-1890000,-6218000,-2142000,-1058000,-422000,-126000,-7527000
90,Debt Repayment,- -,-5000,-6000,-7000,-10000,-11000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,47785000,- -,35625000,747000,12577000,37600000
92,Common Stock Repurchased,2310000,- -,- -,-155000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-5200000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-10000,16068000,67557000,-3314000,-78000,-261000,25069000,40237000,6493000
95,Cash Used/Provided by Financing Activities,2300000,16063000,62351000,44309000,-88000,35353000,25816000,52814000,44093000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4710000,6682000,38269000,-11077000,-32087000,5670000,5518000,21628000,11789000
98,Cash at the End of Period,-4710000,7419000,45688000,34611000,2524000,8733000,14251000,35879000,47668000
99,Cash at the Beginning of Period,- -,737000,7419000,45688000,34611000,3063000,8733000,14251000,35879000
100,Free Cash Flow,-7020000,-9375000,-23404000,-55386000,-32025000,-29732000,-20298000,-31708000,-33827000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1467154/000156459017004762/0001564590-17-004762-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000156459018006881/0001564590-18-006881-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715419000018/0001467154-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715420000014/0001467154-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715421000012/0001467154-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1467154/000146715422000012/0001467154-22-000012-index.htm
102,false,,,,,,,,,
