,https://roic.ai/company/FELE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,158600000,161000000,164800000,175500000,184300000,211600000,251700000,267400000,- -,267000000,234600000,288700000,277600000,305000000,- -,307900000,367193000,468900000,552900000,666689000,- -,644356000,726092000,766200000,841700000,- -,947689000,839659000,1013613000,1164469000,1184926000,1114314000,1472051000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9692000,10502000,10208000,10597000,- -,10735000,8732000,10322000,9839000,8245000,4627000,5196000
14,Depreciation and Amortization,4000000,4100000,4000000,4000000,4200000,6400000,8900000,8400000,- -,7600000,7500000,10839000,12660000,12878000,- -,13748000,14971000,17989000,20359000,24164000,- -,24040000,25295000,28335000,31356000,- -,37210000,35534000,38506000,38604000,36977000,36488000,44572000
15,EBITDA,18300000,21900000,24400000,26800000,28100000,36600000,33200000,41700000,- -,48100000,47500000,46739000,56060000,63378000,- -,65048000,86064000,105689000,64459000,91200000,- -,87806000,122308000,153693000,152804000,- -,136602000,147809000,153002000,169210000,161541000,164115000,238359000
16,EBITDA ratio,0.1061,0.1223,0.1325,0.1349,0.1361,0.1516,0.1201,0.1387,- -,0.1586,0.1743,0.1435,0.1736,0.1786,- -,0.1809,0.1958,0.1894,0.1071,0.1223,- -,0.1230,0.1490,0.1724,0.1583,- -,0.1304,0.1556,0.1360,0.1303,0.1229,0.1316,0.1434
17,Operating Income,13900000,18000000,19300000,23100000,22100000,29800000,24600000,33200000,- -,36400000,37900000,40219000,45349000,50298000,- -,51890000,70446000,89079000,49174000,76710000,- -,64102000,93398000,112957000,123781000,- -,100088000,110795000,106989000,131994000,127133000,130511000,189193000
18,Operating Income ratio,0.0806,0.1006,0.1048,0.1163,0.1071,0.1234,0.0890,0.1104,- -,0.1200,0.1391,0.1235,0.1404,0.1417,- -,0.1443,0.1603,0.1597,0.0817,0.1029,- -,0.0898,0.1138,0.1267,0.1282,- -,0.0955,0.1166,0.0951,0.1017,0.0967,0.1046,0.1138
19,Total Other Income Expenses (Gains),400000,-200000,1100000,-500000,800000,400000,-300000,100000,- -,4100000,2100000,-4319000,-1949000,202000,- -,-590000,647000,-1679000,-4674000,-9674000,- -,-9024000,-6263000,3043000,-12281000,- -,-10385000,-6682000,-2402000,-11587000,-10298000,-6814000,513000
20,Income Before Tax,14300000,17800000,20400000,22600000,22900000,30200000,24300000,33300000,- -,40500000,40000000,35900000,43400000,50500000,- -,51300000,71093000,87400000,44500000,67036000,- -,55078000,87135000,116000000,111500000,- -,89703000,104113000,104587000,120407000,116835000,123697000,189706000
21,Income Before Tax Ratio,0.0829,0.0994,0.1108,0.1138,0.1109,0.1251,0.0879,0.1107,- -,0.1335,0.1468,0.1102,0.1344,0.1423,- -,0.1427,0.1617,0.1567,0.0739,0.0899,- -,0.0772,0.1061,0.1301,0.1155,- -,0.0856,0.1096,0.0930,0.0928,0.0889,0.0992,0.1142
22,Income Tax expense (Gain),6000000,6500000,7400000,9000000,6800000,11500000,8800000,11800000,- -,15000000,15200000,13700000,16200000,18300000,- -,16800000,25084000,30700000,15400000,22925000,- -,15106000,23412000,32250000,28851000,- -,18851000,24798000,25994000,14890000,20836000,22540000,34731000
23,Net Income,8300000,11300000,13000000,13800000,17100000,18700000,15500000,21500000,- -,25500000,24800000,22200000,27200000,32200000,- -,34500000,46009000,57000000,28700000,44111000,- -,38968000,63099000,82900000,82000000,- -,69806000,78745000,78180000,105877000,95483000,100460000,153860000
24,Net Income ratio,0.0481,0.0631,0.0706,0.0695,0.0828,0.0775,0.0561,0.0715,- -,0.0841,0.0910,0.0682,0.0842,0.0907,- -,0.0960,0.1047,0.1022,0.0477,0.0592,- -,0.0546,0.0768,0.0930,0.0849,- -,0.0666,0.0829,0.0695,0.0816,0.0726,0.0805,0.0926
25,EPS,0.39,0.16,0.20,0.23,0.32,0.35,0.29,0.40,- -,0.54,0.54,0.51,0.62,0.74,- -,0.80,1.03,1.25,0.62,0.96,- -,0.84,1.35,1.76,1.70,- -,1.43,1.67,1.67,2.25,2.04,2.16,3.29
26,EPS Diluted,0.39,0.16,0.20,0.23,0.32,0.35,0.29,0.40,- -,0.50,0.50,0.49,0.60,0.71,- -,0.76,0.99,1.22,0.61,0.95,- -,0.83,1.32,1.73,1.68,- -,1.41,1.65,1.65,2.23,2.03,2.14,3.25
27,Weighted Average Shares Outstanding,47856000,49523810,51464968,51914894,52380952,52112676,52784000,53408000,- -,47113164,45925926,43580392,43527054,43226846,- -,43235110,44453140,45598400,46262903,46000000,- -,46346000,46567528,47081818,48210588,- -,48815385,47152695,46814371,47056444,46805392,46509259,46765957
28,Weighted Average Shares Outstanding Diluted,47856000,49523810,51464968,51914894,52380952,52112676,52784000,53463415,- -,50872818,49353234,45475192,45439331,45518021,- -,45219672,46473737,46719672,47021311,46400000,- -,47034000,47621887,47800000,48210588,- -,48815385,47152695,47000000,47056444,46805392,46700000,47341538
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38725/000003872596000003/0000038725-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872597000007/0000038725-97-000007-index.html,undefined,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/38725/000003872506000006/franklinelectric10-k.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872507000032/form10-k.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872508000013/form10-k.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/38725/000003872512000025/0000038725-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872513000044/0000038725-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872514000042/a2013122810-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/38725/000003872515000043/a2015010310-k.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872517000042/0000038725-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872518000039/0000038725-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872519000046/0000038725-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872520000053/0000038725-20-000053-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872521000044/0000038725-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872522000033/0000038725-22-000033-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3800000,17100000,16500000,16200000,39100000,38900000,32100000,23000000,- -,23200000,17000000,9600000,20800000,20100000,- -,30000000,52136000,34000000,65300000,46934000,- -,140070000,153337000,103300000,134600000,- -,59141000,104331000,67233000,59173000,64405000,130787000,40536000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,31600000,- -,48500000,27900000,- -,3000000,- -,- -,- -,35988000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3800000,17100000,16500000,16200000,39100000,38900000,32100000,54600000,- -,71700000,44900000,9600000,23800000,20100000,- -,30000000,88124000,34000000,65300000,46934000,- -,140070000,153337000,103300000,134600000,- -,59141000,104331000,67233000,59173000,64405000,130787000,40536000
34,Net Receivables,19100000,17300000,13500000,14100000,12800000,21900000,22500000,24600000,- -,17000000,16000000,31600000,27500000,31700000,- -,29200000,30165000,52700000,65000000,68048000,- -,70829000,78435000,102900000,115100000,- -,143787000,145999000,171007000,172899000,173327000,159827000,196173000
35,Inventory,21700000,21700000,25400000,25900000,22800000,37800000,45800000,42300000,- -,31300000,35300000,49100000,48000000,48300000,- -,54700000,70381000,111600000,156100000,169873000,- -,126007000,141693000,191800000,191600000,- -,220528000,203471000,312325000,314049000,300246000,300932000,449975000
36,Other Current Assets,4900000,5500000,5600000,5800000,7100000,7600000,8900000,9500000,- -,8500000,10100000,11700000,10300000,12900000,- -,14100000,14350000,19500000,23100000,32805000,- -,33549000,27018000,30900000,31100000,- -,46083000,30018000,38566000,33758000,29466000,27708000,37963000
37,Total Current Assets,49500000,61600000,61000000,62000000,81800000,106200000,109300000,131000000,- -,128500000,106300000,102000000,109600000,113000000,- -,128000000,203020000,217800000,309500000,317660000,- -,370455000,400483000,428900000,472400000,- -,469539000,483819000,589131000,579879000,567444000,619254000,724647000
38,PP&E,24700000,23400000,23400000,24000000,25600000,41900000,41700000,40100000,- -,32400000,51500000,64600000,58800000,76000000,- -,83900000,95732000,116000000,134900000,144535000,- -,143076000,146409000,172000000,208600000,- -,209786000,196137000,215694000,207064000,228949000,240975000,259033000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,14500000,53000000,- -,56200000,- -,133500000,140000000,148082000,- -,165193000,168846000,208100000,207200000,- -,208828000,199609000,236810000,248748000,256059000,266737000,591485000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,- -,8500000,57982000,45300000,66900000,75737000,- -,89011000,94538000,158100000,148700000,- -,160314000,134700000,131500000,135100000,131100000,133800000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,14500000,63100000,- -,64700000,57982000,178800000,206900000,223819000,- -,254204000,263384000,366200000,355900000,- -,369142000,334309000,368310000,383848000,387159000,400537000,591485000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,300000,200000,- -,- -,- -,- -,- -,- -,- -,4400000,- -,4600000,11700000,- -,- -,- -,- -,40100000,54600000,- -,45568000,4621000,8929000,8694000,9171000,8824000,- -
44,Other Non-Current Assets,14600000,16300000,20200000,18600000,17100000,3500000,2100000,1700000,- -,2200000,9800000,15000000,12700000,6500000,- -,1000000,23028000,9700000,-800000,8043000,- -,12179000,19254000,-30800000,-39600000,- -,-18148000,21019000,3289000,2880000,1993000,2735000,- -
45,Total Non-Current Assets,39300000,39700000,43600000,42600000,42700000,45400000,44100000,42000000,- -,34600000,61300000,95200000,86000000,145600000,- -,154000000,176742000,309100000,352700000,376397000,- -,409459000,429047000,547500000,579500000,- -,606348000,556086000,596222000,602486000,627272000,653071000,850518000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,88800000,101300000,104600000,104600000,124500000,151600000,153400000,173000000,- -,163100000,167600000,197200000,195600000,258600000,- -,282000000,379762000,526900000,662200000,694057000,- -,779914000,829530000,976400000,1051900000,- -,1075887000,1039905000,1185353000,1182365000,1194716000,1272325000,1575165000
48,Accounts Payable,7500000,9500000,7700000,9100000,8400000,12300000,15900000,14000000,- -,10500000,13600000,16100000,11700000,18600000,- -,16000000,26409000,30800000,28000000,24505000,- -,39084000,45481000,68700000,57800000,- -,70806000,63927000,79348000,76652000,82593000,95903000,164758000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,500000,- -,- -,200000,2700000,100000,- -,1467000,- -,1392000,1303000,11310000,10398000,677000,- -,1241000,13978000,15176000,15363000,- -,34092000,33715000,100453000,111975000,31717000,13641000,113301000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4268000,5946000,215000,2048000,- -,788000,3274000,2213000,2419000,3010000,5112000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19592000000,17127000000,- -,- -,- -,- -,7912000000,10072000000,- -,8364000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,25100000,27100000,24600000,26600000,28100000,45500000,24900000,27500000,- -,29800000,28100000,30900000,28700000,30133000,- -,28008000,36310000,-19540110000,-17074798000,56230000,- -,68982000,64638000,-7850276000,-10006663000,- -,-8267793000,60119000,66100000,67230000,71454000,94160000,117955000
53,Total Current Liabilities,32600000,36600000,32300000,35700000,36500000,57800000,41300000,41500000,- -,40500000,44400000,47100000,40400000,50200000,- -,45400000,64022000,94000000,90600000,81412000,- -,109307000,124097000,145600000,138500000,- -,201105000,157761000,245901000,255857000,185764000,203704000,396014000
54,Long-Term Debt,16700000,16400000,15500000,22800000,30000000,20000000,20200000,20300000,- -,19200000,18100000,15900000,14500000,25900000,- -,15000000,12324000,51000000,151300000,185528000,- -,151245000,150000000,150700000,174200000,- -,143695000,156544000,125596000,94379000,93141000,112832000,123472000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2500000,1600000,1900000,1800000,1800000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4296000,- -,- -,4161000,- -,17887000,15348000,40136000,54618000,- -,45568000,40460000,30913000,28949000,27598000,25671000,28162000
57,Other Non-Current Liabilities,-100000,2900000,5300000,4700000,6100000,8000000,11300000,11300000,- -,10600000,13500000,18200000,17500000,29300000,- -,28600000,31558000,36100000,41800000,74019000,- -,74280000,84240000,125564000,88882000,- -,88679000,70052000,80322000,67353000,89571000,80151000,78874000
58,Total Non-Current Liabilities,19100000,20900000,22700000,29300000,37900000,28900000,31500000,31600000,- -,29800000,31600000,34100000,32000000,55200000,- -,43600000,48178000,87100000,193100000,263708000,- -,243412000,249588000,316400000,317700000,- -,277942000,267056000,236831000,190681000,210310000,218654000,230508000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27623000,31956000,48257000
61,Total Liabilities,51700000,57500000,55000000,65000000,74400000,86700000,72800000,73100000,- -,70300000,76000000,81200000,72400000,105400000,- -,89000000,112200000,181100000,283700000,345120000,- -,352719000,373685000,462000000,456200000,- -,479047000,424817000,482732000,446538000,396074000,422358000,626522000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,600000,600000,- -,600000,600000,600000,1100000,1100000,- -,2200000,2249000,2300000,2300000,2302000,- -,2326000,2333000,4700000,4800000,- -,4759000,4638000,4663000,4632000,4639000,4622000,- -
64,Retained Earnings,4600000,11800000,22900000,35100000,50600000,64200000,77400000,96000000,- -,87500000,81900000,93400000,109100000,125300000,- -,139100000,190381000,236800000,246300000,271274000,- -,305260000,350457000,396000000,450900000,- -,492548000,550095000,604905000,654724000,712460000,764562000,- -
65,Other Comprehensive Income/Loss,-47200000,-50100000,-52700000,-52400000,-55300000,-74500000,1200000,-1800000,- -,-5200000,-5800000,-12800000,-17800000,-7331000,- -,5873000,215000,12394000,24483000,-38036000,- -,-19442000,-49264000,-57146000,-54729000,- -,-107913000,-169852000,-149047000,-183019000,-190210000,-204771000,-228581000
66,Other Total Stockholders Equity,79700000,82100000,79400000,56900000,54800000,75200000,1400000,5000000,- -,9900000,14900000,34800000,30900000,34069000,- -,45765000,74717000,94337000,105461000,- -,- -,- -,144609000,170852000,194736000,- -,207446000,228564000,240136000,257535000,269656000,283420000,- -
67,Total Stockholders Equity,37100000,43800000,49600000,39600000,50100000,64900000,80600000,99800000,- -,92800000,91600000,116000000,123300000,153138000,- -,192938000,267562000,345831000,378544000,348937000,- -,417849000,448135000,514406000,595707000,- -,596840000,613445000,700657000,733872000,796545000,847833000,948662000
68,Total Liabilities And Stockholders Equity,88800000,101300000,104600000,104600000,124500000,151600000,153400000,172900000,- -,163100000,167600000,197200000,195700000,258538000,- -,281938000,379762000,526931000,662244000,694057000,- -,770568000,821820000,976406000,1051907000,- -,1075887000,1038262000,1183389000,1180410000,1192619000,1270191000,1575184000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,-100000,62000,- -,62000,- -,-31000,-44000,- -,- -,9346000,7710000,-6000,-7000,- -,- -,1643000,1964000,1955000,2097000,2134000,-19000
70,Total Liabilities & Equity,88800000,101300000,104600000,104600000,124500000,151600000,153400000,173000000,- -,163100000,167600000,197200000,195600000,258600000,- -,282000000,379762000,526900000,662200000,694057000,- -,779914000,829530000,976400000,1051900000,- -,1075887000,1039905000,1185353000,1182365000,1194716000,1272325000,1575165000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38725/000003872596000003/0000038725-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872597000007/0000038725-97-000007-index.html,undefined,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/38725/000003872506000006/franklinelectric10-k.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872507000032/form10-k.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872508000013/form10-k.htm,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/38725/000003872512000025/0000038725-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872513000044/0000038725-13-000044-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872514000042/a2013122810-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/38725/000003872515000043/a2015010310-k.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872517000042/0000038725-17-000042-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872518000039/0000038725-18-000039-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872519000046/0000038725-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872520000053/0000038725-20-000053-index.html,https://www.sec.gov/Archives/edgar/data/38725/000003872521000044/0000038725-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/38725/000003872522000033/0000038725-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8300000,11300000,13000000,13800000,17100000,18700000,15500000,21500000,- -,25500000,24800000,22200000,27200000,32200000,- -,34500000,46009000,57000000,28700000,44111000,- -,38968000,63099000,82900000,82000000,- -,69806000,78745000,78180000,105877000,95483000,100460000,153860000
74,Depreciation and Amortization,4000000,4100000,4000000,4000000,4200000,6400000,8900000,8400000,- -,7600000,7500000,10839000,12660000,12878000,- -,13748000,14971000,17989000,20359000,24164000,- -,24040000,25295000,28335000,31356000,- -,37210000,35534000,38506000,38604000,36977000,36488000,44572000
75,Deferred Income Tax,1000000,-400000,-200000,-100000,- -,- -,-2100000,-100000,- -,-900000,-1600000,-34000,2916000,664000,- -,3117000,284000,-9933000,913000,12395000,- -,9699000,3867000,8571000,1707000,- -,-2415000,2978000,3887000,-5164000,-2566000,-4268000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4273000,3970000,6253000,4875000,- -,7471000,6889000,7109000,8450000,8957000,10066000,11731000
77,Change in Working Capital,-7000000,8100000,3700000,-2400000,19000000,3100000,19600000,21500000,- -,-1500000,-26100000,-1900000,14300000,-6400000,- -,19800000,27298000,-15198000,95100000,17348000,- -,32648000,15238000,6914000,50600000,- -,-65466000,32608000,17172000,-19208000,57658000,33870000,-90967000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-2400000,800000,-4200000,-1100000,2400000,-2400000,-7600000,2200000,- -,-3100000,-4100000,-2516000,-697000,7434000,- -,-2140000,-10642000,-10978000,-29092000,-15611000,- -,13416000,3923000,-23706000,-7612000,- -,-32782000,-7636000,-46372000,-4775000,17228000,13144000,-123076000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2126000,- -,22852000,11782000,-11071000,1677000,6770000,20519000,89038000
81,Other Working Capital,16900000,25000000,28700000,26300000,45300000,48400000,68000000,89500000,- -,88000000,61900000,54900000,69200000,62800000,- -,82600000,138998000,123800000,218900000,236248000,- -,261148000,276386000,283300000,333900000,- -,268434000,326058000,343230000,324022000,381680000,415550000,-25004000
82,Other Non-Cash Items,2900000,-1300000,-2900000,3000000,-17300000,-600000,-26400000,-20400000,- -,-8700000,26400000,-12357000,-17153000,18511000,- -,-24201000,-14398000,5531000,-140833000,-53570000,- -,-15013000,-11548000,-62782000,-72264000,- -,743000,-41380000,-78100000,-124000,-18833000,35238000,10567000
83,Cash Provided by Operating Activities,9200000,21800000,17600000,18300000,23000000,27600000,15500000,30900000,- -,22000000,31000000,18748000,39923000,57853000,- -,46964000,74164000,55389000,4239000,44448000,- -,94615000,99921000,70191000,98274000,- -,47349000,115374000,66754000,128435000,177676000,211854000,129763000
84,CAPEX,-4000000,-3100000,-4300000,-5800000,-6400000,-7600000,-6100000,-6200000,- -,-8600000,-24600000,-14108000,-6709000,-15568000,- -,-15261000,-17845000,-23190000,-28281000,-25641000,- -,-14148000,-23062000,-40056000,-67848000,- -,-35525000,-39136000,-33484000,-22432000,-21855000,-22856000,-30116000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17687000,- -,-30344000,- -,- -,-8509000,-144735000,-35290000,-38380000,- -,-11785000,-32908000,-64359000,-3513000,- -,-35599000,-1007000,-51783000,-44971000,-20827000,-55915000,-235701000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-52900000,- -,-64500000,-48600000,-2915000,-2999000,- -,- -,- -,-236773000,-63500000,-420575000,-9000000,- -,- -,- -,- -,-5700000,- -,-6716000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,21200000,- -,47600000,69200000,11883000,- -,2999000,- -,- -,200785000,99488000,420575000,9000000,- -,- -,- -,489000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,400000,300000,-6000000,1600000,2300000,1900000,-500000,-200000,- -,35100000,-7400000,-2768000,-448000,-14292000,- -,-193000,-1111000,343000,344000,-944000,- -,1769000,-11001000,1542000,318000,- -,118000,6374000,566000,1111000,876000,-40000,1012000
89,Cash Used for Investing Activites,-3600000,-2800000,-10300000,-4200000,-4100000,-5700000,-6600000,-38100000,- -,9600000,-11400000,-25595000,-10156000,-57205000,- -,-15454000,-63453000,-131594000,-63227000,-64965000,- -,-24164000,-65755000,-101640000,-76452000,- -,-77722000,-33769000,-84701000,-66292000,-41806000,-78811000,-264805000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1218000,-19917000,-76424000,-45254000,- -,-117217000,-95066000,-191476000,-251623000,-355332000,-138831000,- -
91,Common Stock Issued,- -,100000,800000,1900000,300000,100000,1400000,800000,- -,1800000,1800000,1541000,1059000,5945000,- -,4750000,14298000,10120000,5038000,3446000,- -,5015000,8910000,15432000,14068000,- -,2929000,5243000,4497000,8999000,3194000,3721000,15524000
92,Common Stock Repurchased,-35700000,-2300000,-5500000,-10900000,- -,-9600000,- -,- -,- -,-30600000,-26000000,-8351000,-14157000,-10517000,- -,-9782000,-13775000,-198000,-8118000,-7816000,- -,-7242000,-13910000,-21689000,-12364000,- -,-10610000,-7422000,-3621000,-34188000,-10741000,-19553000,-25949000
93,Dividends Paid,-2600000,-3500000,-2900000,-1600000,-1500000,-1900000,-2400000,-2900000,- -,-3400000,-3800000,-4685000,-5122000,-5505000,- -,-5946000,-8447000,-9833000,-10834000,-11369000,- -,-12334000,-12890000,-13811000,-15294000,- -,-17421000,-19137000,-20289000,-22612000,-27671000,-29675000,-33398000
