,https://roic.ai/company/EFSH,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1113966,-2439931,-3709227,- -,- -
66,Other Total Stockholders Equity,15999,15999,15999,15999,1129349,2452822,4152241,4125389,21380657
67,Total Stockholders Equity,-10668,-188714,-400037,-669881,-1143718,-2139078,-3955864,4125389,1465700
68,Total Liabilities And Stockholders Equity,27875,62875,100790,375,7425931,5940268,19274922,20119179,46915172
69,Minority Interest,- -,- -,- -,- -,658524,112011,-42930,-2014918,91375
70,Total Liabilities & Equity,27875,62875,100790,375,8084455,6052279,19231992,18104261,47006547
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1599407/000147793215002460/0001477932-15-002460-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000147793216009759/0001477932-16-009759-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000147793217001780/0001477932-17-001780-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1599407/000147793219002147/0001477932-19-002147-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390020007912/0001213900-20-007912-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390021021766/0001213900-21-021766-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390022016805/0001213900-22-016805-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-30000,-178046,-211323,-269844,-473837,-995360,-2246959,-10204383,240405
74,Depreciation and Amortization,- -,- -,- -,- -,1125667,1441898,1982230,276913,379753
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,698303,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,281194,- -
77,Change in Working Capital,10000,-178046,-211323,-269844,-1371286,1346074,-10242161,8727960,913608
78,Accounts Receivable,- -,-50000,-37500,- -,-153667,-239205,-1447705,809000,10698
79,Inventory,- -,- -,- -,- -,201339,240353,723509,-2055293,-161286
80,Accounts Payable,- -,- -,- -,- -,522852,433739,-1012225,949154,- -
81,Other Working Capital,-10674,-188720,-400043,-669887,-2041173,-695099,-10937260,-2209300,-1295692
82,Other Non-Cash Items,- -,328163,367918,528530,302761,-1919617,8583597,3357189,-1874926
83,Cash Provided by Operating Activities,-20000,-27929,-54728,-11158,-416695,-127005,-1923293,3137176,-341160
84,CAPEX,- -,- -,- -,- -,-1145889,-10807,-191032,-51059,- -
85,Acquisitions Net,- -,- -,- -,- -,338411,- -,- -,1409936,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,369272,320775,143711,-1409936,644303
89,Cash Used for Investing Activites,- -,- -,- -,- -,-438206,309968,-47321,-51059,644303
90,Debt Repayment,- -,- -,- -,- -,-475791,-946939,-1283836,- -,- -
91,Common Stock Issued,- -,13500,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20000,14429,55143,10743,1832114,596434,3159330,4981959,-208693
95,Cash Used/Provided by Financing Activities,20000,27929,55143,10743,1356323,-350505,1875494,4981959,-208693
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-167542,-95120,- -,- -
98,Cash at the End of Period,- -,- -,415,- -,501422,333880,238760,- -,- -
99,Cash at the Beginning of Period,- -,- -,- -,415,- -,501422,333880,- -,- -
100,Free Cash Flow,-20000,-27929,-54728,-11158,-1562584,-137812,-2114325,3086117,-341160
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1599407/000147793215002460/0001477932-15-002460-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000147793216009759/0001477932-16-009759-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000147793217001780/0001477932-17-001780-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1599407/000147793219002147/0001477932-19-002147-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390020007912/0001213900-20-007912-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390021021766/0001213900-21-021766-index.htm,https://www.sec.gov/Archives/edgar/data/1599407/000121390022016805/0001213900-22-016805-index.htm
102,false,,,,,,,,,
