,https://roic.ai/company/TRIP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1526520/000119312512117448/0001193125-12-117448-index.html,https://www.sec.gov/Archives/edgar/data/1526520/000119312513062886/0001193125-13-062886-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000119312514045532/0001193125-14-045532-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459015000721/0001564590-15-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459016012862/0001564590-16-012862-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459017001783/0001564590-17-001783-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459018002664/0001564590-18-002664-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459019003889/0001564590-19-003889-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459020005269/0001564590-20-005269-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459021006939/0001564590-21-006939-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000095017022001481/0000950170-22-001481-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,31364000,93133000,183532000,367515000,351148000,455000000,614000000,612000000,673000000,655000000,319000000,418000000,723000000
32,Short-Term Investments,- -,- -,20297000,- -,118970000,131220000,108000000,47000000,118000000,35000000,15000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,31364000,113430000,183532000,486485000,482368000,563000000,661000000,730000000,708000000,670000000,319000000,418000000,723000000
34,Net Receivables,- -,39491000,51150000,82017000,129673000,127153000,151000000,180000000,189000000,260000000,212000000,183000000,133000000,191000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,8142000,12221000,12773000,16336000,20764000,33000000,24000000,31000000,25000000,33000000,31000000,22000000,26000000
37,Total Current Assets,- -,78997000,176801000,278322000,632494000,630285000,747000000,865000000,950000000,993000000,915000000,533000000,573000000,940000000
38,PP&E,- -,24545000,30744000,34754000,43802000,81528000,195000000,247000000,260000000,263000000,253000000,344000000,294000000,257000000
39,Goodwill,- -,418170000,460610000,466892000,471684000,501984000,734000000,732000000,736000000,758000000,756000000,840000000,862000000,843000000
40,Intangible Assets,- -,52618000,50094000,44030000,38190000,51842000,214000000,176000000,167000000,142000000,118000000,110000000,86000000,65000000
41,Intangible Assets,- -,470788000,510704000,510922000,509874000,553826000,948000000,908000000,903000000,900000000,874000000,950000000,948000000,908000000
42,Investments,- -,- -,- -,- -,99248000,188338000,31000000,37000000,16000000,27000000,- -,55000000,40000000,36000000
43,Tax Assets,- -,- -,- -,- -,502000,893000,- -,- -,42000000,16000000,27000000,7000000,10000000,54000000
44,Other Non-Current Assets,- -,496000,4640000,11888000,13274000,18144000,38000000,71000000,67000000,73000000,98000000,95000000,104000000,94000000
45,Total Non-Current Assets,- -,495829000,546088000,557564000,666700000,842729000,1212000000,1263000000,1288000000,1279000000,1252000000,1451000000,1396000000,1349000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,574826000,722889000,835886000,1299194000,1473014000,1959000000,2128000000,2238000000,2272000000,2167000000,1984000000,1969000000,2289000000
48,Accounts Payable,- -,4596000,6768000,12097000,14099000,9869000,19000000,10000000,14000000,8000000,15000000,11000000,18000000,27000000
49,Short-Term Debt,- -,- -,1779000,46734000,72145000,68461000,78000000,1000000,80000000,7000000,- -,25000000,26000000,26000000
50,Tax Payable,- -,49978000,65034000,17229000,14597000,5443000,20000000,9000000,10000000,5000000,7000000,14000000,1000000,3000000
51,Deferred Revenue,- -,1208000,12119000,19395000,31563000,43970000,57000000,64000000,64000000,60000000,63000000,62000000,28000000,36000000
52,Other Current Liabilities,- -,151753000,122023000,52167000,77833000,120589000,227000000,237000000,265000000,297000000,315000000,337000000,170000000,268000000
53,Total Current Liabilities,- -,157557000,142689000,130393000,195640000,242889000,381000000,312000000,423000000,372000000,393000000,435000000,242000000,357000000
54,Long-Term Debt,- -,- -,- -,380000000,340000000,300000000,260000000,200000000,91000000,230000000,- -,- -,608000000,927000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,33000000,31000000
56,Deferred Tax Liabilities,- -,22385000,28888000,16004000,11023000,13114000,39000000,15000000,12000000,14000000,21000000,8000000,10000000,1000000
57,Other Non-Current Liabilities,- -,4970000,11680000,15952000,25563000,52531000,154000000,189000000,210000000,293000000,282000000,344000000,190000000,184000000
58,Total Non-Current Liabilities,- -,27355000,40568000,411956000,376586000,365645000,453000000,404000000,313000000,537000000,303000000,388000000,841000000,1143000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,7877000,67000000,84000000,84000000,84000000,83000000,167000000,143000000,120000000
61,Total Liabilities,- -,184912000,183257000,542349000,572226000,608534000,834000000,716000000,736000000,909000000,696000000,823000000,1083000000,1500000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,393363000,541561000,134000,143000,144000,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,2369000,196438000,401881000,628000000,826000000,945000000,926000000,1043000000,681000000,389000000,241000000
65,Other Comprehensive Income/Loss,- -,-3449000,-1929000,-2710000,-869000,-325000,-31000000,-63000000,-77000000,-42000000,-62000000,-63000000,-34000000,-56000000
66,Other Total Stockholders Equity,- -,- -,- -,293744000,531256000,462780000,528000000,649000000,634000000,479000000,490000000,543000000,- -,- -
67,Total Stockholders Equity,- -,389914000,539632000,293537000,726968000,864480000,1125000000,1412000000,1502000000,1363000000,1471000000,1161000000,886000000,789000000
68,Total Liabilities And Stockholders Equity,- -,574826000,722889000,835886000,1299194000,1473014000,1959000000,2128000000,2238000000,2272000000,2167000000,1984000000,1969000000,2289000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,574826000,722889000,835886000,1299194000,1473014000,1959000000,2128000000,2238000000,2272000000,2167000000,1984000000,1969000000,2289000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1526520/000119312512117448/0001193125-12-117448-index.html,https://www.sec.gov/Archives/edgar/data/1526520/000119312513062886/0001193125-13-062886-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000119312514045532/0001193125-14-045532-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459015000721/0001564590-15-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459016012862/0001564590-16-012862-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459017001783/0001564590-17-001783-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459018002664/0001564590-18-002664-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459019003889/0001564590-19-003889-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459020005269/0001564590-20-005269-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459021006939/0001564590-21-006939-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000095017022001481/0000950170-22-001481-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,72371000,102427000,138776000,177677000,194069000,205443000,226000000,198000000,120000000,-19000000,113000000,126000000,-289000000,-148000000
74,Depreciation and Amortization,16183000,23136000,27480000,25885000,26076000,35226000,65000000,93000000,101000000,111000000,116000000,126000000,125000000,111000000
75,Deferred Income Tax,-1772000,7218000,-653000,-931000,-4960000,5473000,-17000000,-37000000,-20000000,29000000,12000000,14000000,-1000000,-44000000
76,Stock Based Compensation,- -,- -,- -,17344000,30102000,48953000,63000000,72000000,85000000,96000000,118000000,124000000,109000000,120000000
77,Change in Working Capital,18433000,- -,112672000,113817000,288925000,-49458000,-21396000,187000000,-26000000,94000000,-99000000,-424000000,233000000,47000000
78,Accounts Receivable,-5684000,-5996000,-11470000,-15910000,-11810000,-16184000,-26000000,-31000000,-24000000,-36000000,-8000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-2961000,-802000,1273000,5885000,13977000,-5884000,18000000,13000000,7000000,- -,22000000,-1000000,-28000000,- -
81,Other Working Capital,-78560000,-78560000,34112000,147929000,436854000,387396000,366000000,553000000,527000000,621000000,522000000,98000000,331000000,90000000
82,Other Non-Cash Items,5511000,-7043000,-81360000,-115910000,-295146000,103886000,71396000,-131000000,61000000,-73000000,145000000,458000000,-371000000,22000000
83,Cash Provided by Operating Activities,110726000,125738000,196915000,217882000,239066000,349523000,387000000,382000000,321000000,238000000,405000000,424000000,-194000000,108000000
84,CAPEX,-17871000,-13873000,-18813000,-21323000,-29282000,-55455000,-81000000,-109000000,-72000000,-64000000,-61000000,-83000000,-55000000,-54000000
85,Acquisitions Net,-199365000,-44971000,-34446000,-35993000,-3007000,-34819000,-331000000,-4000000,-43000000,- -,-24000000,-110000000,-4000000,- -
86,Purchases of Investments,- -,- -,-20090000,- -,-218922000,-432373000,-251000000,-205000000,-166000000,-63000000,-16000000,-133000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,20090000,- -,325503000,429000000,258000000,116000000,133000000,64000000,150000000,- -,- -
88,Other Investing Activites,-102494000,-103959000,-85234000,-501636000,7028000,350000,- -,- -,2000000,- -,-12000000,- -,-52000000,-54000000
89,Cash Used for Investing Activites,-301859000,-148930000,-139770000,-538862000,-244183000,-196794000,-234000000,-60000000,-163000000,6000000,-49000000,-176000000,-56000000,-54000000
90,Debt Repayment,- -,- -,- -,- -,-30000000,-56876000,-44000000,-431000000,-211000000,-369000000,-245000000,-5000000,-706000000,-6000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-145221000,- -,- -,-105000000,-250000000,-100000000,-60000000,-115000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-488000000,- -,- -
94,Other Financing Activites,190613000,46070000,4021000,411834000,219821000,32422000,3000000,278000000,173000000,419000000,-13000000,-27000000,1162000000,269000000
95,Cash Used/Provided by Financing Activities,190613000,46070000,4021000,411834000,189821000,-169675000,-41000000,-153000000,-143000000,-200000000,-358000000,-580000000,341000000,263000000
96,Effect of Forex Changes on Cash,-1043000,485000,603000,-455000,-721000,579000,-8000000,-10000000,-17000000,17000000,-16000000,-4000000,8000000,-12000000
97,Net Change In Cash,-1563000,23363000,61769000,90399000,183983000,-16367000,104000000,159000000,-2000000,61000000,-18000000,-336000000,99000000,305000000
98,Cash at the End of Period,8001000,31364000,93133000,183532000,367515000,351148000,455000000,614000000,612000000,673000000,655000000,319000000,418000000,723000000
99,Cash at the Beginning of Period,9564000,8001000,31364000,93133000,183532000,367515000,351000000,455000000,614000000,612000000,673000000,655000000,319000000,418000000
100,Free Cash Flow,92855000,111865000,178102000,196559000,209784000,294068000,306000000,273000000,249000000,174000000,344000000,341000000,-249000000,54000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1526520/000119312512117448/0001193125-12-117448-index.html,https://www.sec.gov/Archives/edgar/data/1526520/000119312513062886/0001193125-13-062886-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000119312514045532/0001193125-14-045532-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459015000721/0001564590-15-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459016012862/0001564590-16-012862-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459017001783/0001564590-17-001783-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459018002664/0001564590-18-002664-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459019003889/0001564590-19-003889-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459020005269/0001564590-20-005269-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000156459021006939/0001564590-21-006939-index.htm,https://www.sec.gov/Archives/edgar/data/1526520/000095017022001481/0000950170-22-001481-index.htm
102,false,,,,,,,,,,,,,,
