,https://roic.ai/company/LH,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,78300000,100600000,119900000,144800000,153600000,193700000,385900000,574500000,586700000,489200000,532700000,572600000,558000000,609300000,689400000,691800000,755300000,831300000,863600000,993000000,1021500000,1107000000,1245400000,1200900000,1210500000,1274900000,1786500000,1809700000,2028900000,1802600000,1867700000,2004700000,2321700000
11,COGS and Expenses,- -,289600000,361500000,430400000,521300000,575000000,762600000,1364800000,1703500000,1611000000,1485000000,1549000000,1669200000,1832200000,2055200000,2404200000,2487300000,2692600000,2892700000,3240600000,3624400000,3745300000,4013100000,4513000000,4622600000,4795600000,5083400000,7563300000,8271000000,9006300000,9959600000,10170000000,11030400000,12818300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,1600000,1100000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,62900000,70000000,87500000,94500000,96500000,109500000,274900000,219100000,235100000,244200000,240700000,207400000,212100000
14,Depreciation and Amortization,- -,13300000,18400000,22000000,26900000,32200000,44400000,72400000,84500000,86800000,84200000,84500000,89600000,104000000,101800000,135600000,138800000,149800000,155000000,162800000,179700000,195100000,203600000,231400000,229800000,230100000,245500000,457800000,499200000,533200000,552100000,577200000,624700000,745100000
15,EBITDA,313900000,121100000,155500000,191300000,89000000,223300000,99800000,67200000,-103800000,-74500000,165700000,190000000,297200000,433100000,534100000,676000000,754100000,790500000,875900000,965100000,1024100000,1130300000,1175800000,1171600000,1266800000,1240600000,1180300000,1463700000,1822700000,1897400000,2064400000,1921700000,3050300000,4081600000
16,EBITDA ratio,1.0000,0.3009,0.3098,0.3168,0.1234,0.2936,0.1144,0.0469,-0.0646,-0.0490,0.1028,0.1119,0.1548,0.1969,0.2130,0.2300,0.2445,0.2376,0.2439,0.2372,0.2273,0.2408,0.2350,0.2114,0.2234,0.2136,0.1963,0.1686,0.1890,0.1817,0.1822,0.1663,0.2182,0.2532
17,Operating Income,313900000,112800000,140400000,173500000,200100000,185500000,109900000,67200000,-95800000,-92000000,127600000,149700000,250100000,367600000,435000000,533700000,598400000,618100000,697100000,777000000,842900000,935900000,978800000,948400000,1023500000,990900000,910400000,1002900000,1312400000,1364200000,1325700000,1330200000,2445400000,3259500000
18,Operating Income ratio,1.0000,0.2803,0.2797,0.2873,0.2774,0.2439,0.1260,0.0469,-0.0596,-0.0606,0.0791,0.0881,0.1303,0.1671,0.1735,0.1816,0.1940,0.1857,0.1941,0.1910,0.1871,0.1994,0.1956,0.1711,0.1805,0.1706,0.1514,0.1155,0.1361,0.1307,0.1170,0.1151,0.1749,0.2022
19,Total Other Income Expenses (Gains),- -,-5000000,-3300000,-4200000,-138000000,5600000,-54500000,-64100000,-92500000,-69300000,-46100000,-44200000,-42500000,-35300000,-2700000,6700000,16900000,22600000,23800000,25300000,-70500000,-51300000,-63200000,-82300000,-79300000,-75300000,-83700000,-270800000,-206900000,-229300000,-57400000,-225300000,-226300000,-132900000
20,Income Before Tax,- -,107800000,137100000,169300000,62100000,191100000,55400000,3100000,-188300000,-161300000,81500000,105500000,207600000,332300000,432300000,540400000,615300000,640700000,720900000,802300000,772400000,884600000,915600000,866100000,944200000,915600000,826700000,732100000,1105500000,1134900000,1268300000,1104900000,2219100000,3126600000
21,Income Before Tax Ratio,- -,0.2679,0.2732,0.2803,0.0861,0.2513,0.0635,0.0022,-0.1171,-0.1062,0.0505,0.0621,0.1082,0.1511,0.1724,0.1838,0.1995,0.1925,0.2008,0.1972,0.1714,0.1884,0.1830,0.1563,0.1665,0.1576,0.1375,0.0843,0.1147,0.1087,0.1119,0.0956,0.1588,0.1939
22,Income Tax expense (Gain),- -,43100000,54500000,65400000,21500000,78400000,25300000,7100000,-34800000,-54400000,12700000,40100000,95500000,149600000,177700000,219400000,252300000,254500000,289300000,325500000,307900000,329000000,344000000,333000000,359400000,340200000,314100000,294100000,372300000,-139100000,384400000,280000000,662100000,747100000
23,Net Income,- -,64700000,82600000,103900000,40600000,112700000,30100000,-12300000,-153500000,-106900000,68800000,65400000,112100000,179500000,254600000,321000000,363000000,386200000,431600000,476800000,464500000,543300000,558200000,519700000,583100000,573800000,511200000,436900000,732100000,1268200000,883700000,823800000,1556100000,2377300000
24,Net Income ratio,- -,0.1608,0.1646,0.1720,0.0563,0.1482,0.0345,-0.0086,-0.0955,-0.0704,0.0427,0.0385,0.0584,0.0816,0.1015,0.1092,0.1177,0.1161,0.1202,0.1172,0.1031,0.1157,0.1116,0.0938,0.1028,0.0988,0.0850,0.0503,0.0759,0.1215,0.0780,0.0713,0.1113,0.1475
25,EPS,1.25,1.63,2.08,2.63,1.07,3.15,0.90,-0.28,-3.13,-2.65,0.50,0.30,0.82,1.29,1.78,2.23,2.60,2.89,3.48,4.08,4.60,4.98,5.45,5.31,6.24,6.70,6.03,4.42,7.14,12.39,8.71,8.42,15.99,24.60
26,EPS Diluted,1.25,1.63,2.08,2.63,1.07,3.15,0.90,-0.28,-3.13,-2.65,0.50,0.30,0.81,1.27,1.77,2.22,2.45,2.71,3.24,3.93,4.60,4.98,5.29,5.11,5.99,6.25,5.91,4.34,7.02,12.21,8.61,8.35,15.88,24.39
27,Weighted Average Shares Outstanding,39600000,39815385,39807229,39580952,37767442,35777778,33444444,44727273,49120000,49169811,50400000,52666667,52459016,139147287,143033708,143946188,139615385,133633218,124022989,116862745,111700000,109100000,102400000,97800000,93500000,85700000,84800000,98800000,102500000,102400000,101400000,97900000,97300000,96700000
28,Weighted Average Shares Outstanding Diluted,39600000,39815385,39807229,39580952,37767442,35777778,34461538,44727273,49120000,56000000,50400000,53818182,56140351,141338583,143841808,144594595,148163265,142509225,133209877,121323155,113200000,109100000,105400000,101800000,97400000,91800000,86400000,100600000,104300000,103900000,102600000,98600000,98000000,97500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920148/000092014811000021/labcorp10k.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014812000039/0000920148-12-000039-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014813000022/0000920148-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014814000021/lh10-k2013.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014815000020/lh10-k2014.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014816000162/0000920148-16-000162-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014817000018/0000920148-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014818000024/0000920148-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014819000033/0000920148-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014820000011/0000920148-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014821000018/0000920148-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014822000015/0000920148-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,26800000,16400000,29300000,23300000,22700000,40300000,48800000,149200000,56400000,123000000,186800000,45400000,51500000,56400000,219700000,148500000,230700000,159300000,466800000,404000000,580000000,716400000,433600000,316700000,426800000,337500000,1320800000,1472700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,17700000,135400000,109900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,26800000,16400000,29300000,23300000,22700000,40300000,48800000,149200000,56400000,123000000,206800000,63100000,186900000,166300000,219700000,148500000,230700000,159300000,466800000,404000000,580000000,716400000,433600000,316700000,426800000,337500000,1320800000,1472700000
34,Net Receivables,- -,- -,- -,- -,- -,- -,205400000,425600000,505600000,330600000,375400000,348000000,368000000,365500000,393000000,432500000,441400000,493400000,541300000,623200000,631600000,574200000,655600000,699800000,718500000,784700000,815700000,1374500000,1518700000,1716900000,1862300000,2025300000,3016600000,2978300000
35,Inventory,- -,- -,- -,- -,- -,- -,20100000,53700000,44300000,36000000,30700000,29100000,31600000,38700000,44800000,47000000,61500000,65400000,84300000,80400000,91000000,90000000,103400000,110800000,121000000,136500000,139500000,191000000,205200000,227600000,237300000,244700000,423200000,401400000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,40700000,104200000,142300000,137700000,90300000,82100000,63300000,71100000,102500000,55400000,30300000,80400000,74500000,67600000,90500000,122900000,154100000,114900000,85500000,106900000,157500000,381100000,321200000,421400000,309000000,373700000,364800000,478100000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,293000000,599900000,721500000,527600000,519100000,499500000,511700000,624500000,596700000,657900000,740000000,702300000,887000000,937500000,1032800000,935600000,1143800000,1084800000,1391800000,1432100000,1692700000,2663000000,2478700000,2682600000,2835400000,2981200000,5125400000,5330500000
38,PP&E,- -,- -,- -,- -,- -,- -,140100000,304800000,282900000,254900000,259100000,273200000,272800000,309300000,351200000,361300000,360000000,381500000,393200000,439200000,496400000,500800000,586900000,578300000,630800000,707400000,786500000,1747400000,1718600000,1748900000,1784700000,2636600000,2729600000,2815400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1484000000,1639500000,1772200000,1897100000,2601300000,2681800000,2901700000,3022800000,3099400000,6227700000,6424400000,7530000000,7360300000,7865000000,7751500000,7958900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,551900000,916700000,891100000,851300000,836200000,803900000,865700000,968500000,1217500000,1857300000,1857400000,2122700000,610200000,613400000,1222600000,1342200000,1674100000,1620700000,1667700000,1572000000,1475800000,3323500000,3400500000,4340800000,3911100000,4034500000,3961100000,3735500000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,551900000,916700000,891100000,851300000,836200000,803900000,865700000,968500000,1217500000,1857300000,1857400000,2122700000,2094200000,2252900000,2994800000,3239300000,4275400000,4302500000,4569400000,4594800000,4575200000,9551200000,9824900000,11870800000,11271400000,11899500000,11712600000,11694400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,71400000,78500000,76800000,78100000,88500000,92600000,58200000,57600000,58400000,60500000,84900000,73500000,60900000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,1900000,1700000,8800000,20600000,21600000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,27700000,15800000,21500000,24700000,26500000,13600000,16700000,27300000,446400000,538400000,643500000,669300000,626400000,738600000,73500000,90700000,103200000,94200000,124900000,143100000,154800000,201900000,165100000,205400000,231600000,435400000,410000000,462600000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,719700000,1237300000,1195500000,1130900000,1121800000,1090700000,1155200000,1305100000,2015100000,2757000000,2860900000,3173500000,3113800000,3430700000,3636700000,3902200000,5044000000,5051800000,5403200000,5533800000,5609100000,11558700000,11768300000,13885400000,13349900000,15065200000,14946300000,15054900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,1012700000,1837200000,1917000000,1658500000,1640900000,1590200000,1666900000,1929600000,2611800000,3414900000,3600900000,3875800000,4000800000,4368200000,4669500000,4837800000,6187800000,6136600000,6795000000,6965900000,7301800000,14221700000,14247000000,16568000000,16185300000,18046400000,20071700000,20385400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,44300000,106200000,65700000,55900000,50200000,43600000,52800000,60200000,79900000,73000000,85300000,116200000,133500000,134200000,159700000,183100000,257800000,257800000,236900000,304500000,282300000,497400000,508400000,663000000,634600000,632300000,638900000,621300000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,39000000,70800000,18700000,- -,72500000,95000000,132000000,- -,400000,523500000,100000,544600000,554400000,589500000,120800000,417200000,361700000,135500000,480000000,111300000,347100000,424900000,549500000,417500000,17900000,630100000,575400000,199000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,24200000,32000000,83800000,61200000,64500000,124800000,156700000,374800000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146100000,176000000,332700000,356400000,451000000,506500000,558500000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,119500000,173500000,168400000,140700000,128700000,107000000,127100000,141000000,148500000,161100000,215400000,227300000,243000000,244200000,266400000,418100000,501000000,404100000,311600000,319900000,346900000,633100000,593700000,632900000,870000000,942400000,1357700000,1404100000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,202800000,350500000,252800000,196600000,251400000,245600000,311900000,201200000,228800000,757600000,300800000,888100000,930900000,967900000,546900000,1018400000,1120500000,797400000,1028500000,735700000,976300000,1701500000,1827600000,2046100000,1878900000,2655800000,3078500000,2782900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,563800000,940100000,1261600000,689600000,575500000,482800000,353700000,502800000,516000000,356300000,892200000,604500000,603000000,1077500000,1600500000,977200000,1826700000,2085500000,2175000000,2875000000,2643500000,5936600000,5236600000,6286800000,5990900000,5789800000,6181000000,6143600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,4000000,3400000,2500000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,20600000,5100000,- -,- -,- -,- -,- -,- -,- -,273400000,321000000,408900000,409200000,506800000,522900000,577700000,602300000,502700000,546000000,563900000,530400000,1245700000,1206400000,948300000,940000000,942800000,905400000,763400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,59500000,129900000,144500000,142300000,132800000,127600000,123900000,140200000,255300000,131700000,87600000,88600000,80600000,90700000,189600000,158400000,151400000,227300000,322700000,296000000,327700000,391000000,470600000,456800000,404100000,1091000000,547100000,422600000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,643900000,1075100000,1406100000,831900000,708300000,610400000,477600000,643000000,771300000,761400000,1300800000,1102000000,1092800000,1675000000,2313000000,1713300000,2580400000,2815500000,3049100000,3738900000,3505000000,7575800000,6913600000,7691900000,7335000000,7823600000,7633500000,7329600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,4400000,2900000,- -,- -,- -,- -,- -,- -,- -,- -,14600000,42400000,60900000,71800000,66100000,58900000,902600000,960700000,924600000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,846700000,1425600000,1658900000,1028500000,959700000,856000000,789500000,844200000,1000100000,1519000000,1601600000,1990100000,2023700000,2642900000,2859900000,2731700000,3700900000,3612900000,4077600000,4474600000,4481300000,9277300000,8741200000,9738000000,9213900000,10479400000,10712000000,10112500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,3500000,7100000,14800000,14900000,15100000,14800000,14400000,13200000,12800000,12500000,12200000,11700000,11300000,10500000,10400000,12000000,12100000,12000000,11700000,9000000,9000000,8500000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,11700000,-600000,-154100000,-284900000,-260500000,-245500000,-168000000,11500000,266100000,587100000,950100000,1336300000,1767900000,2243700000,2600000000,2927900000,3246600000,3387200000,3588500000,3373500000,3786100000,4223000000,4955800000,6224000000,7079800000,7903600000,9402300000,10456400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-93000000,-132200000,-174700000,-204900000,-174700000,-253900000,-254200000,-265200000,-71300000,12300000,74200000,83400000,58700000,120000000,-16700000,61500000,88500000,45500000,69400000,66200000,-10500000,-287000000,-581100000,-335700000,-463100000,-372400000,-161900000,-192000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,247300000,544400000,586900000,1119800000,1116400000,1232300000,1296100000,1332000000,1402100000,1281600000,- -,- -,- -,- -,- -,- -,-881000000,-940900000,-951800000,-958900000,-965500000,996400000,1119000000,929700000,343000000,26800000,110300000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,166000000,411600000,258100000,630000000,681200000,734200000,877400000,1085400000,1611700000,1895900000,1999300000,1885700000,1977100000,1725300000,1688300000,2106100000,2466300000,2503500000,2717400000,2491300000,2820500000,4944400000,5505800000,6830000000,6971400000,7567000000,9359700000,10272900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,1012700000,1837200000,1917000000,1658500000,1640900000,1590200000,1666900000,1929600000,2611800000,3414900000,3600900000,3875800000,4000800000,4368200000,4548200000,4837800000,6167200000,6116400000,6795000000,6965900000,7301800000,14221700000,14247000000,16568000000,16185300000,18046400000,20071700000,20385400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121300000,- -,20600000,20200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,1012700000,1837200000,1917000000,1658500000,1640900000,1590200000,1666900000,1929600000,2611800000,3414900000,3600900000,3875800000,4000800000,4368200000,4669500000,4837800000,6187800000,6136600000,6795000000,6965900000,7301800000,14221700000,14247000000,16568000000,16185300000,18046400000,20071700000,20385400000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920148/000092014811000021/labcorp10k.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014812000039/0000920148-12-000039-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014813000022/0000920148-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014814000021/lh10-k2013.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014815000020/lh10-k2014.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014816000162/0000920148-16-000162-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014817000018/0000920148-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014818000024/0000920148-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014819000033/0000920148-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014820000011/0000920148-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/920148/000092014821000018/0000920148-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/920148/000092014822000015/0000920148-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,64700000,82600000,103900000,40600000,112700000,30100000,-12300000,-153500000,-106900000,68800000,65400000,112100000,179500000,254600000,321000000,363000000,386200000,431600000,476800000,464500000,543300000,558200000,519700000,583100000,573800000,511200000,436900000,732100000,1268200000,883700000,823800000,1556100000,2377300000
74,Depreciation and Amortization,- -,13300000,18400000,22000000,26900000,32200000,44400000,72400000,84500000,86800000,84200000,84500000,89600000,104000000,101800000,135600000,138800000,149800000,155000000,162800000,179700000,195100000,203600000,231400000,229800000,230100000,245500000,457800000,499200000,533200000,552100000,577200000,624700000,745100000
75,Deferred Income Tax,- -,- -,- -,- -,-39800000,19100000,11000000,-21600000,30300000,-43000000,30600000,37000000,-3200000,1600000,28900000,86300000,38900000,18500000,36700000,26500000,69600000,9600000,12900000,2200000,53300000,56200000,27700000,-33400000,54700000,-525800000,22200000,29200000,-47000000,-75900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36200000,36400000,40000000,48900000,40700000,37300000,45700000,102100000,109600000,109700000,91600000,107000000,111700000,153700000
77,Change in Working Capital,- -,-6200000,- -,- -,- -,- -,90200000,159200000,219300000,-137700000,-63300000,-13800000,-54100000,223500000,-55400000,-467600000,538900000,-625000000,141900000,13500000,516300000,-568700000,106100000,264100000,75900000,333100000,20000000,245100000,-310400000,-14600000,320000000,-631100000,1721500000,-263700000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,74000000,-25300000,-37100000,600000,-67500000,-31100000,-71800000,-85500000,-2100000,50200000,-64100000,-913400000,222000000
79,Inventory,- -,- -,- -,- -,- -,- -,-900000,5100000,8000000,8300000,5200000,1600000,-2100000,-3600000,-1500000,-100000,-13700000,100000,-18800000,4800000,-8600000,-4300000,-5800000,-6100000,-6300000,-15300000,-300000,-200000,-9600000,-16400000,-18900000,-21900000,-196600000,2800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,22800000,50100000,-8700000,-30000000,60800000,-21200000,30700000,-8700000,85600000,43300000,-12800000,-5300000,-10200000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,90200000,249400000,468700000,331000000,267700000,253900000,199800000,423300000,367900000,-99700000,439200000,-185800000,-43900000,-30400000,485900000,-82800000,23300000,287400000,363300000,696400000,716400000,961500000,651100000,636500000,956500000,325400000,2046900000,45000000
82,Other Non-Cash Items,- -,- -,11400000,8100000,73100000,-106800000,-161000000,-150700000,-367400000,345200000,4800000,7400000,102300000,-192600000,115000000,489000000,-541500000,644700000,-132900000,30100000,-485400000,646700000,-37200000,-210700000,-141400000,-411800000,-111100000,-226100000,90700000,88700000,-564200000,538600000,-1831700000,173100000
83,Cash Provided by Operating Activities,- -,71800000,112400000,134000000,100800000,57200000,14700000,47000000,-186800000,144400000,125100000,180500000,246700000,316000000,444900000,564300000,538100000,574200000,632300000,709700000,780900000,862400000,883600000,855600000,841400000,818700000,739000000,982400000,1175900000,1459400000,1305400000,1444700000,2135300000,3109600000
84,CAPEX,- -,-23700000,-14900000,-26600000,-37200000,-33600000,-48900000,-75400000,-54100000,-34500000,-82400000,-69400000,-55500000,-88100000,-74300000,-83600000,-95000000,-93600000,-116500000,-143300000,-157500000,-114700000,-126500000,-145700000,-176300000,-202200000,-203500000,-255800000,-278900000,-315400000,-379800000,-400200000,-381700000,-460400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94900000,-141100000,-261900000,-647500000,-40000000,-342600000,-40000000,-225100000,-348900000,-215900000,-1185800000,-138300000,-361100000,-166000000,-179600000,-3747700000,-561100000,-1918800000,-136400000,-876000000,-267600000,-496900000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000000,-987800000,-1589700000,-1777900000,-72800000,-4300000,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,-27500000,-40100000,-27800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50400000,35000000,1129300000,1472000000,1803400000,182700000,- -,- -,- -,- -,7500000,31600000,8000000,13500000,- -,18300000,12900000,4100000,13200000
