,https://roic.ai/company/HUIZ,2017,2018,2019,2020,2021
74,Depreciation and Amortization,3562000,3082000,3779000,13516000,- -
75,Deferred Income Tax,239000,190000,20000,-466000,- -
76,Stock Based Compensation,811000,967000,94958000,35880000,- -
77,Change in Working Capital,8774000,33155000,4383000,98849000,- -
78,Accounts Receivable,-9639000,-38120000,-74508000,-52824000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,3435000,57995000,52163000,103091000,- -
81,Other Working Capital,- -,-3831000,-10332000,- -,- -
82,Other Non-Cash Items,-1562000,26307000,-18000,8179000,- -
83,Cash Provided by Operating Activities,-85349000,66853000,118024000,137666000,- -
84,CAPEX,-2642000,-1139000,-6035000,-8196000,- -
85,Acquisitions Net,- -,- -,- -,-569000,- -
86,Purchases of Investments,-6776000,-2500000,-2000000,-22450000,- -
87,Sales/Maturities of Investments,66938000,- -,- -,- -,- -
88,Other Investing Activites,247000,85000,-4927000,-8059000,- -
89,Cash Used for Investing Activites,57767000,-3554000,-6927000,-31078000,- -
90,Debt Repayment,-311000,-13912000,-35285000,-61266000,- -
91,Common Stock Issued,- -,- -,- -,340479000,- -
92,Common Stock Repurchased,- -,- -,- -,-2063000,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,23299000,62484000,21206000,105903000,- -
95,Cash Used/Provided by Financing Activities,22988000,48572000,-14079000,383053000,- -
96,Effect of Forex Changes on Cash,-234000,120000,38000,-10020000,- -
97,Net Change In Cash,-4828000,111991000,97056000,479621000,- -
98,Cash at the End of Period,40280000,152271000,249327000,728948000,- -
99,Cash at the Beginning of Period,45108000,40280000,152271000,249327000,- -
100,Free Cash Flow,-87991000,65714000,111989000,129470000,- -
101,SEC Link,- -,- -,- -,- -,undefined
102,Forex Rate,0.1537,0.1453,0.1436,0.1532,0.1572
