,https://roic.ai/company/OPNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550474,51283,-177235,-425679,24270
23,Net Income,-33605,-17924,28444,-2016710,-9435787,-12421188,-4655493,-11482818,-7037873,-7814256,6580613,-21195316,11593050,-1861449,3008790
24,Net Income ratio,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.5406,-0.7895,0.3568,-1.5159,0.2861,-0.0628,0.0630
25,EPS,-0.05,-0.01,0.02,-2.00,-14.00,-12.00,-3.00,-7.00,-3.88,-4.09,3.27,-7.10,2.88,-0.44,0.67
26,EPS Diluted,-0.05,-0.01,0.02,-2.00,-14.00,-12.00,-3.00,-7.00,-3.88,-4.09,2.94,-7.10,2.17,-0.44,0.50
27,Weighted Average Shares Outstanding,1305000,1305000,1305000,870981,671637,1038812,1432434,1747881,1813069,1910489,2014540,2985335,4018464,4249832,4462236
28,Weighted Average Shares Outstanding Diluted,1305000,1305000,1305000,870981,795929,1038812,1432434,1747881,1813069,1910489,2235851,2985335,5342378,4249832,6065044
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1385508/000116552708000596/0001165527-08-000596-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000115752309006933/0001157523-09-006933-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385508/000114420414063064/0001144204-14-063064-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000114420415060795/0001144204-15-060795-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000114420416130283/0001144204-16-130283-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1385508/000138550820000039/0001385508-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000138550821000035/0001385508-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1385508/000138550822000038/0001385508-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,270,206,290,2300,51789,20423,598623,254770,434217,1481393,6872555,24613638,30980473,48251336,37853947
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,270,206,290,2300,51789,20423,598623,254770,434217,1481393,6872555,24613638,30980473,48251336,37853947
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,312498,3750000,4489317,7218367,8910975,13327364
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,21250,24079,33143,62404,164887,267623,1055816,1936842,17977653
37,Total Current Assets,270,206,290,2300,51789,20423,619873,278849,467360,1856295,10787442,29370578,39254656,59099153,69158964
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,6521,2753,- -,1011480,449645,1077674
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,19825,25926,24553,23180,21808,20435,19062,17690,15746,14373,13000,- -
41,Intangible Assets,- -,- -,- -,19825,25926,24553,23180,21808,20435,19062,17690,15746,14373,13000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15014750
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1051234,-14823590
45,Total Non-Current Assets,- -,- -,- -,19825,25926,24553,23180,21808,20435,25583,20443,15746,1025853,1513879,1268834
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,270,206,290,22125,77715,44976,643053,300657,487795,1881878,10807885,29386324,40280509,60613032,70427798
48,Accounts Payable,- -,14715,- -,203908,104136,55497,40767,200604,315460,140584,2211971,1132960,1316773,2966479,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,223693,25000,- -,- -,165000,- -,- -,- -,282421,16069085
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,253619,1212149,918272,354756,16618
52,Other Current Liabilities,10500,13645,- -,455504,4127,384504,817302,1766651,3259060,3681250,1701359,7481949,3374774,2816588,-9240145
53,Total Current Liabilities,10500,28360,- -,659412,108263,663694,883069,1967255,3574520,4236834,4166949,9827058,5609819,6420244,6845558
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18700546,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,750000,1411470,5300000,2350000,2306527,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,307969,- -,- -,- -,- -,- -,- -,2700000,254664,- -,16742432
58,Total Non-Current Liabilities,- -,- -,- -,- -,307969,- -,750000,1411470,5300000,2350000,2306527,2700000,254664,18700546,16742432
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,771595,282421,- -
61,Total Liabilities,10500,28360,- -,659412,416232,663694,1633069,3378725,8874520,6586834,6473476,12527058,5864483,25120790,23587990
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6525,6525,6525,61508,76976,126083,164700,178206,1842,1992,2026,3846,4187,4259,- -
64,Retained Earnings,-65730,-83654,-55210,-2071920,-11507707,-23928895,-28584388,-46333213,-53371086,-61185342,-54604729,-74420666,-62827616,-64689065,-61680275
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1016,- -,- -,- -,-26931,-54815
66,Other Total Stockholders Equity,- -,48975,48975,1373125,- -,- -,- -,43076939,44982519,56479410,- -,- -,97239455,100203979,108574898
67,Total Stockholders Equity,-10230,-28154,290,-637287,-338517,-618718,-990016,-3078068,-8386725,-4704956,4334409,16859266,34416026,35492242,46839808
68,Total Liabilities And Stockholders Equity,270,206,- -,22125,77715,44976,643053,300657,487795,1881878,10807885,29386324,40280509,60613032,70427798
69,Minority Interest,- -,- -,290,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,270,206,290,22125,77715,44976,643053,300657,487795,1881878,10807885,29386324,40280509,60613032,70427798
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1385508/000116552708000596/0001165527-08-000596-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000115752309006933/0001157523-09-006933-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385508/000114420414063064/0001144204-14-063064-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000114420415060795/0001144204-15-060795-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000114420416130283/0001144204-16-130283-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1385508/000138550820000039/0001385508-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000138550821000035/0001385508-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1385508/000138550822000038/0001385508-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-33605,-17924,28444,-2016710,-9435787,-12421188,-4655493,-11482818,-7037873,-7814256,6580613,-21195316,11593050,-1861449,3008790
74,Depreciation and Amortization,- -,- -,- -,508,1016,1373,1373,1372,1373,2389,5140,2556,237789,608473,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,6649420,11238058,2349364,9003582,1417551,10310546,1506499,5760432,3197384,2279496,- -
77,Change in Working Capital,53,-17924,28444,-657402,600638,-586797,380075,-1425210,-1418754,726621,9001032,12923027,14101317,19034072,9634497
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-312498,-3437502,7207359,-2729050,-1692607,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-13645,203908,-99772,-48639,-14730,159837,114856,-174876,2071387,-1924032,361223,1636326,- -
81,Other Working Capital,-10230,-28154,290,-657112,-56474,-643271,-263196,-1688406,-3107160,-2380539,6620493,19543520,33644837,52678909,62313406
82,Other Non-Cash Items,- -,35784,-56804,2295027,-771200,671816,1177381,2897751,2798620,-4140587,-11537122,1986329,-25065650,-22089365,-12643287
83,Cash Provided by Operating Activities,-33552,-64,84,-378577,-2955913,-1096738,-747300,-1005323,-4239083,-915287,5556162,-522972,4063890,-2028773,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7537,- -,- -,-302475,-50887,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7537,- -,- -,-302475,-50887,- -
90,Debt Repayment,- -,- -,- -,- -,-264618,-171557,- -,- -,-220000,-281191,-165000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,3078020,802929,55000,- -,- -,- -,- -,17153126,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3000,- -,- -,380587,192000,434000,1270500,661470,4638530,2251191,- -,-132419,2605420,19369159,- -
95,Cash Used/Provided by Financing Activities,3000,- -,- -,380587,3005402,1065372,1325500,661470,4418530,1970000,-165000,17020707,2605420,19369159,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18636,- -
97,Net Change In Cash,-30552,-64,84,2010,49489,-31366,578200,-343853,179447,1047176,5391162,16497735,6366835,17270863,- -
98,Cash at the End of Period,270,206,290,2300,51789,20423,598623,254770,434217,1481393,6872555,24613638,30980473,48251336,- -
99,Cash at the Beginning of Period,30822,270,206,290,2300,51789,20423,598623,254770,434217,1481393,8115903,24613638,30980473,48251336
100,Free Cash Flow,-33552,-64,84,-378577,-2955913,-1096738,-747300,-1005323,-4239083,-922824,5556162,-522972,3761415,-2079660,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1385508/000116552708000596/0001165527-08-000596-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000115752309006933/0001157523-09-006933-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1385508/000114420414063064/0001144204-14-063064-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000114420415060795/0001144204-15-060795-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000114420416130283/0001144204-16-130283-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1385508/000138550820000039/0001385508-20-000039-index.html,https://www.sec.gov/Archives/edgar/data/1385508/000138550821000035/0001385508-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1385508/000138550822000038/0001385508-22-000038-index.htm
102,false,,,,,,,,,,,,,,,
