,https://roic.ai/company/BBIO,2017,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,8000000,18472000,22366000
61,Total Liabilities,153562000,566566000,157946000,597332000,1879794000
62,Preferred Stock,833000,122000,- -,- -,- -
63,Common Stock,3411000,6594000,124000,125000,- -
64,Retained Earnings,-61427000,-170580000,-440031000,-888755000,- -
65,Other Comprehensive Income/Loss,-27000,-231000,254000,192000,-132000
66,Other Total Stockholders Equity,-806000,109000,848107000,946344000,- -
67,Total Stockholders Equity,-58016000,-163986000,408454000,57906000,-870414000
68,Total Liabilities And Stockholders Equity,95546000,402580000,566400000,655238000,1009380000
69,Minority Interest,2498000,62361000,65279000,48350000,3412000
70,Total Liabilities & Equity,98044000,464941000,631679000,703588000,1012792000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743881/000156459020008260/0001564590-20-008260-index.htm,https://www.sec.gov/Archives/edgar/data/1743881/000156459021008969/0001564590-21-008969-index.htm,https://www.sec.gov/Archives/edgar/data/1743881/000095017022002030/0000950170-22-002030-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-30565000,-130749000,-260587000,-448724000,-562539000
74,Depreciation and Amortization,260000,245000,- -,3088000,5843000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1841000,6067000,21374000,58459000,99505000
77,Change in Working Capital,1243000,324065000,95591000,38939000,206613000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,1577000,16700000,-4657000,-735000,2833000
81,Other Working Capital,88581000,412646000,508237000,547176000,753789000
82,Other Non-Cash Items,-13267000,-336271000,-109965000,-51476000,-247356000
83,Cash Provided by Operating Activities,-40488000,-136643000,-253587000,-399714000,-497934000
84,CAPEX,-464000,-18178000,-5138000,-7518000,-13246000
85,Acquisitions Net,- -,-2858000,- -,- -,- -
86,Purchases of Investments,- -,- -,-212899000,-287852000,-589892000
87,Sales/Maturities of Investments,- -,- -,- -,242230000,442891000
88,Other Investing Activites,- -,-16000000,-1716000,147000,-40579000
89,Cash Used for Investing Activites,-464000,-21036000,-217253000,-52993000,-200826000
90,Debt Repayment,- -,-1097000,- -,- -,- -
91,Common Stock Issued,- -,95536000,366237000,- -,3821000
92,Common Stock Repurchased,- -,- -,- -,-75714000,-200000000
93,Dividends Paid,-1151000,- -,-997000,- -,- -
94,Other Financing Activites,114134000,407109000,33552000,522903000,932625000
95,Cash Used/Provided by Financing Activities,112983000,501548000,398792000,447189000,736446000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,72031000,343869000,-72048000,-5518000,37686000
98,Cash at the End of Period,92376000,436245000,364197000,358679000,396365000
99,Cash at the Beginning of Period,20345000,92376000,436245000,364197000,358679000
100,Free Cash Flow,-40952000,-154821000,-258725000,-407232000,-511180000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1743881/000156459020008260/0001564590-20-008260-index.htm,https://www.sec.gov/Archives/edgar/data/1743881/000156459021008969/0001564590-21-008969-index.htm,https://www.sec.gov/Archives/edgar/data/1743881/000095017022002030/0000950170-22-002030-index.htm
102,false,,,,,
