,https://roic.ai/company/CTMX,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-732000,-1663000,-130562000,45859000,-121266000,5926000,79701000,-18718000,22489000
90,Debt Repayment,-724000,-1256000,-3067000,78000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,81777000,- -,19957000,134596000,- -,11288000,107712000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3421000,26810000,74693000,918000,3839000,5028000,1627000,5605000,2501000
95,Cash Used/Provided by Financing Activities,2697000,25554000,153403000,996000,23796000,139624000,1627000,16893000,110213000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-6043000,55693000,-4574000,44823000,72903000,70029000,-59152000,3434000,13671000
98,Cash at the End of Period,8703000,64396000,59822000,104645000,177548000,248494000,189342000,192776000,206447000
99,Cash at the Beginning of Period,14746000,8703000,64396000,59822000,104645000,178465000,248494000,189342000,192776000
100,Free Cash Flow,-8740000,30139000,-29009000,-4208000,168814000,-79309000,-143977000,2950000,-120640000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501989/000156459016014091/0001564590-16-014091-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459017003229/0001564590-17-003229-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459018004727/0001564590-18-004727-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459019004890/0001564590-19-004890-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459020007395/0001564590-20-007395-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459021008081/0001564590-21-008081-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000095017022002519/0000950170-22-002519-index.htm
102,false,,,,,,,,,
