,https://roic.ai/company/CPHC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.0833,- -,0.0632,0.0549,0.0729,0.0640,0.0776,0.1067,0.1197,0.1350,0.1481,0.1313,0.1306,0.1227,0.0647,0.0596,0.0195,0.0726,0.0823,0.0770,0.1287,0.1323,0.1853,0.1247,0.1737,0.1121,0.0772,0.3086
17,Operating Income,-1000000,-600000,300000,200000,500000,600000,1494437,3086827,3801864,5259060,6767245,5445949,5179534,4156238,- -,225187,-1277119,1046901,1959774,1733809,4099925,4613867,7141232,4521157,7646929,3635764,625797,17781487
18,Operating Income ratio,-0.1190,-0.0339,0.0172,0.0110,0.0260,0.0296,0.0460,0.0782,0.0912,0.1099,0.1233,0.0986,0.0928,0.0786,- -,0.0057,-0.0320,0.0258,0.0431,0.0371,0.0846,0.0883,0.1361,0.0794,0.1293,0.0614,0.0189,0.2944
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-100000,-12228,56628,28940,39721,33479,119373,279208,329203,107773,35583,12913,5848,6702,2684,2407,2804,-21252,49624,61515,326773,-814628,-1983934
20,Income Before Tax,- -,- -,- -,- -,- -,500000,1482209,3143455,3830804,5298781,6800724,5565322,5458742,4485441,822880,260770,-1264206,1052749,1966476,1736493,4102332,4616671,7119980,4570781,7708444,3962537,-188831,15797553
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.0246,0.0457,0.0796,0.0919,0.1107,0.1239,0.1008,0.0978,0.0848,0.0179,0.0066,-0.0317,0.0259,0.0433,0.0372,0.0846,0.0883,0.1357,0.0803,0.1303,0.0669,-0.0057,0.2616
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100000,643300,1326675,1554209,2428651,2938416,2511843,2333699,1864701,384700,199800,-272000,655082,950112,719781,1691177,1889649,2924000,480000,1990000,1244263,-1250845,3999400
23,Net Income,-1300000,-900000,100000,100000,400000,400000,838909,1816780,2276595,2870130,3862308,3053479,3125043,2620740,438180,60970,-992206,397667,1016364,1016712,2411155,2727022,4195980,4090781,5718444,2718274,1062014,11798153
24,Net Income ratio,-0.1548,-0.0508,0.0057,0.0055,0.0208,0.0197,0.0258,0.0460,0.0546,0.0600,0.0704,0.0553,0.0560,0.0496,0.0095,0.0015,-0.0249,0.0098,0.0224,0.0218,0.0497,0.0522,0.0800,0.0718,0.0967,0.0459,0.0320,0.1953
25,EPS,-0.57,-0.30,0.02,0.05,0.14,0.14,0.24,0.52,0.64,0.78,1.02,0.78,0.78,0.65,0.11,0.02,-0.25,0.10,0.25,0.24,0.58,0.65,0.98,0.93,1.28,0.59,0.23,2.51
26,EPS Diluted,-0.57,-0.30,0.02,0.04,0.14,0.13,0.23,0.49,0.57,0.70,0.92,0.73,0.74,0.62,0.11,0.02,-0.25,0.10,0.24,0.24,0.57,0.64,0.97,0.93,1.26,0.59,0.23,2.51
27,Weighted Average Shares Outstanding,2280702,3000000,3333333,2976961,3005164,3178426,3449666,3496781,3581546,3675919,3775990,3903844,4000505,4062866,3983359,3958294,4038103,4084762,4130738,4164437,4180547,4227862,4287142,4379346,4481667,4594118,4697021,4697021
28,Weighted Average Shares Outstanding Diluted,2280702,3000000,3333333,2976961,3005164,3178426,3647430,3707714,3994026,4100186,4198161,4182848,4223031,4227000,3983359,3983657,4038103,4133339,4165401,4189489,4194953,4240580,4310513,4402820,4534936,4607809,4697791,4697021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1672909/000089710117000381/0000897101-17-000381-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000114420418017176/0001144204-18-017176-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000167290919000006/0001672909-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000167290920000007/0001672909-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000143774921006993/0001437749-21-006993-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000143774922006804/0001437749-22-006804-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,400000,300000,400000,400000,1400000,1198849,3088844,3408869,2523560,4178544,4914366,5745556,7050389,3745731,4741197,5451462,8268779,9384983,8739209,8761925,8274112,6298807,8888162,4895359,355399,4,12
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78231,80688,312995,365894,- -,201669,203195,203902,204525,205192,205649,206005,206545,103886,8,- -
33,Cash and Short-Term Investments,300000,400000,300000,400000,400000,1400000,1198849,3088844,3408869,2523560,4178544,4914366,5823787,7131077,4058726,5107091,5451462,8470448,9588178,8943111,8966450,8479304,6504456,9094167,5101904,459285,12,12
34,Net Receivables,100000,200000,200000,200000,200000,200000,306852,556192,305581,369976,750612,696857,559146,965376,1042012,606524,825453,584539,433015,671998,318502,510921,2869277,2326943,1722396,302037,4262876,0
35,Inventory,- -,100000,100000,100000,100000,100000,106381,113324,125585,135298,134653,158470,159918,169801,213682,178512,176211,183122,212072,244281,231545,253334,247786,262989,297209,390118,218791,0
36,Other Current Assets,100000,100000,100000,100000,100000,100000,291925,345845,638863,2155697,2720480,2976358,2884236,2781882,1977351,1711578,2227040,2143767,2519888,2096856,1876903,1959763,2457006,3726025,5683664,2810448,4970342,12
37,Total Current Assets,500000,800000,700000,800000,800000,1800000,1904007,4104205,4478898,5184531,7784289,8746051,9427087,11048136,7291771,7603705,8680166,11381876,12753153,11956246,11393400,11203322,12078525,15410124,12805173,3961888,9452021,24
38,PP&E,9100000,9100000,8600000,9100000,8400000,8100000,11334404,12439413,14551014,17112933,20438532,22694438,24903946,25037636,24931900,23849672,23948330,22776115,22119959,25129986,28075879,34117760,35378917,36962188,38131052,43908534,38357678,0
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000,- -,26400,- -,- -,- -,- -,- -,- -,2995010,2992633,7515108,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28850,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8
44,Other Non-Current Assets,- -,100000,- -,-100000,200000,300000,79100,- -,- -,- -,- -,- -,20000,20000,20000,- -,20000,- -,26400,26400,26400,20000,2167512,2165012,7494826,14550027,13479980,27
45,Total Non-Current Assets,9100000,9200000,8600000,9000000,8600000,8400000,11413504,12439413,14551014,17112933,20438532,22694438,24923946,25057636,24951900,24148522,23968330,22802515,22146359,25156386,28102279,34137760,37546429,39127200,48620888,61451194,59352766,34
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9600000,10000000,9300000,9800000,9400000,10200000,13317511,16543618,19029912,22297464,28222821,31440489,34351033,36105772,32243671,31752227,32648496,34184391,34899512,37112632,39495679,45341082,49624954,54537324,61426061,65413082,68804787,59
48,Accounts Payable,400000,700000,600000,700000,800000,800000,930597,1918250,1535824,1584145,2129405,1882923,2032953,2209639,1900504,2061658,2252527,2432818,2785534,3502871,2174466,2710661,3159712,2854305,3587328,3495238,2953586,2
49,Short-Term Debt,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585563,- -,- -,23216,54276,48020,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513816,511136,562349,703252,649187,650797,1042295,711482,932030,940392,1001200,1140618,804817,1
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,905030,979358,1482130,435866,1
52,Other Current Liabilities,2600000,3600000,2900000,3000000,1400000,900000,2624271,2770158,3586849,3887222,4381766,4606375,4997608,4981644,3487334,2388567,2898254,2969042,3734952,3151232,3853907,4012728,5557695,7058892,6033537,6444188,6657609,7
53,Total Current Liabilities,3000000,4300000,3500000,3700000,2800000,1700000,3554868,4688408,5122673,5471367,6511171,6489298,7030561,7191283,5387838,4450225,5150781,5401860,6520486,6654103,6028373,7308952,8717407,10818227,10623439,11475832,10095081,10
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,716000,593100,460900,336400,174400,- -,951900,1309000,1254300,1726100,1972400,2341900,4357000,3002000,3970000,4404300,7347700,8
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239788,467380,499734,2592731,- -,- -,98272,116840,68821,-16
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,716000,593100,460900,336400,174400,- -,951900,1309000,1494088,2193480,2472134,4934631,4357000,3002000,4068272,4521140,7416521,-1
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3178294,- -,- -,121488,171116,116841,- -
61,Total Liabilities,3000000,4300000,3500000,3700000,2800000,1700000,3554868,4688408,5122673,5471367,7227171,7082398,7491461,7527683,5562238,4450225,6102681,6710860,8014574,8847583,8500507,12243583,13074407,13820227,14691711,15996972,17511602,9
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,34738,35293,36385,37144,38357,39599,40508,40841,39380,40217,40537,41017,41477,41779,42013,42383,43252,44145,45277,46445,47480,0
64,Retained Earnings,-1300000,-2200000,-2100000,-1900000,-1500000,-1100000,-237112,1579668,2959869,5278303,8193482,10273244,11904736,13141470,11552615,11613585,10621379,11019046,9940216,10952655,13363810,15035458,17727225,20807679,25268187,26635732,27614087,39
65,Other Comprehensive Income/Loss,-400000,-1200000,-2000000,-2800000,-3700000,-4500000,-5361567,-6425974,-7573572,-8725300,-9869193,-11428154,-13082181,-14593197,-16616600,-18623780,-19006314,-20364054,-22021944,-22314286,-24010738,-25538147,-27642027,-29670916,-31191739,-32719612,- -,- -
66,Other Total Stockholders Equity,8300000,9100000,9900000,10800000,11800000,14100000,15326584,16666223,18484557,20235950,22633004,25473402,27996509,29988975,31706038,34271980,34890213,36777522,38925189,39584901,41600087,43557805,46422097,49536189,52612625,55453545,23631618,25
67,Total Stockholders Equity,6600000,5700000,5800000,6100000,6600000,8500000,9762643,11855210,13907239,16826097,20995650,24358091,26859572,28578089,26681433,27302002,26545815,27473531,26884938,28265049,30995172,33097499,36550547,40717097,46734350,49416110,51293185,64
68,Total Liabilities And Stockholders Equity,9600000,10000000,9300000,9800000,9400000,10200000,13317511,16543618,19029912,22297464,28222821,31440489,34351033,36105772,32243671,31752227,32648496,34184391,34899512,37112632,39495679,45341082,49624954,54537324,61426061,65413082,68804787,73
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15
70,Total Liabilities & Equity,9600000,10000000,9300000,9800000,9400000,10200000,13317511,16543618,19029912,22297464,28222821,31440489,34351033,36105772,32243671,31752227,32648496,34184391,34899512,37112632,39495679,45341082,49624954,54537324,61426061,65413082,68804787,59
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1672909/000089710117000381/0000897101-17-000381-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000114420418017176/0001144204-18-017176-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000167290919000006/0001672909-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000167290920000007/0001672909-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000143774921006993/0001437749-21-006993-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000143774922006804/0001437749-22-006804-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1300000,-900000,100000,100000,400000,400000,838909,1816780,2276595,2870130,3862308,3053479,3125043,2620740,438180,60970,-992206,397667,1016364,1016712,2411155,2727022,4195980,4090781,5718444,2718274,1062014,11798153
74,Depreciation and Amortization,400000,700000,800000,900000,900000,800000,909345,1064407,1152298,1158458,1311124,1672827,1834012,1999006,2141023,2094174,2043758,1894277,1772760,1861702,2137778,2297613,2547772,2529437,2563579,2679728,2748514,2844647
75,Deferred Income Tax,- -,- -,- -,- -,-200000,-100000,251700,247100,178000,43000,224000,-223300,13199,-81787,- -,-213550,956850,362300,-197058,565494,305805,379440,2095091,-1355000,968000,434300,2943400,323315
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145541,138966,187959,233541,212459,270074,217094,284628,685307,839126,870726,923605,840264,548282
77,Change in Working Capital,300000,-1000000,700000,-100000,900000,2100000,-1750861,1066658,-59572,356939,1559954,983635,139773,1460327,-1952920,1249547,375905,2450631,252651,-930524,62884,-1470657,-533252,1230779,-2410163,-9695678,6870884,643075
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274206,70384,10878,-145853,127727,73469,146297,36813,-280945,171716,24346,-60294,70782,-157049
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-914683,-63773,-9893,-3806,617605,63360,-532739,666978,655955,2363,-133802,-1364430,-886060,-901150
81,Other Working Capital,-2500000,-3500000,-2800000,-2900000,-2000000,100000,-1650861,-584203,-643775,-286836,1273118,2256753,2396526,3856853,1903933,3153480,3529385,5980016,6232667,5302143,5365027,3894370,3361118,4591897,2181734,-7513944,-643060,15
82,Other Non-Cash Items,200000,800000,-600000,300000,-600000,-2200000,3312244,-318646,355989,355296,-371124,-529805,861278,-1390261,876714,-1399202,411799,-1896975,1000297,760461,-544605,211386,-4049413,-249002,-1377669,9677592,-12788368,-2659204
83,Cash Provided by Operating Activities,-400000,-400000,1000000,1200000,1400000,1000000,3561337,3876299,3903310,4783823,6586262,4956836,5973305,4608025,1648538,1930905,2984065,3441441,4057473,3543919,4590111,4429432,4941485,7086121,6332917,6737821,1676708,13498268
84,CAPEX,-300000,-800000,-400000,-1300000,-300000,-500000,-4159318,-2169416,-3428488,-3720377,-4636723,-3813469,-4071716,-2144144,-2103977,-1037279,-3035613,-720363,-1122328,-4311011,-5657743,-4601792,-4431418,-3781755,-5501468,-15165716,-1536948,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3231,-2457,-232307,-645015,-28493,-231099,-1526,-707,-623,-667,-457,-356,-540,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342116,644387,29430,- -,- -,- -,- -,- -,- -,- -,102659,103886,- -
88,Other Investing Activites,-1900000,- -,100000,- -,100000,- -,- -,- -,422663,- -,- -,-206783,74480,7730,4236,- -,2600,1400,- -,28700,989097,594907,614776,- -,-1126481,2026158,675110,-2501688
89,Cash Used for Investing Activites,-2200000,-800000,-300000,-1300000,-200000,-500000,-4159318,-2169416,-3005825,-3720377,-4636723,-4020252,-4000467,-2138871,-2332048,-1340178,-2417119,-920632,-1123854,-4283018,-4669269,-4007552,-3817099,-3782111,-6628489,-13036899,-757952,-2501688
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1887349,- -,-5891,-5957736,-5890916,-25749
91,Common Stock Issued,7900000,- -,- -,100000,100000,1200000,390734,232927,512828,433924,666938,772955,532956,338934,250324,404739,143319,235208,260789,102727,93979,141621,155450,246971,686019,383496,156446,183864
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14364,- -,-694955,-544110,-1886034,- -,- -,- -,-38435,-7509,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-896394,-551696,-947129,-973717,-1010796,-1027696,-1007173,- -,- -,- -,-2072227,- -,- -,-1055374,-1287801,-961626,-1206111,-1281180,-328587,-1706
94,Other Financing Activites,-4900000,1300000,-800000,- -,-1300000,-800000,56044,-49815,-193894,-76152,- -,- -,106147,68551,21735,- -,- -,61300,32458,-1893,7895,4060,-79991,- -,- -,5877598,5688915,-25948
95,Cash Used/Provided by Financing Activities,3000000,1300000,-800000,100000,-1200000,400000,446778,183112,-577460,-193924,-294555,-200762,-1066648,-1164321,-2621148,404739,143319,296508,-1817415,93325,101874,-909693,-3099691,-714655,-525983,-977822,-374142,130461
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3000000,1300000,-800000,100000,-1200000,1000000,-151203,1889995,320025,869522,1654984,735822,906190,1304833,-3304658,995466,710265,2817317,1116204,-645774,22716,-487813,-1975305,2589355,-821555,-7276900,544614,11127041
98,Cash at the End of Period,- -,- -,- -,- -,- -,1400000,1198849,3088844,3408869,2523560,4178544,4914366,5745556,7050389,3745731,4741197,5451462,8268779,9384983,8739209,8761925,8274112,6298807,8888162,11203998,3927098,4471712,15598753
99,Cash at the Beginning of Period,- -,300000,400000,300000,400000,400000,1350052,1198849,3088844,1654038,2523560,4178544,4839366,5745556,7050389,3745731,4741197,5451462,8268779,9384983,8739209,8761925,8274112,6298807,12025553,11203998,3927098,4471712
100,Free Cash Flow,-700000,-1200000,600000,-100000,1100000,500000,-597981,1706883,474822,1063446,1949539,1143367,1901589,2463881,-455439,893626,-51548,2721078,2935145,-767092,-1067632,-172360,510067,3304366,831449,-8427895,139760,13498268
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1672909/000089710117000381/0000897101-17-000381-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000114420418017176/0001144204-18-017176-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000167290919000006/0001672909-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000167290920000007/0001672909-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000143774921006993/0001437749-21-006993-index.htm,https://www.sec.gov/Archives/edgar/data/1672909/000143774922006804/0001437749-22-006804-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
