,https://roic.ai/company/VRDN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,112534,209348,5119000,10832000,3341000,47441000,32606000,24846000,45897000,42299000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,29875000,1999000,81742000,154666000
33,Cash and Short-Term Investments,112534,209348,5119000,10832000,3341000,47441000,62481000,26845000,127639000,196965000
34,Net Receivables,1195599,994010,1088000,394000,524000,1456000,24000,108000,- -,451000
35,Inventory,169539,356641,179000,187000,64000,- -,- -,- -,- -,- -
36,Other Current Assets,185836,494549,399000,321000,330000,2971000,2865000,2786000,1972000,2747000
37,Total Current Assets,1663508,2054548,6785000,11734000,4259000,51868000,65370000,29739000,129611000,200163000
38,PP&E,1071572,928026,1214000,1153000,- -,563000,727000,523000,787000,2055000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,45582,690052,90000,15000,- -,50000,50000,- -,857000,1491000
45,Total Non-Current Assets,1117154,1618078,1304000,1168000,- -,613000,777000,523000,1644000,3546000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2780662,3672626,8089000,12902000,4259000,52481000,66147000,30262000,131255000,203709000
48,Accounts Payable,26665,410296,255000,242000,159000,906000,571000,1096000,670000,2329000
49,Short-Term Debt,22587329,697064,80000,1105000,1045000,- -,2294000,3976000,455000,520000
50,Tax Payable,- -,76409,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,301000,289000
52,Other Current Liabilities,988189,279420,1654000,1121000,3381000,2991000,3868000,5108000,9248000,10498000
53,Total Current Liabilities,23602183,1386780,1989000,2468000,4585000,3897000,6733000,10180000,10674000,13636000
54,Long-Term Debt,42046,- -,- -,- -,- -,9922000,8004000,4328000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,578799,259345,109000,24000,- -,152000,66000,- -,544000,2357000
58,Total Non-Current Liabilities,620845,259345,109000,24000,- -,10074000,8070000,4328000,544000,2357000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,80000,- -,- -,- -,- -,- -,455000,520000
61,Total Liabilities,24223028,1646125,2098000,2492000,4585000,13971000,14803000,14508000,11218000,15993000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,180801000,133833000
63,Common Stock,- -,27914,38000,106000,7000,226000,308000,349000,42000,239000
64,Retained Earnings,-21442366,-25887035,-6640000,-17968000,-30642000,-93593000,-126296000,-168169000,-278887000,-358300000
65,Other Comprehensive Income/Loss,-262739,-411054,-555000,-739000,- -,-2835000,-3000,- -,-8000,-157000
66,Other Total Stockholders Equity,262739,28296676,13148000,29011000,30309000,134712000,177335000,183574000,218089000,412101000
67,Total Stockholders Equity,-21442366,2026501,5991000,10410000,-326000,38510000,51344000,15754000,120037000,187716000
68,Total Liabilities And Stockholders Equity,2780662,3672626,8089000,12902000,4259000,52481000,66147000,30262000,131255000,203709000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2780662,3672626,8089000,12902000,4259000,52481000,66147000,30262000,131255000,203709000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590750/000117184316011862/0001171843-16-011862-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000117184317001747/0001171843-17-001747-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000119312518125053/0001193125-18-125053-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075019000013/0001590750-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075020000021/0001590750-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075021000029/0001590750-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075022000004/0001590750-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7211285,-2159669,-7890000,-11328000,-12674000,-26512000,-32703000,-41873000,-110715000,-79413000
74,Depreciation and Amortization,144289,148315,144000,184000,189000,308000,281000,288000,239000,120000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,7955,- -,4298000,3015000,2111000,2409000,3679000,3970000,3645000,14465000
77,Change in Working Capital,-1608322,22606443,4128232,4470000,-9592000,48297000,10666000,-39078000,99378000,1724000
78,Accounts Receivable,-369579,201589,-271000,694000,-130000,-1436000,1432000,-84000,99000,- -
79,Inventory,166392,-187102,178000,-8000,123000,- -,- -,- -,- -,- -
80,Accounts Payable,-1294809,-279734,383000,633000,2028000,-101000,-335000,525000,-426000,1655000
81,Other Working Capital,-21938675,667768,4796000,9266000,-326000,47971000,58637000,19559000,118937000,636000
82,Other Non-Cash Items,2442561,-21762882,-2893232,-3239000,12735000,-52669000,-8767000,40637000,-22326000,8523000
83,Cash Provided by Operating Activities,-6224802,-1167793,-2213000,-6898000,-7231000,-28167000,-26844000,-36056000,-29779000,-54581000
84,CAPEX,-106913,-4769,-266000,-123000,-3000,-246000,-445000,-84000,-42000,-338000
85,Acquisitions Net,- -,- -,- -,- -,- -,1280000,- -,- -,29371000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-62462000,-32690000,-81807000,-188431000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,33000000,61000000,2000000,114398000
88,Other Investing Activites,-12520,10454,-8000,28000,- -,- -,- -,- -,-3000,79000
89,Cash Used for Investing Activites,-119433,5685,-274000,-95000,-3000,1034000,-29907000,28226000,-50481000,-74292000
90,Debt Repayment,-59427,-10521839,-42000,-76000,-84000,-4667000,- -,-2333000,-10293000,- -
91,Common Stock Issued,- -,- -,6644000,13095000,- -,48565000,44529000,2283000,25104000,114242000
92,Common Stock Repurchased,- -,- -,- -,-363000,-173000,- -,- -,- -,- -,- -
93,Dividends Paid,-720000,-285000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6585000,12065761,795000,50000,- -,8572000,-2613000,120000,86500000,11033000
95,Cash Used/Provided by Financing Activities,5805573,1258922,7397000,12706000,-257000,52470000,41916000,70000,101311000,125275000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-538662,96814,4910000,5713000,-7491000,25337000,-14835000,-7760000,21051000,-3598000
98,Cash at the End of Period,112534,209348,5119000,10832000,3341000,47441000,32606000,24846000,45897000,42299000
99,Cash at the Beginning of Period,651196,112534,209000,5119000,10832000,22104000,47441000,32606000,24846000,45897000
100,Free Cash Flow,-6331715,-1172562,-2479000,-7021000,-7234000,-28413000,-27289000,-36140000,-29821000,-54919000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590750/000117184316011862/0001171843-16-011862-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000117184317001747/0001171843-17-001747-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000119312518125053/0001193125-18-125053-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075019000013/0001590750-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075020000021/0001590750-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075021000029/0001590750-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1590750/000159075022000004/0001590750-22-000004-index.htm
102,false,,,,,,,,,,
