,https://roic.ai/company/PRKA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0888,-0.1366,0.0677,-0.1894,-0.0971,0.0246,0.1623,0.1476,0.1002,0.0543,0.2040,0.2817,0.3438,0.2829,0.2497,0.4048,0.3171
19,Total Other Income Expenses (Gains),17840,1964251,158764,-580852,-138523,-243238,-220000,-248954,-135927,-207774,-218322,-205148,-108889,-288156,-48897,-155138,-80642
20,Income Before Tax,- -,- -,- -,-1169146,-460000,-160000,270000,295852,240000,10000,675100,1210830,2035950,1422592,1495440,3693869,3680546
21,Income Before Tax Ratio,- -,- -,- -,-0.3763,-0.1390,-0.0473,0.0894,0.0802,0.0640,0.0025,0.1542,0.2409,0.3264,0.2353,0.2418,0.3885,0.3103
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,50000,10000,50500,-690720,775300,411400,398900,926400,882000
23,Net Income,-827617,422599,300597,-1461512,-410000,-160000,270000,295852,190000,-10000,624600,1901560,1260650,1011192,1096540,2767469,2798546
24,Net Income ratio,-0.1186,0.0453,0.0613,-0.4704,-0.1239,-0.0473,0.0894,0.0802,0.0507,-0.0025,0.1426,0.3783,0.2021,0.1672,0.1773,0.2911,0.2359
25,EPS,-0.02,0.01,0.01,-0.03,-0.01,-0.00,0.00,0.00,0.00,-0.00,0.01,0.03,0.02,0.01,0.01,0.04,0.04
26,EPS Diluted,-0.02,0.01,0.01,-0.03,-0.01,-0.00,0.00,0.00,0.00,-0.00,0.01,0.03,0.02,0.01,0.01,0.04,0.04
27,Weighted Average Shares Outstanding,36634000,48386000,51886000,52106000,53451000,73606000,73780000,73925000,74074000,74205000,74348000,74499000,74645000,74707000,74791000,74964000,75094000
28,Weighted Average Shares Outstanding Diluted,49821000,61573000,65053000,54416000,53451000,73606000,73780000,73925000,74074000,74205000,74348000,74499000,74645000,74707000,74791000,74964000,75094000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1297937/000107878208000517/0001078782-08-000517-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1297937/000107878211003784/0001078782-11-003784-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000107878212003293/0001078782-12-003293-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878213002474/0001078782-13-002474-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878214002246/0001078782-14-002246-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878215002028/0001078782-15-002028-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878216003966/0001078782-16-003966-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878217001673/0001078782-17-001673-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878218001412/0001078782-18-001412-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878219000906/0001078782-19-000906-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000107878220000974/0001078782-20-000974-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000149315221030972/0001493152-21-030972-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,63213,1335143,554212,72814,240000,10000,40000,147962,310000,660000,563100,1482780,3204040,2674260,3787820,5505716,6654348
32,Short-Term Investments,- -,- -,- -,10500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,63213,1335143,554212,83314,240000,10000,40000,147962,310000,660000,563100,1482780,3204040,2674260,3787820,5505716,6654348
34,Net Receivables,21289,21471,1162340,- -,- -,- -,20000,- -,10000,- -,- -,- -,- -,- -,- -,- -,4469
35,Inventory,113773,58439,92462,133492,100000,80000,130000,147792,150000,140000,139320,107570,157320,240004,195200,200891,314103
36,Other Current Assets,32124,67914,160493,1015544,110000,100000,30000,44808,70000,90000,544130,544250,309630,131856,147530,148732,175248
37,Total Current Assets,230399,1482967,1969507,1232350,450000,190000,220000,340562,540000,890000,1246550,2134600,3670990,3046120,4130550,5855339,7148168
38,PP&E,5797868,4693426,- -,- -,6740000,6490000,6350000,- -,6250000,6120000,6362790,6432900,6464850,- -,6620410,10389270,10381160
39,Goodwill,- -,- -,1062500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,30628,- -,- -,10000,- -,- -,5097,180000,170000,158660,3000,2200,- -,600,- -,10966
41,Intangible Assets,- -,30628,1062500,18690,10000,- -,- -,5097,180000,170000,158660,3000,2200,1400,600,- -,10966
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,44248,352283,5365035,7588762,10000,10000,20000,6205345,10000,- -,8500,785620,169550,6626885,11780,3277674,3441682
45,Total Non-Current Assets,5842116,5076337,6427535,7607452,6760000,6500000,6370000,6210442,6440000,6290000,6529950,7221520,6636600,6628285,6632790,13666944,13833808
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6072515,6559304,8397042,8839802,7210000,6690000,6590000,6551004,6980000,7180000,7776500,9356120,10307590,9674405,10763340,19522283,20981976
48,Accounts Payable,491460,128061,46455,10114,210000,100000,120000,134758,110000,120000,141400,24110,137720,92237,96270,178485,221414
49,Short-Term Debt,- -,- -,246366,696767,330000,370000,40000,1773935,- -,- -,- -,- -,- -,195198,- -,1221009,699483
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111913
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53985,- -,273386,242318
52,Other Current Liabilities,125615,250772,1104375,1161278,2350000,330000,420000,113854,280000,600000,660540,708460,392650,165458,588520,326004,289029
53,Total Current Liabilities,617075,378833,1397196,1868159,2890000,800000,580000,2022547,390000,720000,801940,732570,530370,506878,684790,1998884,1452244
54,Long-Term Debt,2947273,2183905,2702683,4541162,1950000,3680000,3520000,1745503,3610000,3490000,3374410,3113600,2990420,1358027,1154010,5797392,4960180
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,777124,160355,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,-777124,-160355,- -,- -,- -,- -
58,Total Non-Current Liabilities,2947273,2183905,2702683,4541162,1950000,3670000,3520000,1745503,3610000,3490000,3374410,3113600,2990420,1358027,1154010,5797392,4960180
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3564348,2562738,4099879,6409321,4840000,4470000,4100000,3768050,4000000,4210000,4176350,3846170,3520790,1864905,1838800,7796276,6412424
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,44946,51886,51886,52106,70000,70000,70000,73956,70000,70000,74380,74530,74670,74721,74820,75021,75124
64,Retained Earnings,-921429,-498830,-198233,-2082265,-2490000,-2650000,-2380000,-2080408,-1890000,-1900000,-1272490,629070,1889720,2900913,3997450,6764920,9563466
65,Other Comprehensive Income/Loss,-723304,-254982,-417332,-644458,-910000,-1210000,-1440000,-1746631,- -,- -,- -,- -,- -,-3524703,-3197130,- -,- -
66,Other Total Stockholders Equity,4107954,4698492,4860842,5105098,5702526,6005754,6235352,6536037,4795355,4800898,4798257,4806354,4822418,8358569,8049398,4886066,- -
67,Total Stockholders Equity,2508167,3996566,4297163,2430481,2372526,2215754,2485352,2782954,2975355,2970898,3600147,5509954,6786808,7809500,8924538,11726007,14569552
68,Total Liabilities And Stockholders Equity,6072515,6559304,8397042,8839802,7212526,6685754,6585352,6551004,6975355,7180898,7776497,9356124,10307598,9674405,10763338,19522283,20981976
69,Minority Interest,- -,- -,- -,- -,-2526,4246,4648,- -,4645,-898,3,-4,-8,- -,2,- -,- -
70,Total Liabilities & Equity,6072515,6559304,8397042,8839802,7210000,6690000,6590000,6551004,6980000,7180000,7776500,9356120,10307590,9674405,10763340,19522283,20981976
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1297937/000107878208000517/0001078782-08-000517-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1297937/000107878211003784/0001078782-11-003784-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000107878212003293/0001078782-12-003293-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878213002474/0001078782-13-002474-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878214002246/0001078782-14-002246-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878215002028/0001078782-15-002028-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878216003966/0001078782-16-003966-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878217001673/0001078782-17-001673-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878218001412/0001078782-18-001412-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878219000906/0001078782-19-000906-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000107878220000974/0001078782-20-000974-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000149315221030972/0001493152-21-030972-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-827617,422599,300597,-1461512,-410000,-160000,270000,295852,190000,-10000,624600,1901560,1260650,1011192,1096540,2767469,2798546
74,Depreciation and Amortization,106517,267266,181421,260778,322705,313858,230000,316487,311708,318955,326399,342008,386065,425647,453968,576139,704016
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-777124,616769,160355,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,17350,18250,1750,- -,1750,1500,3125,4650,8250,16200,11500,18500,34000,44999
77,Change in Working Capital,382020,1490810,-531823,-1208120,-1804191,1830000,250000,-1321985,1831985,20000,274610,957420,1738590,-601378,906518,410695,1839469
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,20253,-10875,10875,- -,- -,- -,- -,- -,- -,-4469
79,Inventory,-49705,55334,-34023,-41030,35525,21165,- -,-17377,820,10638,-2990,31751,-49747,-82684,44803,4310,-113212
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,13285,-22226,5991,22881,-117298,113611,-45480,4033,82215,42929
81,Other Working Capital,-386676,1104134,572311,-635809,-2440000,-610000,-360000,-1681985,150000,170000,444610,1402030,3140620,2539242,3445760,3856455,5695924
82,Other Non-Cash Items,190200,-786175,218794,2107113,2266389,-2027432,-100000,1237268,-1950840,335412,-179078,-968781,-2191087,759927,-617368,-107902,-2078312
83,Cash Provided by Operating Activities,-148880,1394500,168989,-284391,393153,-41824,650000,529372,384353,667492,1051181,1463333,1827187,1767243,1858158,3680401,3308718
84,CAPEX,-4853167,-118643,-1416299,-911636,-81859,-82915,-100000,-149792,-366534,-212729,-589224,-431078,-438352,-612273,-554039,-525409,-999867
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6373500,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10000,664284,-90600,66588,7231,48385,- -,-4250,28474,14485,-449148,4087,459182,2338,6533,17832,28977
89,Cash Used for Investing Activites,-4863167,545641,-1506899,-838848,-74628,-34530,-100000,-154042,-338060,-198244,-1038372,-426991,20830,-609935,-547506,-6881077,-959924
90,Debt Repayment,- -,- -,- -,-136496,-514686,-185959,- -,-268465,-36343,-620935,-661555,-336661,-126751,-3271411,-197097,-207135,-3148648
91,Common Stock Issued,2852221,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2193226,-668211,556979,953939,- -,32262,-520000,- -,155617,500000,550000,220000,- -,1584320,- -,5125712,1948486
95,Cash Used/Provided by Financing Activities,5045447,-668211,556979,817443,-314686,-153697,-520000,-268465,119274,-120935,-111555,-116661,-126751,-1687091,-197097,4918577,-1200162
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,33400,1271930,-780931,-305796,167155,-230051,30000,106865,165567,348313,-98746,919681,1721266,-529783,1113555,1717901,1148632
98,Cash at the End of Period,63213,1335143,554212,72814,239969,9918,40000,147962,313529,661842,563096,1482777,3204043,2674260,3787815,5505716,6654348
99,Cash at the Beginning of Period,29813,63213,1335143,378610,72814,239969,10000,41097,147962,313529,661842,563096,1482777,3204043,2674260,3787815,5505716
100,Free Cash Flow,-5002047,1275857,-1247310,-1196027,311294,-124739,550000,379580,17819,454763,461957,1032255,1388835,1154970,1304119,3154992,2308851
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1297937/000107878208000517/0001078782-08-000517-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1297937/000107878211003784/0001078782-11-003784-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000107878212003293/0001078782-12-003293-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878213002474/0001078782-13-002474-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878214002246/0001078782-14-002246-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878215002028/0001078782-15-002028-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878216003966/0001078782-16-003966-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878217001673/0001078782-17-001673-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878218001412/0001078782-18-001412-index.html,https://www.sec.gov/Archives/edgar/data/1297937/000107878219000906/0001078782-19-000906-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000107878220000974/0001078782-20-000974-index.htm,https://www.sec.gov/Archives/edgar/data/1297937/000149315221030972/0001493152-21-030972-index.htm
102,false,,,,,,,,,,,,,,,,,
