,https://roic.ai/company/PTGX,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1377121/000119312517073383/0001193125-17-073383-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837018001637/0001558370-18-001637-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837019001853/0001558370-19-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837020002334/0001558370-20-002334-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837021002715/0001558370-21-002715-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837022002385/0001558370-22-002385-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,9324000,4055000,21084000,106029000,82233000,33006000,117358000,123665000
32,Short-Term Investments,- -,7868000,56515000,37972000,46620000,100011000,188451000,203235000
33,Cash and Short-Term Investments,9324000,11923000,77599000,144001000,128853000,133017000,305809000,326900000
34,Net Receivables,523000,715000,2241000,3163000,6016000,6755000,3510000,4358000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,66000,1568000,3404000,3783000,2634000,5539000,6287000,9478000
37,Total Current Assets,9913000,14206000,83244000,150947000,137503000,145311000,315606000,340736000
38,PP&E,415000,609000,562000,879000,861000,7723000,6412000,6734000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,10150000,11458000,- -,- -,2000000,- -
43,Tax Assets,- -,- -,- -,- -,658000,1433000,- -,- -
44,Other Non-Current Assets,- -,30000,34000,450000,450000,450000,450000,225000
45,Total Non-Current Assets,415000,639000,10746000,12787000,1969000,9606000,8862000,6959000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10328000,14845000,93990000,163734000,139472000,154917000,324468000,347695000
48,Accounts Payable,349000,1247000,1163000,1257000,5711000,2790000,3075000,1600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1459000,2200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,31752000,9284000,19000000,17209000,2500000
52,Other Current Liabilities,1001000,1879000,5272000,9546000,11163000,13616000,18498000,37716000
53,Total Current Liabilities,1350000,3126000,6435000,42555000,26158000,35406000,40241000,44016000
54,Long-Term Debt,- -,- -,- -,- -,- -,9794000,4500000,3658000
55,Deferred Revenue,- -,- -,- -,- -,- -,23792000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1023000,2123000,- -,547000,799000,5961000,121000,- -
58,Total Non-Current Liabilities,1023000,2123000,- -,547000,799000,39547000,4621000,3658000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,7217000,5959000,5858000
61,Total Liabilities,2373000,5249000,6435000,43102000,26957000,74953000,44862000,47674000
62,Preferred Stock,20576000,36996000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-12558000,-27416000,-64593000,-101550000,-140474000,-217661000,-283811000,-409362000
65,Other Comprehensive Income/Loss,-827000,-1031000,-1313000,-1594000,-2077000,-2641000,28000,-299000
66,Other Total Stockholders Equity,21340000,38043000,153461000,223776000,255066000,300266000,- -,- -
67,Total Stockholders Equity,7955000,9596000,87555000,120632000,112515000,79964000,279606000,300021000
68,Total Liabilities And Stockholders Equity,10328000,14845000,93990000,163734000,139472000,154917000,324468000,347695000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10328000,14845000,93990000,163734000,139472000,154917000,324468000,347695000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1377121/000119312517073383/0001193125-17-073383-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837018001637/0001558370-18-001637-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837019001853/0001558370-19-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837020002334/0001558370-20-002334-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837021002715/0001558370-21-002715-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837022002385/0001558370-22-002385-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-11072000,-14858000,-37177000,-36957000,-38924000,-77187000,-66150000,-125551000
74,Depreciation and Amortization,258000,247000,317000,406000,527000,2495000,2564000,2775000
75,Deferred Income Tax,- -,- -,- -,- -,-658000,- -,1438000,- -
76,Stock Based Compensation,42000,99000,2130000,4241000,6919000,8353000,7899000,16395000
77,Change in Working Capital,1260000,2517000,65729000,31583000,2953000,-1440000,165460000,-3314000
78,Accounts Receivable,- -,- -,- -,-1816000,-2771000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,179000,898000,-115000,91000,4430000,-3000000,309000,-1390000
81,Other Working Capital,8563000,11080000,76809000,108392000,111345000,109905000,275365000,-12876000
82,Other Non-Cash Items,1769000,-2390000,-60971000,4599000,-20764000,26252000,-183695000,1830000
83,Cash Provided by Operating Activities,-7743000,-14385000,-29972000,3872000,-49947000,-41527000,-72484000,-107865000
84,CAPEX,-299000,-399000,-379000,-666000,-486000,-967000,-471000,-1101000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-7865000,-73169000,-39546000,-71060000,-166936000,-280027000,-286589000
87,Sales/Maturities of Investments,- -,- -,14188000,56035000,73759000,114193000,189533000,271830000
88,Other Investing Activites,- -,- -,32000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-299000,-8264000,-59328000,15823000,2213000,-53710000,-90965000,-15860000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-10524000,- -
91,Common Stock Issued,- -,- -,83648000,64547000,23181000,34492000,255365000,123829000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9003000,17419000,22659000,1007000,934000,11544000,2785000,6094000
95,Cash Used/Provided by Financing Activities,9003000,17419000,106307000,65554000,24115000,46036000,247626000,129923000
96,Effect of Forex Changes on Cash,-97000,-39000,22000,146000,-177000,-26000,175000,-126000
97,Net Change In Cash,864000,-5269000,17029000,85395000,-23796000,-49227000,84352000,6072000
98,Cash at the End of Period,9324000,4055000,21084000,106489000,82693000,33466000,117818000,123890000
99,Cash at the Beginning of Period,8460000,9324000,4055000,21094000,106489000,82693000,33466000,117818000
100,Free Cash Flow,-8042000,-14784000,-30351000,3206000,-50433000,-42494000,-72955000,-108966000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1377121/000119312517073383/0001193125-17-073383-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837018001637/0001558370-18-001637-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837019001853/0001558370-19-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837020002334/0001558370-20-002334-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837021002715/0001558370-21-002715-index.htm,https://www.sec.gov/Archives/edgar/data/1377121/000155837022002385/0001558370-22-002385-index.htm
102,false,,,,,,,,
