,https://roic.ai/company/DOMA,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,863,863,329,33000
64,Retained Earnings,-7373,-11142,- -,-192179000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,24137,24137,- -,543070000
67,Total Stockholders Equity,17627,13858,5,350924000
68,Total Liabilities And Stockholders Equity,196227,165793,17,655921000
69,Minority Interest,- -,- -,329,- -
70,Total Liabilities & Equity,196227,165793,346,655921000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1722438/000121390021025423/0001213900-21-025423-index.htm,https://www.sec.gov/Archives/edgar/data/1722438/000172243822000019/0001722438-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-226,-3769,-144917,-113056000
74,Depreciation and Amortization,- -,- -,- -,10321000
75,Deferred Income Tax,- -,- -,- -,794000
76,Stock Based Compensation,- -,- -,- -,19673000
77,Change in Working Capital,-4913,-39345,125142,20152000
78,Accounts Receivable,- -,- -,- -,-2149000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,304000
81,Other Working Capital,-85796,-125141,1,- -
82,Other Non-Cash Items,- -,41280,-719546,5787000
83,Cash Provided by Operating Activities,-5139,-1834,-739321,-56329000
84,CAPEX,- -,- -,- -,-32169000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-36241000
87,Sales/Maturities of Investments,- -,- -,- -,44310000
88,Other Investing Activites,- -,- -,-345000000,972000
89,Cash Used for Investing Activites,- -,- -,-345000000,-23128000
90,Debt Repayment,- -,- -,-250000,-65532000
91,Common Stock Issued,- -,- -,338100000,624952000
92,Common Stock Repurchased,- -,- -,- -,-294856000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-25325,-64176,8494914,86699000
95,Cash Used/Provided by Financing Activities,-25325,-64176,346344914,351263000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-30464,-66010,605593,271806000
98,Cash at the End of Period,92804,26794,632387,383828000
99,Cash at the Beginning of Period,123268,92804,26794,112022000
100,Free Cash Flow,-5139,-1834,-739321,-88498000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1722438/000121390021025423/0001213900-21-025423-index.htm,https://www.sec.gov/Archives/edgar/data/1722438/000172243822000019/0001722438-22-000019-index.htm
102,false,,,,
