,https://roic.ai/company/VINO,2013,2014,2015,2016,2017,2018,2019,2020
78,Accounts Receivable,-225187,-77775,-206755,-339739,-246917,281677,-181247,-798446
79,Inventory,-303992,-543122,-284924,-246391,-394728,-191973,-322929,-9515
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,703698
81,Other Working Capital,-3474474,-1897344,-1477183,-1643034,-62464,-4188924,-3309206,-2573099
82,Other Non-Cash Items,-347525,-885636,-22369,1671432,-2641715,4507533,-1192583,-68371
83,Cash Provided by Operating Activities,-4543728,-7052172,-6537708,-6469560,-8075299,-4345933,-6080411,-4943758
84,CAPEX,-202350,-653995,-470442,-548834,-930368,-292213,-139271,-115454
85,Acquisitions Net,- -,- -,- -,- -,81114,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-74485,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-202350,-653995,-470442,-548834,-849254,-292213,-213756,-115454
90,Debt Repayment,-616500,-1060041,-150000,-110128,-267145,-199910,-292534,- -
91,Common Stock Issued,- -,2446697,6331034,7097862,40500,1323695,4610700,1571801
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-60515,-127502,- -,- -
94,Other Financing Activites,4975303,5907836,- -,68001,9558657,4087916,1382082,3114914
95,Cash Used/Provided by Financing Activities,4358803,7294492,6181034,7055735,9271497,5084199,5700248,4686715
96,Effect of Forex Changes on Cash,479930,646982,495036,-16796,-119831,-745868,575809,466655
97,Net Change In Cash,92655,235307,-332080,20545,227113,-299815,-18110,94158
98,Cash at the End of Period,207418,442725,110645,131190,358303,58488,40378,134536
99,Cash at the Beginning of Period,114763,207418,442725,110645,131190,358303,58488,40378
100,Free Cash Flow,-4746078,-7706167,-7008150,-7018394,-9005667,-4345933,-6080411,-5059212
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1559998/000114420415020260/0001144204-15-020260-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000114420416092036/0001144204-16-092036-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315217003130/0001493152-17-003130-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315218004280/0001493152-18-004280-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315219004581/0001493152-19-004581-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315220005292/0001493152-20-005292-index.htm,https://www.sec.gov/Archives/edgar/data/1559998/000149315221008578/0001493152-21-008578-index.htm
102,false,,,,,,,,
