,https://roic.ai/company/TEDU,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,67730,228210,325321,360225,388000,401000,405000,411000,423000,429000
64,Retained Earnings,- -,-221345793,-393498837,280669737,480107560,638173000,759893000,-243162000,-1279248000,-2045891000,-2520438000
65,Other Comprehensive Income/Loss,- -,3021635,9908008,10555166,-31845097,58204000,54122000,50472000,51386000,49120000,48699000
66,Other Total Stockholders Equity,- -,- -,674828020,842915736,889624633,901455000,839769000,764903000,827404000,864346000,887390000
67,Total Stockholders Equity,- -,-218256428,291465400,1134465960,1338247321,1598220000,1654185000,572618000,-400047000,-1132002000,-1583920000
68,Total Liabilities And Stockholders Equity,- -,292555464,446475571,1351989357,1653437730,2085012000,2282645000,1879022000,2515037000,1966516000,1650282000
69,Minority Interest,- -,-0,- -,- -,-0,- -,- -,-975000,-3017000,-7267000,-8500000
70,Total Liabilities & Equity,- -,292555464,446475571,1351989357,1653437730,2085012000,2282645000,1878047000,2512020000,1959249000,1641782000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1592560/000114420415022976/v401846_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420416095204/v435968_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420417022025/v461874_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420418023413/tv488624_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000110465920050975/tm2015055d1_20f.htm,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,4403786,59624709,85128379,153162034,186373725,241854000,184807000,-590174000,-1036086000,-766643000,- -
74,Depreciation and Amortization,7754634,15143805,28203836,43906141,57322673,72757000,100724000,158757000,413120000,347500000,- -
75,Deferred Income Tax,-2419989,-132270,-6376978,-4237194,-22535152,-18895000,-18473000,-46595000,-46037000,-42431000,- -
76,Stock Based Compensation,403560,807884,4634544,25197938,34321545,67824000,77415000,124253000,59172000,36246000,- -
77,Change in Working Capital,-18937943,-31559234,61132974,-82376818,9970533,130319000,-75436000,484995000,573165000,298928000,- -
78,Accounts Receivable,-29949508,-68689321,6770258,-103979104,-69751003,22928000,-164231000,6000000,17641000,-7779000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-971000,-3551000,699000,- -
80,Accounts Payable,680483,-832595,-42652,-279449,555291,-248000,-196000,-390000,55000,821000,- -
81,Other Working Capital,10516332,30626876,28457778,10607104,43762800,96273000,22565000,439044000,751291000,424151000,- -
82,Other Non-Cash Items,2488514,2576301,7300014,40887023,97067303,30171000,19620000,31845000,4936000,17579000,- -
83,Cash Provided by Operating Activities,-6307437,46461194,180022768,176539123,362520627,524030000,288657000,163081000,-31730000,-108821000,- -
84,CAPEX,-18204075,-44870980,-55202532,-48873805,-104218841,-381982000,-177251000,-276253000,-161275000,-79414000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-4212000,- -,-46276000,- -,- -,- -
86,Purchases of Investments,-933838,-4944163,-173227961,-1344029962,-1677555023,-2370925000,-2534619000,-298746000,-344722000,-98426000,- -
87,Sales/Maturities of Investments,9299443,4350866,107595010,651478361,1704902750,2615741000,2518313000,563354000,419777000,171660000,- -
88,Other Investing Activites,14870,-3936990,2435786,413330,1469482,-15071000,-29565000,-34056000,35003000,5523000,- -
89,Cash Used for Investing Activites,-9823600,-49401267,-118399697,-741012075,-75401632,-156449000,-223122000,-91977000,-51217000,-657000,- -
90,Debt Repayment,- -,-1878785,- -,- -,- -,- -,- -,- -,-13792000,-89162000,- -
91,Common Stock Issued,- -,- -,- -,680820112,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-15769392,- -,- -,- -,-50239117,-44406000,-143389000,-196957000,-5058000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-54026000,-63087000,-42955000,- -,- -,- -
94,Other Financing Activites,126134168,460234,-3580881,-20366066,23411743,20388000,22254000,17230000,93247000,20863000,- -
95,Cash Used/Provided by Financing Activities,110364776,-1418551,-3580881,660454046,-26827375,-78044000,-184222000,-222682000,74397000,-68299000,- -
96,Effect of Forex Changes on Cash,549070,285600,2208927,6497278,-23434289,7197000,-5294000,10571000,567000,-1376000,- -
97,Net Change In Cash,94782809,-4073024,60251118,102478372,236857331,296734000,-123981000,-141007000,-7983000,-179153000,- -
98,Cash at the End of Period,105900735,101099970,158410159,264622523,513797015,810672000,686691000,545684000,537701000,358548000,- -
99,Cash at the Beginning of Period,11117926,105172994,98159041,162144151,276939684,513938000,810672000,686691000,545684000,537701000,- -
100,Free Cash Flow,-24511513,1590213,124820236,127665318,258301786,142048000,111406000,-113172000,-193005000,-188235000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1592560/000114420415022976/v401846_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420416095204/v435968_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420417022025/v461874_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000114420418023413/tv488624_20f.htm,https://www.sec.gov/Archives/edgar/data/1592560/000110465920050975/tm2015055d1_20f.htm,- -,- -,undefined
102,Forex Rate,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
