,https://roic.ai/company/AGTI,2018,2019,2020,2021
76,Stock Based Compensation,3010000,6011000,10334000,13960000
77,Change in Working Capital,-5083000,225919000,-41675000,-51807000
78,Accounts Receivable,-17742000,-827000,-39763000,-8915000
79,Inventory,-1508000,-1325000,-9712000,2424000
80,Accounts Payable,4424000,1661000,552000,718000
81,Other Working Capital,16917000,242836000,201161000,149354000
82,Other Non-Cash Items,108137000,-271829000,10564000,144198000
83,Cash Provided by Operating Activities,86323000,69998000,137927000,210317000
84,CAPEX,-54175000,-55742000,-59265000,-29121000
85,Acquisitions Net,- -,-712399000,-95953000,-676878000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,3141000,6168000,3486000,-28135000
89,Cash Used for Investing Activites,-51034000,-761973000,-151732000,-734134000
90,Debt Repayment,-232091000,-857092000,-250655000,-9097000
91,Common Stock Issued,- -,- -,- -,402815000
92,Common Stock Repurchased,- -,-775000,- -,- -
93,Dividends Paid,- -,-227065000,-1138000,-928000
94,Other Financing Activites,204142000,1042045000,472103000,-1153000
95,Cash Used/Provided by Financing Activities,-27949000,-42887000,220310000,391637000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-27949000,-42887000,220310000,-132180000
98,Cash at the End of Period,7340000,- -,206505000,74325000
99,Cash at the Beginning of Period,- -,734862000,- -,206505000
100,Free Cash Flow,32148000,14256000,78662000,181196000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1749704/000155837022003066/0001558370-22-003066-index.htm
102,false,,,,
