,https://roic.ai/company/FA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,- -,- -,- -,- -,163879766,- -,141687384
29,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1210677/000095017022004413/0000950170-22-004413-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,80620000,152818000,292642000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1326000,1267000,941000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,81946000,154085000,293583000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,96191000,114842000,155772000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7766000,8851000,16805000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,185903000,277778000,466160000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,29094000,190282000,154309000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,261590000,770089000,793892000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,65793000,523363000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,327383000,1293452000,793892000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,985000,807000,1413000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1368000,1372000,470807000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,358830000,1485913000,1420421000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,544733000,1763691000,1886581000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,36342000,44117000,53977000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,1878000,2451000,2292000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,691000,431000,873000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41400000,46590000,54456000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,78433000,97838000,109306000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,540839000,778605000,554845000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12820000,86770000,84653000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6858000,6208000,5539000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,560517000,871583000,645037000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,638950000,969421000,754343000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,119868000,130000,153000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201233000,-47492000,-31441000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12852000,2484000,-1637000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839148000,1165163000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94217000,794270000,1132238000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,544733000,1763691000,1886581000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,544733000,1763691000,1886581000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1210677/000095017022004413/0000950170-22-004413-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,34250000,- -,15385000000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,25953000,- -,142815000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2085000,- -,-2924000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,1216000,- -,9530000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,72470000,- -,176914000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10964000,- -,-40842000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12760000,- -,7516000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,179940000,- -,356854000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64391000,- -,-15385177658000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,71583000,- -,148677000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16703000,- -,-23798000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48934000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11211000,- -,-16180000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17789000,- -,-72427000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3176000,- -,-1257000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,320559000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-255454000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3176000,- -,63848000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130000,- -,-278000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,50488000,- -,212044000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,80746000,- -,292790000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,30258000,- -,80746000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,54880000,- -,124879000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,undefined,https://www.sec.gov/Archives/edgar/data/1210677/000095017022004413/0000950170-22-004413-index.htm
102,false,,,,,,,,,,,,
