,https://roic.ai/company/TX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,337473000,1048188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346485000,186216000
57,Other Non-Current Liabilities,- -,21029000,242563000,3057000000,3866000000,2013000000,2050000000,2249000000,2071000000,2018000000,1979000000,2000961000,1721591000,1703338000,2499526000,2625178000,2628632000,885711000,591174000
58,Total Non-Current Liabilities,- -,359510000,3690629000,3605000000,7543000000,4339000000,3837000000,3676000000,3019000000,3321000000,3184000000,2901572000,2328828000,2100080000,4284868000,4328077000,4555743000,2559485000,1649105000
59,Other Liabilities,1929734000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77035000,73828000,338765000,294103000,259621000
61,Total Liabilities,2186888000,874779000,5084062000,5013000000,9315000000,6074000000,4996000000,5232000000,4990000000,5446000000,5033000000,4992958000,4029445000,3931572000,7112142000,6154607000,6323868000,4413082000,4862869000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2005000000,2005000000,2005000000,2005000000,2005000000,2005000000,2005000000,2005000000,2004743000,2004743000,2004743000,2004743000,2004743000,2004743000,- -,- -
64,Retained Earnings,- -,324904000,704406000,4223000000,4907000000,5469000000,6211000000,6742000000,7114000000,7119000000,7397000000,7026676000,6826901000,7221645000,7907506000,9589150000,9865129000,- -,- -
65,Other Comprehensive Income/Loss,- -,701821000,1138048000,-422570000,-511938000,-528485000,-570844000,-1230467000,-6426000000,-7106000000,-7824000000,-8368436000,-9296992000,-9370180000,-9503650000,-10101276000,-1427066000,-1531084000,- -
66,Other Total Stockholders Equity,- -,2575229000,5918804000,-2047872000,-1947382000,-2348145000,-2348814000,-1635793000,3063372000,3402883000,3762035000,4034218000,4498496000,4535090000,4601825000,4900638000,-3831141000,7286115000,- -
67,Total Stockholders Equity,- -,1026725000,1842454000,3757558000,4452680000,4597370000,5296342000,5880740000,5756372000,5420883000,5340035000,4697201000,4033148000,4391298000,5010424000,6393255000,6611665000,7286115000,10535019000
68,Total Liabilities And Stockholders Equity,2186888000,1901504000,6926516000,8770558000,13767680000,10671370000,10292342000,11112740000,10746372000,10866883000,10373035000,9690159000,8062593000,8322870000,12122566000,12547862000,12935533000,11699197000,15397888000
69,Minority Interest,- -,745126000,1733465000,442000,-680000,-370000,658000,-740000,628000,117000,-35000,- -,- -,- -,- -,- -,- -,1157038000,1700019000
70,Total Liabilities & Equity,2186888000,2646630000,8659981000,8771000000,13767000000,10671000000,10293000000,11112000000,10747000000,10867000000,10373000000,9690159000,8062593000,8322870000,12122566000,12547862000,12935533000,12856235000,17097907000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,457339000,704406000,841000000,784000000,715000000,717000000,622000000,514000000,139000000,455000000,-198751000,8127000,595644000,886219000,1506647000,564269000,778468000,3825068000
74,Depreciation and Amortization,- -,99192000,316405000,424495000,565848000,413541000,385105000,383300000,405842000,370855000,377133000,414797000,433788000,406890000,474299000,589299000,661112000,631051000,591790000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,44370000,-24177000,-39529000,-23932000,182332000,-273443000,-154366000,-208805000,66561000,578285000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-204670000,73466000,-276153000,24883000,-1071472000,635179000,-447973000,-397806000,23533000,114611000,-550980000,509144000,-162373000,-864970000,-228577000,572684000,352795000,-2617789000
78,Accounts Receivable,- -,- -,- -,- -,- -,-22535000,193677000,-179308000,-116856000,-48100000,137129000,-85965000,125683000,-161182000,-411371000,-114736000,167629000,-41649000,-926735000
79,Inventory,- -,-114686000,-133995000,-271480000,-171938000,-821713000,429122000,-497430000,-413321000,20250000,-115843000,-357023000,349662000,-151263000,-540162000,-186409000,510972000,156517000,-1906524000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,119152000,92839000,34734000,-138632000,36735000,61040000,46333000,55430000,-10786000,200410000,109247000
81,Other Working Capital,- -,- -,65163000,-93472000,- -,20412000,-67778000,63062000,25332000,5754000,7330000,92000,3180000,1678000,2783000,-7659000,-1544000,623000,- -
82,Other Non-Cash Items,- -,165704000,168178000,255631000,189470000,460444000,-575526000,249498000,125099000,477334000,169607000,880307000,396364000,77102000,161754000,26262000,58359000,-67629000,299961000
83,Cash Provided by Operating Activities,- -,517565000,1262455000,1244973000,1564201000,517513000,1161758000,806825000,647135000,1055092000,1092174000,505844000,1323491000,1099595000,383859000,1739265000,1647619000,1761246000,2677315000
84,CAPEX,- -,-92563000,-244939000,-405817000,-436268000,-587904000,-208590000,-350124000,-601343000,-1022592000,-883317000,-443463000,-466643000,-435460000,-409402000,-520250000,-1052252000,-560013000,-523610000
85,Acquisitions Net,- -,- -,-2196678000,-210548000,-1836482000,718635000,-196000,-68407000,- -,-2243610000,-929000,-252042000,-10273000,-114449000,-1612827000,- -,-5790000,-17014000,-757000
86,Purchases of Investments,- -,- -,- -,-2598000,-65337000,-24674000,- -,-820672000,- -,- -,-1802000,- -,-85946000,- -,- -,- -,-163800000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,43163000,- -,721296000,127875000,- -,18258000,- -,86340000,14986000,86857000,- -,- -,- -
88,Other Investing Activites,- -,862000,610386000,8610000,4013000,-343431000,748266000,418951000,-599647000,-879012000,-880977000,-441990000,-475842000,-526561000,-432117000,-543869000,-1026984000,-1159853000,-1044593000
89,Cash Used for Investing Activites,- -,-91701000,-1831231000,-610353000,-2334074000,350530000,791233000,-470128000,121649000,-2994747000,-883708000,-675774000,-572061000,-554670000,-2029958000,-457012000,-1196574000,-1176867000,-1045350000
90,Debt Repayment,- -,- -,- -,- -,- -,-1152886000,-1141625000,-555918000,-632140000,-814976000,-2134711000,-773396000,-1379747000,-1191770000,-1209984000,-2274125000,-1416174000,-751922000,-531130000
91,Common Stock Issued,- -,- -,- -,525019000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-151163000,-238652000,- -,-120237000,-119832000,- -,-138541000,-287810000,-163133000,-194304000,-147231000,-176677000,-176677000,-196308000,-215938000,-235569000,- -,-569292000
94,Other Financing Activites,- -,-208724000,1402020000,-1281302000,1372972000,519809000,219037000,40341000,705380000,1326309000,1863868000,1005188000,746790000,859748000,3208548000,1167791000,1501236000,245668000,246046000
95,Cash Used/Provided by Financing Activities,- -,-359887000,1163368000,-756283000,1252735000,-752909000,-922588000,-654118000,-364570000,348200000,-465147000,84561000,-809634000,-508699000,1802256000,-1322272000,-150507000,-506254000,-854376000
96,Effect of Forex Changes on Cash,- -,-122000,-34487000,-315000,-258000,-17518000,-157000,1039000,-25039000,-6282000,-8635000,-8546000,-3608000,-4254000,-1841000,-47219000,-31114000,-60208000,-38866000
97,Net Change In Cash,- -,65855000,560105000,-121978000,493039000,-60278000,1030246000,-316382000,379175000,-1597737000,-253089000,-93915000,-61812000,31972000,154316000,-87238000,269424000,17917000,738723000
98,Cash at the End of Period,- -,194875000,754980000,633002000,1126041000,1065552000,2095798000,1779416000,2158591000,560307000,307218000,213303000,151491000,183463000,337779000,250541000,519965000,537882000,1276605000
99,Cash at the Beginning of Period,- -,129020000,194875000,754980000,633002000,1125830000,1065552000,2095798000,1779416000,2158044000,560307000,307218000,213303000,151491000,183463000,337779000,250541000,519965000,537882000
100,Free Cash Flow,- -,425002000,1017516000,839156000,1127933000,-70391000,953168000,456701000,45792000,32500000,208857000,62381000,856848000,664135000,-25543000,1219015000,595367000,1201233000,2153705000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,
