,https://roic.ai/company/YQ,2018,2019,2020,2021
64,Retained Earnings,-3130691000,-4602437000,-8639180000,-10081092000
65,Other Comprehensive Income/Loss,100188000,88216000,49614000,18690000
66,Other Total Stockholders Equity,- -,- -,10653403000,10859107000
67,Total Stockholders Equity,-2976214000,-4459928000,2064150000,797036000
68,Total Liabilities And Stockholders Equity,1441244000,918289000,3389742000,1580421000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,1441244000,918289000,3389742000,1580421000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-656071000,-963750000,-1339908000,- -
74,Depreciation and Amortization,15760000,22675000,39700000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,123530000,93090000,356038000,- -
77,Change in Working Capital,80570000,175174000,358223000,- -
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -
81,Other Working Capital,23974000,168288000,354116000,- -
82,Other Non-Cash Items,17346000,41523000,62959000,- -
83,Cash Provided by Operating Activities,-418865000,-631288000,-522988000,- -
84,CAPEX,-33947000,-48594000,-89504000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-20000000,- -,- -,- -
87,Sales/Maturities of Investments,5000000,20000000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-48947000,-28594000,-89504000,- -
90,Debt Repayment,- -,- -,-85000000,- -
91,Common Stock Issued,- -,- -,2051695000,- -
92,Common Stock Repurchased,-25812000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1576184000,84449000,830726000,- -
95,Cash Used/Provided by Financing Activities,1550372000,84449000,2797421000,- -
96,Effect of Forex Changes on Cash,72803000,-11709000,-38499000,- -
97,Net Change In Cash,1155363000,-587142000,2146430000,- -
98,Cash at the End of Period,1275844000,688702000,2835132000,- -
99,Cash at the Beginning of Period,120481000,1275844000,688702000,- -
100,Free Cash Flow,-452812000,-679882000,-612492000,- -
101,SEC Link,- -,- -,- -,undefined
102,Forex Rate,0.1453,0.1436,0.1532,0.1572
