,https://roic.ai/company/IBIO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1420720/000142072008000025/0001420720-08-000025-index.html,https://www.sec.gov/Archives/edgar/data/1420720/000142072009000028/0001420720-09-000028-index.html,https://www.sec.gov/Archives/edgar/data/1420720/000093041310005065/0000930413-10-005065-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000093041311006342/0000930413-11-006342-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000093041312005714/0000930413-12-005714-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420413053105/0001144204-13-053105-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420414058454/0001144204-14-058454-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420415059224/0001144204-15-059224-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420416127993/0001144204-16-127993-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420417048249/0001144204-17-048249-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420418049866/0001144204-18-049866-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420419041659/0001144204-19-041659-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000110465920114567/0001104659-20-114567-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000155837021012819/0001558370-21-012819-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18837,19005,1039244,909932,2843300,5624403,4414000,3590000,9494000,23014000,8088000,15934000,4421000,55112000,77404000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19570000
33,Cash and Short-Term Investments,18837,19005,1039244,909932,2843300,5624403,4414000,3590000,9494000,23014000,8088000,15934000,4421000,55112000,96974000
34,Net Receivables,145699,105400,209795,47460,344085,351409,1007000,205000,445000,606000,175000,75000,97000,5624000,5526000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,26000,- -,- -,798000,27000
36,Other Current Assets,11436,43675,16569,68150,1112793,924333,1214000,118000,182000,264000,283000,276000,290000,214000,2070000
37,Total Current Assets,175972,168080,1265608,1025542,4300178,6900145,6635000,3913000,10121000,23906000,8572000,16285000,4808000,61748000,104597000
38,PP&E,14594,14108,14878,11050,8412,2497,6000,6000,13000,25574000,25589000,25152000,24380000,31273000,34739000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,3324225,3367261,3649878,3893653,3027239,2861940,2713000,2575000,2360000,2092000,1823000,1620000,1374000,1144000,952000
41,Intangible Assets,3324225,3367261,3649878,3893653,3027239,2861940,2713000,2575000,2360000,2092000,1823000,1620000,1374000,1144000,952000
42,Investments,253500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,26000,26000,24000,24000,6680000
45,Total Non-Current Assets,3592319,3381369,3664756,3904703,3035651,2864437,2719000,2581000,2373000,27694000,27438000,26798000,25778000,32441000,42371000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3768291,3549449,4930364,4930245,7335829,9764582,9354000,6494000,12494000,51600000,36010000,43083000,30586000,94189000,146968000
48,Accounts Payable,353534,505918,112331,2007166,2895359,2845518,2401000,297000,1104000,1177000,749000,790000,1001000,1759000,2254000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000,183000,197000,213000,562000,967000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,330000,471000,383000,295000,295000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,157000,- -,1279000,1810000,423000
52,Other Current Liabilities,1068765,1423455,429809,1846949,4243828,750025,1885000,98000,159000,920000,924000,1048000,965000,1105000,3001000
53,Total Current Liabilities,1422299,1929373,542140,3854115,7139187,3595543,4286000,395000,1263000,2291000,2013000,2035000,3458000,5236000,6645000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32346000,31755000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6679269,7822648,- -,- -,- -,- -,- -,- -,- -,25265000,25082000,24884000,24671000,- -,- -
58,Total Non-Current Liabilities,6679269,7822648,- -,- -,- -,- -,- -,- -,- -,25265000,25082000,24884000,24671000,32346000,31755000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,25435000,25265000,25081000,24884000,32308000,32122000
61,Total Liabilities,8101568,9752021,542140,3854115,7139187,3595543,4286000,395000,1263000,27556000,27095000,26919000,28129000,37582000,38400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,28273,32382,47767,57000,66000,77000,89000,89000,16000,20000,140000,217000
64,Retained Earnings,-4908277,-6777572,-8684868,-13519492,-25661943,-31337781,-37536000,-41202000,-47827000,-57591000,-72123000,-88228000,-105821000,-150420000,-173627000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-20000,- -,-25000,-29000,-29000,-30000,-31000,-33000,-63000
66,Other Total Stockholders Equity,575000,575000,13073092,14567349,25826203,37459053,42567000,47235000,59006000,67468000,80977000,104408000,108295000,206931000,282058000
67,Total Stockholders Equity,-4333277,-6202572,4388224,1076130,196642,6169039,5068000,6099000,11231000,9937000,8914000,16166000,2463000,56618000,108585000
68,Total Liabilities And Stockholders Equity,3768291,3549449,4930364,4930245,7335829,9764582,9354000,6494000,12494000,37493000,36009000,43085000,30592000,94200000,146985000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,14107000,1000,-2000,-6000,-11000,-17000
70,Total Liabilities & Equity,3768291,3549449,4930364,4930245,7335829,9764582,9354000,6494000,12494000,51600000,36010000,43083000,30586000,94189000,146968000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1420720/000142072008000025/0001420720-08-000025-index.html,https://www.sec.gov/Archives/edgar/data/1420720/000142072009000028/0001420720-09-000028-index.html,https://www.sec.gov/Archives/edgar/data/1420720/000093041310005065/0000930413-10-005065-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000093041311006342/0000930413-11-006342-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000093041312005714/0000930413-12-005714-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420413053105/0001144204-13-053105-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420414058454/0001144204-14-058454-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420415059224/0001144204-15-059224-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420416127993/0001144204-16-127993-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420417048249/0001144204-17-048249-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420418049866/0001144204-18-049866-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420419041659/0001144204-19-041659-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000110465920114567/0001104659-20-114567-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000155837021012819/0001558370-21-012819-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-1666034,-1869295,-1907296,-6078020,-12142451,-5675838,-6198000,-3666000,-6625000,-9764000,-14532000,-16105000,-17593000,-16439000,-23207000
74,Depreciation and Amortization,322043,245265,283952,337029,376810,329712,338000,361000,363000,940000,1676000,1709000,1749000,2241000,2414000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,143828,2793662,2683138,1263000,1075000,914000,1245000,1010000,770000,241000,388000,1586000
77,Change in Working Capital,458616,-514966,2484761,-3552041,-10436,6143611,-955602,1169000,5340000,12757000,-15056000,7691000,-12900000,55162000,41440000
78,Accounts Receivable,-141426,40299,-104395,162335,-344085,-7324,-656000,-205000,-240000,-39000,309000,39000,-22000,22000,-426000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22000,-4000,26000,- -,-798000,772000
80,Accounts Payable,286323,152384,-393587,1894835,888193,- -,-445000,56000,806000,-125000,-257000,49000,292000,498000,48000
81,Other Working Capital,-1246327,-1761293,723468,-2828573,-2839009,3304602,2349000,3518000,8858000,21615000,6559000,14250000,1350000,56512000,97952000
82,Other Non-Cash Items,35997,989545,-2886224,6800981,3644227,-9490269,703602,-3055000,-4717000,-13250000,13739000,-7545000,14528000,-54697000,-52297000
83,Cash Provided by Operating Activities,-849378,-1149451,-2024807,-2348223,-5338188,-6009646,-4849000,-4116000,-4725000,-8072000,-13163000,-13480000,-13975000,-13345000,-30064000
84,CAPEX,-809645,-287815,-1612759,-576976,-94088,-245100,-195000,-259000,-215000,-68000,-1593000,-1079000,-990000,-1154000,-5162000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-253500,- -,-4580,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23816000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000
88,Other Investing Activites,-795051,-287815,-562759,-576976,-92864,-244213,-188000,-255000,-202000,- -,-270000,-145000,-70000,-76000,-1742000
89,Cash Used for Investing Activites,-1063145,-287815,-1617339,-576976,-94088,-245100,-195000,-259000,-215000,-68000,-1593000,-1079000,-990000,-1154000,-26478000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-565000,-170000,-183000,-197000,-2061000,-331000
91,Common Stock Issued,- -,- -,- -,2795887,7235644,9035849,3834000,480000,10000000,6220000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1926964,1437434,4662385,- -,130000,- -,- -,3071000,867000,16009000,- -,22589000,3650000,67253000,79166000
95,Cash Used/Provided by Financing Activities,1926964,1437434,4662385,2795887,7365644,9035849,3834000,3551000,10867000,21664000,-170000,22406000,3453000,65192000,78835000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-23000,-4000,- -,-1000,-1000,-2000,-1000
97,Net Change In Cash,14441,168,1020239,-129312,1933368,2781103,-1210000,-824000,5904000,13520000,-14926000,7846000,-11513000,50691000,22292000
98,Cash at the End of Period,18837,19005,1039244,909932,2843300,5624403,4414000,3590000,9494000,23014000,8088000,15934000,4421000,55112000,77404000
99,Cash at the Beginning of Period,4396,18837,19005,1039244,909932,2843300,5624000,4414000,3590000,9494000,23014000,8088000,15934000,4421000,55112000
100,Free Cash Flow,-1659023,-1437266,-3637566,-2925199,-5432276,-6254746,-5044000,-4375000,-4940000,-8140000,-14756000,-14559000,-14965000,-14499000,-35226000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1420720/000142072008000025/0001420720-08-000025-index.html,https://www.sec.gov/Archives/edgar/data/1420720/000142072009000028/0001420720-09-000028-index.html,https://www.sec.gov/Archives/edgar/data/1420720/000093041310005065/0000930413-10-005065-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000093041311006342/0000930413-11-006342-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000093041312005714/0000930413-12-005714-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420413053105/0001144204-13-053105-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420414058454/0001144204-14-058454-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420415059224/0001144204-15-059224-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420416127993/0001144204-16-127993-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420417048249/0001144204-17-048249-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420418049866/0001144204-18-049866-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000114420419041659/0001144204-19-041659-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000110465920114567/0001104659-20-114567-index.htm,https://www.sec.gov/Archives/edgar/data/1420720/000155837021012819/0001558370-21-012819-index.htm
102,false,,,,,,,,,,,,,,,
