,https://roic.ai/company/DUOT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-9075,37791,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-53633,-626108,-1009195,-808773,-893923,-864995,-648567,-735223,-2325950,-2561613,-5152477,-1580887,-2470882,-6747435,-6008901
24,Net Income ratio,-0.1166,-0.5109,-1.2934,-0.7554,-1.3419,-1.4015,-1.0674,-1.8321,-0.3437,-0.4196,-1.3264,-0.1312,-0.1811,-0.8393,-0.7275
25,EPS,-153.68,-1254.73,-1805.36,-1187.63,-1019.30,-924.14,-800.70,-607.61,-19.60,-19.60,-20.02,-1.12,-1.39,-2.03,-1.81
26,EPS Diluted,-153.68,-1254.73,-1805.36,-1187.63,-1019.30,-980.01,-800.70,-607.61,-19.60,-19.60,-20.02,-1.12,-1.39,-2.03,-1.81
27,Weighted Average Shares Outstanding,349,499,559,681,877,936,810,1201,125000,134541,257601,1485446,1782427,3320193,3320193
28,Weighted Average Shares Outstanding Diluted,349,499,559,681,877,936,810,1201,125000,134541,257601,1485446,1782427,3320193,3320193
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396536/000126493112000185/0001264931-12-000185-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000094344013000357/0000943440-13-000357-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335014000378/0001553350-14-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000126493115000174/0001264931-15-000174-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335016001818/0001553350-16-001818-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335017000333/0001553350-17-000333-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335018000285/0001553350-18-000285-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335019000375/0001553350-19-000375-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335020000273/0001553350-20-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335021000232/0001553350-21-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335022000281/0001553350-22-000281-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13326,204768,21047,70326,988,- -,166,3478,140129,174376,1941818,1209301,56249,3969100,893720
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13326,204768,21047,70326,988,- -,166,3478,140129,174376,1941818,1209301,56249,3969100,893720
34,Net Receivables,114812,94121,34809,92893,184232,35708,26696,39289,873351,733662,722097,2747397,3987528,1347334,1738543
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298338
36,Other Current Assets,38952,518438,198189,116809,38937,5439,29792,- -,165095,135964,90923,235198,716598,486626,358062
37,Total Current Assets,167090,817327,254045,280028,224157,41147,56654,42767,1178575,1044002,2754838,4191896,4760375,5803060,3288663
38,PP&E,139360,21168,174288,19684,52500,18306,12591,1618,72544,66491,65362,204226,690327,538324,5529018
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,57006,51423,45978,93871,81598,64415,66482
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,57006,51423,45978,93871,81598,64415,66482
42,Investments,- -,- -,60559,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,4690,1690,- -,- -,- -,- -,- -,- -,- -,600000
45,Total Non-Current Assets,139360,21168,234847,19684,52500,22996,14281,1618,129550,117914,111340,298097,771925,602739,6195500
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,306450,838495,488892,299712,276657,64143,70935,44385,1308125,1161916,2866178,4489993,5532300,6405799,9484163
48,Accounts Payable,88066,10326,66910,68568,139609,181423,246528,238459,1061961,842787,825216,1430189,2654228,607017,1044500
49,Short-Term Debt,9030,- -,23331,39345,453873,41640,673750,677727,917738,896895,93248,79531,1260047,962824,367805
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,296215,444476,149448,317573,115111,3146,- -
51,Deferred Revenue,- -,1500,1879,3192,- -,38445,31182,6879,908206,894796,438907,2611357,945089,1024923,596673
52,Other Current Liabilities,3576,21999,21196,2405,896,413495,52026,169657,2178943,2542184,847135,539901,508383,1041238,1931066
53,Total Current Liabilities,100672,33825,113316,113510,594378,675003,1003486,1092722,5066848,5176662,2204506,4660978,5367747,3636002,3940044
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1206522,39137,- -,- -,782805,4739783
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,143866,- -,- -,- -,301920,- -,- -,291823,103183,22851
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,143866,- -,- -,- -,1508442,39137,- -,291823,885988,4762634
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576583,395601,- -
61,Total Liabilities,100672,33825,113316,113510,594378,818869,1003486,1092722,5066848,1161916,2243643,4660978,5659570,4521990,8702678
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2830000,2830000,1705000,1705000,- -
63,Common Stock,11410,16310,18266,22266,28666,30599,90942,691,64778,66221,20658,21082,1982,3536,3351000
64,Retained Earnings,-173201,-799309,-1808504,-2617277,-3511200,-4703719,-5352286,-6087509,-20951176,-23518709,-28688946,-30269833,-32740715,-39488150,-45497051
65,Other Comprehensive Income/Loss,-24634,-35129,-54238,- -,-36560,-34732,-40447,-43926,-1028114,-1069512,-797220,-870750,-1030002,- -,- -
66,Other Total Stockholders Equity,392203,1622798,2220052,2781213,3201373,3953126,4369240,5082407,18155789,18998812,27258043,28118516,31936465,39663422,42927536
67,Total Stockholders Equity,205778,804670,375576,186202,-317721,-754726,-932551,-1048337,-3758723,-5523188,622535,-170985,-127270,1883808,781485
68,Total Liabilities And Stockholders Equity,306450,838495,488892,299712,276657,64143,70935,44385,1308125,-4361272,2866178,4489993,5532300,6405798,9484163
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,5523188,- -,- -,- -,1,- -
70,Total Liabilities & Equity,306450,838495,488892,299712,276657,64143,70935,44385,1308125,1161916,2866178,4489993,5532300,6405799,9484163
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396536/000126493112000185/0001264931-12-000185-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000094344013000357/0000943440-13-000357-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335014000378/0001553350-14-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000126493115000174/0001264931-15-000174-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335016001818/0001553350-16-001818-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335017000333/0001553350-17-000333-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335018000285/0001553350-18-000285-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335019000375/0001553350-19-000375-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335020000273/0001553350-20-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335021000232/0001553350-21-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335022000281/0001553350-22-000281-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-53633,-626108,-1009195,-808773,-893923,-864995,-648567,-735223,-2325950,-2561613,-5152477,-1580887,-2470882,-6747435,-6008901
74,Depreciation and Amortization,13513,22208,19657,156309,165416,34194,5715,4126,44411,47051,48283,98922,398720,425311,275346
75,Deferred Income Tax,-10717,37154,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447826,44874,351970,262411
77,Change in Working Capital,-23445,717084,-642773,25789,-536739,-263635,-312976,-103123,-2838318,-244387,4682992,-1019414,-138290,2774430,-2818439
78,Accounts Receivable,- -,20054,59312,-60709,-91339,148524,3522,-12593,-134301,195246,-41315,-1240489,-1293219,1366732,-611023
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-185915
80,Accounts Payable,- -,-77740,82626,1658,71041,41813,85243,17391,-657920,-211313,184829,604971,1224038,-2042118,445184
81,Other Working Capital,66418,783502,140729,166518,-370221,-633856,-946832,-1049955,-3888273,-4132660,550332,-469082,-607372,2167058,-651381
82,Other Non-Cash Items,- -,-295542,1448666,491645,627747,924686,794994,536300,3003376,918659,-3141104,1708266,-1853982,-1035715,1710205
83,Cash Provided by Operating Activities,-74282,-145204,-183645,-135030,-637499,-169750,-160834,-297920,-2116481,-1840290,-3562306,-345287,-4019560,-4231439,-6579378
84,CAPEX,-7949,-9498,-173407,-1705,-55340,- -,- -,- -,-76582,-35415,-41709,-285678,-219575,-287331,-545505
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,1346,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-93726,105174,-159203,- -,-32622,- -,- -,1725,-10420,-70,- -,-73285,-13095,-8185,-7435
89,Cash Used for Investing Activites,-101675,95676,-173407,8295,-51940,- -,- -,1725,-75236,-35415,-41709,-285678,-219575,-287331,-552940
90,Debt Repayment,- -,-9030,-6339,-10545,-19700,-308073,-130378,-141980,- -,-285818,-2521963,-51527,-636872,-1090546,-179236
91,Common Stock Issued,1478,250000,150000,160000,230000,- -,- -,210000,- -,- -,5777390,- -,- -,9253128,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148000,- -,-1459,-7993,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9030,- -,29670,26559,409801,476835,291378,231487,2246411,2343770,2116030,-48566,3730948,269039,4236174
95,Cash Used/Provided by Financing Activities,10508,240970,173331,176014,620101,168762,161000,299507,2246411,1909952,5371457,-101552,3086083,8431621,4056938
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-165449,191442,-183721,49279,-69338,- -,- -,3312,54694,34247,1767442,-732517,-1153052,3912851,-3075380
98,Cash at the End of Period,13326,204768,21047,70326,988,- -,166,3478,140129,174376,1941818,1209301,56249,3969100,893720
99,Cash at the Beginning of Period,178775,13326,204768,21047,70326,988,- -,166,85435,140129,174376,1941818,1209301,56249,3969100
100,Free Cash Flow,-82231,-154702,-357052,-136735,-692839,-169750,-160834,-297920,-2193063,-1875705,-3604015,-630965,-4239135,-4518770,-7124883
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396536/000126493112000185/0001264931-12-000185-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000094344013000357/0000943440-13-000357-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335014000378/0001553350-14-000378-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000126493115000174/0001264931-15-000174-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335016001818/0001553350-16-001818-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335017000333/0001553350-17-000333-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335018000285/0001553350-18-000285-index.html,https://www.sec.gov/Archives/edgar/data/1396536/000155335019000375/0001553350-19-000375-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335020000273/0001553350-20-000273-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335021000232/0001553350-21-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1396536/000155335022000281/0001553350-22-000281-index.htm
102,false,,,,,,,,,,,,,,,
