,https://roic.ai/company/PME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,984,- -,- -,- -,- -
23,Net Income,-23409,-311559,1234895,97399420,85760705,18352917,-13717623,29659693,13397301,5682024,-72878248
24,Net Income ratio,-Infinity,-Infinity,Infinity,0.7940,0.3674,0.3024,-0.6678,0.4692,0.2085,0.0634,-0.8354
25,EPS,-0.01,-0.07,0.20,1.23,1.08,0.23,-0.20,0.38,0.17,0.07,-0.92
26,EPS Diluted,-0.01,-0.07,0.20,1.23,1.08,0.23,-0.20,0.38,0.17,0.07,-0.92
27,Weighted Average Shares Outstanding,1955000,4426677,6250000,79055053,79055053,79055053,79055053,79055053,79055053,79055053,79121471
28,Weighted Average Shares Outstanding Diluted,1955000,4426677,6250000,79055053,79055053,79055053,79055053,79055053,79055053,79055053,79121471
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1517130/000114420412018682/0001144204-12-018682-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000114420413006231/0001144204-13-006231-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000114420414014498/v370386_10k.htm,https://www.sec.gov/Archives/edgar/data/1517130/000121390015001644/f10k2014_pingtanmarine.htm,https://www.sec.gov/Archives/edgar/data/1517130/000121390016011466/0001213900-16-011466-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390017002738/0001213900-17-002738-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390018002958/0001213900-18-002958-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390019004243/0001213900-19-004243-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390020006499/0001213900-20-006499-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390021052493/0001213900-21-052493-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,167374,134028,1387,8156599,12752272,11448684,820396,2005540,1966855,10092205,691933
32,Short-Term Investments,- -,50255577,50271988,- -,- -,15406659,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,167374,50389605,50273375,8156599,12752272,26855343,820396,2005540,1966855,10092205,691933
34,Net Receivables,- -,382830,- -,9144795,50002754,35947279,13874910,13210822,6930942,22364607,33847655
35,Inventory,- -,- -,- -,9095736,12123405,2336167,8811111,3560261,5840207,30527752,67611136
36,Other Current Assets,111490,100844,60000,2380874,31035192,26807113,37334944,2006723,719824,1354129,12098729
37,Total Current Assets,278864,50873279,50333375,28778004,105913623,91945902,60841361,20783346,15457828,64338693,114249453
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250219231
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,3468953,19385843,33721712,31520518,33735325,31932318,30933699,32908253
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,325701765,123730719,106209759,134110506,146619524,199571425,308856321,66083041
45,Total Non-Current Assets,- -,- -,- -,329170718,143116562,139931471,165631024,180354849,231503743,339790020,349210525
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,278864,50873279,50333375,357948722,249030185,231877373,226472385,201138195,246961571,404128713,463459978
48,Accounts Payable,- -,- -,- -,15992569,3783291,1386984,3477497,6104844,33886968,9658983,18792983
49,Short-Term Debt,- -,- -,- -,29337430,49222506,34651118,38853180,20569574,13572434,67156905,92434522
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2030519,164724,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,257373,2261706,2767131,3851047,7975659,6428693,22590042,9741517,25613825,11972268,22136695
53,Total Current Liabilities,257373,2261706,2767131,51211565,61146180,42466795,64920719,36415935,73073227,88788156,133364200
54,Long-Term Debt,- -,- -,- -,54499727,38625071,22570755,21839412,17217104,22329234,160230498,245116088
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,43611572,2203110,- -,- -,- -,- -,- -,- -,32203,- -
58,Total Non-Current Liabilities,- -,43611572,2203110,54499727,38625071,22570755,21839412,17217104,22329234,160262701,245116088
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,408125,32349
61,Total Liabilities,257373,45873278,4970241,105711292,99771251,65037550,86760131,53633039,95402461,249050857,378480288
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1955,1909,40365366,79055,79055,79055,79055,79055,79055,79055,79302
64,Retained Earnings,-23409,-334968,1079260,199341512,21315710,34318040,17438215,40349189,49593069,54286454,-18594755
65,Other Comprehensive Income/Loss,- -,- -,- -,-4767030,4000000,-4000000,-13000000,-6000000,-13000000,-16000000,6182839
66,Other Total Stockholders Equity,42945,5333060,3918508,57583893,123864169,120073561,120520861,94929053,95994664,97350442,82045993
67,Total Stockholders Equity,21491,5000001,45363134,252237430,149258934,150470656,125038131,129357297,132666788,135715951,69713379
68,Total Liabilities And Stockholders Equity,278864,50873279,50333375,357948722,249030185,215508206,211798262,182990336,228069249,384766808,448193667
69,Minority Interest,- -,- -,- -,- -,- -,16369167,14674123,18147859,18892322,19361905,15266311
70,Total Liabilities & Equity,278864,50873279,50333375,357948722,249030185,231877373,226472385,201138195,246961571,404128713,463459978
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1517130/000114420412018682/0001144204-12-018682-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000114420413006231/0001144204-13-006231-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000114420414014498/v370386_10k.htm,https://www.sec.gov/Archives/edgar/data/1517130/000121390015001644/f10k2014_pingtanmarine.htm,https://www.sec.gov/Archives/edgar/data/1517130/000121390016011466/0001213900-16-011466-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390017002738/0001213900-17-002738-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390018002958/0001213900-18-002958-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390019004243/0001213900-19-004243-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390020006499/0001213900-20-006499-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390021052493/0001213900-21-052493-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-23409,-311559,1234895,97399420,85760705,18352917,-13717623,29659693,13397301,5682024,-72878248
74,Depreciation and Amortization,- -,- -,- -,4018090,6017886,6353055,6613720,8965553,9141975,11308882,14722446
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,64014,48590082,-1045329,-69999805,67201004,4711664,-53558465,-11553231,-41982810,33165936,5334716
78,Accounts Receivable,- -,- -,- -,2788320,-42134612,37007012,563318,-765708,6373815,-3110730,-21222129
79,Inventory,- -,- -,- -,-8766511,-3150909,9302719,-6705933,5607279,-2970908,-24918904,-48067241
80,Accounts Payable,- -,- -,- -,16025566,-10366979,2056898,2276456,2120008,2629061,-23945792,16635311
81,Other Working Capital,21491,48611573,47566244,-22433561,44767443,49479107,-4079358,-15632589,-57615399,-24449463,-19114747
82,Other Non-Cash Items,-98231,-49058778,-486933,95839449,-125051187,11435914,55712322,41367411,72746416,-80730622,20242934
83,Cash Provided by Operating Activities,-57626,-780255,-297367,127257154,33928408,40853550,-4950046,68439426,53302882,-30573780,-32578152
84,CAPEX,- -,- -,- -,-256831561,-23361695,-56222226,-28136276,-49860416,-60930363,-168061488,-99524474
85,Acquisitions Net,- -,- -,- -,-85000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-5577,-16411,- -,-15952598,-40209087,- -,-296217,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,8041817,15055026,- -,- -,- -,- -
88,Other Investing Activites,- -,-50250000,- -,13289173,3451914,22202268,- -,6600906,5223804,35597304,29358038
89,Cash Used for Investing Activites,- -,-50255577,-16411,-328542388,-35862379,-66187228,-13081250,-43555727,-55706559,-132464184,-70166436
90,Debt Repayment,- -,-200000,- -,-68197163,-65754762,-50953442,-34625035,-39446298,-20515697,-36562005,-112594450
91,Common Stock Issued,25000,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-790550,-2371652,-3162202,-3162203,-2371652,- -,- -
94,Other Financing Activites,200000,1202486,181137,99117469,73269391,77206451,45658651,20011005,24330410,208124606,214516910
95,Cash Used/Provided by Financing Activities,225000,51002486,181137,30920306,6724079,23881357,7871414,-22597496,1443061,171562601,101922460
96,Effect of Forex Changes on Cash,- -,- -,- -,3032812,-194435,148733,-468406,-1101059,-899256,-399287,1334522
97,Net Change In Cash,- -,-33346,-132641,-167332116,4595673,-1303588,-10628288,1185144,-1859872,8125350,512394
98,Cash at the End of Period,167374,134028,1387,8156599,12752272,11448684,820396,2005540,1966855,10092205,10604599
99,Cash at the Beginning of Period,- -,167374,134028,175488715,8156599,12752272,11448684,820396,3826727,1966855,10092205
100,Free Cash Flow,-57626,-780255,-297367,-129574407,10566713,-15368676,-33086322,18579010,-7627481,-198635268,-132102626
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1517130/000114420412018682/0001144204-12-018682-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000114420413006231/0001144204-13-006231-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000114420414014498/v370386_10k.htm,https://www.sec.gov/Archives/edgar/data/1517130/000121390015001644/f10k2014_pingtanmarine.htm,https://www.sec.gov/Archives/edgar/data/1517130/000121390016011466/0001213900-16-011466-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390017002738/0001213900-17-002738-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390018002958/0001213900-18-002958-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390019004243/0001213900-19-004243-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390020006499/0001213900-20-006499-index.html,https://www.sec.gov/Archives/edgar/data/1517130/000121390021052493/0001213900-21-052493-index.htm
102,false,,,,,,,,,,,
