,https://roic.ai/company/CMGO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-7.5833,-8.2740,-0.3297,-0.6878,-1.3182,0.3962,0.1956,0.1617,-0.0580,- -,- -,- -,0.8656,26.6684,0.4876
17,Operating Income,- -,-3669874,-1571664,-3702381,-6722609,-1629606,-757847,-1590394,-31093,- -,- -,- -,-53373,-591941,-303
18,Operating Income ratio,- -,-8.3155,-0.4455,-0.7446,-0.9297,-0.2006,-0.1022,-0.2145,-0.0290,- -,- -,- -,-0.0300,-4205.3809,-0.1874
19,Total Other Income Expenses (Gains),- -,- -,184721,- -,4372029,67867,1951898,2784445,30116,- -,- -,- -,1573936,591984,1093
20,Income Before Tax,- -,- -,- -,- -,-2350580,-1561739,1194051,1194051,-977,- -,- -,- -,1520563,43,789
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.3251,-0.1922,0.1611,0.1611,-0.0009,- -,- -,- -,0.8548,0.3053,0.4876
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-34532,-3707762,-1672494,-4191682,-7787877,2236317,1194051,1194051,-977,- -,- -,- -,1520563,43,789
24,Net Income ratio,-7.6466,-8.4014,-0.4741,-0.8430,-1.0770,0.2752,0.1611,0.1611,-0.0009,- -,- -,- -,0.8548,0.3053,0.4876
25,EPS,-0.00,-0.16,-0.05,-0.10,-0.11,0.01,0.00,-0.00,-0.00,- -,- -,- -,0.00,0.00,0.00
26,EPS Diluted,-0.00,-0.16,-0.05,-0.10,-0.11,0.01,0.00,-0.00,-0.00,- -,- -,- -,0.00,0.00,0.00
27,Weighted Average Shares Outstanding,40789401,23793819,33035120,43828538,70444199,237199982,289674514,289329190,449329190,- -,- -,- -,449506008,446782709,446782709
28,Weighted Average Shares Outstanding Diluted,40789401,23793819,33035120,43828538,70444199,237199982,290668814,289329190,449329190,- -,- -,- -,449506008,446782709,446782709
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346655/000117892412000064/0001178924-12-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000117892413000052/0001178924-13-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000121390014002479/0001213900-14-002479-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000121390015004327/0001213900-15-004327-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000134665516000040/0001346655-16-000040-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1346655/000101738621000080/0001017386-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000101738622000095/0001017386-22-000095-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13934,32968,13695,385153,238124,476588,27886,230138,- -,- -,- -,781752,411136,595430
32,Short-Term Investments,- -,- -,- -,49006,- -,274651,764088,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13934,32968,62701,385153,512775,1240676,27886,230138,- -,- -,- -,781752,411136,595430
34,Net Receivables,- -,1050,207789,204147,95645,252567,287094,- -,- -,- -,- -,- -,108013,24941,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,18182,71497,- -,15000,8400,8400,8400,- -,- -,- -,- -,164321,1190648
37,Total Current Assets,- -,14984,258939,338345,480798,780342,1536170,36286,238538,- -,- -,- -,889765,600398,1786078
38,PP&E,- -,- -,- -,151520,10142,- -,- -,32192,28478,- -,- -,- -,13625,9911,6197
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,54500,54500,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,671248,394756,74584,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,671248,394756,74584,- -,- -,54500,54500,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,300000,- -,- -,53916,57833,60078,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,300000,671248,546276,138642,57833,60078,86692,82978,- -,- -,- -,13625,9911,6197
46,Other Assets,2907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2907,314984,930187,884621,619440,838175,1596248,122978,321516,- -,- -,- -,903390,610309,1792275
48,Accounts Payable,- -,419754,1145467,1713300,1582923,546852,627695,676671,676671,- -,- -,- -,74500,10500,- -
49,Short-Term Debt,15000,108231,289736,1191415,1391849,150431,9943,74679,371100,- -,- -,- -,259437,189542,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,228673,13370,13370,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,32925,433745,1046528,2181194,888144,1091706,570314,365408,- -,- -,- -,656526,483376,1076014
53,Total Current Liabilities,15000,560910,1868948,3951243,5384639,1598797,1742714,1321664,1413179,- -,- -,- -,990463,683418,1076014
54,Long-Term Debt,- -,- -,- -,- -,- -,629261,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,204878,1245843,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,204878,1245843,629261,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,15890,560910,1868948,4156121,6630482,2228058,1742714,1321664,1413179,- -,- -,- -,990463,683418,1076014
62,Preferred Stock,- -,- -,- -,- -,50,50,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,42400,31727,38208,58167,124812,294614,283657,289329,449329,- -,- -,- -,449506,- -,- -
64,Retained Earnings,-40086,-4738189,-6410683,-10602365,-18390242,-16153925,-14959874,-16228057,-16229034,- -,- -,- -,-15185444,- -,-14353100
65,Other Comprehensive Income/Loss,- -,- -,- -,-56357,-16550,- -,- -,-4950,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,-15297,4460536,5433714,7329055,12270888,14469378,14529751,14744992,14688042,- -,- -,- -,14648865,- -,15069361
67,Total Stockholders Equity,-12983,-245926,-938761,-3271500,-6011042,-1389883,-146466,-1198686,-1091663,- -,- -,- -,-87073,-73109,716261
68,Total Liabilities And Stockholders Equity,2907,314984,930187,884621,619440,838175,1596248,122978,321516,- -,- -,- -,903390,610309,1792275
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2907,314984,930187,884621,619440,838175,1596248,122978,321516,- -,- -,- -,903390,610309,1792275
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346655/000117892412000064/0001178924-12-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000117892413000052/0001178924-13-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000121390014002479/0001213900-14-002479-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000121390015004327/0001213900-15-004327-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000134665516000040/0001346655-16-000040-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1346655/000101738621000080/0001017386-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000101738622000095/0001017386-22-000095-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-34532,-3707762,-1672494,-4191682,-7787877,2236317,1194051,1194051,-977,- -,- -,- -,1520563,43,789
74,Depreciation and Amortization,- -,1159,223750,354690,313257,74580,- -,4950,-61250,- -,- -,- -,3714,3714,4
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,557874,195452,194100,- -,- -,- -,- -,- -,- -,- -,- -,-45
77,Change in Working Capital,-15000,-530926,-1064083,-2002889,-1290943,4085386,611911,-1078834,110737,- -,- -,- -,1073943,17678,793084
78,Accounts Receivable,413,-1050,1580,19819,101502,-144698,-34527,287094,- -,- -,- -,- -,-26820,15572,25
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,890,305543,1115691,364767,159371,-35102,80043,48976,- -,- -,- -,- -,-474442,-64000,-11
81,Other Working Capital,-15000,-545926,-1610009,-3612898,-4903841,-818455,-206544,-1285378,-1174641,- -,- -,- -,-100698,-83020,710064
82,Other Non-Cash Items,23359,3384985,2391846,4165358,7444421,-7160205,-2123019,-2163859,88976,- -,- -,- -,-1678679,-210646,-793151
83,Cash Provided by Operating Activities,-26173,-852544,-120981,-1116649,-1125690,-569822,-317057,-2043692,137486,- -,- -,- -,919541,-189211,681
84,CAPEX,- -,- -,- -,-11287,-15999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,-900000,- -,-26783,- -,-4841,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,32776,- -,- -,658021,1260990,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-250000,- -,- -,- -,- -,- -,64766,- -,- -,- -,-39000,-29010,- -
89,Cash Used for Investing Activites,- -,-900000,-250000,-5294,-15999,-4841,658021,1260990,64766,- -,- -,- -,-39000,-29010,- -
90,Debt Repayment,- -,-24532,- -,-125000,-88110,-41440,-207000,- -,- -,- -,- -,- -,-275660,-198187,- -
91,Common Stock Issued,- -,263975,180000,167500,217000,21104,- -,15000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15000,314000,210015,1060170,1364308,495344,104500,319000,- -,- -,- -,- -,25000,45792,-497
95,Cash Used/Provided by Financing Activities,15000,553443,390015,1102670,1493198,475008,-102500,334000,- -,- -,- -,- -,-250660,-152395,-497
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-11173,-1199101,19034,-19273,351509,-99655,238464,-448702,202252,- -,- -,- -,629881,-370616,-410541
98,Cash at the End of Period,2664,13934,32968,13695,365204,238124,476588,27886,230138,- -,- -,- -,781752,411136,595
99,Cash at the Beginning of Period,13837,1213035,13934,32968,13695,337779,238124,476588,27886,- -,- -,- -,151871,781752,411136
100,Free Cash Flow,-26173,-852544,-120981,-1127936,-1141689,-569822,-317057,-2043692,137486,- -,- -,- -,919541,-189211,681
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346655/000117892412000064/0001178924-12-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000117892413000052/0001178924-13-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000121390014002479/0001213900-14-002479-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000121390015004327/0001213900-15-004327-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000134665516000040/0001346655-16-000040-index.htm,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1346655/000101738621000080/0001017386-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1346655/000101738622000095/0001017386-22-000095-index.htm
102,false,,,,,,,,,,,,,,,
