,https://roic.ai/company/BTIM,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622231/000164033420000176/0001640334-20-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1622231/000164033420002995/0001640334-20-002995-index.htm,https://www.sec.gov/Archives/edgar/data/1622231/000164033422000006/0001640334-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-34337,-87373,-35997,-77849,-156018,-409914,-3116169
74,Depreciation and Amortization,- -,- -,- -,- -,- -,87762,198254
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,62500,595824
77,Change in Working Capital,38903,-44440,77198,-77849,-661212,-680842,68087
78,Accounts Receivable,- -,- -,- -,- -,- -,-34265,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,64489,- -,- -
81,Other Working Capital,-39208,-83648,-6450,-84299,-745511,-1426353,- -
82,Other Non-Cash Items,1,85373,-41088,155698,791212,431302,809640
83,Cash Provided by Operating Activities,4567,-46440,113,- -,-26018,-509192,-1444364
84,CAPEX,- -,- -,- -,- -,-70298,-11350,-333243
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-70298,-259156,-321562
89,Cash Used for Investing Activites,- -,- -,- -,- -,-70298,-270506,-333243
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-47962
91,Common Stock Issued,- -,42000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,111946,822733,1769026
95,Cash Used/Provided by Financing Activities,- -,42000,- -,- -,111946,822733,1721064
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-407,-20299,87943
97,Net Change In Cash,4567,-4440,113,- -,15223,22736,31400
98,Cash at the End of Period,4795,355,468,468,15691,38427,69827
99,Cash at the Beginning of Period,228,4795,355,468,468,15691,38427
100,Free Cash Flow,4567,-46440,113,- -,-96316,-779698,-1777607
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622231/000164033420000176/0001640334-20-000176-index.htm,https://www.sec.gov/Archives/edgar/data/1622231/000164033420002995/0001640334-20-002995-index.htm,https://www.sec.gov/Archives/edgar/data/1622231/000164033422000006/0001640334-22-000006-index.htm
102,false,,,,,,,
