,https://roic.ai/company/XDSL,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825322/000120445907001495/0001204459-07-001495-index.html,https://www.sec.gov/Archives/edgar/data/825322/000120445908001976/0001204459-08-001976-index.html,https://www.sec.gov/Archives/edgar/data/825322/000120445910001694/0001204459-10-001694-index.htm,- -,https://www.sec.gov/Archives/edgar/data/825322/000120445911002505/0001204459-11-002505-index.html,https://www.sec.gov/Archives/edgar/data/825322/000106299312003770/0001062993-12-003770-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390013005438/0001213900-13-005438-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390014006943/0001213900-14-006943-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390015007640/0001213900-15-007640-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018007482/0001213900-18-007482-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018007823/0001213900-18-007823-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018015287/0001213900-18-015287-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315219015506/0001493152-19-015506-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315221000239/0001493152-21-000239-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315221025336/0001493152-21-025336-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,160000,- -,7977860,6432417,31005,47065,396860,90045,351185,1359925,23253,15533,100138,228437,1744,39913,1055,125423,2868,4717,4163,261,33996,142,2473386
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,160000,- -,7977860,6432417,31005,47065,396860,90045,351185,1359925,23253,15533,100138,228437,1744,39913,1055,125423,2868,4717,4163,261,33996,142,2473386
34,Net Receivables,10000,- -,510500,401186,292434,273780,397135,950100,993841,106237,501961,4000,46065,2822478,50000,- -,- -,83428,8502,- -,- -,- -,2526155,14048,15784081
35,Inventory,- -,- -,- -,- -,4303895,3342716,2103328,1237972,490142,161270,505910,- -,- -,98807,102532,86494,70684,594320,218653,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10000,20000,98100,578726,956979,830589,100329,81061,25622,66777,442585,121882,153636,208707,35242,26653,23013,57239,36868,25171,4527,- -,8820,35,661181
37,Total Current Assets,180000,20000,8586460,7412329,5584313,4494150,2997652,2359178,1860790,1694209,1473709,141415,299839,3358429,189518,153060,94752,860410,266891,29888,8690,261,2568971,14226,18918648
38,PP&E,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33,16518
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6020,4,3669
40,Intangible Assets,110000,- -,1742693,1338520,1026524,685349,184587,161605,141451,87579,51140,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3025801,2835,2079047
41,Intangible Assets,110000,- -,1742693,1338520,1026524,685349,184587,161605,141451,87579,51140,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3031821,2839,2082716
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2150000,294952,2433397,2386345,1763016,599410,69935,229942,400120,282801,2209418,3189648,2526311,45114,33141,17169,3001,23823,3631,1483,800,14106,- -,3645
45,Total Non-Current Assets,190000,2150000,2037645,3771917,3412869,2448365,783997,231540,371393,487699,333941,2209418,3189648,2526311,45114,33141,17169,3001,23823,3631,1483,800,3045927,2871,2102879
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,370000,2170000,10624105,11184246,8997182,6942515,3781649,2590718,2232183,2181908,1807650,2350833,3489487,5884740,234632,186201,111921,863411,290714,33519,10173,1061,5614898,17097,21021527
48,Accounts Payable,170000,- -,433769,1520505,5116029,2819245,2352961,2088658,1691338,1638322,2355250,2076965,1864956,539444,748560,826379,1089617,1150397,1023344,565714,442746,421056,366274,7898,4158006
49,Short-Term Debt,- -,- -,- -,- -,- -,353339,762735,850803,690537,318058,397640,498858,1573220,946169,952210,600844,1384272,2097562,979630,2274428,2397186,1908884,992262,1117630,3115196
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,214180,214180,214180,- -,- -,23708,- -,- -,- -,- -,- -,- -,- -,26691,- -,- -,- -,- -,- -,350689
52,Other Current Liabilities,220000,3090000,3216330,2335237,1926511,708065,1073107,1316989,1153333,831613,1785550,1418611,852308,1672289,1426636,2416616,2030980,492494,516321,1568625,1679184,1663590,3650724,-1114104,1538850
53,Total Current Liabilities,390000,3090000,3650099,3855742,7042540,4094829,4402983,4470630,3535208,2787993,4562148,3994434,4290484,3157902,3127406,3843839,4504869,3740453,2545986,4408767,4519116,3993530,5009260,11424,9162741
54,Long-Term Debt,- -,- -,- -,- -,- -,1014218,1046303,419500,100000,- -,- -,1161252,4433171,10571562,2699000,1845129,502548,40000,1352168,- -,- -,- -,- -,- -,146890
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,90000,1876317,1561249,618550,214710,- -,- -,- -,- -,- -,- -,- -,- -,637543,235425,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,90000,2890535,2607552,1038050,314710,- -,- -,1161252,4433171,10571562,2699000,1845129,502548,677543,1587593,- -,- -,- -,- -,- -,146890
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,390000,2175000,3650099,3855742,7132540,6985364,7010535,5508680,3849918,2787993,4562148,5155686,8723655,13729464,5826406,5688968,5007417,4417996,4133579,4408767,4519116,3993530,5009260,11591,9309631
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,10,10
63,Common Stock,760000,- -,18239120,314045,413445,608075,714535,888999,1450489,2782360,3878460,4403950,8704197,11637519,16285022,3666051,5071164,13850574,15941987,17772643,17764712,16860514,116890,192,785844
64,Retained Earnings,-780000,- -,-27960649,-66122191,-90120925,-101366286,-108016497,-115775083,-127009407,-151460057,-168311619,-172268340,-187798019,-194157564,-194643955,-203430907,-203691541,-209636008,-210734771,-211681831,-211992596,-211678692,-213633853,- -,-226061409
65,Other Comprehensive Income/Loss,- -,- -,-77317,-77317,-1151979,-2333696,-2338121,-3105809,-2778808,-204472,-414084,-7973,-84156,-116421,-139551,-157522,-173494,-187662,-192787,-195870,-198818,-199501,-199501,113070,-11526
66,Other Total Stockholders Equity,- -,- -,16772852,73213967,92724101,103049058,106411197,115073931,126719991,148276084,162092745,165067510,173943810,174791742,172906710,194419611,193898375,192418511,191142706,189729810,189917759,191025210,214322092,5404303,236998977
67,Total Stockholders Equity,-20000,- -,6974006,7328504,1864642,-42849,-3228886,-2917962,-1617735,-606085,-2754498,-2804853,-5234168,-7844724,-5591774,-5502767,-4895496,-3554585,-3842865,-4375248,-4508943,-3992469,605638,5517575,11711896
68,Total Liabilities And Stockholders Equity,370000,1255000,10624105,11184246,8997182,6942515,3781649,2590718,2232183,2181908,1807650,2350833,3489487,5884740,234632,186201,111921,863411,290714,33519,10173,1061,5614898,5529166,21021527
69,Minority Interest,- -,915000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5512069,- -
70,Total Liabilities & Equity,370000,2170000,10624105,11184246,8997182,6942515,3781649,2590718,2232183,2181908,1807650,2350833,3489487,5884740,234632,186201,111921,863411,290714,33519,10173,1061,5614898,17097,21021527
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825322/000120445907001495/0001204459-07-001495-index.html,https://www.sec.gov/Archives/edgar/data/825322/000120445908001976/0001204459-08-001976-index.html,https://www.sec.gov/Archives/edgar/data/825322/000120445910001694/0001204459-10-001694-index.htm,- -,https://www.sec.gov/Archives/edgar/data/825322/000120445911002505/0001204459-11-002505-index.html,https://www.sec.gov/Archives/edgar/data/825322/000106299312003770/0001062993-12-003770-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390013005438/0001213900-13-005438-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390014006943/0001213900-14-006943-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390015007640/0001213900-15-007640-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018007482/0001213900-18-007482-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018007823/0001213900-18-007823-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018015287/0001213900-18-015287-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315219015506/0001493152-19-015506-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315221000239/0001493152-21-000239-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315221025336/0001493152-21-025336-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-780000,-4341000,-22838344,-38161542,-23998734,-11245361,-6650211,-7758586,-11234224,-24450650,-16851562,-3956721,-15529677,-7365745,-486391,-8786952,-260634,-5944467,-1098763,-1146838,-310765,313904,-1955161,-14093567,1666011
74,Depreciation and Amortization,10000,70000,454494,756055,1235213,1653346,1425952,736099,280590,206935,218237,246355,117943,37356,23130,17971,15972,14168,5125,3083,2948,683,- -,929924,925037
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2770544,- -,- -,- -,- -,3819610,16335671,383131
77,Change in Working Capital,320000,-2860000,8006361,-1379774,-5014814,1857548,-1804652,-706121,437034,580634,-1994655,-764580,-137626,4191172,-3138415,-752891,-719338,1530074,600948,-2099784,-131547,517157,1552980,2443091,9753105
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42065,-76413,122478,- -,- -,-83745,21092,8062,440,- -,-2500000,-11521940,-27985986
79,Inventory,- -,- -,- -,- -,-4303895,961179,1449628,865355,533030,328872,-344640,- -,- -,-98807,-3725,3228,15810,-523635,320978,195102,20074,3477,- -,- -,- -
80,Accounts Payable,- -,-2060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23067514
81,Other Working Capital,-210000,-3070000,4936361,3556587,-1458227,399321,-1405331,-2111452,-1674418,-1093784,-3088439,-3853019,-3990645,200527,-2937888,-3690779,-4410117,-2880043,-2279095,-4378879,-4510426,-3993269,-2440289,2802,9755907
82,Other Non-Cash Items,- -,5311000,8456419,21004021,14093282,4999062,5816193,3501107,2720636,12044127,9565169,823621,12949451,-628316,1836170,8429928,269324,4010,-300714,3032593,383533,-1004972,-3621399,-5496523,-14247987
83,Cash Provided by Operating Activities,-450000,-1820000,-5921070,-17781240,-13685053,-2735405,-1212718,-4227501,-7795964,-11618954,-9062811,-3651325,-2599909,-3765533,-1765506,-1091944,-694676,-1625671,-793404,-210946,-55831,-173228,-203970,118596,-1520703
84,CAPEX,-80000,-30000,-280744,-1348210,-705577,-31445,-73305,-104001,-121476,-340493,-114480,-61832,-8173,-15000,-5933,-7129,- -,- -,-8838,- -,- -,- -,-59852,- -,-3064
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-60000,- -,-59907,-38272,-148127,-74649,- -,-40893,-34167,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59852,69447,-3064
89,Cash Used for Investing Activites,-140000,-30000,-340651,-1386482,-853704,-106094,-73305,-144894,-155643,-340493,-114480,-171832,-8173,-15000,-5933,-7129,- -,- -,-8838,- -,- -,- -,-59852,69447,-3064
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-602168,-74254,-11486,-84235,-42080,-185647,-155193,-16904,-1078,- -,- -,-1278095
91,Common Stock Issued,- -,- -,14449581,17622279,8137345,2977750,1090474,3964558,8393717,13065375,7761037,2294247,720000,225000,215500,322428,567053,1660263,676500,180000,40500,81000,193000,347000,- -
92,Common Stock Repurchased,750000,1480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,210000,-210000,- -,- -,-120191,545172,101022,-180970,-97188,79582,1521190,1972687,4286000,1403500,826300,173000,131856,135000,187988,31681,89404,104557,922933,5257431
95,Cash Used/Provided by Financing Activities,750000,1690000,14239581,17622279,8137345,2857559,1635646,4065580,8212747,12968187,7840619,3815437,2692687,3908832,1544746,1137242,655818,1750039,625853,212795,55277,169326,297557,1269933,3979336
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113070,-124596
97,Net Change In Cash,160000,-160000,- -,-1545443,-6401412,16060,349623,-306815,261140,1008740,-1336672,-7720,84605,128299,-226693,38169,-38858,124368,-176389,1849,-554,-3902,33735,108417,2330973
98,Cash at the End of Period,160000,- -,7977860,6432417,31005,47065,396688,90045,351185,1359925,23253,15533,100138,228437,1744,39913,1055,125423,2868,4717,4163,261,33996,142413,2473386
99,Cash at the Beginning of Period,- -,160000,- -,7977860,6432417,31005,47065,396860,90045,351185,1359925,23253,15533,100138,228437,1744,39913,1055,179257,2868,4717,4163,261,33996,142413
100,Free Cash Flow,-530000,-1850000,-6201814,-19129450,-14390630,-2766850,-1286023,-4331502,-7917440,-11959447,-9177291,-3713157,-2608082,-3780533,-1771439,-1099073,-694676,-1625671,-802242,-210946,-55831,-173228,-263822,118596,-1523767
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825322/000120445907001495/0001204459-07-001495-index.html,https://www.sec.gov/Archives/edgar/data/825322/000120445908001976/0001204459-08-001976-index.html,https://www.sec.gov/Archives/edgar/data/825322/000120445910001694/0001204459-10-001694-index.htm,- -,https://www.sec.gov/Archives/edgar/data/825322/000120445911002505/0001204459-11-002505-index.html,https://www.sec.gov/Archives/edgar/data/825322/000106299312003770/0001062993-12-003770-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390013005438/0001213900-13-005438-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390014006943/0001213900-14-006943-index.html,https://www.sec.gov/Archives/edgar/data/825322/000121390015007640/0001213900-15-007640-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018007482/0001213900-18-007482-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018007823/0001213900-18-007823-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000121390018015287/0001213900-18-015287-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315219015506/0001493152-19-015506-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315221000239/0001493152-21-000239-index.htm,https://www.sec.gov/Archives/edgar/data/825322/000149315221025336/0001493152-21-025336-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
