,https://roic.ai/company/NETI,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-19.20,-102.00,-238.60,-22.20,-8.30,-1.80,6.40,-70.85,3.83
27,Weighted Average Shares Outstanding,332708,1146602,2141017,5617400,7179400,7182700,6808700,9484000,6808700
28,Weighted Average Shares Outstanding Diluted,332708,1146602,2141017,5617400,7179400,7182700,6953200,9484000,6808700
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,733896000,272673000,200300000,101734000,68535000,67495000,42530000,84002000,153977000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,733896000,272673000,200300000,101734000,68535000,67495000,42530000,84002000,153977000
34,Net Receivables,- -,42373000,8197000,4240000,6555000,7338000,5954000,14877000,25420000
35,Inventory,- -,- -,- -,- -,3674000,3595000,6371000,10614000,- -
36,Other Current Assets,61000,47653000,184135000,9506000,3791000,5671000,10431000,12110000,9681000
37,Total Current Assets,733957000,362699000,392632000,115480000,82555000,84099000,65286000,121603000,189078000
38,PP&E,371692000,933477000,1052736000,1414081000,1541492000,1507918000,1271993000,- -,558259000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4518000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4518000
42,Investments,- -,- -,- -,- -,- -,92281000,173298000,24116000,27607000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,30317000
44,Other Non-Current Assets,35000,28029000,40068000,17596000,19363000,19528000,154982000,722476000,4549000
45,Total Non-Current Assets,371727000,961506000,1092804000,1431677000,1560855000,1619727000,1600273000,746592000,625250000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1105684000,1324205000,1485436000,1547157000,1643410000,1703826000,1665559000,868195000,814328000
48,Accounts Payable,1472000,7934000,11934000,4612000,3907000,4948000,4984000,4695000,28744000
49,Short-Term Debt,- -,3300000,110226000,13480000,46993000,133563000,44956000,13226000,87650000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,4058000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,12275000
52,Other Current Liabilities,- -,9108000,4904000,6458000,7690000,14103000,73893000,69095000,4058000
53,Total Current Liabilities,1472000,20342000,127064000,24550000,58590000,152614000,123833000,87016000,132727000
54,Long-Term Debt,- -,103875000,423841000,565992000,649693000,621179000,332613000,157511000,53015000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,17747000,69229000,334146000,351070000,2389000
58,Total Non-Current Liabilities,- -,103875000,423841000,565992000,667440000,690408000,666759000,508581000,55404000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,18891000,73823000,350805000,383747000,- -
61,Total Liabilities,1472000,124217000,550905000,590542000,726030000,843022000,790592000,595597000,188131000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1334000,1803000,287000,753000,762000,796000,809000,859000,1124000
64,Retained Earnings,-6307000,-122872000,-633661000,-758496000,-818222000,-830920000,-786266000,-1458248000,-1432168000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,290000
66,Other Total Stockholders Equity,1109185000,1321057000,1567905000,1714358000,1734840000,1690928000,1660424000,1729987000,2056951000
67,Total Stockholders Equity,1104212000,1199988000,934531000,956615000,917380000,860804000,874967000,272598000,626197000
68,Total Liabilities And Stockholders Equity,1105684000,1324205000,1485436000,1547157000,1643410000,1703826000,1665559000,868195000,814328000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1105684000,1324205000,1485436000,1547157000,1643410000,1703826000,1665559000,868195000,814328000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-6307000,-116565000,-510789000,-124835000,-59726000,-12698000,44654000,-671983000,26079000
74,Depreciation and Amortization,- -,686000,14263000,36562000,48510000,56607000,54224000,48369000,10804000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-6066000
76,Stock Based Compensation,3359000,23869000,24599000,18609000,12645000,7880000,8956000,- -,- -
77,Change in Working Capital,711000,-13967000,-4225000,-1005000,-4873000,1897000,5223000,59087000,48111000
78,Accounts Receivable,- -,-17716000,- -,1146000,-882000,-2356000,-197000,-7877000,63283000
79,Inventory,- -,- -,- -,- -,1982000,-1798000,5259000,24688000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-42039000
81,Other Working Capital,-35000,-15170000,-4928000,5656000,-7568000,-195000,2993000,9314000,- -
82,Other Non-Cash Items,- -,55637000,441010000,18473000,23026000,16760000,-79177000,525692000,-70687000
83,Cash Provided by Operating Activities,-2237000,-50340000,-35142000,-52196000,19582000,70446000,33880000,-38835000,8241000
84,CAPEX,-371692000,-651505000,-875970000,-408307000,-217033000,-23034000,-32610000,- -,-36464000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,89874000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-31277000,219894000,172931000,44340000,-99459000,53841000,195505000,496969000
89,Cash Used for Investing Activites,-371692000,-682782000,-656076000,-235376000,-172693000,-122493000,53841000,195505000,550379000
90,Debt Repayment,- -,- -,-62669000,-185239000,-153003000,-358858000,-409002000,-377334000,-651422000
91,Common Stock Issued,1107825000,187615000,217997000,128112000,- -,- -,- -,82254000,165896000
92,Common Stock Repurchased,- -,- -,- -,- -,-11004000,-45716000,- -,-16724000,-1407000
93,Dividends Paid,- -,- -,- -,- -,-1509000,-6042000,-5748000,-3234000,-1712000
94,Other Financing Activites,- -,84284000,463517000,246133000,285428000,461623000,302064000,199840000,- -
95,Cash Used/Provided by Financing Activities,1107825000,271899000,618845000,189006000,119912000,51007000,-112686000,-115198000,-488645000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-461223000,-72373000,-98566000,-33199000,-1040000,-24965000,41472000,69975000
98,Cash at the End of Period,733896000,272673000,200300000,101734000,68535000,67495000,42530000,84002000,153977000
99,Cash at the Beginning of Period,- -,733896000,272673000,200300000,101734000,68535000,67495000,42530000,84002000
100,Free Cash Flow,-373929000,-701845000,-911112000,-460503000,-197451000,47412000,33880000,-38835000,-28223000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,
