,https://roic.ai/company/AMSIY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12,Interest Income ,- -,- -,- -,362000000,442000000,- -,199000000,71000000,- -,13000000,12000000,17000000,15000000,75000000,74000000,93000000,101000000,112000000
13,Interest Expense (Gain),- -,- -,- -,169000000,117000000,238000000,276000000,85000000,- -,325000000,324000000,594000000,771000000,841000000,1221000000,1288000000,1197000000,673000000
14,Depreciation and Amortization,920000000,964000000,1131000000,1150000000,1088000000,1310000000,1292000000,1371000000,1409000000,1598000000,1563000000,1410000000,1369000000,1055000000,976000000,831000000,830000000,556000000
15,EBITDA,3364000000,8326000000,8547000000,8027000000,9376000000,14794000000,1125000000,3293000000,1535000000,1231000000,-311000000,1386000000,-7688000000,-2791000000,-2929000000,3426000000,-2719000000,-682000000
16,EBITDA ratio,0.1820,0.3612,0.3557,0.3165,0.3196,0.3706,0.0439,0.1090,0.0488,0.0381,-0.0096,0.0398,-0.2469,-0.0853,-0.0751,0.0757,-0.0658,-0.0277
17,Operating Income,2394000000,7149000000,6844000000,5833000000,7703000000,12159000000,229000000,2151000000,297000000,-477000000,47000000,-301000000,-4736000000,-1092000000,-1220000000,2777000000,-2359000000,-924000000
18,Operating Income ratio,0.1295,0.3101,0.2848,0.2300,0.2626,0.3046,0.0089,0.0712,0.0094,-0.0148,0.0014,-0.0086,-0.1521,-0.0334,-0.0313,0.0613,-0.0570,-0.0375
19,Total Other Income Expenses (Gains),50000000,213000000,572000000,875000000,468000000,1087000000,-672000000,-314000000,-171000000,-215000000,-2245000000,-317000000,-5092000000,-3595000000,-3906000000,-1470000000,-2387000000,-987000000
20,Income Before Tax,2444000000,7362000000,7416000000,6708000000,8171000000,13246000000,-443000000,1837000000,126000000,-692000000,-2198000000,-618000000,-9828000000,-4687000000,-5126000000,1307000000,-4746000000,-1911000000
21,Income Before Tax Ratio,0.1322,0.3194,0.3086,0.2645,0.2786,0.3319,-0.0173,0.0608,0.0040,-0.0214,-0.0678,-0.0177,-0.3156,-0.1432,-0.1314,0.0289,-0.1148,-0.0775
22,Income Tax expense (Gain),840000000,2485000000,2346000000,2062000000,2455000000,3865000000,35000000,492000000,118000000,-184000000,-51000000,-460000000,-1193000000,19000000,2000000,-63000000,-70000000,62000000
23,Net Income,1604000000,4877000000,5070000000,4646000000,5716000000,9381000000,-478000000,1345000000,8000000,-508000000,-2147000000,-158000000,-8635000000,-4706000000,-5128000000,1370000000,-4676000000,-1973000000
24,Net Income ratio,0.0868,0.2116,0.2110,0.1832,0.1949,0.2350,-0.0187,0.0445,0.0003,-0.0157,-0.0662,-0.0045,-0.2773,-0.1438,-0.1314,0.0303,-0.1131,-0.0801
25,EPS,3.99,12.14,12.63,11.58,14.24,23.39,-1.13,3.35,0.02,-1.27,-5.35,-0.39,-21.52,-4.43,-4.69,1.25,-4.28,-1.80
26,EPS Diluted,3.98,12.11,12.61,11.57,14.21,23.30,-1.13,3.35,0.02,-1.27,-5.35,-0.39,-21.52,-4.43,-4.69,1.25,-4.28,-1.80
27,Weighted Average Shares Outstanding,401444600,401444600,401444600,401221375,401221375,401221375,423050000,401202000,401202000,401202000,401202000,401202000,401202000,1062364285,1093509570,1093509570,1093509570,1098828738
28,Weighted Average Shares Outstanding Diluted,402344700,402344700,402344700,401848744,402391505,402734443,423684000,401532000,401444000,401202000,401202000,401202000,401202000,1062364285,1093509570,1093509570,1093509570,1098828738
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1107000000,4064000000,5241000000,7750000000,4034000000,8429000000,4348000000,3506000000,439000000,884000000,1298000000,454000000,2164000000,1499000000,3138000000,2525000000,1988000000,2524000000
32,Short-Term Investments,- -,- -,- -,- -,94000000,- -,83000000,112000000,1000000,11000000,17000000,37000000,38000000,46000000,4000000,- -,- -,- -
33,Cash and Short-Term Investments,1107000000,4064000000,5241000000,7750000000,4128000000,8429000000,4431000000,3618000000,440000000,895000000,1315000000,491000000,2202000000,1545000000,3142000000,2525000000,1988000000,2524000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1834000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,2817000000,3105000000,3910000000,4775000000,4790000000,8642000000,5767000000,7156000000,9935000000,8761000000,10553000000,10684000000,9385000000,11274000000,11519000000,12179000000,8700000000,7348000000
36,Other Current Assets,1574000000,2481000000,2032000000,2401000000,2400000000,2205000000,2096000000,- -,2474000000,1823000000,2245000000,1626000000,1741000000,1993000000,3470000000,4160000000,3051000000,2604000000
37,Total Current Assets,5498000000,9650000000,11183000000,14926000000,11318000000,19276000000,12294000000,12608000000,12849000000,11479000000,14113000000,12801000000,13328000000,14812000000,18131000000,18864000000,13739000000,12476000000
38,PP&E,12218000000,12930000000,13133000000,14526000000,15525000000,15917000000,15862000000,16432000000,16618000000,16068000000,14702000000,16001000000,11859000000,10670000000,8474000000,8995000000,7974000000,7675000000
39,Goodwill,32000000,11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,32000000,30000000,74000000,58000000,58000000,71000000,72000000,- -,- -,121000000,146000000,135000000,112000000,103000000,82000000,73000000,70000000,72000000
41,Intangible Assets,64000000,41000000,74000000,58000000,58000000,71000000,72000000,84000000,126000000,121000000,146000000,135000000,112000000,103000000,82000000,73000000,70000000,72000000
42,Investments,- -,- -,- -,- -,1210000000,- -,2473000000,2594000000,2828000000,3219000000,3737000000,4052000000,5130000000,4700000000,4475000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,794000000,1108000000,1363000000,1091000000,94000000,2171000000,83000000,- -,1000000,11000000,17000000,37000000,533000000,361000000,34000000,628000000,678000000,1586000000
45,Total Non-Current Assets,13076000000,14079000000,14570000000,15675000000,16887000000,18159000000,18490000000,19110000000,19573000000,19419000000,18602000000,20225000000,17634000000,15834000000,13065000000,9696000000,8722000000,9333000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18574000000,23729000000,25753000000,30601000000,28205000000,37435000000,30784000000,31718000000,32422000000,30898000000,32715000000,33026000000,30962000000,30646000000,31196000000,28560000000,22461000000,21809000000
48,Accounts Payable,2074000000,2305000000,2647000000,- -,2873000000,3384000000,3496000000,4020000000,- -,3453000000,5720000000,6402000000,7761000000,10053000000,11300000000,12304000000,9391000000,8420000000
49,Short-Term Debt,- -,- -,10000000,93000000,98000000,73000000,- -,147000000,164000000,234000000,1108000000,1092000000,5092000000,2020000000,3770000000,315000000,1176000000,2479000000
50,Tax Payable,- -,857000000,- -,- -,- -,780000000,8000000,- -,- -,97000000,6000000,18000000,- -,- -,82000000,91000000,93000000,106000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1226000000,2387000000,188000000,3320000000,378000000,1209000000,731000000,403000000,5115000000,878000000,1094000000,1369000000,1313000000,1700000000,2276000000,2344000000,1773000000,1893000000
53,Total Current Liabilities,3300000000,4692000000,2845000000,3413000000,3349000000,4666000000,4227000000,4570000000,5279000000,4565000000,7922000000,8863000000,14166000000,13773000000,17346000000,14963000000,12340000000,12792000000
54,Long-Term Debt,92000000,81000000,71000000,563000000,380000000,360000000,777000000,739000000,692000000,696000000,757000000,256000000,193000000,124000000,2754000000,2746000000,4282000000,4558000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1122000000,1708000000,2032000000,2355000000,2603000000,2526000000,2435000000,2354000000,2310000000,2031000000,1747000000,1204000000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1084000000,1201000000,1288000000,1327000000,1290000000,1888000000,1420000000,1499000000,1472000000,1364000000,1595000000,1981000000,3131000000,3206000000,3038000000,2890000000,2434000000,2115000000
58,Total Non-Current Liabilities,2298000000,2990000000,3391000000,4245000000,4273000000,4774000000,4632000000,4592000000,4474000000,4091000000,4099000000,3441000000,3324000000,3330000000,5792000000,5636000000,6716000000,6673000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,595000000,416000000,354000000,557000000,574000000,508000000,503000000,852000000,348000000,256000000,194000000,124000000,61000000,100000000,73000000
61,Total Liabilities,5598000000,7682000000,6236000000,7658000000,7622000000,9440000000,8859000000,9162000000,9753000000,8656000000,12021000000,12304000000,17490000000,17103000000,23138000000,20599000000,19056000000,19465000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,6389000000,6389000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,4537000000,4537000000,4537000000,4537000000,4537000000
64,Retained Earnings,- -,- -,12518000000,15870000000,19789000000,26455000000,24232000000,24994000000,24863000000,24383000000,22271000000,21979000000,13260000000,8425000000,3158000000,7083000000,2436000000,1522000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-2475000000,- -,-18822000000,-22291000000,-23583000000,-28365000000,-31204000000,-34222000000,-31165000000,-33186000000,-33674000000
66,Other Total Stockholders Equity,- -,- -,601000000,684000000,757000000,1503000000,-2344000000,- -,-2231000000,16644000000,20677000000,22289000000,28540000000,31785000000,34585000000,27506000000,29618000000,29959000000
67,Total Stockholders Equity,12966000000,16033000000,19508000000,22943000000,20583000000,27995000000,21925000000,22556000000,22669000000,22242000000,20694000000,20722000000,13472000000,13543000000,8058000000,7961000000,3405000000,2344000000
68,Total Liabilities And Stockholders Equity,18564000000,23715000000,25744000000,30601000000,28205000000,37435000000,30784000000,31718000000,32422000000,30898000000,32715000000,33026000000,30962000000,30646000000,31196000000,28560000000,22461000000,21809000000
69,Minority Interest,10000000,14000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18574000000,23729000000,25753000000,30601000000,28205000000,37435000000,30784000000,31718000000,32422000000,30898000000,32715000000,33026000000,30962000000,30646000000,31196000000,28560000000,22461000000,21809000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,1604000000,4877000000,5070000000,4646000000,5716000000,9381000000,-478000000,1345000000,8000000,-508000000,-2147000000,-158000000,-8635000000,-4706000000,-5128000000,1370000000,-4676000000,-1973000000
74,Depreciation and Amortization,920000000,964000000,1131000000,1150000000,1088000000,1310000000,1292000000,1371000000,1409000000,1598000000,1563000000,1410000000,1369000000,1055000000,976000000,831000000,830000000,556000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,73000000,32000000,- -,17000000,19000000,23000000,55000000,63000000,68000000,10000000,56000000,34000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,2878000000,-1100000000,-2813000000,713000000,-138000000,998000000,1647000000,658000000,-221000000,-1123000000,1583000000,1821000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,2903000000,-1544000000,- -,1110000000,-1775000000,-41000000,1112000000,-1830000000,-353000000,-520000000,3415000000,1555000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-1127000000,-602000000,-3447000000,-2333000000,-2181000000,-5180000000,-2072000000,-311000000,-16000000,-44000000,1787000000,-529000000,4457000000,3020000000,2787000000,-201000000,2336000000,184000000
83,Cash Provided by Operating Activities,1397000000,5239000000,2754000000,3463000000,4623000000,5511000000,1693000000,1337000000,-1412000000,1776000000,1084000000,1744000000,-1107000000,90000000,-1518000000,887000000,129000000,622000000
84,CAPEX,-1278000000,-1254000000,-1568000000,-1446000000,-1852000000,-1832000000,-914000000,-1714000000,-1190000000,-875000000,-1569000000,-2713000000,-1256000000,-2008000000,-1324000000,-1256000000,-1491000000,-509000000
85,Acquisitions Net,- -,- -,- -,- -,-16000000,- -,-524000000,-120000000,-180000000,-369000000,-53000000,37000000,-8000000,-11000000,-11000000,3221000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,30000000,8000000,49000000,183000000,116000000,19000000,91000000,-1586000000,-1032000000,-690000000,-1428000000,-2572000000,-1032000000,-1599000000,-980000000,-931000000,-1335000000,-12000000
89,Cash Used for Investing Activites,-1248000000,-1246000000,-1519000000,-1263000000,-1752000000,-1813000000,-1347000000,-1706000000,-1212000000,-1125000000,-1545000000,-2608000000,-1140000000,-1945000000,-1313000000,1984000000,-1479000000,-505000000
90,Debt Repayment,- -,- -,- -,- -,-10000000,-11000000,- -,-43000000,-45000000,-10000000,- -,- -,- -,-3079000000,- -,-3400000000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3918000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-892000000,-339000000,-2853000000,-1261000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,801000000,-697000000,2799000000,1172000000,-6425000000,-110000000,-157000000,-331000000,-571000000,-221000000,674000000,77000000,3937000000,-62000000,4310000000,-87000000,810000000,1257000000
95,Cash Used/Provided by Financing Activities,-91000000,-1036000000,-54000000,-89000000,-6435000000,-121000000,-4075000000,-374000000,-616000000,-231000000,674000000,77000000,3937000000,1359000000,4310000000,-3487000000,810000000,1257000000
96,Effect of Forex Changes on Cash,-54000000,-1000000,-4000000,420000000,-152000000,818000000,-352000000,-99000000,173000000,25000000,94000000,50000000,20000000,-8000000,-1000000,3000000,3000000,-22000000
97,Net Change In Cash,58000000,2957000000,1177000000,2531000000,-3716000000,4395000000,-4081000000,-842000000,-3067000000,445000000,307000000,-737000000,1710000000,-504000000,1478000000,-613000000,-537000000,1352000000
98,Cash at the End of Period,1107000000,4064000000,5241000000,7750000000,4034000000,8429000000,4348000000,3506000000,439000000,884000000,1191000000,454000000,2164000000,1660000000,3138000000,2525000000,1988000000,3340000000
99,Cash at the Beginning of Period,1049000000,1107000000,4064000000,5219000000,7750000000,4034000000,8429000000,4348000000,3506000000,439000000,884000000,1191000000,454000000,2164000000,1660000000,3138000000,2525000000,1988000000
100,Free Cash Flow,119000000,3985000000,1186000000,2017000000,2771000000,3679000000,779000000,-377000000,-2602000000,901000000,-485000000,-969000000,-2363000000,-1918000000,-2842000000,-369000000,-1362000000,113000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1494,0.1765,0.158,0.1426,0.1457,0.1054,0.135,0.15061,0.12323,0.1176,0.09481,0.08639,0.06455,0.07275,0.08073,0.06955,0.07141,0.06801
