,https://roic.ai/company/QSEP,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-725704,-5467688,-5496220,-4950526,-13612606,-7243606,-17978177,-10790824,-9766824,-9664754,-14215719,-2838783,-21241941,-24551670,-7944453,-7721824,-1618000,-1704000,-998000,-2571000,-592000,-233000
20,Income Before Tax,- -,-362852,-2733844,-2748110,-2475043,-6806046,-3113199,-10180723,-6261943,-6051924,-6194150,-9494106,-10855747,-13091587,-10656209,-4006335,-4228954,-4000000,-4835000,-3059000,-5621000,-2415000,-1420000
21,Income Before Tax Ratio,- -,-36.3579,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-339.3574,-160.5626,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.6931,-Infinity,-Infinity,-96.7000,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,1169,1089,1020,-2766,1987,800,800,800,800,800,800,800,800,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2665,-362852,-2735013,-2749199,-2476063,-6803280,-3115186,-10181523,-6262743,-6052724,-6194950,-9494906,-10856547,-13092387,-10657009,-4006335,-4228954,-4000000,-4835000,-3059000,-5621000,-2415000,-1420000
24,Net Income ratio,-0.0213,-36.3579,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-339.3841,-160.5832,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.6931,-Infinity,-Infinity,-96.7000,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.02,-0.17,-0.15,-0.09,-0.19,-0.08,-0.28,-0.16,-0.11,-0.09,-0.12,-0.10,-0.10,-0.07,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.01,-0.00
26,EPS Diluted,-0.00,-0.02,-0.17,-0.15,-0.09,-0.19,-0.08,-0.28,-0.16,-0.11,-0.09,-0.12,-0.10,-0.10,-0.07,-0.02,-0.02,-0.02,-0.02,-0.01,-0.02,-0.01,-0.00
27,Weighted Average Shares Outstanding,15566389,15471530,16242407,18568861,26768958,35841225,38248575,35946022,38378845,55130756,65733871,81910267,104103109,128667391,160958284,180386712,182267719,192831810,217790405,246255784,290559027,316461135,316461135
28,Weighted Average Shares Outstanding Diluted,15566389,15471530,16242407,18568861,26768958,35841225,38248575,35946022,38378845,55130756,65733871,81910267,104103109,128667391,160958284,180386712,182267719,192831810,217790405,246255784,290559027,316461135,316461135
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103795/000101968712001150/0001019687-12-001150-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000101968713000952/0001019687-13-000952-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000101968714000875/0001019687-14-000875-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000101968715000976/0001019687-15-000976-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000101968716005472/0001019687-16-005472-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316817000736/0001683168-17-000736-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316818000868/0001683168-18-000868-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316819000862/0001683168-19-000862-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316820001019/0001683168-20-001019-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316821003050/0001683168-21-003050-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000168316822002165/0001683168-22-002165-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,107489,926052,84826,279821,244228,47660,59346,33611,101645,617797,1601791,4137068,2247557,349186,136000,204000,1153000,479000,52000,114000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,107489,926052,84826,279821,244228,47660,59346,33611,101645,617797,1601791,4137068,2247557,349186,136000,204000,1153000,479000,52000,114000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,21314,1380,80,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,30256,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,2602,9009,81232,20552,33195,16453,29425,77907,40132,56930,72225,50596,26000,38000,34000,96000,46000,14000
37,Total Current Assets,- -,- -,- -,107489,926052,87428,288830,346774,99848,92621,50064,131070,695704,1641923,4193998,2319782,399782,162000,242000,1187000,575000,98000,128000
38,PP&E,- -,- -,- -,23924,35244,35596,295374,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,152000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,4500,326523,205558,143219,111890,86103,85939,66004,41601,27776,28278,24000,48000,26000,25000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,23924,35244,35596,299874,326523,205558,143219,111890,86103,85939,66004,41601,27776,28278,24000,48000,26000,25000,16000,152000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,131413,961296,123024,588704,673297,305406,235840,161954,217173,781643,1707927,4235599,2347558,428060,186000,290000,1213000,600000,114000,280000
48,Accounts Payable,- -,- -,- -,553022,771483,64089,155456,233707,1040399,1193970,1707365,1413372,719530,792388,370047,580541,797335,1056000,1600000,1731000,1812000,2191000,1726000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,177926,2081466,381405,610883,86947,169542,- -,- -,139098,222195,348000,533000,909000,1050000,1335000,1541000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,441596,5991,1048871,1841423,1158358,1543327,1194330,1748315,5133153,2997853,3813059,790236,259507,190750,140000,31000,55000,7000,95000,1080000
53,Total Current Liabilities,- -,- -,- -,994618,777474,1112960,1996879,1569991,4665192,2769705,4066563,6633472,3886925,4605447,1160283,979146,1210280,1544000,2164000,2695000,2869000,3621000,4347000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1017208,1017208,1017208,- -,- -,- -,- -,1706343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,1017208,1017208,1017208,- -,- -,- -,- -,1706343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,2011826,1794682,2130168,1996879,1569991,4665192,2769705,5772906,6633472,3886925,4605447,1160283,979146,1210280,1544000,2164000,2695000,2869000,3621000,4453000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20236,34128,37784,31387,40082,46471,62941,71289,91453,114274,143668,176243,181028,183832,199045,234077,256123,310111,323182,355301
64,Retained Earnings,- -,- -,- -,-7851545,-10327608,-17130888,-20246074,-30427597,-36690340,-42743064,-48938014,-58432920,-69289467,-82381854,-93038863,-97045198,-101274152,-105274000,-110109000,-113168000,-118789000,-121204000,-122594000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-14417,-33762,-188219,-355599,-111193,-144224,-178246,-212963,-249040,-33355,-47180,-60242,-32000,-51000,-73000,-80000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,5950896,9460094,15100377,18840274,29679040,32639682,40257451,43399997,52103414,66282874,79589706,95971291,98279762,100368342,103748955,108051923,111502877,116289889,117373818,118065699
67,Total Stockholders Equity,- -,- -,- -,-1880413,-833386,-2007144,-1408175,-896694,-4359786,-2533865,-5610952,-6416299,-3105282,-2897520,3075316,1368412,-782220,-1358000,-1874000,-1482000,-2269000,-3507000,-4173000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,131413,961296,123024,588704,673297,305406,235840,161954,217173,781643,1707927,4235599,2347558,428060,186000,290000,1213000,600000,114000,280000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,131413,961296,123024,588704,673297,305406,235840,161954,217173,781643,1707927,4235599,2347558,428060,186000,290000,1213000,600000,114000,280000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103795/000101968712001150/0001019687-12-001150-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000101968713000952/0001019687-13-000952-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000101968714000875/0001019687-14-000875-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000101968715000976/0001019687-15-000976-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000101968716005472/0001019687-16-005472-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316817000736/0001683168-17-000736-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316818000868/0001683168-18-000868-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316819000862/0001683168-19-000862-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316820001019/0001683168-20-001019-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316821003050/0001683168-21-003050-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000168316822002165/0001683168-22-002165-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2665,-362852,-2735013,-2749199,-2476063,-6803280,-3115186,-10181523,-6262743,-6052724,-6194950,-9494906,-10856547,-13092387,-10657009,-4006335,-4228954,-4000000,-4835000,-3059000,-5621000,-2415000,-1420000
74,Depreciation and Amortization,- -,- -,191702,891674,868932,945222,515735,2439199,1740976,37530,33031,34022,34717,36077,15399,13825,13062,7000,19000,22000,7000,7000,59000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,645745,89802,230433,2240961,2070426,4764964,730726,728577,442000,888000,435000,383000,377000,45000
77,Change in Working Capital,501000,- -,1169,-888298,1035707,-1174110,-682517,484832,-3342127,1888260,-1339415,-2485903,3311181,227697,5997239,-1693079,-2151134,-571502,-540000,414000,-786000,-1229000,-696000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-21314,-8942,30256,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385701,-232243,-656470,-535514,85342,-510098,-36651,69000,393000,-66000,-149000,231000,235000
81,Other Working Capital,- -,- -,1169,-887129,148578,-1025532,-1708049,-1223217,-4565344,-2677084,-4016499,-6502402,-3191221,-2963524,3033715,1340636,-810498,-1382000,-1922000,-1508000,-2294000,-3523000,-4219000
82,Other Non-Cash Items,- -,4702,2369364,1948269,-1024437,4620704,714790,2059905,4691078,1313989,5892132,8573374,545736,6240602,-6032961,1427168,3042992,2496502,2682000,712000,3339000,2291000,1290000
83,Cash Provided by Operating Activities,498335,-358150,-172778,-797554,-1595861,-2411464,-2567178,-5197587,-3172816,-2167200,-1519400,-3142980,-4723952,-4517585,-5912368,-3527695,-2595457,-1626000,-1786000,-1476000,-2678000,-969000,-722000
84,CAPEX,- -,- -,-1041,-19860,-16525,-9037,-279123,-181106,-46415,-345,-1932,-11235,-32243,-16142,-7573,- -,-12914,-5000,-49000,- -,-6000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-503045,- -,- -,- -,- -,- -,- -,- -,- -,17477,- -,- -,- -,- -,27000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-503045,- -,-1041,-19860,-16525,-9037,-279123,-181106,-46415,17132,-1932,-11235,-32243,-16142,19427,- -,-12914,-5000,-49000,- -,-6000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5316,-55871,-10786,-101223,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,2419818,1466700,1420859,3786638,- -,- -,- -,- -,- -,- -,8428218,- -,- -,- -,38000,- -,- -,30000,40000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5267,357555,180375,918347,11131,112575,1620437,1556462,3022663,2167070,1551468,3233035,5373570,5517721,- -,1638184,710000,1418000,1865000,2425000,2010000,512000,744000
95,Cash Used/Provided by Financing Activities,5267,357555,180375,918347,2430949,1579275,3041296,5343100,3022663,2161754,1495597,3222249,5272347,5517721,8428218,1638184,710000,1418000,1903000,2425000,2010000,542000,784000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,557,357555,180375,100933,818563,-841226,194995,-35593,-196568,11686,-25735,68034,516152,983994,2535277,-1889511,-1898371,-213000,68000,949000,-674000,-427000,62000
98,Cash at the End of Period,595,- -,6556,107489,926052,84826,279821,244228,47660,59346,33611,101645,617797,1601791,4137068,2247557,349186,136000,204000,1153000,479000,52000,114000
99,Cash at the Beginning of Period,38,595,- -,6556,107489,926052,84826,279821,244228,47660,59346,33611,101645,617797,1601791,4137068,2247557,349000,136000,204000,1153000,479000,52000
100,Free Cash Flow,498335,-358150,-173819,-817414,-1612386,-2420501,-2846301,-5378693,-3219231,-2167545,-1521332,-3154215,-4756195,-4533727,-5919941,-3527695,-2608371,-1631000,-1835000,-1476000,-2684000,-969000,-722000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103795/000101968712001150/0001019687-12-001150-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000101968713000952/0001019687-13-000952-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000101968714000875/0001019687-14-000875-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000101968715000976/0001019687-15-000976-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000101968716005472/0001019687-16-005472-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316817000736/0001683168-17-000736-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316818000868/0001683168-18-000868-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316819000862/0001683168-19-000862-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316820001019/0001683168-20-001019-index.html,https://www.sec.gov/Archives/edgar/data/1103795/000168316821003050/0001683168-21-003050-index.htm,https://www.sec.gov/Archives/edgar/data/1103795/000168316822002165/0001683168-22-002165-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
