,https://roic.ai/company/CDXC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,445318,- -,320000,100106,140000,200000,- -,296060,486000,1651410,1547000,1311000,1082000,857000
41,Intangible Assets,- -,445318,- -,320000,100106,140000,200000,- -,296060,486000,1651410,1547000,1311000,1082000,857000
42,Investments,- -,- -,- -,- -,- -,- -,1887844,- -,- -,20318,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,44981,- -,40000,44159,20000,52156,- -,57440,397207,1021980,566000,762000,625000,3726000
45,Total Non-Current Assets,- -,1784361,- -,1560000,1316553,1100000,3200000,- -,1618160,4014525,5545280,5698000,6729000,6139000,8935000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,580,4083110,- -,3570000,6269905,9030000,8990000,- -,11516850,19751468,62723600,42232000,40247000,38358000,57840000
48,Accounts Payable,400,444337,- -,1730000,2250241,3430000,1440000,- -,3451610,5978288,3718410,9548000,9626000,9445000,10423000
49,Short-Term Debt,- -,78472,- -,28430,77356,77259,138887,- -,371636,255461,195533,173000,853000,620000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,199693,- -,- -,- -,- -,389010,- -,275000,169000,278000,4346000
52,Other Current Liabilities,- -,1550522,- -,431570,815710,1252741,1261113,- -,1157574,2246391,4173987,4444000,4415000,6133000,2844000
53,Total Current Liabilities,400,2073331,- -,2190000,3343000,4760000,2840000,- -,4980820,8869150,8087930,14440000,15063000,16476000,17613000
54,Long-Term Debt,- -,74293,- -,50000,164729,150000,280000,- -,2400130,- -,310090,- -,- -,1017000,- -
55,Deferred Revenue,- -,186323,- -,- -,200890,- -,202965,- -,137508,- -,491909,- -,3873000,4441000,4346000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,280342,- -,423015,- -,310089,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,280000,- -,130000,-283307,- -,-423013,908560,-310088,614000,866000,- -,4154000
58,Total Non-Current Liabilities,- -,260616,- -,330000,365619,280000,480000,- -,2537640,908560,802000,614000,4739000,5458000,8500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,152765,- -,74298,242085,225633,419229,- -,571293,599050,505622,310000,1719000,1637000,- -
61,Total Liabilities,400,2333947,- -,2520000,3708619,5040000,3320000,- -,7518460,9777710,8889930,15054000,19802000,21934000,26113000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1390,28838,- -,30000,72940,90000,100000,- -,105270,37545,54700,55000,60000,62000,68000
64,Retained Earnings,-39820,-7199958,- -,-8110000,-18054186,-29720000,-34140000,- -,-39524320,-45223574,-56601190,-89753000,-121900000,-141825000,-168953000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1510000,- -,-2400000,-2650000,- -,-2801120,-3142000,-1446000,-2051000,-2790000,-3000,- -
66,Other Total Stockholders Equity,- -,- -,- -,10637453,- -,36023329,42355451,- -,46218561,58302387,111826158,118927000,145075000,158190000,200612000
67,Total Stockholders Equity,180,1749163,- -,1047453,2561286,3993329,5665451,- -,3998391,9974358,53833668,27178000,20445000,16424000,31727000
68,Total Liabilities And Stockholders Equity,580,4083110,- -,3567453,6269905,9033329,8985451,- -,11516851,19752068,62723598,42232000,40247000,38358000,57840000
69,Minority Interest,- -,- -,- -,2547,- -,-3329,4549,- -,-1,-600,2,- -,- -,- -,- -
70,Total Liabilities & Equity,580,4083110,- -,3570000,6269905,9030000,8990000,- -,11516850,19751468,62723600,42232000,40247000,38358000,57840000
71,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1386570/000119312510072639/0001193125-10-072639-index.html,- -,https://www.sec.gov/Archives/edgar/data/1386570/000141588913000560/0001415889-13-000560-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000141588914000961/0001415889-14-000961-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1386570/000141588915000967/0001415889-15-000967-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000165495417002092/0001654954-17-002092-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495418002621/0001654954-18-002621-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495419002395/0001654954-19-002395-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495420002437/0001654954-20-002437-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000165495421002692/0001654954-21-002692-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000162828022006041/0001628280-22-006041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-38382,-2104476,- -,-910000,-7894984,-11660000,-4420000,- -,-5388190,-2928185,-11377620,-33316000,-32147000,-19925000,-27128000
74,Depreciation and Amortization,- -,376280,- -,394500,398881,344033,269707,- -,258310,419560,716141,842000,1523000,1513000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,121185,- -,205858,2969150,2703253,1287917,- -,2916924,1193782,4604749,6371000,7172000,6936000,- -
77,Change in Working Capital,-101,225238,- -,-405418,-2149648,1559648,-220000,- -,1967870,-93217,42222597,-26996390,-3639000,-2712000,15549000
78,Accounts Receivable,- -,26181,- -,-148876,277897,-1216873,1118730,- -,-1067916,-4114561,937093,1111000,-44000,2057000,- -
79,Inventory,- -,-213949,- -,-211176,-1482565,-2299704,-466352,- -,-1530216,240851,2177263,-2453000,-3286000,-148000,- -
80,Accounts Payable,- -,-56201,- -,103973,1735643,1177992,-1618450,- -,2157192,-245670,-2363653,5829000,78000,-181000,- -
81,Other Working Capital,180,225418,- -,-180000,1610352,3170000,2950000,- -,4917870,6867793,49090390,22094000,18455000,15743000,31292000
82,Other Non-Cash Items,- -,-539598,- -,318888,2577772,-3066647,-823635,- -,-2335320,-1528536,-45970045,32191390,6652000,3588000,11579000
83,Cash Provided by Operating Activities,-38483,-1921371,- -,-396172,-4098829,-10119713,-3906011,- -,-2580406,-2936596,-9804178,-20908000,-20439000,-10600000,- -
84,CAPEX,- -,-495807,- -,-184487,-176663,-76565,-226349,- -,-251740,-1724922,-1351464,-1452000,-753000,-142000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,225000,- -,1842015,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-78275,- -,5000,-26000,-52010,911000,- -,-130000,-220000,5769432,-454000,494000,-41000,- -
89,Cash Used for Investing Activites,- -,-495807,- -,-179487,-176663,-76565,998651,- -,1590275,-1724922,4601926,-1775000,-249000,-165000,- -
90,Debt Repayment,- -,-74572,- -,-78467,-81712,-86071,-108421,- -,-170738,-5221883,-608327,-196000,-276000,-272000,- -
91,Common Stock Issued,875,4265086,- -,- -,- -,10229838,2980000,- -,- -,5717474,46594216,- -,6772000,4856000,- -
92,Common Stock Repurchased,- -,-959617,- -,- -,- -,-8200,- -,- -,- -,- -,- -,-404000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,8000,- -,- -,2550897,160559,1777117,- -,2864283,258684,2962782,510000,10388000,4066000,- -
95,Cash Used/Provided by Financing Activities,875,3238897,- -,-78467,2469185,10296126,4648696,- -,2693545,754275,48948671,-90000,16884000,8650000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-37608,821719,- -,-654126,-1806307,99848,1741336,- -,1703414,-3907243,43746419,-22773000,-3804000,-2115000,- -
98,Cash at the End of Period,580,1125504,- -,471378,420152,520000,2261336,- -,3964750,1642429,45388848,22616000,18812000,16697000,- -
99,Cash at the Beginning of Period,38188,303785,- -,1125504,2226459,420152,520000,- -,2261336,5549672,1642429,45389000,22616000,18812000,16697000
100,Free Cash Flow,-38483,-2417178,- -,-580659,-4275492,-10196278,-4132360,- -,-2832146,-4661518,-11155642,-22360000,-21192000,-10742000,- -
101,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1386570/000119312510072639/0001193125-10-072639-index.html,- -,https://www.sec.gov/Archives/edgar/data/1386570/000141588913000560/0001415889-13-000560-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000141588914000961/0001415889-14-000961-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1386570/000141588915000967/0001415889-15-000967-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000165495417002092/0001654954-17-002092-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495418002621/0001654954-18-002621-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495419002395/0001654954-19-002395-index.html,https://www.sec.gov/Archives/edgar/data/1386570/000165495420002437/0001654954-20-002437-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000165495421002692/0001654954-21-002692-index.htm,https://www.sec.gov/Archives/edgar/data/1386570/000162828022006041/0001628280-22-006041-index.htm
102,false,,,,,,,,,,,,,,,
