,https://roic.ai/company/EYE,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,71926000,61940000,60146000,- -,- -
44,Other Non-Current Assets,11669000,12330000,-60938000,-53064000,-52017000,- -,17743000
45,Total Non-Current Assets,1347800000,1383858000,1419462000,1446685000,1798086000,- -,1766848000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1475595000,1531117000,1581939000,1661389000,2032725000,- -,2333498000
48,Accounts Payable,33784000,39400000,35708000,43642000,40782000,- -,64861000
49,Short-Term Debt,7048000,7285000,7258000,7567000,65696000,- -,61954000
50,Tax Payable,1127000,954000,1218000,- -,- -,- -,- -
51,Deferred Revenue,70921000,83596000,62993000,52144000,55870000,- -,91556000
52,Other Current Liabilities,56566000,69402000,105350000,108299000,110831000,- -,110309000
53,Total Current Liabilities,168319000,199683000,211309000,211652000,273179000,- -,328680000
54,Long-Term Debt,739040000,736422000,561980000,570545000,555933000,- -,624611000
55,Deferred Revenue,27792000,29432000,31222000,20134000,21530000,- -,20828000
56,Deferred Tax Liabilities,101320000,111278000,73648000,61940000,60146000,- -,80939000
57,Other Non-Current Liabilities,52894000,52415000,49180000,53964000,345500000,- -,371938000
58,Total Non-Current Liabilities,921046000,929547000,716030000,706583000,983109000,- -,1098316000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,2270000,2688000,11985000,24485000,383706000,- -,412879000
61,Total Liabilities,1089365000,1129230000,927339000,918235000,1256288000,- -,1426996000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,561000,562000,746000,782000,805000,- -,821000
64,Retained Earnings,-23433000,-8675000,32157000,74840000,107132000,- -,142880000
65,Other Comprehensive Income/Loss,-11284000,-14556000,-9868000,-2810000,-3814000,- -,-4400000
66,Other Total Stockholders Equity,420386000,424556000,636553000,670342000,672314000,- -,767201000
67,Total Stockholders Equity,386230000,401887000,659588000,743154000,776437000,- -,906502000
68,Total Liabilities And Stockholders Equity,1475595000,1531117000,1586927000,1661389000,2032725000,- -,2333498000
69,Minority Interest,- -,- -,-4988000,- -,- -,- -,- -
70,Total Liabilities & Equity,1475595000,1531117000,1581939000,1661389000,2032725000,- -,2333498000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710155/000171015518000012/0001710155-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015519000016/0001710155-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015520000010/0001710155-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1710155/000171015521000019/0001710155-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,3617000,14758000,43138000,23653000,32798000,- -,36277000
74,Depreciation and Amortization,44069000,51993000,61115000,74339000,87244000,- -,91585000
75,Deferred Income Tax,1528000,11181000,-39734000,-19340000,-2378000,- -,-233000
76,Stock Based Compensation,6635000,4293000,5152000,20939000,12670000,- -,10740000
77,Change in Working Capital,7302000,-11900000,3592000,51884000,-41592000,- -,276510000
78,Accounts Receivable,-6851000,-5023000,-16858000,-14649000,-6925000,- -,-13697000
79,Inventory,-10664000,-12099000,-9583000,-28739000,-15886000,- -,11430000
80,Accounts Payable,-82000,5616000,-3692000,7934000,-2860000,- -,24079000
81,Other Working Capital,-40524000,-52424000,-48832000,3052000,-38540000,- -,237970000
82,Other Non-Cash Items,19980000,27263000,16989000,-44847000,76339000,- -,-179898000
83,Cash Provided by Operating Activities,83131000,97588000,90252000,106628000,165081000,- -,234981000
84,CAPEX,-77157000,-90026000,-93219000,-104493000,-101325000,- -,-76823000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-2850000,-1000000,-1500000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-44000,-638000,-108000,272000,694000,- -,413000
89,Cash Used for Investing Activites,-80051000,-91664000,-94827000,-104221000,-100631000,- -,-76410000
90,Debt Repayment,-6136000,-7102000,-367660000,-206077000,-594882000,- -,-372465000
91,Common Stock Issued,110000,- -,371932000,19802000,14767000,- -,- -
92,Common Stock Repurchased,- -,-189000,- -,-1928000,-25646000,- -,-689000
93,Dividends Paid,-145667000,- -,-170983000,- -,- -,- -,- -
94,Other Financing Activites,147376000,717000,170549000,198600000,563620000,- -,549435000
95,Cash Used/Provided by Financing Activities,-4317000,-6574000,3838000,10397000,-42141000,- -,176281000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1237000,-650000,-737000,12804000,22309000,- -,334852000
98,Cash at the End of Period,5595000,4945000,4208000,17998000,40307000,- -,375159000
99,Cash at the Beginning of Period,6832000,5595000,4945000,5194000,17998000,- -,40307000
100,Free Cash Flow,5974000,7562000,-2967000,2135000,63756000,- -,158158000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1710155/000171015518000012/0001710155-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015519000016/0001710155-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015520000010/0001710155-20-000010-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1710155/000171015521000019/0001710155-21-000019-index.htm
102,false,,,,,,,
