,https://roic.ai/company/LI,2018,2019,2020,2021
34,Net Receivables,1273073000,511453000,319570000,236526000
35,Inventory,155000,518086000,1048004000,1617890000
36,Other Current Assets,91007000,467432000,1383812000,3003535000
37,Total Current Assets,2294340000,5065839000,31391109000,52380414000
38,PP&E,1834065000,3121966000,3574188000,6559761000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,850501000,857250000,864786000,- -
41,Intangible Assets,850501000,857250000,864786000,751460000
42,Investments,177141000,126181000,162853000,156306000
43,Tax Assets,- -,- -,59156000,19896000
44,Other Non-Current Assets,624893000,342186000,321184000,1981076000
45,Total Non-Current Assets,3486600000,4447583000,4982167000,9468499000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,5780940000,9513422000,36373276000,61848913000
48,Accounts Payable,22390000,624666000,3160515000,7089370000
49,Short-Term Debt,128015000,1469784000,210531000,510287000
50,Tax Payable,- -,- -,50088000,277233000
51,Deferred Revenue,- -,87435000,280795000,315354000
52,Other Current Liabilities,1598968000,849145000,657380000,4193241000
53,Total Current Liabilities,1749373000,3031030000,4309221000,12108252000
54,Long-Term Debt,1228303000,241109000,1903774000,7330724000
55,Deferred Revenue,- -,5943000,135658000,389653000
56,Deferred Tax Liabilities,- -,- -,36309000,153723000
57,Other Non-Current Liabilities,5199039000,5519000,184717000,802259000
58,Total Non-Current Liabilities,6427342000,252571000,2260458000,8676359000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,691716000,779416000,1602667000,1843070000
61,Total Liabilities,8176715000,3283601000,6569679000,20784611000
62,Preferred Stock,5199039000,- -,- -,- -
63,Common Stock,165000,800000,1245000,- -
64,Retained Earnings,-2408633000,-5338490000,-6482225000,- -
65,Other Comprehensive Income/Loss,12693000,15544000,-1005184000,- -
66,Other Total Stockholders Equity,-5199039000,11551967000,37289761000,- -
67,Total Stockholders Equity,-2395775000,6229821000,29803597000,41064302000
68,Total Liabilities And Stockholders Equity,5780940000,9513422000,36373276000,61848913000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,5780940000,9513422000,36373276000,61848913000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-1532318000,-2438536000,-151657000,-321455000
74,Depreciation and Amortization,60496000,116391000,320996000,- -
75,Deferred Income Tax,- -,- -,-22847000,- -
76,Stock Based Compensation,- -,- -,142795000,- -
77,Change in Working Capital,-310443000,-153561000,3067838000,- -
78,Accounts Receivable,- -,-8303000,-107246000,- -
79,Inventory,3127000,-510546000,-516867000,- -
80,Accounts Payable,-62500000,602276000,2530350000,- -
81,Other Working Capital,-323279000,-68024000,-255402000,- -
82,Other Non-Cash Items,435460000,681996000,-217321000,8661840000
83,Cash Provided by Operating Activities,-1346805000,-1793710000,3139804000,8340385000
84,CAPEX,-970733000,-952901000,-675187000,- -
85,Acquisitions Net,25004000,-560000000,-35448000,- -
86,Purchases of Investments,-5950903000,-9821884000,-106382478000,- -
87,Sales/Maturities of Investments,7278670000,8286866000,88301148000,- -
88,Other Investing Activites,-573550000,473083000,54240000,-4257244000
89,Cash Used for Investing Activites,-191512000,-2574836000,-18737725000,-4257244000
90,Debt Repayment,- -,- -,-144700000,- -
91,Common Stock Issued,- -,- -,21025640000,- -
92,Common Stock Repurchased,-15142000,-3791000,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1123800000,5659481000,3829757000,16709533000
95,Cash Used/Provided by Financing Activities,1108658000,5655690000,24710697000,16709533000
96,Effect of Forex Changes on Cash,3299000,53722000,-376646000,-472129000
97,Net Change In Cash,-426360000,1340866000,8736130000,20320545000
98,Cash at the End of Period,95523000,1436389000,10172519000,30493064000
99,Cash at the Beginning of Period,521883000,95523000,1436389000,10172519000
100,Free Cash Flow,-2317538000,-2746611000,2464617000,8340385000
101,SEC Link,- -,- -,- -,- -
102,Forex Rate,0.1453,0.1436,0.1532,0.1572
