,https://roic.ai/company/NXTP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,14553,-772230,-2960210,1537530,597051,-10078502,5386749,-1021842,-165497,-2313489,9526343,-3487071,-8539405
20,Income Before Tax,- -,- -,- -,-11864232,-23170343,- -,-4233102,-18295802,-50486,-4550484,-7097275,-10037142,4298563,-9454686,-16508655
21,Income Before Tax Ratio,- -,- -,- -,-8.9865,-9.1114,- -,-4.2884,-11.7028,-0.0462,-8.3548,-17.7309,-23.2990,8.5089,-21.4019,-341.5254
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-35156,-54736,-1843567,-11864232,-23170343,-13651066,-4192313,-16414520,1549040,-4550484,-7097275,-10037142,4298563,-9454686,-16504039
24,Net Income ratio,-Infinity,-Infinity,-0.6690,-8.9865,-9.1114,-10.5616,-4.2470,-10.4994,1.4166,-8.3548,-17.7309,-23.2990,8.5089,-21.4019,-341.4299
25,EPS,-89.46,-139.28,-4679.10,-22641.66,-26420.00,-5081.25,-71.25,-147.50,10.00,-3.90,-2.05,-1.61,0.50,-0.80,-1.12
26,EPS Diluted,-89.46,-139.28,-4679.10,-27500.00,-35625.00,-5081.25,-71.25,-147.50,0.50,-3.90,-2.05,-1.61,0.50,-0.80,-1.12
27,Weighted Average Shares Outstanding,393,393,394,524,877,2685,59263,111820,164283,1165306,3444582,6216988,8629224,11773633,14728741
28,Weighted Average Shares Outstanding Diluted,393,393,394,524,877,2685,59263,111820,2762137,1165306,3444582,6216988,8629224,11773633,14728741
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000238/0001580695-20-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069521000154/0001580695-21-000154-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,36,15981,18801,418251,680219,12989,64963,144480,226412,137944,1007065,1604414,32979,162506,2640988
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979954,264884
33,Cash and Short-Term Investments,36,15981,18801,418251,680219,12989,64963,144480,226412,137944,1007065,1604414,32979,1142460,2905872
34,Net Receivables,- -,- -,125783,166059,640222,1456,187054,110015,15000,15000,750000,- -,- -,37500,7873671
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,143851,2378450,48878,46611,49000,101691,81365,64054,57894,52857,64402,388274,2122575
37,Total Current Assets,36,15981,288435,2962760,1369319,61056,301017,356186,322777,216998,1814959,1657271,97381,1568234,12902118
38,PP&E,- -,- -,190765,- -,- -,- -,- -,55385,- -,- -,- -,- -,- -,96426,101573
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,7052964,- -,3175506,96591,4288761,4081327,189235,2625086,772069,1274453,1941816,6712547,8081718
41,Intangible Assets,- -,- -,7052964,12099652,3175506,96591,4288761,4081327,189235,2625086,772069,1274453,1941816,6712547,8081718
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,5705734,56000,- -,- -,8096239,1849077,4912111
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,696128,343333,- -,305000,- -,- -,881587,- -,- -,2900000,12410,- -,- -
45,Total Non-Current Assets,- -,- -,7939857,12442985,3175506,401591,4288761,4136712,6776556,2681086,772069,4174453,10050465,8658050,13095402
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36,15981,8228292,15405745,4544825,462647,4589778,4492898,7099333,2898084,2587028,5831724,10147846,10226284,25997520
48,Accounts Payable,4989,7890,- -,779778,2206359,1080902,2518160,1448379,1277957,- -,- -,428120,692383,833679,- -
49,Short-Term Debt,- -,- -,309479,900963,1502639,9643140,8607900,9657435,9276458,2386611,2602326,1193000,1543000,2767716,4807462
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,38871,43047,1561906,3419650,11076561,3883164,2546051,2800168,2579664,649083,416141,106204,44816,477454,2027611
53,Total Current Liabilities,43860,50937,1871385,5100391,14785559,14607206,13672111,13905982,13134079,3035694,3018467,1727324,2280199,4078849,6835073
54,Long-Term Debt,- -,- -,628807,6477469,- -,88891,36941,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,71470,19552,25405,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,700277,6497021,25405,88891,36941,- -,- -,- -,- -,2900000,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,114633,71480,76644,25405,- -,- -,- -,- -,- -,- -,- -,76762,- -
61,Total Liabilities,43860,50937,2571662,11597412,14810964,14696097,13709052,13905982,13134079,3035694,3018467,4627324,2280199,4078849,6835073
62,Preferred Stock,- -,- -,5048,5798,6632,18096,23675,22172,22173,18699,18696,- -,- -,- -,138
63,Common Stock,50,55,247,328,549,12,130,176,211,67,111,80,96,131,187
64,Retained Earnings,-55997,-110733,-6081214,-29961571,-53215394,-66983176,-71193862,-87625076,-86078617,-93562357,-100659632,-110696774,-106398211,-115852897,-132340979
65,Other Comprehensive Income/Loss,- -,- -,-100615,- -,- -,- -,- -,- -,-65030,- -,- -,- -,- -,- -,53712
66,Other Total Stockholders Equity,12123,75722,11833164,33763778,42942074,52731618,62091572,73991300,80086517,92925589,100209386,111901094,114265762,122000201,151427224
67,Total Stockholders Equity,-43824,-34956,5656630,3808333,-10266139,-14233450,-9078485,-13611428,-6034746,-618002,-431439,1204400,7867647,6147435,19140282
68,Total Liabilities And Stockholders Equity,36,15981,8228292,15405745,4544825,462647,4630567,294554,7099333,2417692,2587028,5831724,10147846,10226284,25975355
69,Minority Interest,- -,- -,- -,- -,- -,- -,-40789,4198344,- -,480392,- -,- -,- -,- -,22165
70,Total Liabilities & Equity,36,15981,8228292,15405745,4544825,462647,4589778,4492898,7099333,2898084,2587028,5831724,10147846,10226284,25997520
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000238/0001580695-20-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069521000154/0001580695-21-000154-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-35156,-54736,-1843567,-11864232,-23170343,-13651066,-4192313,-16414520,1549040,-4550484,-7097275,-10037142,4298563,-9454686,-16504039
74,Depreciation and Amortization,- -,- -,100616,1733023,2201973,1222861,604008,1425522,1268601,164615,1779820,211158,293804,295485,193534
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,72000,- -,3418115,1274897,1247021,2212219,513877,1019384,2165579,1127343,1174659,706957,577197
77,Change in Working Capital,974,8868,-1547994,-554681,-11278609,-1129910,1175056,-178702,738494,9992606,1615188,1133455,-2112765,-327797,8577660
78,Accounts Receivable,- -,- -,-77534,-40276,-210748,360353,-35459,-61404,-56773,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165592,- -,- -,-76762
81,Other Working Capital,-43824,-34956,-1582950,-2137631,-13416240,-14546150,-13371094,-13549796,-12811302,-2818696,-1203508,-70053,-2182818,-2510615,6067045
82,Other Non-Cash Items,10623,4988,1514750,5091712,19215424,7460795,-4078088,8365053,-6694834,-8747476,-2201215,3840330,-7207854,3842344,-200568
83,Cash Provided by Operating Activities,-23559,-40880,-1704195,-5594178,-9613440,-4822423,-5244316,-4590428,-2624822,-2121355,-3737903,-3724856,-3553593,-4937697,-7356216
84,CAPEX,- -,- -,- -,- -,-204324,- -,- -,-737816,-590441,-112466,-685414,-508566,-961167,-165879,-1304448
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-852292
86,Purchases of Investments,- -,- -,- -,- -,- -,-305000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,80392,- -,- -,600000,1984870,- -
88,Other Investing Activites,- -,- -,-514999,-328107,-322446,- -,- -,-681300,-622993,-112466,-685414,-508566,-1151167,-182034,-1213738
89,Cash Used for Investing Activites,- -,- -,-514999,-328107,-322446,-305000,- -,-743816,-625507,-32074,-685414,-508566,-551167,1781491,-2156740
90,Debt Repayment,- -,- -,-242375,-43153,-279446,-432767,-165572,-346122,-37829,-128000,-384001,- -,-627500,-284,-4377716
91,Common Stock Issued,- -,51150,2686000,3795348,3709206,618162,- -,4114050,1154776,2144722,3002797,2868353,1797450,1785930,10015154
92,Common Stock Repurchased,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23595,5676,-70000,2363194,6714038,4535200,5433250,1647783,2241060,48239,2673642,1962418,1363375,1500087,6354000
95,Cash Used/Provided by Financing Activities,23595,56826,2173625,6115389,10143798,4720595,5267678,5415711,3358007,2064961,5292438,4830771,2533325,3285733,11991438
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,916,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,15945,-45568,193104,207912,-406828,23362,81467,108594,-88468,869121,597349,-1571435,129527,2478482
98,Cash at the End of Period,36,15981,18801,211905,419817,12989,36351,117818,226412,137944,1007065,1604414,32979,162506,2640988
99,Cash at the Beginning of Period,- -,36,64369,18801,211905,419817,12989,36351,117818,226412,137944,1007065,1604414,32979,162506
100,Free Cash Flow,-23559,-40880,-1704195,-5594178,-9817764,-4822423,-5244316,-5328244,-3215263,-2233821,-4423317,-4233422,-4514760,-5103576,-8660664
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000238/0001580695-20-000238-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069521000154/0001580695-21-000154-index.htm
102,false,,,,,,,,,,,,,,,
