,https://roic.ai/company/MDGS,2015,2016,2017,2018,2019
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1618500/000117891316004926/0001178913-16-004926-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390017003035/0001213900-17-003035-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390018003304/0001213900-18-003304-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390019005099/0001213900-19-005099-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390020009750/0001213900-20-009750-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,10308019,3001000,2828000,10625000,7036000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10308019,3001000,2828000,10625000,7036000
34,Net Receivables,353771,93000,83000,96000,73000
35,Inventory,304074,198000,180000,81000,900000
36,Other Current Assets,905560,294000,3723000,332000,270000
37,Total Current Assets,11871423,3586000,6814000,11134000,8279000
38,PP&E,225429,178000,120000,90000,290000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,38938,26000,16000,- -,- -
41,Intangible Assets,38938,26000,16000,15000,- -
42,Investments,- -,- -,- -,- -,4765000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,934000,260000,- -,- -
45,Total Non-Current Assets,264367,1138000,396000,105000,5055000
46,Other Assets,528735,- -,- -,- -,- -
47,Total Assets,12135791,4724000,7210000,11239000,13334000
48,Accounts Payable,357357,367000,190000,190000,75000
49,Short-Term Debt,- -,- -,- -,- -,119000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,393221,193000,61000,231000,502000
52,Other Current Liabilities,1101787,774000,706000,941000,2669000
53,Total Current Liabilities,1852364,1334000,957000,1362000,3365000
54,Long-Term Debt,- -,- -,- -,- -,33000
55,Deferred Revenue,- -,- -,118000,118000,1800000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,106310,463000,624000,1680000,5000
58,Total Non-Current Liabilities,106310,463000,742000,1798000,1838000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,152000
61,Total Liabilities,1958675,1797000,1699000,3160000,5203000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,820768,1189000,5292000,20924000,22802000
64,Retained Earnings,-42732974,-53336000,-55881000,-62479000,-76657000
65,Other Comprehensive Income/Loss,1188628,200000,330000,692000,12492000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,10177116,2927000,5511000,8079000,6707000
68,Total Liabilities And Stockholders Equity,12135791,4724000,7210000,11239000,11910000
69,Minority Interest,- -,- -,- -,- -,1424000
70,Total Liabilities & Equity,12135791,4724000,7210000,11239000,13334000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1618500/000117891316004926/0001178913-16-004926-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390017003035/0001213900-17-003035-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390018003304/0001213900-18-003304-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390019005099/0001213900-19-005099-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390020009750/0001213900-20-009750-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-9479565,-9007000,-2545000,-6598000,-14178000
74,Depreciation and Amortization,121168,99000,77000,42000,75000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,157000,259000
77,Change in Working Capital,312527,-339000,95000,307000,1221000
78,Accounts Receivable,-122705,233000,3000,-6000,2000
79,Inventory,55333,-828000,209000,18000,-819000
80,Accounts Payable,- -,9000,-177000,- -,-115000
81,Other Working Capital,- -,- -,- -,- -,1982000
82,Other Non-Cash Items,2137737,-18000,-2308000,1870000,9928000
83,Cash Provided by Operating Activities,-6908132,-9265000,-4681000,-4222000,-2695000
84,CAPEX,-96064,-38000,-9000,-11000,-62000
85,Acquisitions Net,- -,- -,- -,- -,-4057000
86,Purchases of Investments,- -,- -,-5000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,1500000,3498000,- -
88,Other Investing Activites,-12296,-6000,-7000,-7000,- -
89,Cash Used for Investing Activites,-96064,-38000,-3509000,3487000,-4119000
90,Debt Repayment,- -,- -,- -,- -,-46000
91,Common Stock Issued,- -,- -,7908000,8634000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,6538735,1902000,11000,- -,3202000
95,Cash Used/Provided by Financing Activities,6538735,1902000,7919000,8634000,3156000
96,Effect of Forex Changes on Cash,-2818,90000,98000,-102000,69000
97,Net Change In Cash,-468278,-7311000,-173000,7797000,-3589000
98,Cash at the End of Period,10308019,3001000,2828000,10625000,7036000
99,Cash at the Beginning of Period,10776297,10312000,3001000,2828000,10625000
100,Free Cash Flow,-7004196,-9303000,-4690000,-4233000,-2757000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1618500/000117891316004926/0001178913-16-004926-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390017003035/0001213900-17-003035-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390018003304/0001213900-18-003304-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390019005099/0001213900-19-005099-index.htm,https://www.sec.gov/Archives/edgar/data/1618500/000121390020009750/0001213900-20-009750-index.htm
102,false,,,,,
