,https://roic.ai/company/OSW,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,26202000,37165000,43239000,51410000,37075000,51865000
54,Long-Term Debt,- -,- -,352440000,221407000,229433000,228683000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,197000,- -,375000,- -,- -
57,Other Non-Current Liabilities,3715000,4429000,4563000,4109000,10243000,114416000
58,Total Non-Current Liabilities,3715000,4626000,357003000,225891000,239676000,343099000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,29917000,41791000,400242000,277301000,276751000,394964000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6000,9000,9000
64,Retained Earnings,- -,- -,- -,-15569000,-296060000,-391768000
65,Other Comprehensive Income/Loss,-7508000,-13913000,-20288000,1000000,-5475000,-1997000
66,Other Total Stockholders Equity,245279000,234598000,- -,652807000,727054000,- -
67,Total Stockholders Equity,237771000,220685000,-131169000,638244000,425528000,293904000
68,Total Liabilities And Stockholders Equity,267688000,262476000,269073000,915545000,702279000,688868000
69,Minority Interest,7093000,4596000,3586000,8124000,- -,- -
70,Total Liabilities & Equity,274781000,267072000,272659000,923669000,702279000,688868000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1758488/000119312519137441/0001193125-19-137441-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459020014267/0001564590-20-014267-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459021011948/0001564590-21-011948-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459022008795/0001564590-22-008795-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,14903000,31117000,9886000,-41214000,-280491000,-68522000
74,Depreciation and Amortization,12884000,9829000,10055000,21595000,24453000,22468000
75,Deferred Income Tax,-472000,3350000,-1000,-643000,1575000,89000
76,Stock Based Compensation,- -,- -,- -,20683000,4950000,10646000
77,Change in Working Capital,34807000,-14523000,11798000,1531000,5855000,-8018000
78,Accounts Receivable,-1178000,-2446000,-2107000,-6840000,27347000,-16939000
79,Inventory,-2969000,8163000,-6966000,352000,2866000,-6260000
80,Accounts Payable,32420000,11695000,-1920000,7529000,-14836000,7245000
81,Other Working Capital,40446000,25923000,37721000,39252000,45107000,-205000
82,Other Non-Cash Items,14529000,40345000,649000,-1393000,207108000,8233000
83,Cash Provided by Operating Activities,76651000,70118000,32387000,559000,-36550000,-35104000
84,CAPEX,-3081000,-2683000,-4983000,-3426000,-2132000,-2868000
85,Acquisitions Net,- -,- -,- -,-676453000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8527000,-2683000,-4983000,- -,-2132000,-2868000
89,Cash Used for Investing Activites,-8527000,-2683000,-4983000,-679879000,-2132000,-2868000
90,Debt Repayment,- -,- -,- -,- -,-13000000,- -
91,Common Stock Issued,- -,- -,- -,122510000,79692000,27474000
92,Common Stock Repurchased,- -,- -,- -,122510000,- -,- -
93,Dividends Paid,-70348000,-60893000,-15690000,- -,-2445000,- -
94,Other Financing Activites,-1159000,-4606000,-4867000,445281000,4300000,- -
95,Cash Used/Provided by Financing Activities,-71507000,-65499000,-20557000,690301000,68547000,27474000
96,Effect of Forex Changes on Cash,-480000,124000,-216000,444000,-280000,-117000
97,Net Change In Cash,-3863000,2060000,6631000,11425000,29585000,-10615000
98,Cash at the End of Period,6611000,8671000,15302000,11646380,43448000,32833000
99,Cash at the Beginning of Period,10474000,6611000,8671000,221380,13863000,43448000
100,Free Cash Flow,73570000,67435000,27404000,-2867000,-38682000,-37972000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1758488/000119312519137441/0001193125-19-137441-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459020014267/0001564590-20-014267-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459021011948/0001564590-21-011948-index.htm,https://www.sec.gov/Archives/edgar/data/1758488/000156459022008795/0001564590-22-008795-index.htm
102,false,,,,,,
