,https://roic.ai/company/RDUS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,3100000,100,100,63637000,25300000,12758000,108417000,482465000,340282000,461658000,286962000,219151000,191582000,181542000
48,Accounts Payable,- -,- -,7357,313000,550000,300000,2292000,6228000,6128000,3915000,4226000,6030000,9925000,17625000
49,Short-Term Debt,- -,- -,76870,2880000,7800000,13005000,- -,- -,- -,- -,- -,- -,2490000,613000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -
52,Other Current Liabilities,- -,37445,- -,3590000,8740000,22007000,18267000,14952000,26597000,49512000,42203000,55228000,59758000,76549000
53,Total Current Liabilities,- -,37445,84227,6783000,17090000,35312000,20559000,21180000,32725000,53427000,46429000,61258000,73173000,94787000
54,Long-Term Debt,- -,- -,- -,8886000,13005000,- -,24394000,- -,- -,166006000,179806000,195591000,- -,339059000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,167578000,195866000,254747000,- -,- -,379000,189000,95000,4581000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,176464000,208871000,254747000,24394000,- -,379000,166195000,179901000,200172000,- -,339059000
59,Other Liabilities,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242068000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6779000,6008000,928000
61,Total Liabilities,3100000,37445,84227,183247000,225961000,290059000,44953000,21180000,33104000,219622000,226330000,261430000,315241000,433846000
62,Preferred Stock,- -,- -,- -,156658000,170649000,252802000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,500,500,- -,- -,- -,3000,4000,4000,4000,5000,5000,5000,5000
64,Retained Earnings,- -,-87345,-134127,-122359000,-200661000,-277301000,-344238000,-445764000,-628568000,-882284000,-1103621000,-1236614000,- -,-1367981000
65,Other Comprehensive Income/Loss,- -,- -,- -,-650000,-718000,-783000,-169000,-345000,-931000,-2342000,-1000000,-5226000,21000,- -
66,Other Total Stockholders Equity,- -,49500,49500,3399000,718000,783000,407868000,907390000,936673000,1126658000,1165248000,1199556000,-123685000,- -
67,Total Stockholders Equity,-5352000,-37345,-84127,-119610000,-200661000,-277301000,63464000,461285000,307178000,242036000,60632000,-42279000,-123659000,-252304000
68,Total Liabilities And Stockholders Equity,-2252000,100,100,63637000,25300000,12758000,108417000,482465000,340282000,461658000,286962000,219151000,191582000,181542000
69,Minority Interest,5352000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3100000,100,100,63637000,25300000,12758000,108417000,482465000,340282000,461658000,286962000,219151000,191582000,181542000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1428522/000114420409016054/0001144204-09-016054-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000114420410016515/0001144204-10-016515-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000110465911016437/0001104659-11-016437-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746912000647/0001047469-12-000647-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746913002863/0001047469-13-002863-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746914001400/0001047469-14-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746915001917/0001047469-15-001917-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746916010440/0001047469-16-010440-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828017001727/0001628280-17-001727-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828018002666/0001628280-18-002666-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828019002275/0001628280-19-002275-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828020002354/0001628280-20-002354-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828021003172/0001628280-21-003172-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828022003660/0001628280-22-003660-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,-31993,-46782,-42476000,-69128000,-60690000,-62479000,-101526000,-182804000,-254237000,-221337000,-132993000,-109208000,-70176000
74,Depreciation and Amortization,- -,- -,- -,40000,44000,27000,77000,176000,586000,1951000,2867000,2308000,1693000,1160000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,304000,1795000,1508000,7070000,14734000,26058000,35003000,28701000,23615000,24698000,22785000
77,Change in Working Capital,- -,-137345,-46782,56691127,-48581000,-30701000,109449000,372354000,-157044000,-86005000,12525000,-86805000,-34424000,-29083000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4441000,-12317000,-6531000,2979000,-3045000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4366000,-1844000,887000,-3851000,-2199000
80,Accounts Payable,- -,- -,7357,-301000,237000,-250000,1991000,3936000,-100000,-2213000,311000,1804000,3895000,7700000
81,Other Working Capital,100000,-37345,-84127,56607000,8026000,-22675000,86774000,459128000,302084000,216079000,228604000,141799000,107375000,78292000
82,Other Non-Cash Items,-58352000,140345,54139,-50455127,72712000,44839000,-102462000,-372841000,173400000,96603000,-27482000,111461000,43293000,52880000
83,Cash Provided by Operating Activities,-58352000,-28993,-39425,-35896000,-43158000,-45017000,-48345000,-87103000,-139804000,-206685000,-204726000,-82414000,-73948000,-22434000
84,CAPEX,- -,- -,- -,-176000,-40000,-2000,-857000,-1231000,-2936000,-11053000,-185000,- -,- -,-28000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-32479000,-18989000,-17070000,-97678000,-579088000,-260547000,-429296000,-499000,-119502000,-39915000,- -
87,Sales/Maturities of Investments,- -,- -,- -,8855000,46464000,21043000,20470000,340497000,499603000,191363000,135000000,206779000,107400000,23240000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8712000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-23800000,27435000,3971000,-78065000,-239822000,236120000,-248986000,134316000,87277000,67485000,23212000
90,Debt Repayment,- -,- -,- -,-522000,-3500000,-8187000,-13156000,-25000000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,50000000,- -,- -,- -,- -,- -,103804000,482250000,- -,2550000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8452000,28993,39425,74764000,12748000,42883000,51977000,835000,2573000,313118000,11672000,5709000,28013000,19319000
95,Cash Used/Provided by Financing Activities,58452000,28993,39425,74242000,9248000,34696000,142625000,458085000,2573000,315668000,11672000,5709000,28013000,19319000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,100000,- -,- -,14546000,-6475000,-6350000,16215000,131160000,98889000,-140003000,-58738000,10572000,21550000,- -
98,Cash at the End of Period,100000,100,100,25128000,18653000,12303000,28518000,159678000,258567000,118564000,59881000,70453000,- -,112100000
99,Cash at the Beginning of Period,- -,100,100,10582000,25128000,18653000,12303000,28518000,159678000,258567000,118619000,59881000,70453000,- -
100,Free Cash Flow,-58352000,-28993,-39425,-36072000,-43198000,-45019000,-49202000,-88334000,-142740000,-217738000,-204911000,-82414000,-73948000,-22462000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1428522/000114420409016054/0001144204-09-016054-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000114420410016515/0001144204-10-016515-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000110465911016437/0001104659-11-016437-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746912000647/0001047469-12-000647-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746913002863/0001047469-13-002863-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746914001400/0001047469-14-001400-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746915001917/0001047469-15-001917-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000104746916010440/0001047469-16-010440-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828017001727/0001628280-17-001727-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828018002666/0001628280-18-002666-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828019002275/0001628280-19-002275-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828020002354/0001628280-20-002354-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828021003172/0001628280-21-003172-index.htm,https://www.sec.gov/Archives/edgar/data/1428522/000162828022003660/0001628280-22-003660-index.htm
102,false,,,,,,,,,,,,,,
