,https://roic.ai/company/HLI,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,642722000,652806000,717368000,715343000,723310000,794604000,812844000,866221000
42,Investments,14253000,14395000,- -,- -,209319000,125000000,135389000,208618000
43,Tax Assets,- -,- -,- -,- -,- -,- -,6507000,28332000
44,Other Non-Current Assets,18457000,29540000,21634000,17949000,21990000,-125000000,-66412000,50747000
45,Total Non-Current Assets,691399000,713230000,760703000,763708000,986765000,825638000,1065940000,1352319000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1061226000,1229848000,1070884000,1385707000,1418841000,1423058000,1677003000,2426067000
48,Accounts Payable,35560000,37190000,34400000,41655000,40772000,55048000,53883000,67468000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,2086000,9760000,- -,4937000,9967000,7759000,- -,68339000
51,Deferred Revenue,5379000,3064000,5547000,3717000,3620000,- -,26780000,27868000
52,Other Current Liabilities,249832000,311045000,254058000,341402000,387868000,470878000,420376000,716738000
53,Total Current Liabilities,290771000,351299000,294005000,386774000,432260000,525926000,501039000,812074000
54,Long-Term Debt,- -,- -,76620000,32562000,11861000,8657000,4676000,818000
55,Deferred Revenue,5379000,3064000,5547000,3717000,3620000,27812000,26780000,- -
56,Deferred Tax Liabilities,48646000,41453000,37288000,31196000,22180000,5204000,664000,52000
57,Other Non-Current Liabilities,2741000,9526000,6264000,204841000,96107000,-33016000,159462000,229562000
58,Total Non-Current Liabilities,56766000,54043000,125719000,272316000,133768000,8657000,191582000,230432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,154218000,174516000
61,Total Liabilities,347537000,405342000,419724000,659090000,566028000,531729000,692621000,1042506000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,59000,59000,65000,73000,68000,65000,65000,68000
64,Retained Earnings,91936000,170929000,28623000,87407000,207124000,276468000,377471000,600096000
65,Other Comprehensive Income/Loss,-8903000,-11338000,-14613000,-21917000,-13956000,-30294000,-43108000,-20176000
66,Other Total Stockholders Equity,628846000,663047000,637085000,661054000,659577000,645090000,649954000,803573000
67,Total Stockholders Equity,711938000,822697000,651160000,726617000,852813000,891329000,984382000,1383561000
68,Total Liabilities And Stockholders Equity,1059475000,1228039000,1070884000,1385707000,1418841000,1423058000,1677003000,2426067000
69,Minority Interest,1751000,1809000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1061226000,1229848000,1070884000,1385707000,1418841000,1423058000,1677003000,2426067000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1302215/000130221516000050/0001302215-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221517000027/0001302215-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221518000015/0001302215-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221519000044/0001302215-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221520000074/0001302215-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1302215/000130221521000027/0001302215-21-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,61320000,79881000,69741000,108343000,172283000,159106000,183793000,312771000
74,Depreciation and Amortization,6040000,5508000,7499000,8853000,7905000,14475000,17291000,15228000
75,Deferred Income Tax,-7176000,-7358000,-4165000,-6093000,-6569000,-10687000,-9654000,-21237000
76,Stock Based Compensation,22479000,23200000,35057000,39357000,47111000,56561000,64345000,62421000
77,Change in Working Capital,79775000,86263000,-149143000,219049000,-235409000,71678000,38530000,151650000
78,Accounts Receivable,-20341000,-8533000,-1387000,-5527000,-18202000,21611000,-13387000,-32965000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4735000,3084000,-13959000,13499000,392000,11542000,-8709000,535000
81,Other Working Capital,79056000,165319000,16176000,235225000,-184000,71494000,110024000,261674000
82,Other Non-Cash Items,2573000,9013000,54530000,-140245000,265326000,-66859000,-6636000,59004000
83,Cash Provided by Operating Activities,165011000,196507000,13519000,229264000,250647000,224274000,287669000,579837000
84,CAPEX,-2241000,-4671000,-9385000,-14423000,-7719000,-6726000,-20722000,-14148000
85,Acquisitions Net,-9090000,-5178000,-36854000,-3725000,-2701000,-71407000,-2197000,-12470000
86,Purchases of Investments,- -,- -,- -,- -,-209319000,-146969000,-350679000,-391555000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,231460000,340624000,318425000
88,Other Investing Activites,-110653000,-203615000,225792000,16495000,1155000,101000,-170000,- -
89,Cash Used for Investing Activites,-121984000,-213464000,179553000,-1653000,-218584000,6459000,-33144000,-99748000
90,Debt Repayment,- -,- -,-3047000,-106256000,-19107000,-2464000,-10735000,-4176000
91,Common Stock Issued,- -,- -,- -,193565000,93500000,- -,- -,189060000
92,Common Stock Repurchased,- -,- -,- -,- -,-18075000,-69563000,-29641000,-102224000
93,Dividends Paid,-1075000,-2166000,-114297000,-55293000,-52081000,-66928000,-80655000,-92006000
94,Other Financing Activites,-2189000,635000,1336000,70908000,-229548000,-97183000,-31108000,-17477000
95,Cash Used/Provided by Financing Activities,-3264000,-1531000,-116008000,102924000,-225311000,-236138000,-152139000,-26823000
96,Effect of Forex Changes on Cash,1271000,-2270000,443000,-4018000,785000,-8703000,-7755000,13212000
97,Net Change In Cash,41034000,-20758000,77507000,326517000,-192463000,-14108000,94631000,466478000
98,Cash at the End of Period,109420000,88662000,166169000,492686000,300223000,286115000,380746000,847224000
99,Cash at the Beginning of Period,68386000,109420000,88662000,166169000,492686000,300223000,286115000,380746000
100,Free Cash Flow,162770000,191836000,4134000,214841000,242928000,217548000,266947000,565689000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1302215/000130221516000050/0001302215-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221517000027/0001302215-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221518000015/0001302215-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221519000044/0001302215-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1302215/000130221520000074/0001302215-20-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1302215/000130221521000027/0001302215-21-000027-index.htm
102,false,,,,,,,,
