,https://roic.ai/company/TRU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,77500000,100300000,106500000,105400000,114200000,131300000,169900000,176200000,193200000,270200000
49,Short-Term Debt,- -,13800000,74000000,43900000,50400000,119300000,71700000,78600000,73400000,153000000
50,Tax Payable,- -,- -,- -,- -,11500000,8500000,17000000,14900000,- -,351100000
51,Deferred Revenue,- -,9100000,8600000,10600000,12000000,13200000,73100000,82800000,85500000,133600000
52,Other Current Liabilities,117600000,124400000,140800000,136100000,196700000,194600000,233800000,233800000,312400000,800200000
53,Total Current Liabilities,195100000,247600000,329900000,296000000,373300000,458400000,548500000,571400000,664500000,1357000000
54,Long-Term Debt,1672300000,2853100000,2865900000,2164600000,2325200000,2345300000,3976400000,3598300000,3452700000,6370400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,900000,15700000,3000000,6500000
56,Deferred Tax Liabilities,- -,636900000,676800000,588400000,579000000,419400000,478000000,439100000,396800000,787600000
57,Other Non-Current Liabilities,775400000,40200000,45500000,30700000,30700000,70800000,53800000,149300000,158500000,107300000
58,Total Non-Current Liabilities,2447700000,3530200000,3588200000,2783700000,2934900000,2835500000,4509100000,4202400000,4011000000,7271800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,77100000,71900000,157500000
61,Total Liabilities,2642800000,3777800000,3918100000,3079700000,3308200000,3293900000,5057600000,4773800000,4675500000,8628800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000000,1500000,1500000,1800000,1800000,1900000,1900000,1900000,2000000,2000000
64,Retained Earnings,15100000,-417700000,-430200000,-424300000,-303800000,137400000,363100000,652000000,937400000,2254600000
65,Other Comprehensive Income/Loss,-24000000,-73200000,-117500000,-191800000,-174800000,-135300000,-282700000,-251600000,-272100000,-285400000
66,Other Total Stockholders Equity,1685800000,1117300000,1133300000,1845700000,1839600000,1724700000,1807400000,1843100000,1872900000,- -
67,Total Stockholders Equity,1677900000,627900000,587100000,1231400000,1362800000,1728700000,1889700000,2245400000,2540200000,3908100000
68,Total Liabilities And Stockholders Equity,4320700000,4405700000,4505200000,4311100000,4671000000,5022600000,6947300000,7019200000,7215700000,12536900000
69,Minority Interest,- -,86600000,160600000,135600000,110200000,95900000,92500000,94000000,95900000,98100000
70,Total Liabilities & Equity,4320700000,4492300000,4665800000,4446700000,4781200000,5118500000,7039800000,7113200000,7311600000,12635000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1552033/000119312513074352/0001193125-13-074352-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203314000018/0001552033-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203315000013/0001552033-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203316000079/0001552033-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203317000014/0001552033-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203318000018/0001552033-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203319000010/0001552033-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203320000014/0001552033-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203321000008/0001552033-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203322000008/0001552033-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-11900000,-35100000,-12500000,5900000,120600000,441200000,276600000,346900000,355000000,1387100000
74,Depreciation and Amortization,144200000,186800000,241200000,278400000,265200000,238000000,306900000,362100000,367900000,377000000
75,Deferred Income Tax,-6500000,-16200000,-20800000,-17300000,-22200000,-212800000,-69000000,-22500000,-35300000,-17200000
76,Stock Based Compensation,2700000,6300000,8000000,9000000,24400000,33100000,57900000,51000000,46900000,69200000
77,Change in Working Capital,76300000,-31000000,60400000,45200000,-46400000,162700000,23800000,124900000,328300000,-44900000
78,Accounts Receivable,-1000000,-3100000,-36300000,-39200000,-42500000,-44700000,-113800000,7300000,-23600000,-36200000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-800000,5900000,6100000,1300000,2900000,9700000,20700000,5700000,18700000,45700000
81,Other Working Capital,102100000,71100000,131500000,176700000,130300000,293000000,316800000,441700000,770000000,- -
82,Other Non-Cash Items,-60700000,32600000,-122000000,-12100000,48300000,-194200000,-40500000,-85700000,-275400000,-962900000
83,Cash Provided by Operating Activities,144100000,143400000,154300000,309100000,389900000,468000000,555700000,776700000,787400000,808300000
84,CAPEX,-48800000,-81700000,-155200000,-132200000,-124000000,-135300000,-180100000,-198500000,-214100000,-224200000
85,Acquisitions Net,-1485900000,-292300000,-115800000,-61300000,-362800000,-356100000,-1828400000,-46300000,-71700000,-3671500000
86,Purchases of Investments,-700000,-1800000,-17200000,-17000000,-66100000,-52000000,-33900000,-31400000,-73500000,-66900000
87,Sales/Maturities of Investments,- -,4400000,11200000,13400000,59100000,62200000,26100000,35900000,90600000,36300000
88,Other Investing Activites,1454600000,-77300000,-154200000,-132200000,-126000000,-134900000,-181500000,-162100000,-212600000,1489200000
89,Cash Used for Investing Activites,-80800000,-367000000,-276000000,-197100000,-495800000,-480800000,-2017700000,-203900000,-267200000,-2212900000
90,Debt Repayment,-41300000,-1000300000,-1819600000,-3004200000,-194300000,-162500000,-324300000,-4148100000,-208800000,-780800000
91,Common Stock Issued,1097300000,5800000,9600000,767300000,6000000,27100000,26200000,24400000,22900000,21900000
92,Common Stock Repurchased,79500000,-3400000,-200000,-300000,-700000,-133500000,- -,- -,- -,- -
93,Dividends Paid,-27900000,- -,- -,- -,- -,- -,-41600000,-56800000,-57600000,-69800000
94,Other Financing Activites,-1124500000,1185200000,1902100000,2185900000,342800000,215000000,1879900000,3693800000,-53400000,3591000000
95,Cash Used/Provided by Financing Activities,-16900000,187300000,91900000,-51300000,153800000,-53900000,1540200000,-486700000,-296900000,2762300000
96,Effect of Forex Changes on Cash,100000,-6800000,-3500000,-5400000,1100000,300000,-6600000,600000,-4400000,-8000000
97,Net Change In Cash,46500000,-43100000,-33300000,55300000,49000000,-66400000,71600000,86700000,218900000,1349700000
98,Cash at the End of Period,154300000,111200000,77900000,133200000,182200000,115800000,187400000,274100000,493000000,1842400000
99,Cash at the Beginning of Period,107800000,154300000,111200000,77900000,133200000,182200000,115800000,187400000,274100000,492700000
100,Free Cash Flow,74900000,61700000,-900000,176900000,265900000,332700000,375600000,578200000,573300000,584100000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1552033/000119312513074352/0001193125-13-074352-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203314000018/0001552033-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203315000013/0001552033-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203316000079/0001552033-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203317000014/0001552033-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203318000018/0001552033-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203319000010/0001552033-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203320000014/0001552033-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203321000008/0001552033-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1552033/000155203322000008/0001552033-22-000008-index.htm
102,false,,,,,,,,,,
