,https://roic.ai/company/FRO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,0.0411,- -,0.4646,0.3163,0.6709,0.6401,0.4238,0.4147,0.6127,0.5765,0.5193,0.3994,0.4042,0.2119,0.2643,-0.5192,0.0108,-0.1942,-0.2010,0.6258,0.2353,-0.3037,0.1114,0.2502,0.4158,0.0163
19,Total Other Income Expenses (Gains),- -,- -,200000,2200000,-21900000,-38100000,-98628000,-208204000,-153912000,-120059000,-226595000,-43676000,-165306000,-105240000,-147779000,68409000,-149180000,-134310000,-143712000,-107933000,-90637000,-89166000,186014000,-31682000,-59622000,-67761000,-90793000,-99229000,-94803000,-18731000
20,Income Before Tax,- -,- -,- -,- -,-14400000,17400000,27000000,-91200000,313900000,350800000,7200000,443100000,971600000,767500000,674800000,587600000,701300000,105800000,164200000,-528500000,-83400000,-189600000,137414000,255536000,117859000,-264032000,-8082000,140293000,412992000,-6515000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.0790,0.0670,0.0999,-0.2466,0.4502,0.4769,0.0131,0.3775,0.5236,0.5070,0.4260,0.4520,0.3333,0.0934,0.1409,-0.6524,-0.1248,-0.3666,0.5682,0.5568,0.1562,-0.4085,-0.0109,0.1465,0.3382,-0.0087
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,200000,- -,200000,400000,300000,400000,200000,500000,400000,300000,- -,150000,345000,290000,316000,307000,-14000,4633000
23,Net Income,- -,- -,4200000,8400000,-14500000,17400000,27000000,-86900000,313900000,350400000,-8900000,409400000,1023400000,606800000,516000000,570400000,698800000,102700000,161400000,-529600000,-82800000,-188500000,149469000,154624000,117010000,-264861000,-8880000,139972000,412875000,-11148000
24,Net Income ratio,- -,- -,0.1680,0.2877,-0.0795,0.0670,0.0999,-0.2349,0.4502,0.4763,-0.0161,0.3488,0.5515,0.4008,0.3258,0.4388,0.3321,0.0906,0.1385,-0.6537,-0.1239,-0.3645,0.6181,0.3369,0.1551,-0.4098,-0.0120,0.1462,0.3381,-0.0149
25,EPS,- -,- -,0.27,0.55,-4.68,0.68,2.95,-8.80,21.40,24.95,-0.60,27.35,68.95,40.55,34.50,38.10,45.75,6.60,10.35,-34.00,-5.30,-11.80,-8.15,0.99,0.75,-1.56,-0.05,0.81,2.11,-0.06
26,EPS Diluted,- -,- -,0.27,0.55,-4.68,0.68,2.95,-8.80,21.35,24.90,-0.60,27.25,68.95,40.55,34.50,38.10,45.70,6.60,10.35,-34.00,-5.30,-11.80,-8.15,0.99,0.75,-1.56,-0.05,0.78,2.09,-0.06
27,Weighted Average Shares Outstanding,- -,- -,15388782,15388782,3100000,15388782,9152203,9874545,14666682,15339800,14831667,14967459,14842379,14965203,14965000,14965000,15270600,15560758,15594879,15571700,15571800,15950200,19992393,156387529,156973000,169809000,169810000,172804938,195637000,179315000
28,Weighted Average Shares Outstanding Diluted,- -,- -,15388782,15388782,3100000,15388782,9152203,9874545,14701030,15370602,14831667,15022385,14842379,14965203,14965000,14973400,15288400,15560758,15594879,15571700,15571800,15950200,19992393,156387529,156973000,169809000,169810000,179451282,197808000,179315000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913290/000091957409009523/d990591_20-f.htm,https://www.sec.gov/Archives/edgar/data/913290/000091957410002762/0000919574-10-002762-index.html,- -,https://www.sec.gov/Archives/edgar/data/913290/000091957412002904/d1284565_20-f.htm,https://www.sec.gov/Archives/edgar/data/913290/000144530513000680/0001445305-13-000680-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/913290/000091329016000012/0000913290-16-000012-index.html,https://www.sec.gov/Archives/edgar/data/913290/000091329017000003/0000913290-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/913290/000091329018000003/0000913290-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/913290/000091329019000004/0000913290-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/913290/000162828020003843/0001628280-20-003843-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,5800000,- -,8400000,12300000,74034000,65467000,103514000,178176000,92078000,124189000,105702000,100533000,197181000,168432000,190819000,82575000,176639000,160566000,137603000,53759000,64080000,264524000,202402000,104145000,66484000,174223000,174721000,113073000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,10867000,3713000,1159000,42000,15555000,91815000,156017000,25077000,15684000,60138000,62920000,53016000,2509000,3391000,6034000,5652000,23182000,18173000,28357000,11639000,3799000,2639000,2435000
33,Cash and Short-Term Investments,- -,- -,5800000,- -,8400000,12300000,74034000,76334000,107227000,179335000,92120000,139744000,197517000,256550000,222258000,184116000,250957000,145495000,229655000,163075000,140994000,59793000,69732000,287706000,220575000,132502000,78123000,178022000,177360000,115508000
34,Net Receivables,- -,- -,800000,- -,1700000,2400000,13228000,28293000,131021000,64488000,47989000,67624000,155088000,92772000,101677000,102891000,89123000,125476000,80741000,76210000,47617000,37495000,48283000,96722000,73590000,71947000,78945000,104294000,77179000,- -
35,Inventory,- -,- -,500000,- -,700000,600000,6813000,14280000,11190000,11310000,28723000,26148000,32017000,44984000,43791000,55435000,42223000,35093000,87202000,64819000,111602000,90644000,69293000,77946000,83040000,99969000,128202000,138003000,92563000,- -
36,Other Current Assets,- -,- -,55400000,- -,1900000,300000,12314000,18840000,43211000,22785000,64173000,964488000,784772000,765860000,744416000,720344000,439059000,477118000,190164000,106301000,91817000,72221000,45935000,5091000,6421000,17196000,22975000,28169000,31217000,217237000
37,Total Current Assets,- -,- -,62500000,- -,12700000,15600000,106389000,137747000,292649000,277918000,233005000,1198004000,1169394000,1160166000,1112142000,1062786000,821362000,783182000,587762000,410405000,392030000,260153000,233243000,467465000,383626000,321614000,308245000,448488000,378319000,332745000
38,PP&E,- -,- -,104500000,- -,120200000,156200000,1154637000,1555889000,2363308000,2514167000,2638141000,2930365000,2973203000,3257455000,3239503000,2693603000,2993105000,2833328000,3081969000,1347513000,1202948000,999280000,622438000,2149657000,2322152000,2673430000,2619685000,3056421000,3417586000,3657228000
39,Goodwill,- -,- -,- -,- -,100000,- -,- -,12203000,14385000,14049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225273000,225273000,112452000,112452000,112452000,112452000,112452000
40,Intangible Assets,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,200000,- -,- -,12203000,14385000,14049000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225273000,225273000,112452000,112452000,112452000,112452000,112452000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119329000,294223000,130619000,106226000,192966000,5633000,24487000,94018000,58763000,80871000,92007000,107477000,105790000,40656000,30908000,21782000,17225000,15749000,1279000,555000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,12900000,- -,500000,400000,118495000,20954000,110646000,227640000,44268000,40943000,65544000,43992000,45326000,69000,188774000,4690000,69426000,1780000,1236000,695000,708000,3603000,4358000,4450000,20234000,64708000,8585000,14118000
45,Total Non-Current Assets,- -,- -,117400000,- -,120900000,156600000,1273132000,1589046000,2488339000,2755856000,2801738000,3265531000,3169366000,3407673000,3477795000,2699305000,3206366000,2932036000,3210158000,1430164000,1296191000,1107452000,728936000,2419189000,2582691000,2812114000,2769596000,3249330000,3539902000,3784353000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,179900000,- -,133600000,172200000,1379521000,1726793000,2780988000,3033774000,3034743000,4463535000,4338760000,4567839000,4589937000,3762091000,4027728000,3715218000,3797920000,1840569000,1688221000,1367605000,962179000,2886654000,2966317000,3133728000,3077841000,3697818000,3918221000,4117098000
48,Accounts Payable,- -,- -,700000,- -,600000,1900000,7724000,8001000,10610000,6994000,7717000,7289000,8268000,9382000,17573000,16043000,27034000,36574000,13423000,5707000,5975000,13302000,3098000,9500000,4325000,11809000,22212000,13042000,7860000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,1400000,170551000,116814000,212767000,227597000,180971000,211269000,173112000,265333000,310266000,276415000,536764000,409637000,366974000,75326000,72770000,69636000,244346000,147373000,123870000,156394000,132333000,727341000,179440000,198009000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,325000,491000,1058000,1671000,739000,727000,709000,669000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2577000,1567000,1067000,5309000,4382000,7071000,15783000,13342000,16130000,15442000,6860000,5630000,6449000,1385000,490000,19173000,6302000,1653000,304000,4975000,5687000,- -
52,Other Current Liabilities,- -,- -,12700000,- -,11500000,4700000,20228000,44397000,64437000,78898000,70066000,97445000,160101000,174713000,100294000,284426000,131002000,143709000,116320000,80721000,101427000,46449000,80654000,65991000,48252000,52144000,59369000,102765000,88374000,94666000
53,Total Current Liabilities,- -,- -,13400000,- -,12100000,8000000,198503000,169212000,290391000,315056000,259821000,321312000,345863000,456499000,443916000,590226000,710930000,605362000,503577000,167384000,186621000,130772000,328588000,242037000,182749000,222000000,214218000,848123000,281361000,292675000
54,Long-Term Debt,- -,- -,57000000,- -,73500000,38600000,712470000,962880000,1331372000,1164354000,1277665000,2091286000,1990131000,2199538000,2181885000,376723000,614676000,760698000,1190763000,493992000,463292000,436372000,27500000,748881000,914592000,1467074000,1610293000,1254417000,1968924000,2170889000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20028000,18102000,21732000,19810000,17954000,12649000,- -,- -,2575000,1288000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,492400000,10867000,-501000,123665000,295141000,270284000,795520000,736040000,707784000,732722000,2329363000,1975314000,1585761000,1344543000,965714000,904584000,817224000,676740000,449393000,369207000,257025000,89113000,85070000,56383000,992000
58,Total Non-Current Liabilities,- -,- -,57000000,- -,73600000,531000000,723337000,962379000,1455037000,1459495000,1547949000,2886806000,2746199000,2925424000,2936339000,2725896000,2607944000,2359108000,2535306000,1459706000,1370451000,1254884000,704240000,1198274000,1283799000,1724099000,1699406000,1339487000,2025307000,2171881000
59,Other Liabilities,- -,- -,115000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272691000,773961000,753651000,731421000,751930000,2498398000,2213212000,1865461000,1530287000,1013236000,950560000,789348000,643681000,536351000,422600000,299016000,99784000,372387000,65002000,52702000
61,Total Liabilities,- -,- -,71400000,- -,85700000,46800000,921840000,1131591000,1745428000,1774551000,1807770000,3208118000,3092062000,3381923000,3380255000,3316122000,3318874000,2964470000,3038883000,1627090000,1557072000,1385656000,1032828000,1440311000,1466548000,1946099000,1913624000,2187610000,2306668000,2464556000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,25300000,- -,115267000,152405000,195172000,191019000,191166000,184120000,187063000,187063000,187063000,187063000,194646000,194646000,194646000,194646000,194646000,86512000,112343000,781938000,169809000,169809000,169821000,196894000,197692000,203531000
64,Retained Earnings,- -,- -,11900000,- -,22600000,28600000,- -,- -,253558000,521080000,493064000,564391000,160361000,- -,- -,- -,45402000,78029000,83718000,-463012000,-545766000,-734275000,-897213000,81212000,34069000,-272503000,-295118000,-155146000,8018000,-3130000
65,Other Comprehensive Income/Loss,- -,- -,-11300000,- -,-23100000,-1600000,- -,- -,-430795000,-502004000,-9498000,-6953000,5414000,-6684000,-4425000,-3696000,-5227000,-1686000,-3836000,-4779000,-4155000,-3303000,-4258000,-383000,739000,2227000,224000,330000,200000,228000
66,Other Total Stockholders Equity,- -,- -,107900000,- -,23200000,98400000,342414000,442797000,1017625000,1049128000,552241000,513859000,565130000,534787000,485922000,262602000,467396000,470351000,472605000,474129000,474950000,624114000,718147000,583515000,1294984000,1287775000,1288873000,1467898000,1406115000,1452385000
67,Total Stockholders Equity,- -,- -,108500000,- -,48000000,125400000,457681000,595202000,1035560000,1259223000,1226973000,1255417000,917968000,715166000,668560000,445969000,702217000,741340000,747133000,200984000,119675000,-26952000,-70981000,1446282000,1499601000,1187308000,1163800000,1509976000,1612025000,1653014000
68,Total Liabilities And Stockholders Equity,- -,- -,179900000,- -,133700000,172200000,1379521000,1726793000,2780988000,3033774000,3034743000,4463535000,4010030000,4097089000,4048815000,3762091000,4021091000,3705810000,3786016000,1828074000,1676747000,1358704000,961847000,2886593000,2966149000,3133407000,3077424000,3697586000,3918693000,4117570000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,328730000,470750000,541122000,- -,6637000,9408000,11904000,12495000,11474000,8901000,332000,61000,168000,321000,417000,232000,-472000,-472000
70,Total Liabilities & Equity,- -,- -,179900000,- -,133600000,172200000,1379521000,1726793000,2780988000,3033774000,3034743000,4463535000,4338760000,4567839000,4589937000,3762091000,4027728000,3715218000,3797920000,1840569000,1688221000,1367605000,962179000,2886654000,2966317000,3133728000,3077841000,3697818000,3918221000,4117098000
71,SEC Link,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/913290/000091957409009523/d990591_20-f.htm,https://www.sec.gov/Archives/edgar/data/913290/000091957410002762/0000919574-10-002762-index.html,- -,https://www.sec.gov/Archives/edgar/data/913290/000091957412002904/d1284565_20-f.htm,https://www.sec.gov/Archives/edgar/data/913290/000144530513000680/0001445305-13-000680-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/913290/000091329016000012/0000913290-16-000012-index.html,https://www.sec.gov/Archives/edgar/data/913290/000091329017000003/0000913290-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/913290/000091329018000003/0000913290-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/913290/000091329019000004/0000913290-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/913290/000162828020003843/0001628280-20-003843-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,4200000,8400000,-14500000,17400000,27000000,-86900000,313900000,350400000,-8900000,409400000,1023400000,606800000,516000000,570400000,698800000,102700000,161400000,-529600000,-82800000,-188500000,149469000,154624000,117010000,-264861000,-8880000,139972000,412875000,-11148000
74,Depreciation and Amortization,- -,- -,-5500000,-6500000,- -,-9500000,54680000,91435000,92880000,121725000,139855000,146907000,183711000,198875000,203849000,221246000,224069000,238595000,214287000,202519000,115388000,100365000,82098000,54524000,143070000,143661000,125038000,122496000,144394000,152981000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,1100000,3500000,13300000,900000,-6460000,-5089000,-95673000,82008000,-39278000,-24824000,-205283000,118832000,52139000,70783000,19480000,-18104000,-34669000,-41340000,20793000,-24735000,17065000,-4561000,-15508000,1865000,-38695000,-3932000,44910000,-35408000
78,Accounts Receivable,- -,- -,300000,300000,- -,1800000,- -,- -,-100247000,66533000,11948000,-16142000,-92304000,112909000,-473000,21287000,-764000,15689000,-7777000,10431000,13557000,11820000,-12462000,-21037000,4287000,-506000,-133000,-13608000,21990000,- -
79,Inventory,- -,- -,- -,100000,1900000,900000,-1351000,-4915000,3560000,-120000,-17413000,3489000,-5966000,-12967000,1193000,-11772000,13212000,7131000,-25021000,17592000,-49755000,16794000,16475000,24872000,-5413000,-16995000,-48809000,-9800000,43855000,- -
80,Accounts Payable,- -,- -,-400000,300000,400000,1800000,- -,- -,-7866000,1290000,723000,-417000,1353000,1114000,8191000,47830000,10990000,9541000,-23149000,-7718000,1819000,7327000,-10204000,2832000,-5175000,7485000,10403000,-9171000,-3841000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53370000,29726000,-9758000,-3616000,-31286000,-30012000,-47390000,61190000,-49500000,26085000,-9469000,-10500000,3722000,6939000,-5578000,-3916000,- -
82,Other Non-Cash Items,- -,- -,11000000,13400000,14500000,1100000,-304000,47040000,-39525000,-76526000,50348000,-8203000,-92041000,55267000,59568000,-316619000,-135094000,-1671000,-23375000,425274000,15193000,70186000,-193219000,2759000,41443000,249820000,-31292000,21651000,1879000,-43493000
83,Cash Provided by Operating Activities,- -,- -,10800000,18800000,13300000,9900000,74916000,46486000,271582000,477607000,142025000,523280000,909787000,979774000,831556000,545810000,807255000,321520000,317643000,56853000,68574000,-42684000,55413000,207346000,286015000,130485000,46171000,280187000,604058000,62932000
84,CAPEX,- -,- -,-29600000,-300000,-453300000,-300000,-352003000,-206827000,-435980000,-386130000,-376844000,-66589000,-126947000,-558163000,-569819000,-337774000,-637895000,-170049000,-548946000,-82378000,-14503000,-2504000,-44990000,-786772000,-622460000,-713560000,-216310000,-195972000,-724316000,-462400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-126000000,-41912000,-64656000,-6822000,-93974000,-52137000,-35695000,-10629000,-60472000,11206000,- -,100000,129393000,-13298000,-5759000,49000,87443000,- -,-18688000,-6000000,- -,-14890000,5625000
86,Purchases of Investments,- -,- -,- -,-31300000,- -,- -,-10430000,- -,-983000,- -,- -,- -,- -,-79878000,-3431000,-60510000,-111939000,- -,- -,-25047000,-13298000,-6001000,- -,- -,- -,-46100000,- -,- -,- -,-357000
87,Sales/Maturities of Investments,- -,- -,- -,86200000,- -,- -,392000,2653000,- -,- -,- -,- -,11181000,- -,3431000,177141000,3286000,75620000,1277000,1535000,- -,2156000,- -,- -,- -,27412000,17757000,- -,- -,14074000
88,Other Investing Activites,- -,- -,-54900000,-34300000,36200000,49700000,212762000,499615000,-18043000,347004000,160773000,-108495000,342593000,328999000,415884000,532752000,128264000,2390000,287435000,402169000,38551000,25394000,64676000,240050000,225708000,28369000,5336000,5401000,23238000,80000000
89,Cash Used for Investing Activites,- -,- -,-84500000,20300000,-417100000,49400000,-149279000,175532000,-496918000,-103782000,-222893000,-269058000,174690000,-344737000,-164564000,251137000,-607078000,-92039000,-260134000,425672000,-2548000,13286000,19735000,-459279000,-396752000,-722567000,-199217000,-190571000,-715968000,-363058000
90,Debt Repayment,- -,- -,-68500000,-11800000,- -,- -,-265211000,-679210000,-211701000,-471062000,-366630000,-465326134,-1834579000,-1383730000,-445631000,-295470000,-264198000,-511422000,-457456000,-553469000,-88989000,-79046000,-147133000,-542250000,-231560000,-134811000,-182506000,-200490000,-932965000,-224715000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,104575000,8488000,223000,2931000,62906000,- -,- -,- -,208123000,- -,- -,- -,- -,4802000,52934000,- -,98200000,- -,85000,98415000,5825000,52447000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44814000,- -,- -,-631000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-500000,-900000,- -,- -,- -,-4714000,- -,-115206000,-19117000,-338033000,-1038315000,-909574000,-654480000,-656008000,-641893000,-70074000,-155718000,-17129000,- -,- -,- -,-39228000,-164551000,-51401000,-386000,-19688000,-312389000,- -
94,Other Financing Activites,- -,- -,148100000,- -,388600000,-67500000,326738000,453339000,370509000,323431000,380294000,567125134,1707655000,1653098000,537518000,125782000,520178000,243771000,649729000,72000000,- -,19798000,29372000,800990000,346543000,680037000,298871000,141619000,1363712000,395818000
95,Cash Used/Provided by Financing Activities,- -,- -,79100000,-12700000,388600000,-67500000,61527000,-230585000,263383000,-299163000,-5230000,-233303000,-1102964000,-640206000,-562593000,-825696000,-177790000,-337725000,36555000,-498598000,-88989000,-54446000,-64827000,219512000,48615000,493825000,116064000,19856000,124183000,223550000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,79100000,-12700000,-15200000,-67500000,-12836000,-8567000,38047000,74662000,-86098000,32111000,-18487000,-5169000,104399000,-28749000,22387000,-108244000,94064000,-16073000,-22963000,-83844000,10321000,28723000,-62122000,-98257000,-36982000,109472000,12273000,-76576000
98,Cash at the End of Period,- -,- -,- -,- -,52900000,- -,74034000,65467000,103514000,178176000,92078000,124189000,105702000,100533000,197181000,168432000,190819000,82575000,176639000,160566000,137603000,53759000,64080000,264524000,202402000,104145000,67904000,177376000,189649000,113073000
99,Cash at the Beginning of Period,- -,- -,500000,5800000,68100000,20600000,86870000,74034000,65467000,103514000,178176000,92078000,124189000,105702000,92782000,197181000,168432000,190819000,82575000,176639000,160566000,137603000,53759000,235801000,264524000,202402000,104886000,67904000,177376000,189649000
100,Free Cash Flow,- -,- -,-18800000,18500000,-440000000,9600000,-277087000,-160341000,-164398000,91477000,-234819000,456691000,782840000,421611000,261737000,208036000,169360000,151471000,-231303000,-25525000,54071000,-45188000,10423000,-579426000,-336445000,-583075000,-170139000,84215000,-120258000,-399468000
