,https://roic.ai/company/NLST,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-154000,-290000,- -,-1386000,-1200000,-1849000,449000,- -,349000,129000,-284000,-479000,-955000,-1595000,- -,-192000,-560000,-750000,-949000,- -,-430000
20,Income Before Tax,-1591000,-586000,- -,-1314000,-3259000,7912000,-11400000,- -,-11900000,-13300000,-5652000,-14000000,-10800000,-15400000,- -,-11226000,-13414000,-17122000,-12439000,- -,-7267000
21,Income Before Tax Ratio,-0.5981,-0.0419,- -,-0.0091,-0.0408,0.0522,-0.1139,- -,-0.1776,-0.7189,-0.0931,-0.3794,-0.4696,-0.8021,- -,-0.5712,-0.3500,-0.5107,-0.4765,- -,-0.1539
22,Income Tax expense (Gain),- -,- -,- -,-340000,-912000,2844000,-4025000,- -,5000,-2000,-53000,-12000,9000,2000,- -,5000,6000,-2000,13000,- -,1000
23,Net Income,-959000,-632000,-15905000,-974000,-2347000,5068000,-7400000,- -,-15200000,-12900000,-5599000,-14000000,-10800000,-15400000,- -,-11231000,-13420000,-17120000,-12452000,- -,-7268000
24,Net Income ratio,-0.3605,-0.0452,-0.1585,-0.0068,-0.0294,0.0335,-0.0739,- -,-0.2269,-0.6973,-0.0922,-0.3794,-0.4696,-0.8021,- -,-0.5714,-0.3502,-0.5106,-0.4770,- -,-0.1539
25,EPS,-0.11,-0.07,-1.62,-0.09,-0.22,0.43,-0.38,- -,-0.77,-0.65,-0.22,-0.50,-0.35,-0.38,- -,-0.21,-0.20,-0.16,-0.08,- -,-0.04
26,EPS Diluted,-0.11,-0.07,-1.62,-0.09,-0.22,0.34,-0.38,- -,-0.77,-0.65,-0.22,-0.50,-0.35,-0.38,- -,-0.21,-0.20,-0.16,-0.08,- -,-0.04
27,Weighted Average Shares Outstanding,8840000,9200000,9831000,10671000,10673000,11705000,19674000,- -,19847000,19876000,25086000,27853000,30881000,40304000,- -,53784000,65513000,107071000,148132000,- -,183594000
28,Weighted Average Shares Outstanding Diluted,8840000,9200000,9831000,10671000,10673000,15331000,19674000,- -,19847000,19876000,25086000,27853000,30881000,40304000,- -,53784000,65513000,107071000,148132000,- -,183594000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282631/000104746908002018/0001047469-08-002018-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000104746909003367/0001047469-09-003367-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746910001016/0001047469-10-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746912001788/0001047469-12-001788-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746913003640/0001047469-13-003640-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746914002568/0001047469-14-002568-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837015000396/0001558370-15-000396-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000155837017002349/0001558370-17-002349-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837018002615/0001558370-18-002615-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837019002368/0001558370-19-002368-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837020002284/0001558370-20-002284-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000155837021003540/0001558370-21-003540-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,759000,953000,30975000,7180000,- -,15210000,9940000,10535000,7760000,6700000,11040000,- -,9476000,6720000,14802000,8966000,- -,13326000
32,Short-Term Investments,- -,- -,- -,- -,- -,5267000,15570000,- -,5200000,3950000,- -,420000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,759000,953000,36242000,22750000,- -,20410000,13890000,10535000,8180000,6700000,11040000,- -,9476000,6720000,14802000,8966000,- -,13326000
34,Net Receivables,- -,- -,- -,9306000,13399000,23703000,12030000,- -,1920000,4270000,11399000,3430000,4870000,1090000,- -,1751000,2997000,2917000,3672000,- -,4680000
35,Inventory,- -,- -,- -,7342000,6816000,19473000,3330000,- -,1830000,2230000,6057000,7380000,2620000,1880000,- -,3160000,4105000,2946000,3496000,- -,3198000
36,Other Current Assets,- -,- -,- -,1024000,1336000,2042000,4580000,- -,2640000,860000,806000,720000,1920000,1440000,- -,4866000,3103000,2527000,3377000,- -,3714000
37,Total Current Assets,- -,- -,- -,18431000,22504000,81460000,42690000,- -,26800000,21250000,28797000,19710000,16110000,15450000,- -,19253000,16925000,23192000,19511000,- -,24918000
38,PP&E,- -,- -,- -,3372000,2437000,3830000,8190000,- -,6840000,4780000,- -,2560000,1140000,390000,- -,- -,459000,279000,1254000,- -,182000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,960000,941000,444000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,250000,759000,576000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,57000,142000,1828000,9480000,- -,330000,219000,2932000,130000,425000,70000,- -,715000,1406000,1394000,1376000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,3679000,3338000,6234000,17670000,- -,8130000,5940000,3376000,2690000,1565000,460000,- -,715000,1865000,1673000,2630000,- -,182000
46,Other Assets,- -,9129000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9129000,- -,22110000,25842000,87694000,60360000,- -,34930000,27190000,32173000,22400000,17675000,15910000,- -,19968000,18790000,24865000,22141000,- -,25100000
48,Accounts Payable,- -,- -,- -,5724000,6645000,11680000,6700000,- -,1790000,4060000,6155000,3370000,3800000,3960000,- -,4028000,6120000,9497000,9134000,- -,5327000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,4870000,- -,118000,108000,2144000,- -,- -,- -,- -,827000,2024000,2293000,2990000,- -,146000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,7559000,13024000,24196000,3730000,- -,2552000,3702000,2723000,5220000,1660000,3580000,- -,1355000,1145000,1323000,1945000,- -,22171000
53,Total Current Liabilities,- -,- -,- -,13283000,19785000,35876000,15300000,- -,4460000,7870000,11022000,8590000,5460000,7540000,- -,6210000,9289000,13113000,14069000,- -,27644000
54,Long-Term Debt,- -,- -,- -,3566000,2738000,1230000,640000,- -,130000,50000,1118000,3493000,5100000,3550000,- -,14251000,14766000,17346000,15793000,- -,17056000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,464000,344000,100000,- -,344000,1181000,94000,-3399000,99000,181000,- -,36000,- -,- -,-15151000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,3566000,3202000,1574000,740000,- -,474000,1231000,1212000,94000,5199000,3731000,- -,14287000,14766000,17346000,642000,- -,17056000
59,Other Liabilities,- -,8375000,- -,- -,- -,- -,1600000,- -,- -,- -,- -,194000,10399000,- -,- -,- -,29593000,34770000,17077000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,- -,- -,- -,- -,- -,- -,498000,- -,- -
61,Total Liabilities,- -,8375000,- -,16849000,22987000,37450000,16160000,- -,4700000,7920000,12234000,8690000,10660000,11190000,- -,20497000,24116000,30537000,30504000,- -,27892000
62,Preferred Stock,- -,- -,- -,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,11000,11000,20000,20000,- -,20000,20000,26000,30000,30000,40000,- -,62000,80000,139000,169000,- -,195000
64,Retained Earnings,- -,- -,- -,-19053000,-21400000,-16333000,-23900000,- -,-39110000,-52030000,-72740000,-86720000,-97490000,-112870000,- -,-144626000,-158046000,-175166000,-187618000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-1698000,-2604000,-3303000,-4080000,- -,-5130000,-6890000,-10998000,-12710000,-97000000,-14340000,- -,-13594000,-13634000,-13702000,-10820000,- -,- -
66,Other Total Stockholders Equity,- -,754000,- -,24001000,24848000,69860000,72153000,- -,74454000,78169000,103651000,113112000,201473000,131889000,- -,157629000,166274000,183057000,189906000,- -,-2815000
67,Total Stockholders Equity,- -,754000,- -,5261000,2855000,50244000,44193000,- -,30234000,19269000,19939000,13712000,7013000,4719000,- -,-529000,-5326000,-5672000,-8363000,- -,-2620000
68,Total Liabilities And Stockholders Equity,- -,9129000,- -,22110000,25842000,87694000,60353000,- -,34934000,27189000,32173000,22402000,17673000,15909000,- -,19968000,18790000,24865000,22141000,- -,25272000
69,Minority Interest,- -,- -,- -,- -,- -,- -,7000,- -,-4000,1000,- -,-2000,2000,1000,- -,- -,- -,- -,- -,- -,-172000
70,Total Liabilities & Equity,- -,9129000,- -,22110000,25842000,87694000,60360000,- -,34930000,27190000,32173000,22400000,17675000,15910000,- -,19968000,18790000,24865000,22141000,- -,25100000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282631/000104746908002018/0001047469-08-002018-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000104746909003367/0001047469-09-003367-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746910001016/0001047469-10-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746912001788/0001047469-12-001788-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746913003640/0001047469-13-003640-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746914002568/0001047469-14-002568-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837015000396/0001558370-15-000396-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000155837017002349/0001558370-17-002349-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837018002615/0001558370-18-002615-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837019002368/0001558370-19-002368-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837020002284/0001558370-20-002284-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000155837021003540/0001558370-21-003540-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-974000,-2347000,5068000,-7400000,- -,-15200000,-12900000,-5599000,-14000000,-10800000,-15400000,- -,-11231000,-13420000,-17120000,-12452000,- -,-7268000
74,Depreciation and Amortization,- -,- -,- -,867000,1031000,904000,1392000,- -,2399000,2267000,2242000,1987000,1476000,882000,- -,287000,280000,254000,172000,- -,147000
75,Deferred Income Tax,- -,- -,- -,218000,-682000,31000,-2899000,- -,4529000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1277000,1485000,1620000,1891000,1669000,2012000,- -,1475000,1217000,737000,989000,- -,763000
77,Change in Working Capital,- -,- -,- -,-6971000,-2429000,42865000,-18194000,- -,-5050000,-8960000,85000,-6655000,-470000,-2740000,- -,1062000,-5407000,2443000,-4637000,- -,-8168000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,9859000,-2356000,-4983000,7965000,-1457000,3775000,- -,-1116000,-1256000,80000,-755000,- -,-1008000
79,Inventory,- -,- -,- -,2704000,526000,-12657000,10812000,- -,1504000,-403000,-1548000,-1323000,4760000,740000,- -,-1502000,-945000,1159000,-550000,- -,298000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-4911000,2111000,-102000,-2938000,428000,162000,- -,729000,2092000,3375000,-363000,- -,-3807000
81,Other Working Capital,- -,- -,- -,5148000,2719000,45584000,27390000,- -,22340000,13380000,17775000,11120000,10650000,7910000,- -,13043000,7636000,10079000,5442000,- -,-2726000
82,Other Non-Cash Items,- -,- -,- -,293000,-181000,-58653000,41177000,- -,9675000,11485000,-5772000,9818000,4104000,8845000,- -,-12387000,6285000,3118000,4443000,- -,6392000
83,Cash Provided by Operating Activities,- -,- -,- -,-6567000,-4608000,-9785000,14076000,- -,-2370000,-6623000,-7424000,-6959000,-4021000,-6401000,- -,-20794000,-11045000,-10568000,-11485000,- -,-8134000
84,CAPEX,- -,- -,- -,-557000,-484000,- -,- -,- -,-1158000,-173000,-744000,-1698000,-119000,-141000,- -,-346000,-94000,-74000,-83000,- -,-43000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2500000,-6268000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-6769000,-63253000,- -,-6404000,-13902000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,46598000,- -,23613000,15170000,1264000,- -,415000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,61000,1816000,241000,1000,- -,- -,345000,- -,43000,34000,3000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-496000,1332000,-9028000,-22922000,- -,16051000,1440000,520000,-1655000,330000,-138000,- -,-346000,-94000,-74000,-83000,- -,-43000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-96951000,-13337000,-2224000,-4492000,-1029000,-197000,- -,-305000,-371000,-345000,-389000,- -,-441000
91,Common Stock Issued,- -,- -,- -,- -,3000,39651000,310000,- -,- -,- -,1891000,5183000,1157000,10276000,- -,10330000,7224000,15762000,6352000,- -,12174000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,5915000,3467000,9184000,-15257000,- -,91302000,13248000,3562000,5143000,2509000,799000,- -,907000,1530000,2357000,669000,- -,1254000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,5915000,3470000,48835000,-14947000,- -,-5649000,-89000,3229000,5834000,2637000,10878000,- -,10932000,8383000,17774000,6632000,- -,12987000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-1148000,194000,30022000,-23793000,- -,8032000,-5272000,-3675000,-2780000,-1054000,4339000,- -,-10208000,-2756000,7132000,-4936000,- -,4810000
98,Cash at the End of Period,- -,- -,- -,759000,953000,30975000,7182000,- -,15214000,9942000,10535000,7755000,6701000,11040000,- -,9476000,6720000,16652000,11716000,- -,16526000
99,Cash at the Beginning of Period,- -,- -,- -,1907000,759000,953000,30975000,- -,7182000,15214000,14210000,10535000,7755000,6701000,- -,19684000,9476000,9520000,16652000,- -,11716000
100,Free Cash Flow,- -,- -,- -,-7124000,-5092000,-9785000,14076000,- -,-3528000,-6796000,-8168000,-8657000,-4140000,-6542000,- -,-21140000,-11139000,-10642000,-11568000,- -,-8177000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282631/000104746908002018/0001047469-08-002018-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000104746909003367/0001047469-09-003367-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746910001016/0001047469-10-001016-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746912001788/0001047469-12-001788-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746913003640/0001047469-13-003640-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000104746914002568/0001047469-14-002568-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837015000396/0001558370-15-000396-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000155837017002349/0001558370-17-002349-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837018002615/0001558370-18-002615-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837019002368/0001558370-19-002368-index.htm,https://www.sec.gov/Archives/edgar/data/1282631/000155837020002284/0001558370-20-002284-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1282631/000155837021003540/0001558370-21-003540-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
