,https://roic.ai/company/IDN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,200000,2536338,2168688,1802839,553709,211163,125981,115193,62784,39350,43706,17524,11894,337559,54677,115021,74732,70547,85321,82337,6113,- -,- -
36,Other Current Assets,- -,300000,511638,370880,273770,217387,314466,419279,512112,543571,230901,257531,115195,108770,105881,107519,108884,178362,165473,218835,271415,348236,340718,643000
37,Total Current Assets,200000,6900000,7184460,6626339,4080718,10190951,5439022,6745360,5505331,3726070,5063484,5523295,4527417,4573600,2999066,1428101,3982327,7365323,3830318,8966944,5749203,5380096,15581971,16486000
38,PP&E,200000,200000,438021,466576,324112,210407,132905,92246,85603,81464,464790,482077,570613,439736,449438,369095,346915,325427,270776,211602,264583,333399,170001,737000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11736660,12258661,12308661,12308661,12308661,12308661,8101661,8101661,8101661,8101661,8101661,8101661,8101661,8102000
40,Intangible Assets,100000,100000,317426,635004,524961,54388,42589,36379,30170,23961,6877752,7445234,6494134,5551149,4631577,3724354,3307797,2470127,2154563,463578,306575,174237,482591,378000
41,Intangible Assets,100000,100000,317426,635004,524961,54388,42589,36379,30170,23961,18614412,19703895,18802795,17859810,16940238,16033015,11409458,10571788,10256224,8565239,8408236,8275898,8584252,8480000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,695300,485123,275808,- -,34916,34916,242916,51395,48905,73051,72006,72006,72006,75007,210296,176207,138319,38759,7778,4250,8000
45,Total Non-Current Assets,300000,300000,755447,1796880,1334196,540603,175494,163541,150689,348341,19130597,20234877,19446459,18371552,17461682,16474116,11831380,11107511,10703207,8915160,8711578,8617075,8758503,9225000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,500000,7200000,7939907,8423219,5414914,10731554,5614516,6908901,5656020,4074411,24194081,25758172,23973876,22945152,20460748,17902217,15813707,18472834,14533525,17882104,14460781,13997171,24340474,25711000
48,Accounts Payable,200000,400000,180792,254171,298635,183712,759218,371521,155066,150099,144062,263901,366924,221019,247289,478588,45193,260276,14140,71578,73334,95388,46171,368000
49,Short-Term Debt,- -,- -,48767,25421,19572,427,- -,- -,- -,- -,- -,386667,193333,- -,- -,- -,- -,- -,- -,- -,- -,125851,32620,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168732,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,200953,357059,252705,476387,694958,1037366,1278869,1900528,1911022,1935144,1692881,1450923,967912,1141069,909233,825538,739980,704536,572391,402782,1266000
52,Other Current Liabilities,900000,400000,1034563,842501,771405,1404164,574043,389742,453028,533609,785731,704659,858058,675907,556814,701928,915809,536316,519957,815350,726918,1408086,1638798,2870000
53,Total Current Liabilities,1100000,800000,1264122,1323046,1446671,1841008,1809648,1456221,1645460,1962577,2830321,3266249,3353459,2589807,2255026,2148428,2102071,1705825,1359635,1626908,1504788,2201716,2120371,4504000
54,Long-Term Debt,- -,- -,42738,- -,- -,- -,- -,- -,- -,- -,- -,183333,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,724234,729449,834804,405190,341948,233732,435153,341242,177306,87736,29486,13322,8662,8000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,100000,- -,70641,94992,1989838,2936544,62995,73475,91681,- -,- -,- -,194759,185339,163753,128446,99355,61133,158407,6802,32620,- -,- -
58,Total Non-Current Liabilities,100000,100000,42738,70641,94992,1989838,2936544,62995,73475,91681,724234,912782,834804,599949,527287,397485,563599,440597,238439,246143,36288,45942,8662,8000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,427,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158471,32620,- -
61,Total Liabilities,1200000,900000,1306860,1393687,1541663,3830846,4746192,1519216,1718935,2054258,3554555,4179031,4188263,3189756,2782313,2545913,2665670,2146422,1598074,1873051,1541076,2247658,2129033,4512000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,7696,8470,8874,10154,10290,12058,12203,12282,25335,26224,27007,27462,27724,27897,4934,9879,10719,15009,15639,16042,18410,19000
64,Retained Earnings,-1500000,-3800000,-6936011,-12120942,-18186176,-27019110,-35671379,-39107882,-41987852,-44661070,-77722774,-78107140,-80680363,-80971222,-83231308,-85655564,-93299794,-98633745,-104368426,-110422825,-114386401,-116935112,-116376715,-120523000
65,Other Comprehensive Income/Loss,-100000,-200000,-265061,-377384,-348476,-377967,-126469,-263460,-790224,-822351,-1130629,-1282565,-742569,-919138,-1093739,-1254924,-1408576,-1396127,-1514854,-1449595,-1494891,-1612448,- -,- -
66,Other Total Stockholders Equity,900000,10300000,13826423,19519388,22399029,34287631,36655882,44748969,46702958,47491292,99467594,100942622,101181538,101618294,101975758,102238895,107851473,116346405,118808012,127866464,128785358,130281031,138569746,141703000
67,Total Stockholders Equity,-700000,6300000,6633047,7029532,3873251,6900708,868324,5389685,3937085,2020153,20639526,21579141,19785613,19755396,17678435,15356304,13148037,16326412,12935451,16009053,12919705,11749513,22211441,21199000
68,Total Liabilities And Stockholders Equity,500000,7200000,7939907,8423219,5414914,10731554,5614516,6908901,5656020,4074411,24194081,25758172,23973876,22945152,20460748,17902217,15813707,18472834,14533525,17882104,14460781,13997171,24340474,25711000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,500000,7200000,7939907,8423219,5414914,10731554,5614516,6908901,5656020,4074411,24194081,25758172,23973876,22945152,20460748,17902217,15813707,18472834,14533525,17882104,14460781,13997171,24340474,25711000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1040896/000089109202000468/0000891092-02-000468-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000120180003000024/0001201800-03-000024-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420404003940/0001144204-04-003940-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420405009244/0001144204-05-009244-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040896/000114420407015835/0001144204-07-015835-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420408017895/0001144204-08-017895-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420409017316/0001144204-09-017316-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420410012706/0001144204-10-012706-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420411013517/0001144204-11-013517-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420412013798/0001144204-12-013798-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420413017846/0001144204-13-017846-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420414017636/0001144204-14-017636-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420415019080/0001144204-15-019080-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315216008290/0001493152-16-008290-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315217003045/0001493152-17-003045-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315218003779/0001493152-18-003779-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315219003707/0001493152-19-003707-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315220004295/0001493152-20-004295-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315221007101/0001493152-21-007101-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315222007684/0001493152-22-007684-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1500000,-2300000,-3132772,-3962931,-5550234,-6450943,-6922931,-3238959,-2879970,-2673218,-33061704,-525515,-2573223,-290859,-2260086,-2424256,-7644230,-5333951,-5734681,-6020505,-3963576,-2548711,558397,- -
74,Depreciation and Amortization,100000,100000,90115,326885,451580,793972,793972,196023,166516,38336,1414429,988055,1135743,1123509,1094173,1068408,1157709,1020679,434291,412351,245548,249895,179405,169000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396276,519730,473825,33887,52677,31653,188640,878112,935899,435679,186707,584865,409477,3068000
77,Change in Working Capital,200000,7000000,-179662,-617045,-2669246,5715896,-4720569,1659765,-1429268,-2096378,469670,23883,-1083088,809835,-1239753,-1464367,2600583,3779242,-3188815,4869353,-3095621,-1066035,10283220,-1479600
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,999368,-623509,-686393,-156227,2192312,-171772,170724,-306587,582492,-150501,-372732,-672840,-445886,-72000
79,Inventory,-100000,-200000,-2349729,367650,365849,259130,259130,85182,10788,57139,85928,-4106,26182,5630,-325665,282882,-60344,40289,4185,-14774,2984,61607,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74672,- -,- -,1551000
81,Other Working Capital,-900000,6100000,5920338,5303293,2634047,8349943,3629374,5289139,3859871,1763493,2233163,2257046,1173958,1983793,744040,-720327,1880256,5659498,2470683,7340036,4244415,3178380,13461600,11982000
82,Other Non-Cash Items,200000,-6300000,-2231510,1286654,3996768,-4671840,6236613,-1760634,2136547,2491822,31586450,-686339,896348,-1748236,2698574,1337439,1323412,-4780346,3312888,-3442163,2406331,939136,-11449521,-641400
83,Cash Provided by Operating Activities,-1000000,-1500000,-5453829,-2966437,-3771132,-4612915,-4612915,-3143805,-2006175,-2239438,805121,319814,-1150395,-71864,345585,-1451123,-2373886,-4436264,-4240418,-3745285,-4220611,-1840850,-19022,1116000
84,CAPEX,- -,-100000,-223511,-140877,-29187,-4352,-4352,-12096,-23908,-27988,-111707,-168621,-275043,-49647,-184303,-80842,-131473,-251618,-64075,-37614,-141526,-20088,-444900,-662000
85,Acquisitions Net,- -,- -,- -,-52947,- -,- -,- -,- -,- -,- -,335836,-598319,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-4856388,-4856388,-8037905,-6384957,-3237000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,6866581,7889132,5346133,1650000,- -,- -,- -,- -,- -,- -,12633,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,2000,- -,-208000,7800,400,- -,- -,- -,- -,- -,-63500,35587,42460,40472,42120,-370983,-662000
89,Cash Used for Investing Activites,- -,-100000,-223511,-193824,-29187,-4860740,-4860740,-1181420,1480267,1873145,1881929,-766540,-275043,-49647,-184303,-80842,-131473,-177485,-28488,4846,-101054,22032,-415883,-662000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-200000,- -,- -,- -,-31078,- -,- -,- -,- -,-10000,- -
91,Common Stock Issued,500000,7800000,3426374,3231174,1742466,11012597,2714100,4608493,524575,232359,320915,54250,305870,226755,130448,- -,5247323,7630757,1777950,8512861,- -,- -,10569467,47000
92,Common Stock Repurchased,- -,- -,- -,-52600,-70064,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1096608,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-122958,-122958,-97315,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,300000,- -,-37893,-48767,-22739,-19572,8278925,- -,- -,- -,- -,- -,- -,- -,- -,70472,- -,977,726479,145567,687521,793654,-354023,29000
95,Cash Used/Provided by Financing Activities,800000,7800000,3388481,3129807,1649663,10870067,10870067,4486178,524575,232359,320915,54250,-94130,26755,130448,70472,5247323,7600656,1407821,8658428,687521,793654,10205444,76000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-300000,6200000,-2288859,-30454,-2150656,1396412,1396412,160953,-1333,-133934,3007965,-392476,-1519568,-94756,291730,-1461493,2741964,2986907,-2861085,4917989,-3634144,-1025164,9770539,529608
98,Cash at the End of Period,200000,6400000,4091689,4061235,1910579,3306991,3306991,528250,526917,392983,3400948,3008472,1488904,1394148,1685878,224386,2966350,5953257,3092172,8010161,4376017,3350853,13121392,13651000
99,Cash at the Beginning of Period,500000,200000,6380548,4091689,4061235,1910579,1910579,367297,528250,526917,392983,3400948,3008472,1488904,1394148,1685879,224386,2966350,5953257,3092172,8010161,4376017,3350853,13121392
100,Free Cash Flow,-1000000,-1600000,-5677340,-3107314,-3800319,-4617267,-4617267,-3155901,-2030083,-2267426,693414,151193,-1425438,-121511,161282,-1531965,-2505359,-4687882,-4304493,-3782899,-4362137,-1860938,-463922,454000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1040896/000089109202000468/0000891092-02-000468-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000120180003000024/0001201800-03-000024-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420404003940/0001144204-04-003940-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420405009244/0001144204-05-009244-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040896/000114420407015835/0001144204-07-015835-index.html,https://www.sec.gov/Archives/edgar/data/1040896/000114420408017895/0001144204-08-017895-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420409017316/0001144204-09-017316-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420410012706/0001144204-10-012706-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420411013517/0001144204-11-013517-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420412013798/0001144204-12-013798-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420413017846/0001144204-13-017846-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420414017636/0001144204-14-017636-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000114420415019080/0001144204-15-019080-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315216008290/0001493152-16-008290-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315217003045/0001493152-17-003045-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315218003779/0001493152-18-003779-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315219003707/0001493152-19-003707-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315220004295/0001493152-20-004295-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315221007101/0001493152-21-007101-index.htm,https://www.sec.gov/Archives/edgar/data/1040896/000149315222007684/0001493152-22-007684-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
