,https://roic.ai/company/MLFB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,46915,111519,180180,224288,160110,240279,309008,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9371,7648,41166,10157,4992,26131,26131,2181,1076,83,114513,911176,7583,7500,50000,52500,52500
37,Total Current Assets,2997715,3535059,6343967,8258019,5491505,4452199,1332922,11616,219268,21758,144096,914975,7832,8025,55417,56296,72278
38,PP&E,12077,10178,8279,6380,4480,2581,681,- -,- -,- -,- -,2958,2494,- -,125000,57223,57223
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500,2000,2000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500,2000,2000
42,Investments,- -,- -,- -,- -,- -,1100,1100,548008,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,920000,1674000,1561000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1100,1100,1100,1100,1100,- -,63305,154770,1100,1100,66986,11918,- -,- -,35000,11517,11607
45,Total Non-Current Assets,13177,11278,9379,7480,5580,923681,1739086,2263778,1100,1100,66986,14876,2494,- -,161500,70740,70830
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3010892,3546337,6353346,8265499,5497085,5375880,3072008,2275394,220368,22858,211082,929851,10326,8025,216917,127036,143108
48,Accounts Payable,- -,195114,314432,276800,370472,327998,373863,338385,415991,243823,355296,736411,1425444,1663658,1756047,1620018,1819706
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,10100,238479,201294,477560,196576,428087,382300,437217,1030994,872228
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110154,149029
51,Deferred Revenue,- -,939433,680588,586916,4088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,714854,168000,978862,1802551,853664,872108,928509,- -,673712,472077,654310,1824876,2371366,1265527,1412291,2066533,1700337
53,Total Current Liabilities,714854,1302547,1973882,2666267,1228224,1200106,1302372,348485,1328182,917194,1487166,2757863,4224897,3311485,3605555,4717545,4392271
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,287696,- -,- -,- -,- -,- -,- -,- -,343694,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,1458,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,424462,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1458,- -,712158,- -,- -,- -,- -,- -,- -,- -,343694,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,714854,1302547,1973882,2666267,1228224,1201564,1302372,1060643,1328182,917194,1487166,2757863,4224897,3311485,3605555,4717545,4392271
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,6412,5912,13287,22687,6062,33450,41013,54816,57999,92993,151860,418102
64,Retained Earnings,990663,103150,435662,1399986,-1320021,1738803,2167507,24061,-10111654,-10778890,-14489565,-21121832,-26197339,-26550953,-27297245,-28807401,-28992782
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,1305375,2140640,3943802,4199246,5588882,2429101,-403783,1177403,8981153,9878492,13180031,19252807,21927952,23189494,23815614,24065032,24325517
67,Total Stockholders Equity,2296038,2243790,4379464,5599232,4268861,4174316,1769636,1214751,-1107814,-894336,-1276084,-1828012,-4214571,-3303460,-3388638,-4590509,-4249163
68,Total Liabilities And Stockholders Equity,3010892,3546337,6353346,8265499,5497085,5375880,3072008,2275394,220368,22858,211082,929851,10326,8025,216917,127036,143108
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3010892,3546337,6353346,8265499,5497085,5375880,3072008,2275394,220368,22858,211082,929851,10326,8025,216917,127036,143108
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308569/000155335014000195/0001553350-14-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335014000920/0001553350-14-000920-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335016001583/0001553350-16-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335016002274/0001553350-16-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033418000797/0001640334-18-000797-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033418002246/0001640334-18-002246-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033419001485/0001640334-19-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033420002073/0001640334-20-002073-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033421001719/0001640334-21-001719-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,990663,-887513,332512,1246324,-2720007,-251383,-2384564,-2471180,-1020653,-667236,-3710675,-6632267,-5075507,-353614,-746292,-1510156,-185381
74,Depreciation and Amortization,1218,1899,1899,1899,1900,1900,1900,681,- -,- -,- -,297,148307,- -,- -,- -,- -
75,Deferred Income Tax,653000,- -,- -,1124000,-949000,-960000,-754000,197000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,187946,9336,983288,5088,7634,1917500,364000,753750,782482,- -,- -,7657,-3865,- -,- -
77,Change in Working Capital,-43217,-50349,2137573,1221667,-1328471,-1011188,-3221543,-367419,-772045,213478,-447634,-499818,-2374177,913605,-246678,-1111111,341256
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,133260,119318,-37630,93672,-42474,45865,-35478,76145,31407,111472,381115,693033,248214,1593,155638,199688
81,Other Working Capital,2282861,2232512,4370085,5591752,4263281,3252093,30550,-336869,-1108914,-895436,-1343070,-1842888,-4217065,-3303460,-3550138,-4661249,-4319993
82,Other Non-Cash Items,-2498316,26517,-3267471,-4696144,3239069,1387710,5975232,852174,1194764,-465853,2882337,5906607,6969327,-567372,643227,2164885,-369393
83,Cash Provided by Operating Activities,-896652,-909446,-607541,-1092918,-773221,-827873,-375341,128756,-233934,-165861,-493490,-1225181,-332050,276,-353608,-456382,-213518
84,CAPEX,-13295,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3255,- -,- -,-126500,-57723,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-356350,-23500,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,838899,548824,651186,381987,- -,220820,160962,21894,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1100,- -,-82272,-35941,- -,- -,- -,- -,- -,- -,- -,-175000,- -,- -,-1500,-500,- -
89,Cash Used for Investing Activites,-14395,- -,-82272,802958,548824,651186,381987,- -,-135530,137462,21894,-178255,- -,- -,-126500,-57723,- -
90,Debt Repayment,- -,- -,- -,- -,-119451,-24177,-23145,-14510,- -,-35085,- -,-15000,-113000,- -,- -,- -,- -
91,Common Stock Issued,1069500,835265,241280,50000,263500,16000,- -,- -,- -,50000,22250,554450,216500,- -,410000,100000,109500
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,475000,150000,75000,176000,26498,-121377,374882,- -,477560,838202,225000,- -,75000,412484,120000
95,Cash Used/Provided by Financing Activities,1069500,835265,716280,200000,219049,167823,3353,-135887,374882,14915,499810,1377652,328500,- -,485000,512484,229500
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-74181,26467,-89960,-5348,-8864,9999,-7131,5418,-13484,28214,-25784,-3550,276,4892,-1621,15982
98,Cash at the End of Period,158453,84272,110739,20779,15431,6567,16566,9435,14853,1369,29583,3799,249,525,5417,3796,19778
99,Cash at the Beginning of Period,- -,158453,84272,110739,20779,15431,6567,16566,9435,14853,1369,29583,3799,249,525,5417,3796
100,Free Cash Flow,-909947,-909446,-607541,-1092918,-773221,-827873,-375341,128756,-233934,-165861,-493490,-1228436,-332050,276,-480108,-514105,-213518
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1308569/000155335014000195/0001553350-14-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335014000920/0001553350-14-000920-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335016001583/0001553350-16-001583-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000155335016002274/0001553350-16-002274-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033418000797/0001640334-18-000797-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033418002246/0001640334-18-002246-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033419001485/0001640334-19-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033420002073/0001640334-20-002073-index.htm,https://www.sec.gov/Archives/edgar/data/1308569/000164033421001719/0001640334-21-001719-index.htm
102,false,,,,,,,,,,,,,,,,,
