,https://roic.ai/company/PRPH,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1500000,34900000,26700000,31800000,25299222,25095664,34705062,40863625,43764265,50678613,44516609,42711449,27236476,23751000,18096000,20191000,24528000,24616000,26321000,24188000,23670000,13857000,14760000,13115000,18499000,69241000
12,Interest Income ,- -,- -,- -,- -,646723,404632,152313,93385,104339,402580,753538,777731,320062,9000,53000,28000,7000,2000,4000,2000,1000,231000,167000,- -,62000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,32250,100326,21644,- -,- -,- -,- -,- -,- -,13000,10000,18000,213000,54000,- -,- -,295000,1148000
14,Depreciation and Amortization,- -,100000,200000,200000,364924,490241,409068,473593,622348,1404107,1326920,996161,743670,522000,363000,355000,252000,243000,277000,367000,426000,337000,383000,398000,458000,3563000
15,EBITDA,-700000,35400000,11400000,-5900000,-4831549,706205,-6045390,1148167,1107460,4786117,-311182,-1462176,-4790616,-3404000,-3178000,-2355000,-839000,661000,-7547000,-3215000,-2229000,24232000,-1254000,-2748000,-1372000,11952000
16,EBITDA ratio,-0.8750,0.5043,0.3132,-0.2379,-0.2495,0.0286,-0.2055,0.0277,0.0252,0.0892,-0.0074,-0.0370,-0.2336,-0.1718,-0.2191,-0.1349,-0.0374,0.0264,-0.3420,-0.1560,-0.1061,2.4559,-0.0955,-0.2783,-0.0945,0.1512
17,Operating Income,-700000,35300000,9700000,-7000000,-5935036,-425997,-5284416,635538,181987,2979430,-2391640,-3236068,-6729864,-3935000,-3594000,-2738000,-1098000,416000,-7828000,-3584000,-2656000,-3990000,-1634000,-3239000,-2093000,9801000
18,Operating Income ratio,-0.8750,0.5028,0.2665,-0.2823,-0.3065,-0.0173,-0.1796,0.0153,0.0041,0.0555,-0.0568,-0.0820,-0.3282,-0.1986,-0.2478,-0.1569,-0.0490,0.0166,-0.3547,-0.1739,-0.1264,-0.4044,-0.1245,-0.3280,-0.1442,0.1240
19,Total Other Income Expenses (Gains),- -,- -,1500000,900000,- -,404632,152313,93385,270875,302254,731894,777731,320062,9000,53000,28000,7000,-11000,-6000,-16000,-212000,327000,167000,133000,-32000,-4496000
20,Income Before Tax,- -,35300000,11200000,-6100000,- -,-21365,-5132103,728923,452862,3281684,-1659746,-2458337,-6409802,-3926000,-3541000,-2710000,-1091000,405000,-7834000,-3600000,-2868000,-3663000,-1467000,-3106000,-2125000,5305000
21,Income Before Tax Ratio,- -,0.5028,0.3077,-0.2460,- -,-0.0009,-0.1744,0.0176,0.0103,0.0612,-0.0394,-0.0623,-0.3126,-0.1981,-0.2442,-0.1553,-0.0487,0.0162,-0.3550,-0.1747,-0.1365,-0.3712,-0.1118,-0.3145,-0.1464,0.0671
22,Income Tax expense (Gain),- -,14300000,4400000,-1900000,- -,- -,- -,- -,- -,65000,88599,- -,- -,-84000,-40000,- -,- -,- -,- -,- -,- -,-17990000,103000,- -,- -,968000
23,Net Income,-700000,21000000,6800000,-4200000,-5196473,215964,-6454458,674574,452862,3216684,-1748345,-2458337,-5534286,-3842000,-3501000,-2710000,-1091000,405000,-7834000,-3600000,-2868000,41831000,-1740000,-3146000,-2125000,6273000
24,Net Income ratio,-0.8750,0.2991,0.1868,-0.1694,-0.2684,0.0088,-0.2194,0.0163,0.0103,0.0599,-0.0415,-0.0623,-0.2699,-0.1939,-0.2414,-0.1553,-0.0487,0.0162,-0.3550,-0.1747,-0.1365,4.2395,-0.1326,-0.3186,-0.1464,0.0794
25,EPS,-0.17,1.72,0.51,-0.37,-0.49,0.02,-0.59,0.06,0.04,0.28,-0.14,-0.19,-0.43,-0.30,-0.25,-0.18,-0.07,0.03,-0.47,-0.22,-0.17,2.69,-0.15,-0.27,-0.18,0.54
26,EPS Diluted,-0.17,1.43,0.46,-0.37,-0.49,0.02,-0.59,0.05,0.03,0.24,-0.14,-0.19,-0.43,-0.30,-0.25,-0.18,-0.07,0.03,-0.47,-0.22,-0.17,2.67,-0.15,-0.27,-0.18,0.54
27,Weighted Average Shares Outstanding,4117647,12181020,13334684,11351960,10551027,10675153,10893944,11467087,11541012,11660561,12245073,12728706,12877983,12963000,14285000,14817000,14843000,15839000,16773000,16398000,17081000,15565000,11396000,11564000,11595000,11595000
28,Weighted Average Shares Outstanding Diluted,4117647,14633999,14944172,11351960,10551027,10750687,10893944,14910246,14449334,13299162,12245073,12728706,12877983,12963000,14285000,14817000,14843000,16276000,16773000,16398000,17081000,15696000,11396000,11564000,11595000,11595000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868278/000092189509000695/0000921895-09-000695-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420410015722/0001144204-10-015722-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420411014879/0001144204-11-014879-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420412013420/0001144204-12-013420-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420413018178/0001144204-13-018178-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420414018406/0001144204-14-018406-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420415018860/0001144204-15-018860-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315216008343/0001493152-16-008343-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315217001890/0001493152-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315218004041/0001493152-18-004041-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315219003946/0001493152-19-003946-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315220004807/0001493152-20-004807-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315221007538/0001493152-21-007538-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315222008541/0001493152-22-008541-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,25500000,28300000,14000000,11365843,9740840,12897080,11392089,14366441,16885170,17756759,16085282,11956796,12801000,8232000,5541000,572000,1638000,2926000,1664000,441000,3173000,1554000,434000,6816,8408
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18765000,6687000,926000,1639,8779
33,Cash and Short-Term Investments,400000,25500000,28300000,14000000,11365843,9740840,12897080,11392089,14366441,16885170,17756759,16085282,11956796,12801000,8232000,5541000,572000,1638000,2926000,1664000,441000,21938000,8241000,1360000,8455,17187
34,Net Receivables,600000,10900000,7600000,6600000,4062703,4425291,4188123,7861883,6375979,7880140,6557347,6672863,4523519,2086000,4821000,3219000,5409000,5319000,5836000,4000000,5770000,4947000,7798000,6822000,3155,37708
35,Inventory,100000,7700000,6500000,6200000,6917889,6507746,4526761,3752903,3454682,3900064,4262104,4811627,3001001,1405000,1682000,2688000,2051000,2521000,3292000,4331000,2736000,1531000,1903000,1459000,3039,4600
36,Other Current Assets,-100000,5100000,4600000,3900000,1123275,1507462,864124,733597,764359,1582851,1217097,1265518,1185113,941000,1021000,1747000,2687000,1801000,1404000,1884000,680000,503000,296000,304000,1238,1822
37,Total Current Assets,1000000,49200000,47000000,30700000,23469710,22181339,22476088,23740472,24961461,30248225,29793307,28835290,20666429,17233000,15756000,13195000,10719000,11279000,13458000,11879000,9627000,28919000,18238000,9945000,15887,61317
38,PP&E,100000,200000,1000000,1900000,2139727,2201309,2336736,2418159,6473688,5585793,4838076,4355213,3666748,2572000,2362000,2307000,2365000,2564000,2599000,2950000,3175000,2742000,2499000,2329000,3578,10349
39,Goodwill,- -,- -,- -,- -,- -,327014,30763,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,901,5709
40,Intangible Assets,200000,400000,300000,200000,438868,21940,- -,30763,30763,30763,- -,- -,- -,- -,3577000,3577000,3577000,3577000,- -,- -,- -,- -,- -,- -,1234,10852
41,Intangible Assets,200000,400000,300000,200000,438868,348954,30763,30763,30763,30763,- -,- -,- -,- -,3577000,3577000,3577000,3577000,- -,- -,- -,- -,- -,- -,2135,16561
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1639,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,300000,500000,7296,24193,91369,80365,63844,110858,213651,123215,35454,12000,- -,- -,- -,- -,- -,- -,- -,2500000,- -,- -,- -,1068
45,Total Non-Current Assets,400000,600000,1600000,2600000,2585891,2574456,2458868,2529287,6568295,5727414,5051727,4478428,3702202,2584000,5939000,5884000,5942000,6141000,2599000,2950000,3175000,5242000,2499000,2329000,7352,27978
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1400000,49800000,48600000,33300000,26055601,24755795,24934956,26269759,31529756,35975639,34845034,33313718,24368631,19817000,21695000,19079000,16661000,17420000,16057000,14829000,12802000,34161000,20737000,12274000,23239,89295
48,Accounts Payable,100000,1100000,800000,400000,763527,911813,394675,524136,978401,771819,885648,537863,693839,482000,489000,885000,1296000,1011000,667000,990000,2156000,562000,437000,432000,3771,7026
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,428571,428571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1490000,- -,- -,- -,4402,9442
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000,104000,162,2034
52,Other Current Liabilities,- -,7000000,3200000,6700000,4084056,2643707,6117464,4958982,5701579,8365573,8366386,9478508,5900914,5276000,7746000,6968000,3614000,3613000,4574000,3544000,3194000,510000,3590000,397000,-2041,-2978
53,Total Current Liabilities,100000,8100000,4000000,7100000,4847583,3555520,6512139,5483118,7108551,9565963,9252034,10016371,6594753,5758000,8235000,7853000,4910000,4624000,5241000,4534000,6840000,1072000,4233000,933000,6294,15524
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2464286,1035715,- -,- -,- -,- -,- -,- -,- -,- -,- -,1466000,- -,- -,- -,- -,-2763,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000,- -,905
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,200000,100000,- -,- -,- -,- -,- -,17318,14238
58,Total Non-Current Liabilities,100000,- -,- -,- -,- -,- -,- -,- -,2464286,1035715,- -,- -,- -,- -,- -,- -,300000,200000,100000,1466000,- -,- -,- -,110000,14555,15143
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4731000,- -
61,Total Liabilities,200000,8100000,4000000,7100000,4847583,3555520,6512139,5483118,9572837,10601678,9252034,10016371,6594753,5758000,8235000,7853000,5210000,4824000,5341000,6000000,6840000,1072000,4233000,1043000,20849,30667
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,7400000,7636,7661,8051,8074,8143,8180,8665,8750,8777,9000,10000,10000,11000,11000,13000,13000,13000,14000,14000,14000,14,16
64,Retained Earnings,-2800000,19800000,26600000,22400000,17249197,17465161,11010703,11685277,11878139,15094823,13346478,10888141,5353855,1512000,-1989000,-4699000,-5790000,-5385000,-13219000,-16819000,-19687000,22144000,4533000,-1506000,- -,2642
65,Other Comprehensive Income/Loss,- -,-100000,-200000,-300000,-520330,-812386,-1023279,-1445821,-1817415,-3166234,-4025731,-4954520,-4869645,-3155000,-3389000,-3608000,-3860000,-4064000,-4341000,-4708000,-5134000,-5471000,-5854000,-6252000,- -,-175
66,Other Total Stockholders Equity,4000000,22000000,18200000,- -,4234189,4539839,8427342,10539111,11833072,13382878,16200025,17301884,17280891,15693000,18828000,19523000,21090000,22034000,28263000,30343000,30770000,16402000,17811000,18975000,10555986,56145
67,Total Stockholders Equity,1200000,41700000,44600000,26200000,20970692,21200275,18422817,20786641,21901939,25319647,25529437,23244255,17773878,14059000,13460000,11226000,11451000,12596000,10716000,8829000,5962000,33089000,16504000,11231000,10556000,58628
68,Total Liabilities And Stockholders Equity,1400000,49800000,48600000,33300000,25818275,24755795,24934956,26269759,31474776,35921325,34781471,33260626,24368631,19817000,21695000,19079000,16661000,17420000,16057000,14829000,12802000,34161000,20737000,12274000,10576849,89295
69,Minority Interest,- -,- -,- -,- -,237326,- -,- -,- -,54980,54314,63563,53092,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10553610,- -
70,Total Liabilities & Equity,1400000,49800000,48600000,33300000,26055601,24755795,24934956,26269759,31529756,35975639,34845034,33313718,24368631,19817000,21695000,19079000,16661000,17420000,16057000,14829000,12802000,34161000,20737000,12274000,23239,89295
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868278/000092189509000695/0000921895-09-000695-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420410015722/0001144204-10-015722-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420411014879/0001144204-11-014879-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420412013420/0001144204-12-013420-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420413018178/0001144204-13-018178-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420414018406/0001144204-14-018406-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420415018860/0001144204-15-018860-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315216008343/0001493152-16-008343-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315217001890/0001493152-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315218004041/0001493152-18-004041-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315219003946/0001493152-19-003946-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315220004807/0001493152-20-004807-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315221007538/0001493152-21-007538-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315222008541/0001493152-22-008541-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-700000,21000000,6800000,-4200000,-5196473,215964,-6454458,674574,452862,3216684,-1748345,-2458337,-5534286,-3842000,-3501000,-2710000,-1091000,405000,-7834000,-3600000,-2868000,41831000,-1740000,-3146000,-2125000,6273000
74,Depreciation and Amortization,- -,100000,200000,200000,364924,490241,409068,473593,622348,1404107,1326920,996161,743670,522000,363000,355000,252000,243000,277000,367000,426000,337000,383000,398000,458000,3563000
75,Deferred Income Tax,- -,-200000,200000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17990000,- -,- -,- -,362000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000,631000,246000,269000,1044000,135000,1000,78000,634000,744000,1459000,3183000
77,Change in Working Capital,-500000,40200000,1900000,-19400000,-4977873,3692,-2661870,2293405,-404444,2829352,-140989,-1722354,-4747243,-2596676,-3954000,-2179000,467000,846000,1562000,-872000,-4558000,25060000,-13842000,-4993000,-9002407,36200
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2485000,-1189000,1620000,-2190000,90000,-517000,1836000,-1770000,3825000,-1023000,936000,-1039000,3866000
79,Inventory,- -,-7400000,1200000,400000,-515069,794852,1564459,773858,1198221,-445382,-362040,-549523,1134510,963000,451000,-891000,637000,-470000,-771000,-1039000,1595000,1205000,-372000,444000,-1468000,267000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212000,-219000,396000,411000,-285000,-344000,323000,1166000,-1594000,-125000,-14000,- -,- -
81,Other Working Capital,900000,41100000,43000000,23600000,18622127,18625819,15963949,18257354,17852910,20682262,20541273,18818919,14071676,11475000,7521000,5342000,5809000,6655000,8217000,7345000,2787000,27847000,14005000,9012000,9593,45793
82,Other Non-Cash Items,1200000,-52100000,-200000,24300000,7939626,-1826810,9250896,-4407797,3989261,-3184654,1519357,1872932,6480267,6361676,3351000,1795000,-5603000,-626000,1735000,473000,6527000,-52154000,12446000,6156000,6618407,-27036200
83,Cash Provided by Operating Activities,- -,9000000,8900000,1300000,-1869796,-1116913,543636,-966225,4660027,4265489,956943,-1311598,-3057592,445000,-3549000,-2108000,-5729000,1137000,-3216000,-3497000,-472000,-2838000,-2119000,-841000,-2592000,-13619000
84,CAPEX,- -,-100000,-1000000,-1000000,-393477,-368320,-580861,-555016,-310139,-531213,-697479,-533034,-199764,-208000,-1153000,-300000,-310000,-442000,-312000,-718000,-651000,-208000,-140000,-228000,-1689000,-4231000
85,Acquisitions Net,- -,- -,- -,- -,-312915,- -,- -,- -,-4295380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-9066000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31693000,-13350000,-3137000,-4560000,-21527000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12850000,25351000,8908000,3840000,15858000
88,Other Investing Activites,-300000,-100000,-200000,-200000,- -,-109639,- -,- -,- -,12000,118276,- -,16697,272000,-1153000,-134000,-310000,-442000,-306000,-709000,-651000,40617000,-139000,-228000,2204000,-4931000
89,Cash Used for Investing Activites,-300000,-200000,-1200000,-1200000,-706392,-477959,-580861,-555016,-4605519,-519213,-579203,-533034,-183067,272000,-1153000,-134000,-310000,-442000,-306000,-709000,-651000,21774000,11862000,5543000,-1016000,-19666000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-1500000,- -,- -,- -,- -
91,Common Stock Issued,500000,2500000,700000,400000,- -,- -,3250000,16250,26986,201024,1958135,173155,63909,- -,- -,- -,1070000,444000,4910000,1564000,- -,- -,- -,- -,- -,35135000
92,Common Stock Repurchased,- -,- -,-9100000,-14800000,- -,-30131,- -,- -,- -,- -,- -,- -,- -,- -,- -,-449000,- -,- -,- -,- -,- -,-16283000,- -,- -,- -,-917000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,-5822000,- -,-4546000
94,Other Financing Activites,- -,11700000,3500000,- -,-48444,- -,- -,- -,2892858,-1428571,-1464286,- -,- -,127000,133000,- -,- -,27000,- -,1480000,- -,1579000,338000,- -,9990000,5455000
95,Cash Used/Provided by Financing Activities,500000,14200000,-4900000,-14400000,-48444,-30131,3250000,16250,2919844,-1227547,493849,173155,63909,127000,133000,-449000,1070000,371000,4810000,2944000,-100000,-16204000,-11362000,-5822000,9990000,35127000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,500000,14200000,-4900000,-14300000,-2624632,-1625003,3212775,-1504991,2974352,2518729,871589,-1671477,-3176750,844000,-4569000,-2691000,-4969000,1066000,1288000,-1262000,-1223000,2732000,-1619000,-1120000,6382000,1842000
98,Cash at the End of Period,- -,- -,- -,14000000,11365843,9740840,12897080,11392089,14366441,16885170,17756759,16085282,11956796,12801000,8232000,5541000,572000,1638000,2926000,1664000,441000,3173000,1554000,434000,6816000,8658000
99,Cash at the Beginning of Period,100000,2500000,25500000,28300000,13990475,11365843,9684305,12897080,11392089,14366441,16885170,17756759,15133546,11957000,12801000,8232000,5541000,572000,1638000,2926000,1664000,441000,3173000,1554000,434000,6816000
100,Free Cash Flow,- -,8900000,7900000,300000,-2263273,-1485233,-37225,-1521241,4349888,3734276,259464,-1844632,-3257356,237000,-4702000,-2408000,-6039000,695000,-3528000,-4215000,-1123000,-3046000,-2259000,-1069000,-4281000,-17850000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/868278/000092189509000695/0000921895-09-000695-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420410015722/0001144204-10-015722-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420411014879/0001144204-11-014879-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420412013420/0001144204-12-013420-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420413018178/0001144204-13-018178-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420414018406/0001144204-14-018406-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000114420415018860/0001144204-15-018860-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315216008343/0001493152-16-008343-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315217001890/0001493152-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315218004041/0001493152-18-004041-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315219003946/0001493152-19-003946-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315220004807/0001493152-20-004807-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315221007538/0001493152-21-007538-index.htm,https://www.sec.gov/Archives/edgar/data/868278/000149315222008541/0001493152-22-008541-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
