,https://roic.ai/company/CRGS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15,EBITDA,-2336000,-3689000,-4681000,-3168000,-9915000,-4833000,-4911000,-3164000,-1962000,-3250000,-6778000,-3372000,-3340000,-2701000,-2441000,-2629000,-3860000,-4478000,-5113000,-2911000
16,EBITDA ratio,-212.3636,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-25.1111,-16.2149,-18.5714,-Infinity,-112.4000,-55.6667,-Infinity,-48.8200,-Infinity,-148.4615,-114.8205,-138.1892,-194.0667
17,Operating Income,-2363000,-3871000,-4863000,-3340000,-10097000,-5718000,-6664000,-3357000,-3684000,-3312000,-4940000,-3438000,-3463000,-2828000,-2636000,-2756000,-3995000,-4730000,-5252000,-2428000
18,Operating Income ratio,-214.8182,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-26.6429,-30.4463,-18.9257,-Infinity,-114.6000,-57.7167,-Infinity,-52.7200,-Infinity,-153.6538,-121.2821,-141.9459,-161.8667
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-1071000,146000,1655000,- -,1889000,5000,35000,19000,33000,39000,-167000,-693000,-1056000,-1848000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-2029000,-3312000,-3051000,-3433000,-3428000,-2809000,-2603000,-2717000,-4162000,-5423000,-6308000,-4276000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-16.7686,-18.9257,-Infinity,-114.4333,-57.1333,-Infinity,-52.0600,-Infinity,-160.0769,-139.0513,-170.4865,-285.0667
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-346000,-40000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2363000,-3871000,-4577000,-2927000,-9805000,-5445000,-7727000,-3211000,-1683000,-3272000,-3053000,-3433000,-3428000,-2809000,-2603000,-2717000,-4162000,-5423000,-6308000,-4276000
24,Net Income ratio,-214.8182,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-25.4841,-13.9091,-18.6971,-Infinity,-114.4333,-57.1333,-Infinity,-52.0600,-Infinity,-160.0769,-139.0513,-170.4865,-285.0667
25,EPS,-0.11,-0.17,-0.19,-0.11,-0.37,-0.19,-0.26,-0.11,-0.06,-0.10,-0.09,-0.22,-0.08,-0.07,-0.16,-0.06,-0.11,-0.12,-0.13,-0.09
26,EPS Diluted,-0.11,-0.17,-0.19,-0.11,-0.37,-0.19,-0.26,-0.11,-0.06,-0.10,-0.09,-0.22,-0.08,-0.07,-0.16,-0.06,-0.11,-0.12,-0.13,-0.09
27,Weighted Average Shares Outstanding,21322000,22750000,24567000,26836000,28515000,29560000,30566000,31261000,32196000,34035000,38895000,45697000,45711000,45716000,45716000,45758000,46119000,48032000,49781000,50601000
28,Weighted Average Shares Outstanding Diluted,21322000,22750000,24567000,26836000,28515000,29560000,30566000,31261000,32196000,34035000,38895000,45697000,45711000,45716000,45716000,45758000,46119000,48032000,49781000,50601000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063197/000143774912002181/0001437749-12-002181-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774913002531/0001437749-13-002531-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774914005393/0001437749-14-005393-index.htm,https://www.sec.gov/Archives/edgar/data/1063197/000143774915003953/0001437749-15-003953-index.htm,https://www.sec.gov/Archives/edgar/data/1063197/000143774916027048/0001437749-16-027048-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774917004927/0001437749-17-004927-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774918004856/0001437749-18-004856-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774919005985/0001437749-19-005985-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774920006298/0001437749-20-006298-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13000,13000,56000,574000,51000,720000,192000,304000,41000,1518000,5939000,3549000,1072000,3724000,1241000,2009000,194000,53000,18000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,13000,13000,56000,574000,51000,720000,192000,304000,41000,1518000,5939000,3549000,1072000,3724000,1241000,2009000,194000,53000,18000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,8000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,- -,- -,- -,24000,1744000,- -,- -
36,Other Current Assets,- -,- -,290000,8000,149000,67000,73000,43000,102000,111000,48000,35000,22000,31000,15000,37000,48000,27000,25000,2000
37,Total Current Assets,- -,13000,303000,64000,723000,118000,793000,235000,406000,152000,1566000,5974000,3636000,1103000,3739000,1278000,2091000,1973000,78000,20000
38,PP&E,- -,16000,6000,4000,127000,188000,156000,281000,289000,227000,220000,224000,417000,434000,271000,160000,117000,125000,62000,231000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,3077000,2907000,2738000,2568000,1712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000,227000,102000,10000,- -
41,Intangible Assets,- -,3077000,2907000,2738000,2568000,1712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000,227000,102000,10000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,2000,2000,252000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,3093000,2913000,2742000,2697000,1902000,408000,281000,289000,227000,220000,224000,417000,434000,271000,463000,344000,227000,72000,231000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3106000,3216000,2806000,3420000,2020000,1201000,516000,695000,379000,1786000,6198000,4053000,1537000,4010000,1741000,2435000,2200000,150000,251000
48,Accounts Payable,- -,1221000,316000,1128000,290000,148000,145000,261000,177000,277000,167000,91000,99000,58000,67000,84000,143000,167000,1785000,2184000
49,Short-Term Debt,- -,166000,2000,28000,28000,5000,14000,15000,15000,20000,15000,36000,113000,48000,6000,1000,2000,2000,- -,1786000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,- -,- -,20000,- -,- -,22000,5000,- -,- -
52,Other Current Liabilities,- -,- -,84000,- -,1495000,1541000,1791000,1704000,755000,1279000,618000,446000,278000,70000,41000,67000,138000,1868000,241000,595000
53,Total Current Liabilities,- -,1387000,402000,1156000,1813000,1694000,1950000,1980000,947000,1576000,821000,573000,490000,196000,114000,152000,305000,2042000,2026000,4565000
54,Long-Term Debt,- -,2000,- -,- -,- -,19000,59000,43000,29000,9000,26000,48000,54000,6000,- -,6000,543000,3563000,6603000,7763000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,520000,150000,150000,150000,150000,150000,500000,39000,29000,- -,- -,- -,- -,- -,- -,4000,3000,- -,126000
58,Total Non-Current Liabilities,- -,522000,150000,150000,150000,169000,209000,543000,868000,38000,45000,48000,54000,6000,- -,6000,547000,3566000,6603000,7889000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,5000,- -,190000
61,Total Liabilities,- -,1909000,552000,1306000,1963000,1863000,2159000,2523000,1815000,1614000,866000,621000,544000,202000,114000,158000,852000,5608000,8629000,12454000
62,Preferred Stock,- -,- -,- -,1000,3000,5000,9000,9000,8000,7000,7000,169000,169000,169000,419000,418000,466000,449000,441000,440000
63,Common Stock,- -,231000,256000,279000,290000,300000,313000,316000,328000,358000,457000,457000,457000,457000,457000,458000,470000,490000,504000,510000
64,Retained Earnings,- -,-14566000,-19143000,-22070000,-31875000,-37320000,-45047000,-48258000,-49941000,-53213000,-56266000,-59699000,-63127000,-65936000,-68539000,-71256000,-75418000,-80841000,-87149000,-91425000
65,Other Comprehensive Income/Loss,- -,-49000,-62000,-65000,-3000,-103000,-123000,-170000,-237000,-299000,-246000,-273000,-293000,-396000,-509000,-554000,-553000,-608000,-622000,-293000
66,Other Total Stockholders Equity,- -,15581000,20848000,22782000,32761000,37267000,43890000,46096000,48722000,51912000,56968000,64923000,66303000,67041000,72068000,72517000,76618000,77102000,78347000,78565000
67,Total Stockholders Equity,- -,1197000,1899000,927000,1176000,149000,-958000,-2007000,-1120000,-1235000,920000,5577000,3509000,1335000,3896000,1583000,1583000,-3408000,-8479000,-12203000
68,Total Liabilities And Stockholders Equity,- -,3106000,2451000,2233000,3139000,2012000,1201000,516000,695000,379000,1786000,6198000,4053000,1537000,4010000,1741000,2435000,2200000,150000,251000
69,Minority Interest,- -,- -,765000,573000,281000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3106000,3216000,2806000,3420000,2020000,1201000,516000,695000,379000,1786000,6198000,4053000,1537000,4010000,1741000,2435000,2200000,150000,251000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063197/000143774912002181/0001437749-12-002181-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774913002531/0001437749-13-002531-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774914005393/0001437749-14-005393-index.htm,https://www.sec.gov/Archives/edgar/data/1063197/000143774915003953/0001437749-15-003953-index.htm,https://www.sec.gov/Archives/edgar/data/1063197/000143774916027048/0001437749-16-027048-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774917004927/0001437749-17-004927-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774918004856/0001437749-18-004856-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774919005985/0001437749-19-005985-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774920006298/0001437749-20-006298-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2363000,-3871000,-4577000,-2927000,-9805000,-5445000,-7727000,-3211000,-1683000,-3272000,-3053000,-3433000,-3428000,-2809000,-2603000,-2717000,-4162000,-5423000,-6308000,-4276000
74,Depreciation and Amortization,27000,182000,182000,172000,182000,885000,682000,47000,67000,62000,51000,61000,88000,127000,162000,127000,173000,180000,138000,132000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1832000,1608000,2532000,1696000,1360000,635000,210000,404000,145000,159000,180000,126000
77,Change in Working Capital,- -,1661000,-251000,1023000,514000,-13000,-9000,661000,854000,-263000,106000,-264000,-212000,-173000,-24000,41000,105000,40000,-6000,690000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,-10000,2000,8000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000,65000,- -,- -,-24000,-1720000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000
81,Other Working Capital,- -,- -,- -,- -,-2000,- -,- -,2000,639000,-610000,-10000,-141000,-9000,13000,-20000,- -,22000,-17000,- -,- -
82,Other Non-Cash Items,1659000,1424000,3609000,723000,8304000,3304000,6305000,2059000,-1131000,1282000,-1440000,2000,5000,-17000,-12000,-44000,136000,822000,2466000,1068000
83,Cash Provided by Operating Activities,-677000,-604000,-1037000,-1009000,-805000,-1269000,-749000,-444000,-61000,-583000,-1804000,-1938000,-2187000,-2237000,-2267000,-2189000,-3603000,-4222000,-3530000,-2260000
84,CAPEX,-16000,-3000,-3000,-1000,-135000,-66000,-9000,-70000,-11000,- -,-3000,-13000,-137000,-127000,-57000,-360000,-94000,-420000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,1127000,- -,22000,- -,70000,-286000,-94000,- -,- -,- -
89,Cash Used for Investing Activites,-16000,-3000,-3000,-1000,-135000,-56000,-9000,-70000,-11000,- -,1124000,-13000,-115000,-127000,13000,-286000,-94000,-420000,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-14000,-15000,-60000,-22000,-88000,-113000,-48000,-8000,-30000,-8000,- -,-150000
91,Common Stock Issued,- -,433000,1408000,750000,1458000,802000,1378000,1000,198000,335000,2189000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,544000,153000,-88000,23000,- -,- -,49000,-15000,- -,- -,28000,6394000,- -,- -,4954000,- -,4495000,2835000,3389000,2375000
95,Cash Used/Provided by Financing Activities,544000,586000,1320000,773000,1458000,802000,1427000,-14000,184000,320000,2157000,6372000,-88000,-113000,4906000,-8000,4465000,2827000,3389000,2225000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-149000,-21000,280000,-237000,518000,-523000,669000,-528000,112000,-263000,1477000,4421000,-2390000,-2477000,2652000,-2483000,768000,-1815000,-141000,-35000
98,Cash at the End of Period,34000,13000,293000,56000,574000,51000,720000,192000,304000,41000,1518000,5939000,3549000,1072000,3724000,1241000,2009000,194000,53000,18000
99,Cash at the Beginning of Period,183000,34000,13000,293000,56000,574000,51000,720000,192000,304000,41000,1518000,5939000,3549000,1072000,3724000,1241000,2009000,194000,53000
100,Free Cash Flow,-693000,-607000,-1040000,-1010000,-940000,-1335000,-758000,-514000,-72000,-583000,-1807000,-1951000,-2324000,-2364000,-2324000,-2549000,-3697000,-4642000,-3530000,-2260000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1063197/000143774912002181/0001437749-12-002181-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774913002531/0001437749-13-002531-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774914005393/0001437749-14-005393-index.htm,https://www.sec.gov/Archives/edgar/data/1063197/000143774915003953/0001437749-15-003953-index.htm,https://www.sec.gov/Archives/edgar/data/1063197/000143774916027048/0001437749-16-027048-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774917004927/0001437749-17-004927-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774918004856/0001437749-18-004856-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774919005985/0001437749-19-005985-index.html,https://www.sec.gov/Archives/edgar/data/1063197/000143774920006298/0001437749-20-006298-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
