,https://roic.ai/company/UTSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
13,Interest Expense (Gain),- -,3311000,3909000,1251000,4281000,6916000,16764000,11688000,32676000,10439000,552000,279000,252000,240000,151000,88000,76000,55000,48000,47000,16000,10000
14,Depreciation and Amortization,8600000,9494000,18533000,22435000,46548000,78535000,98550000,68039000,57392000,38018000,13135000,5427000,3082000,3951000,3464000,2654000,2202000,1208000,628000,702000,644000,572000
15,EBITDA,20600000,53805000,99242000,158886000,302829000,115951000,-280786000,-52573000,-72632000,-94743000,-201113000,-56294000,19634000,-32601000,-21436000,-25904000,-20718000,765000,6394000,5947000,-3284000,-24876000
16,EBITDA ratio,0.1099,0.1460,0.1583,0.1618,0.1560,0.0450,-0.0978,-0.0214,-0.0294,-0.0578,-0.5206,-0.1931,0.0612,-0.1746,-0.1304,-0.2002,-0.1769,0.0088,0.0651,0.0513,-0.0500,-1.0233
17,Operating Income,20600000,33780000,76728000,145962000,274732000,49902000,-430083000,-138161000,-212045000,-176216000,-218688000,-73722000,21249000,-32586000,-13233000,-14073000,-4989000,1708000,6516000,4367000,-6137000,-23243000
18,Operating Income ratio,0.1099,0.0916,0.1224,0.1487,0.1415,0.0193,-0.1498,-0.0562,-0.0860,-0.1074,-0.5661,-0.2529,0.0663,-0.1745,-0.0805,-0.1087,-0.0426,0.0197,0.0663,0.0377,-0.0935,-0.9561
19,Total Other Income Expenses (Gains),-6900000,10820000,4372000,-5662000,-18532000,-18302000,38783000,4261000,46545000,32516000,3888000,11522000,-6549000,-614000,-7167000,-14573000,-26331000,-788000,1728000,75000,2193000,-2215000
20,Income Before Tax,13700000,44600000,81100000,140300000,256200000,31600000,-391300000,-133900000,-165500000,-143700000,-214800000,-62200000,14700000,-33200000,-20400000,-28646000,-31320000,920000,8244000,4442000,-3944000,-25458000
21,Income Before Tax Ratio,0.0731,0.1210,0.1294,0.1429,0.1320,0.0123,-0.1363,-0.0545,-0.0671,-0.0876,-0.5560,-0.2134,0.0459,-0.1778,-0.1241,-0.2213,-0.2675,0.0106,0.0839,0.0383,-0.0601,-1.0472
22,Income Tax expense (Gain),600000,14000000,19800000,27300000,42100000,-20300000,136500000,-15000000,32900000,7100000,10900000,3100000,2900000,-2392000,-2351000,1618000,4162000,-788000,-1263000,378000,-31000,-1782000
23,Net Income,11400000,27000000,57000000,107900000,209900000,50800000,-532600000,-117300000,-195600000,-150300000,-225700000,-65100000,13400000,-34400000,-22700000,-30264000,-27158000,290000,6981000,4820000,-3913000,-23676000
24,Net Income ratio,0.0608,0.0733,0.0909,0.1099,0.1081,0.0197,-0.1855,-0.0477,-0.0793,-0.0916,-0.5843,-0.2233,0.0418,-0.1843,-0.1381,-0.2338,-0.2319,0.0034,0.0710,0.0416,-0.0596,-0.9739
25,EPS,-6.39,1.02,1.68,2.94,5.85,1.92,-12.48,-2.91,-4.86,-3.66,-5.31,-1.44,0.27,-0.69,-0.58,-0.81,-0.53,0.03,0.20,0.14,-0.10,-0.66
26,EPS Diluted,-6.39,0.81,1.56,2.82,4.92,1.68,-12.48,-2.91,-4.86,-3.66,-5.31,-1.44,0.27,-0.69,-0.58,-0.81,-0.53,0.03,0.20,0.14,-0.10,-0.66
27,Weighted Average Shares Outstanding,31053478,26565306,33810966,36521963,34552965,38044961,39011294,40218959,40352959,41163292,42448624,45685620,51490948,48512618,39127000,37380000,37003000,35806000,35467000,35642000,35556000,35881000
28,Weighted Average Shares Outstanding Diluted,31053478,33955632,36203963,38135628,41636291,45180288,39011294,40218959,40352959,41163292,42448624,45685620,51640615,48512618,39127000,37380000,37003000,36402000,35467000,35642000,35556000,35881000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1030471/000091205701006930/0000912057-01-006930-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000101287002000449/0001012870-02-000449-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746903006462/0001047469-03-006462-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746904007021/0001047469-04-007021-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030471/000104746908002151/0001047469-08-002151-index.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746909002115/0001047469-09-002115-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746910002201/0001047469-10-002201-index.html,- -,https://www.sec.gov/Archives/edgar/data/1030471/000104746912004867/a2209029z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746913004996/a2214599z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746914003938/a2219694z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000114420415032159/v406626_20f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000114420416095805/v435205_20f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000110465917068513/a17-3245_120f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000110465918024249/a18-5342_120f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000156459019011840/utsi-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1030471/000156459020019425/utsi-20f_20191231.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,149100000,321100000,231900000,377700000,562500000,645600000,661600000,437400000,309600000,265800000,351500000,301600000,179600000,107800000,77824000,77050000,83922000,79749000,57049000,34966000,34221000
32,Short-Term Investments,- -,83900000,86200000,107300000,48600000,136300000,13300000,9500000,65600000,4300000,1000000,500000,2400000,300000,- -,2299000,- -,479000,3143000,- -,2095000,2100000
33,Cash and Short-Term Investments,- -,233000000,407300000,339200000,426300000,698800000,658900000,671100000,503000000,313900000,266800000,352000000,304000000,179900000,107800000,80123000,77050000,84401000,82892000,57049000,37061000,36321000
34,Net Receivables,- -,161700000,194700000,234100000,379800000,830800000,525000000,411100000,343500000,169500000,42300000,30100000,20200000,28000000,32100000,23047000,20992000,19140000,17894000,61460000,79650000,50735000
35,Inventory,- -,119000000,229100000,424700000,815200000,818900000,426000000,440400000,334500000,189800000,72300000,48400000,34300000,26000000,23400000,20659000,17470000,22577000,17139000,26388000,6142000,6695000
36,Other Current Assets,- -,17700000,65400000,109400000,212100000,331300000,392500000,322400000,312000000,259400000,206400000,174100000,145300000,153400000,109200000,81968000,46095000,36900000,48888000,15258000,14225000,16154000
37,Total Current Assets,- -,531400000,896500000,1107400000,1833400000,2679800000,2002400000,1845000000,1493000000,932600000,587800000,604600000,503800000,387300000,272500000,205797000,161607000,163018000,166813000,160155000,137078000,109905000
38,PP&E,- -,22000000,43900000,94000000,187000000,268800000,233400000,213200000,209100000,175300000,130600000,4800000,12200000,8900000,4800000,3037000,1510000,1610000,1714000,1258000,3952000,1803000
39,Goodwill,- -,25500000,46300000,44800000,100200000,180600000,3100000,3100000,- -,- -,- -,13800000,13800000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,-5200000,-7300000,5000000,44100000,98200000,75300000,56400000,24800000,- -,- -,4900000,3600000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,20300000,39000000,49800000,144300000,278800000,78400000,59500000,24800000,- -,- -,18700000,17400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,12400000,17800000,- -,- -,- -,- -,- -,- -,17691000,8402000,11273000,19226000,62443000,74588000,59799000,26022000,7753000,5856000,5224000,3129000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,7700000,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,4271000
44,Other Non-Current Assets,- -,5700000,8700000,54400000,97900000,121000000,237100000,257900000,257700000,185209000,202298000,144927000,48274000,29357000,15112000,10430000,9240000,6322000,12661000,10798000,7144000,2745000
45,Total Non-Current Assets,- -,60400000,109400000,198200000,429200000,668600000,548900000,538300000,491600000,378200000,341300000,179700000,97100000,100800000,94500000,73266000,36772000,15685000,20231000,17280000,14225000,8819000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,591800000,1005900000,1305600000,2262600000,3348400000,2551300000,2383300000,1984600000,1310800000,929100000,784300000,600900000,488100000,367000000,279063000,198379000,178703000,187044000,177435000,151303000,118724000
48,Accounts Payable,- -,44600000,83600000,257000000,251700000,407500000,320700000,304900000,148400000,176400000,54100000,36400000,23500000,25000000,25000000,29769000,16400000,22480000,27452000,50757000,30875000,25120000
49,Short-Term Debt,- -,43381000,58434000,- -,- -,351183000,198826000,102758000,322829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1595000,1217000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7162000,1130000,- -,786000,12954000,14549000,9958000,12863000,10663000,11085000,8083000,8543000,6310000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64989000,41461000,29093000,26819000,16965000,10779000,7286000,968000,1320000,801000
52,Other Current Liabilities,- -,73519000,163366000,282200000,707300000,817917000,648774000,637042000,631971000,444100000,439100000,354400000,135311000,124539000,110507000,72826000,64424000,53909000,53526000,18068000,15243000,12904000
53,Total Current Liabilities,- -,161500000,305400000,539200000,959000000,1576600000,1168300000,1044700000,1103200000,620500000,493200000,390800000,223800000,191000000,164600000,129414000,97789000,87168000,88264000,69793000,49033000,40042000
54,Long-Term Debt,- -,12000000,12000000,- -,410700000,410700000,274900000,275200000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1823000,283000,590000,985000,11193000,2049000,3012000,2307000,2772000,- -
57,Other Non-Current Liabilities,- -,6000000,6600000,- -,5300000,5000000,281500000,289000000,263100000,223500000,180600000,152600000,110677000,80917000,51410000,33335000,5620000,6745000,4776000,3169000,310000,1256000
58,Total Non-Current Liabilities,- -,18000000,18600000,- -,416000000,415700000,556400000,564200000,263400000,223500000,180600000,152600000,112500000,81200000,52000000,34320000,16813000,8794000,7788000,5476000,3082000,1281000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2959000,1473000
61,Total Liabilities,- -,179500000,324000000,539200000,1375000000,1992300000,1724700000,1608900000,1366600000,844000000,673800000,543400000,336300000,272200000,216600000,163734000,114602000,95962000,96052000,75269000,52115000,41323000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,100000,100000,100000,100000,100000,200000,200000,200000,200000,200000,200000,200000,200000,200000,122000,122000,122000,122000,123000,123000,123000
64,Retained Earnings,- -,-7800000,49100000,120500000,237400000,234200000,-376900000,-494200000,-691200000,-841500000,-1067200000,-1132300000,-1118900000,-1153300000,-1176000000,-1206286000,-1233444000,-1233154000,-1226173000,-1212790000,-1216703000,-1240379000
65,Other Comprehensive Income/Loss,- -,-12600000,-11400000,-12806000,-4341000,-1289000,13403000,62899000,92303000,69094000,70848000,69423000,82893000,79621000,65862000,63754000,61470000,62002000,62411000,61572000,62101000,63661000
66,Other Total Stockholders Equity,- -,432600000,644100000,658601000,646032000,1132361000,1291844000,1205461000,1216673000,1239040000,1251511000,1303606000,1300445000,1289321000,1260318000,1257739000,1262130000,1253771000,1254632000,1253261000,1253667000,1253996000
67,Total Stockholders Equity,- -,412300000,681900000,766395000,879191000,1365372000,928547000,774360000,617976000,466834000,255359000,240929000,264638000,215842000,150380000,115329000,90278000,82741000,90992000,102166000,99188000,77401000
68,Total Liabilities And Stockholders Equity,- -,591800000,1005900000,1305595000,2254191000,3357672000,2653247000,2383260000,1984576000,1310834000,929159000,784329000,600938000,488042000,366980000,279063000,204880000,178703000,187044000,177435000,151303000,118724000
69,Minority Interest,- -,- -,- -,5000,8409000,-9272000,-101947000,40000,24000,-34000,-59000,-29000,-38000,58000,20000,- -,-6501000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,591800000,1005900000,1305600000,2262600000,3348400000,2551300000,2383300000,1984600000,1310800000,929100000,784300000,600900000,488100000,367000000,279063000,198379000,178703000,187044000,177435000,151303000,118724000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1030471/000091205701006930/0000912057-01-006930-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000101287002000449/0001012870-02-000449-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746903006462/0001047469-03-006462-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746904007021/0001047469-04-007021-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030471/000104746908002151/0001047469-08-002151-index.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746909002115/0001047469-09-002115-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746910002201/0001047469-10-002201-index.html,- -,https://www.sec.gov/Archives/edgar/data/1030471/000104746912004867/a2209029z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746913004996/a2214599z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746914003938/a2219694z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000114420415032159/v406626_20f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000114420416095805/v435205_20f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000110465917068513/a17-3245_120f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000110465918024249/a18-5342_120f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000156459019011840/utsi-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1030471/000156459020019425/utsi-20f_20191231.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11400000,27000000,57000000,107900000,209900000,50800000,-532600000,-117300000,-195600000,-150300000,-225700000,-65100000,13400000,-34400000,-22700000,-30264000,-27158000,290000,6981000,4820000,-3913000,-23676000
74,Depreciation and Amortization,8600000,9494000,18533000,22435000,46548000,78535000,98550000,68039000,57392000,38018000,13135000,5427000,3082000,3951000,3464000,2654000,2202000,1208000,628000,702000,644000,572000
75,Deferred Income Tax,- -,- -,- -,- -,5567000,-119220000,172005000,-1223000,11908000,-6440000,904000,2008000,345000,-2211000,-1620000,-1416000,-6717000,771000,-1092000,705000,-465000,-1499000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,20565000,12094000,7602000,3029000,2982000,1698000,2289000,1545000,2238000,866000,1097000,1399000,703000
77,Change in Working Capital,-15700000,-98615000,-84409000,-13606000,-262140000,-205510000,225464000,102745000,-56581000,55269000,100240000,-40781000,-56975000,-13768000,590000,-4877000,-10001000,-1078000,-2814000,-31833000,-23816000,8514000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,58869000,123314000,3793000,8080000,664000,-14058000,6332000,-1491000,-1966000,1413000,-44815000,-21561000,18767000
79,Inventory,-34600000,-60693000,-121198000,-207321000,-81632000,-197604000,165923000,-5571000,82353000,-2280000,72816000,103574000,94916000,-4231000,45875000,36859000,35973000,-190000,1212000,6565000,20182000,-60000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,128921000,-127702000,-28036000,-4857000,9506000,7110000,6415000,-12233000,7393000,5183000,23193000,-19882000,-5754000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,95802000,-7490000,-65366000,-69858000,62631000,-76269000,-159704000,-28011000,-41529000,-44547000,-35962000,-11610000,-10390000,-10974000,-2660000,-1023000
82,Other Non-Cash Items,7000000,15956000,49045000,40611000,50659000,100390000,254964000,13818000,-35328000,-12276000,31879000,-1338000,-4598000,17828000,16653000,16002000,28493000,2303000,-731000,-1597000,2004000,11986000
83,Cash Provided by Operating Activities,11300000,-46165000,40169000,157340000,50534000,-95005000,218383000,66079000,-218209000,-55164000,-67448000,-92182000,-41717000,-25618000,-1915000,-15612000,-11636000,5732000,3838000,-26106000,-24147000,-3400000
84,CAPEX,-3600000,-19513000,-30199000,-75271000,-122339000,-135575000,-65146000,-26932000,-27539000,-14214000,-2012000,-3449000,-9347000,-5499000,-3766000,-1298000,-917000,-1527000,-732000,-225000,-507000,-115000
85,Acquisitions Net,- -,- -,- -,-17706000,-111720000,-217751000,-24326000,- -,- -,- -,- -,- -,- -,-62631000,-1770000,-804000,- -,- -,- -,-673000,- -,- -
86,Purchases of Investments,- -,-83806000,-89625000,-140583000,-147544000,-319253000,-187252000,-42702000,-38014000,-22471000,-6945000,-15285000,-16665000,-17869000,-26673000,-1080000,-1670000,-300000,-3645000,- -,-41000,- -
87,Sales/Maturities of Investments,- -,- -,87516000,118168000,217180000,236497000,346966000,47203000,83219000,290586000,24306000,14677000,9254000,4300000,948000,932000,19304000,7683000,500000,3143000,41000,2095000
88,Other Investing Activites,300000,-8062000,-11348000,-28758000,-13051000,-31965000,-105000,58496000,11772000,-7855000,5969000,137550000,5997000,-1103000,2371000,-3526000,707000,1407000,-6219000,- -,- -,- -
89,Cash Used for Investing Activites,-3300000,-111381000,-43656000,-144150000,-177474000,-468047000,70137000,36065000,29438000,246046000,21318000,133493000,-10761000,-82748000,-28890000,-5776000,17424000,7263000,-10096000,2245000,-507000,1980000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-381565000,-755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4625000,- -
91,Common Stock Issued,55500000,198213000,160550000,40928000,58878000,500291000,6952000,390000,- -,1741000,367000,34594000,- -,- -,- -,5340000,39000,- -,113000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-72929000,-139609000,-107569000,- -,-39000,-1654000,- -,- -,-67000,-6301000,-8842000,-30680000,-10308000,-3695000,-4096000,-140000,-2525000,-1049000,-374000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6200000,21081000,14986000,-70381000,347922000,350000000,-209756000,-99860000,-56451000,47212000,- -,- -,124000,- -,- -,- -,- -,-304000,- -,101000,4681000,- -
95,Cash Used/Provided by Financing Activities,61700000,219294000,175536000,-102382000,267191000,742722000,-202804000,-99509000,-58105000,-332612000,-388000,34527000,-6177000,-8842000,-30680000,-4968000,-3656000,-4400000,-27000,-2424000,-993000,-374000
96,Effect of Forex Changes on Cash,- -,- -,-25000,- -,1779000,5115000,-2677000,13417000,22702000,13884000,2758000,9826000,8774000,-4834000,-10326000,-3593000,-2906000,-1723000,2112000,-701000,554000,1575000
97,Net Change In Cash,69800000,61748000,172024000,-89192000,142030000,184785000,83039000,16052000,-224174000,-127846000,-43760000,85664000,-49881000,-122042000,-71811000,-29949000,-774000,6872000,-4173000,-26986000,-25093000,-219000
98,Cash at the End of Period,87400000,149112000,321136000,231944000,373974000,562532000,645571000,661623000,437449000,309603000,265843000,351507000,301626000,179584000,107773000,77824000,77050000,83922000,79749000,73700000,48607000,48388000
99,Cash at the Beginning of Period,17600000,87364000,149112000,321136000,231944000,377747000,562532000,645571000,661623000,437449000,309603000,265843000,351507000,301626000,179584000,107773000,77824000,77050000,83922000,100686000,73700000,48607000
100,Free Cash Flow,7700000,-65678000,9970000,82069000,-71805000,-230580000,153237000,39147000,-245748000,-69378000,-69460000,-95631000,-51064000,-31117000,-5681000,-16910000,-12553000,4205000,3106000,-26331000,-24654000,-3515000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1030471/000091205701006930/0000912057-01-006930-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000101287002000449/0001012870-02-000449-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746903006462/0001047469-03-006462-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746904007021/0001047469-04-007021-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030471/000104746908002151/0001047469-08-002151-index.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746909002115/0001047469-09-002115-index.html,https://www.sec.gov/Archives/edgar/data/1030471/000104746910002201/0001047469-10-002201-index.html,- -,https://www.sec.gov/Archives/edgar/data/1030471/000104746912004867/a2209029z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746913004996/a2214599z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000104746914003938/a2219694z20-f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000114420415032159/v406626_20f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000114420416095805/v435205_20f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000110465917068513/a17-3245_120f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000110465918024249/a18-5342_120f.htm,https://www.sec.gov/Archives/edgar/data/1030471/000156459019011840/utsi-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1030471/000156459020019425/utsi-20f_20191231.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
