,https://roic.ai/company/HCCI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,14880000,22045000,- -,20000,- -,20838000,19078000,18052000,- -,73894000,56518000,28744000,29046000,98082000,- -,89950000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,379000,1015000,23066000,5757000,9238000,- -,5484000,5314000,9556000,14516000,17157000,- -,21218000
57,Other Non-Current Liabilities,- -,- -,- -,2261391,2261391,- -,- -,- -,1027000,451000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,17141391,24306391,- -,399000,1015000,44931000,25286000,27290000,- -,79378000,61832000,38300000,43562000,115239000,- -,111168000
59,Other Liabilities,19087000,17475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89141000,- -,79492000
61,Total Liabilities,19087000,17475000,- -,27610855,35276363,- -,10460000,10062000,73863000,49720000,56654000,- -,132405000,116038000,78731000,93591000,205683000,- -,184169000
62,Preferred Stock,- -,- -,- -,8667095,12339324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,107000,107000,144000,181000,184000,- -,221000,223000,229000,231000,232000,- -,233000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-1194000,599000,5344000,7598000,12143000,- -,5135000,12227000,41359000,55819000,64182000,- -,76119000
65,Other Comprehensive Income/Loss,- -,- -,- -,109160,367932,- -,-16400000,-20100000,-29045000,-35800000,-44200000,- -,-54420000,- -,-95659000,-108429000,-121778000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,59043000,63319000,102110000,177412000,190243000,- -,235560000,- -,289299000,305962000,322361000,- -,201148000
67,Total Stockholders Equity,-952000,4794000,- -,8776255,12707256,- -,41556000,43925000,78553000,149391000,158370000,- -,186496000,197549000,235228000,253583000,264997000,- -,277500000
68,Total Liabilities And Stockholders Equity,18135000,22269000,- -,36387110,47983619,- -,52016000,53987000,152416000,199111000,215024000,- -,318901000,313587000,313959000,347174000,470680000,- -,461669000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,934000,- -,918000,720000,698000,648000,634000,- -,- -
70,Total Liabilities & Equity,18135000,22269000,- -,36387110,47983619,- -,52016000,53987000,152416000,199111000,215958000,- -,319819000,314307000,314657000,347822000,471314000,- -,461669000
71,SEC Link,- -,- -,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000117184309000281/0001171843-09-000281-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000117184310000358/0001171843-10-000358-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343112000003/0001403431-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343113000007/0001403431-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343114000009/0001403431-14-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000140343115000003/0001403431-15-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1403431/000140343118000018/0001403431-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343119000031/0001403431-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343120000021/0001403431-20-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000140343121000029/0001403431-21-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,4287074,7067759,- -,-808000,1793000,1474000,2254000,4545000,- -,-7008000,5842000,28123000,14728000,8363000,- -,11937000
74,Depreciation and Amortization,- -,- -,- -,2353018,2873433,- -,3630000,4308000,5657000,8141000,9524000,- -,12877000,17991000,17967000,16157000,18249000,- -,24563000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,1780000,939000,2775000,1278000,3236000,- -,-3551000,2589000,5251000,4960000,2641000,- -,4665000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,373000,1060000,1066000,1367000,- -,627000,1919000,3036000,4381000,3976000,- -,3197000
77,Change in Working Capital,- -,- -,- -,-4594818,-3509774,- -,-6980000,1735000,-6642000,-11340000,-3892000,- -,3786000,6673000,-7679000,-11413000,6475000,- -,3950000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1645000,-3984000,-7413000,-7794000,- -,3755000,-6276000,1627000,-5923000,-5118000,- -,5941000
79,Inventory,- -,- -,- -,-3551362,-3856315,- -,-2940000,764000,-9327000,-5970000,1670000,- -,-1685000,4648000,-3081000,-11158000,4025000,- -,4395000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-1015000,5999000,2894000,189000,- -,1587000,7881000,-4912000,6002000,3921000,- -,-6574000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,552878,3105704,- -,7082000,1115000,579000,1246000,603000,- -,7946000,3085000,-1367000,1259000,13550000,- -,-3543000
83,Cash Provided by Operating Activities,- -,- -,- -,2598152,9537122,- -,4704000,10263000,4903000,2645000,15383000,- -,14677000,38099000,45331000,30072000,53254000,- -,44769000
84,CAPEX,- -,- -,- -,-4936800,-8955799,- -,-5244000,-9683000,-43363000,-23186000,-18404000,- -,-20358000,-15875000,-14400000,-22820000,-31293000,- -,-23713000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2252000,- -,-21165000,- -,-86865000,-3393000,- -,-4805000,-3521000,- -,-10005000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-9683000,-43363000,-23056000,-18404000,- -,-20240000,-15508000,-10008000,-22731000,-31293000,- -,-22472000
89,Cash Used for Investing Activites,- -,- -,- -,-4936800,-8955799,- -,-5244000,-9683000,-45615000,-23056000,-39569000,- -,-107105000,-18901000,-10008000,-27536000,-34814000,- -,-32477000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-3820000,- -,-29233000,-1983000,- -,-35536000,-6699000,-68195000,- -,- -,- -,-1343000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,34219000,203000,274000,65932000,438000,- -,33808000,423000,402000,422000,483000,- -,497000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-355000,-1030000,-1428000,- -,-1054000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-11765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1852434,-373267,- -,-22066000,3800000,20867000,29292000,597000,- -,93079000,80000,38104000,-238000,-380000,- -,-3511000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1852434,-373267,- -,388000,183000,21141000,65991000,-948000,- -,91351000,-6196000,-30044000,-846000,-1325000,- -,-5411000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-486214,208056,- -,-152000,763000,-19571000,45580000,-25134000,- -,-1077000,13002000,5279000,1690000,17115000,- -,6881000
98,Cash at the End of Period,- -,- -,- -,271308,479364,- -,327000,1090000,2186000,47766000,22632000,- -,21555000,36610000,41889000,43579000,60694000,- -,67575000
99,Cash at the Beginning of Period,- -,- -,- -,757522,271308,- -,479000,327000,21757000,2186000,47766000,- -,22632000,23608000,36610000,41889000,43579000,- -,60694000
100,Free Cash Flow,- -,- -,- -,-2338648,581323,- -,-540000,580000,-38460000,-20541000,-3021000,- -,-5681000,22224000,30931000,7252000,21961000,- -,21056000
101,SEC Link,undefined,undefined,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000117184309000281/0001171843-09-000281-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000117184310000358/0001171843-10-000358-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343112000003/0001403431-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343113000007/0001403431-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343114000009/0001403431-14-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000140343115000003/0001403431-15-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1403431/000140343118000018/0001403431-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343119000031/0001403431-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1403431/000140343120000021/0001403431-20-000021-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1403431/000140343121000029/0001403431-21-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,
