,https://roic.ai/company/CX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,190879000,171773000,346000000,351000000,71000000,- -,- -,- -,2194680477,1016335211,1945374755,1881190538,894569467,773901460,754429735,588551960,627000000,740000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,5014809000,738203000,1672427000,1560000000,1703000000,2129000000,- -,0,0,- -,624975657,864107786,661749533,324266232,308952429,275254582,15111951,199000000,249000000,11103010000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,13971045000,14205818000,15426373000,22624000000,24811000000,44054000000,40377071823,40164781412,37345518830,33935053834,32362646351,32783590780,30138350384,27134077138,24504691482,25265580448,24696488939,24784000000,23190000000,22425119000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,15922221000,16034330000,17377655000,26796000000,29972000000,49662000000,45334544926,44503668603,41770492069,38905353282,37295225632,38083840793,34954887810,31399625704,28946636806,28899236253,28118811478,29363000000,27425000000,26650370000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,407856000,488946000,535323000,2926000000,2005000000,2167000000,1638775807,1390553348,1515294041,1448683048,1598155375,1704265885,1647484144,1662385580,1925969187,2363951120,2536263593,2526000000,2571000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1392262000,1330524000,1043523000,1192000000,1252000000,3320000000,6925705147,565041272,457118298,335648564,121598779,388107752,1218830097,389930144,85865704,1274032587,94233442,844000000,472000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,811719328,524720930,750653819,671320431,383271105,261651479,261150713,212127010,219000000,445000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131443799,127830619,159204011,176145250,150899607,164491467,197861507,234718612,225000000,201000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,1151675000,1013148000,833069000,1000000,1180000000,2149000000,2538819424,1805716906,2497323948,2719521918,2342782361,2320509760,2403109931,1999217129,1787107113,1875916497,1721846487,1814000000,2108000000,5380321000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,2951793000,2832618000,2411915000,4119000000,4437000000,7636000000,11103300378,3761311526,4469736287,4635297329,4190367133,4572087407,5445569421,4202432460,3963433470,5711761711,4587062135,5409000000,5352000000,5380321000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,4370527000,4542087000,4885945000,8297000000,6290000000,16544000000,11836580401,15572531336,15989895877,14638242244,16199044971,16754878789,14709995004,14531933275,12596918681,9668075356,9876295710,9303000000,9160000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1089470000,1054743000,1151340000,2441000000,2571000000,4607000000,2794344286,2494802813,1390492718,1261285851,1001846183,1405892698,1342844498,1180386989,945729400,804531568,758141627,720000000,658000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,564680000,830899000,710335000,1573000000,1895000000,2180000000,2352064554,2989147050,2590904668,6037579998,3783038489,3965822568,3398822712,2001938649,1945372230,2001120163,1727036450,3107000000,3303000000,10998932000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,6024677000,6427729000,6747620000,12311000000,10756000000,23331000000,16982989241,21056481198,19971293263,21937108093,20983929643,22126594055,19451662214,17714258913,15488020310,12473727088,12361473787,13130000000,13121000000,10998932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33965978482,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264853201,210557667,130055606,101449007,76067650,158553971,128527903,1306000000,1260000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,8976470000,9260347000,9159535000,16430000000,15193000000,30967000000,28086289619,24817792724,24441029550,26572405422,25174296776,26698681462,24897231635,21916691373,19451453780,18185488798,16948535922,18539000000,18473000000,16379253000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,323576000,311321000,330845000,- -,- -,- -,299287584,- -,- -,297005524,9197261106,6827426383,7152175920,6926789950,6146034443,7365274949,7394272316,318000000,318000000,7810104000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,8897331000,8743013000,9645594000,12689000000,15433000000,18338000000,6207909276,6302736166,5131045444,1929278927,844492222,2256720689,1018044876,496938000,755125878,1089714868,1600696473,1621000000,2635000000,3387423000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-6455348000,-6039023000,-5857426000,-7653000000,-6114000000,-8994000000,165600465,-12398349129,8481462260,-6457841018,950589298,1154267458,728881576,884378243,1196665766,686507128,603918320,-2724000000,-2453000000,-1370266000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,2974338000,3226090000,3710247000,- -,- -,- -,7189662693,- -,- -,15372029047,-0,- -,- -,- -,- -,- -,-0,10106000000,7575000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,5739897000,6241401000,7829260000,9837000000,12859000000,14942000000,13862460017,16346147967,15746212981,11140472479,10992342627,10238414531,8899102372,8308106193,8097826087,9141496945,9598887109,9321000000,8075000000,9827261000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,14716367000,15501748000,16988795000,26267000000,28052000000,45909000000,41948749637,41163940691,40187242531,37712877901,36166639402,36937095993,33796334007,30224797565,27549279867,27326985743,26547423031,27860000000,26548000000,26206514000
69,Minority Interest,- -,- -,- -,- -,- -,- -,1205854000,532582000,388860000,529000000,1920000000,3753000000,3385795289,3339727912,1583249538,1192475381,1128586229,1146744800,1158553803,1174828139,1397356939,1572250509,1571388447,1503000000,877000000,443856000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,15922221000,16034330000,17377655000,26796000000,29972000000,49662000000,45334544926,44503668603,41770492069,38905353282,37295225632,38083840793,34954887810,31399625704,28946636806,28899236253,28118811478,29363000000,27425000000,26650370000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1041823436,761592533,803200000,977698000,999836000,1179415000,519870000,629500000,1306966000,2114000000,2378000000,2391000000,165600465,107688780,-1339323364,-1780452942,-925506142,-831637537,-460421282,69543526,677320643,775000000,532581772,143000000,-1467000000,753113000
74,Depreciation and Amortization,- -,- -,392900000,435861000,489235000,793818000,764652000,825786000,857230000,1092000000,1192000000,1617000000,1516719977,1552506879,1498102436,1259561998,1338599238,1109899127,981322494,890342425,779355549,814256619,817673553,1045000000,1117000000,1127000000
75,Deferred Income Tax,- -,- -,- -,- -,57862000,21338000,-39661000,-39040000,113184000,77000000,107000000,-39000000,-1712852573,-807551208,365645983,876794782,474944108,476690890,273076046,131791061,149432389,26476578,227289842,162000000,52000000,144000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,96150524,-15965145,-32600000,6984000,106665000,204313000,382326000,9682000,-212842000,-33000000,281000000,157000000,90360570,-198639560,8109248,-52218383,-159535105,-313341741,104804727,205040487,532039154,409368635,-54036672,98000000,197000000,-143000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328729282,308774075,-177511434,-65003627,230266489,-167878096,-221691863,-195949452,-210103097,76120163,10532572,-8000000,25000000,-20000000
79,Inventory,-80150397,-27566609,-52200000,10424000,17202000,57909000,-31662000,136528000,-13570000,149000000,-89000000,-109000000,-12358244,298914705,32112621,-41300647,109991977,-47285280,-185648269,-75218185,-56664607,26782077,-151119506,96000000,24000000,-341000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209508578,-185111587,129666872,-32609554,-33028752,124354145,257531822,417376964,657338405,185081466,238127706,-41000000,20000000,290000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,491233661,521571818,53900000,129204000,82774000,164564000,35184000,142042000,163811000,172000000,126000000,52000000,2213506833,2001987160,1238363229,162185846,-290403745,-344123230,-84780507,-191027553,-252384354,-441089613,-172846115,-95000000,1679000000,-26113000
83,Cash Provided by Operating Activities,1629207621,1267199206,1217400000,1549747000,1736372000,2363448000,1662371000,1567970000,2228349000,3422000000,4084000000,4178000000,2273335272,2655992051,1770897532,465871300,438098354,97487509,814001477,1105689946,1885763379,1584012220,1350662382,1353000000,1578000000,1855000000
84,CAPEX,-241827247,-335039072,-579800000,-267263000,-398477000,-511460000,-423672000,-394317000,-433932000,-786000000,-1596000000,-2123000000,-1688208782,-1153699175,-383243050,-296646387,-470114432,-519907794,-477594596,-566307812,-286074214,-629327902,-776357379,-767000000,-591000000,-993000000
85,Acquisitions Net,-689413528,-92924584,- -,-993363000,-2608767000,-201387000,-263323000,-81616000,-16729000,-20000000,253000000,-13431000000,788383251,1613803118,95040384,88491126,-69718710,96643129,11335744,157616551,68731176,1213900204,-24474236,469000000,628000000,122000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-697000000,-1354000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207618494,- -,127720653,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-761133566,-565650211,-139600000,202500000,-844917000,-153644000,-1081403000,-677643000,-1044700000,-3201000000,-7000000,-107000000,-307284094,-1177010089,-373755230,34046099,5492694578,-510849899,-463475824,8252477783,-329369063,10130189409,-773711515,-762000000,-2000000,394000000
89,Cash Used for Investing Activites,-1450547094,-658574795,-719400000,-1058126000,-3852161000,-866491000,-1768398000,-1153576000,-1495361000,-4007000000,-2047000000,-17015000000,-855917418,436793030,-150994194,-107166201,-174024133,-414206770,-452140080,-461905666,-260637887,591089613,-798185752,-293000000,88000000,-285000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-269700494,-2737083461,-779704175,- -,-1342883628,- -,-754132456,-654091313,-1788265503,-2000967413,-471167212,- -,-4572000000,-5897000000
91,Common Stock Issued,268570467,1678120,372100000,211377000,1725236000,311711000,303947000,367863000,379104000,430000000,697000000,600000000,493893574,1830709263,405462,790099,969206920,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-12610000,-22244000,-438391000,-654075000,-70992000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77340622,-50000000,-83000000,- -
93,Dividends Paid,-136772309,- -,-165900000,-199504000,-229648000,-305028000,-326733000,-352988000,-387666000,-459000000,-531000000,-608000000,-509523117,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000000,- -,- -
94,Other Financing Activites,-348330010,-655146738,-687400000,-601580000,610604000,-1372830000,515288000,147590000,-623458000,872000000,-1269000000,11945000000,-920979936,-1932665851,-1198303545,327388434,-18617622,249859718,168542834,-67806385,-123947795,-172352342,-445827982,-344000000,3159000000,4045000000
95,Cash Used/Provided by Financing Activities,-216531851,-653468618,-481200000,-589707000,2093582000,-1388391000,54111000,-491610000,-703012000,843000000,-1103000000,11937000000,-1206309974,-2839040049,-1977602258,328178534,-392294330,249859718,-585589622,-721897699,-1912213298,-2173319756,-994335817,-544000000,-1496000000,-1852000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147571969,-161724243,-108582828,-128498883,-156107593,273962929,48126005,233934924,107295930,106415479,51441690,-37000000,-8000000,-55000000
97,Net Change In Cash,-37871324,-44844207,16700000,-98086000,-22208000,108566000,-51916000,-77216000,29977000,257000000,934000000,-900000000,358679849,92020789,-466281748,558384750,-284327701,207103385,-175602220,155821505,-179791876,108197556,-390417497,479000000,162000000,-337000000
98,Cash at the End of Period,435804636,380716696,406800000,328117000,308239000,428970000,360878000,291716000,342262000,602000000,1579000000,794000000,988950276,1077957811,677446560,1158429283,972011248,1164937351,854525066,884783575,557716812,699643585,308751906,788000000,950000000,613000000
99,Cash at the Beginning of Period,473675961,425560903,390100000,426203000,330447000,320404000,412794000,368932000,312285000,345000000,645000000,1694000000,630270427,985937022,1143728308,600044533,1256338950,957833966,1030127286,728962070,737508688,591446029,699169402,309000000,788000000,950000000
100,Free Cash Flow,1387380375,932160134,637600000,1282484000,1337895000,1851988000,1238699000,1173653000,1794417000,2636000000,2488000000,2055000000,585126490,1502292877,1387654481,169224913,-32016078,-422420285,336406881,539382134,1599689165,954684318,574305003,586000000,987000000,862000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
