,https://roic.ai/company/MIST,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1408443/000155837020002106/0001558370-20-002106-index.htm,https://www.sec.gov/Archives/edgar/data/1408443/000155837021003631/0001558370-21-003631-index.htm,https://www.sec.gov/Archives/edgar/data/1408443/000155837022004205/0001558370-22-004205-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-8086000,-23185000,-55229000,-49967000,-42853
74,Depreciation and Amortization,8000,10000,38000,97000,93000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,190000,633000,1191000,4945000,7279000
77,Change in Working Capital,-164000,57568000,30654000,28355000,-30379000
78,Accounts Receivable,- -,- -,- -,35000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-222000,2876000,3520000,-2083000,637000
81,Other Working Capital,25950000,83518000,114172000,142527000,112148000
82,Other Non-Cash Items,- -,-56072000,-27806000,-34162000,-10174147
83,Cash Provided by Operating Activities,-8052000,-21046000,-51152000,-50732000,-33224000
84,CAPEX,-36000,-5000,-413000,97000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-16032000,-3029000,-35000000,-90000000,- -
87,Sales/Maturities of Investments,45000,19032000,35029000,20000000,- -
88,Other Investing Activites,- -,- -,- -,-97000,70000000
89,Cash Used for Investing Activites,-16023000,15998000,-384000,-70000000,70000000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,85363000,24917000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,30722000,80115000,44000,48307000,5055000
95,Cash Used/Provided by Financing Activities,30722000,80115000,85407000,73224000,5055000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,6647000,75067000,33871000,-47508000,41831000
98,Cash at the End of Period,10880000,85947000,119818000,72310000,114141000
99,Cash at the Beginning of Period,4233000,10880000,85947000,119818000,72310000
100,Free Cash Flow,-8088000,-21051000,-51565000,-50732000,-33224000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1408443/000155837020002106/0001558370-20-002106-index.htm,https://www.sec.gov/Archives/edgar/data/1408443/000155837021003631/0001558370-21-003631-index.htm,https://www.sec.gov/Archives/edgar/data/1408443/000155837022004205/0001558370-22-004205-index.htm
102,false,,,,,
