,https://roic.ai/company/IPI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,59592000,36905000,29758000,65850000,49484000,15818000,1050000,149973000,-1362000,-2783000,108000,53000,5000,208869000
23,Net Income,36022442,29683904,98173000,55342000,45285000,109411000,87443000,22275000,9761000,-524776000,-66633000,-22910000,11783000,13631000,-27154000,249834000
24,Net Income ratio,0.2359,0.1391,0.3209,0.1834,0.1260,0.2470,0.1938,0.0662,0.0238,-1.8273,-0.3159,-0.1454,0.0566,0.0619,-0.1379,1.1503
25,EPS,360.22,3.90,13.10,7.40,6.00,14.60,11.60,3.00,1.30,-69.40,-8.80,-2.00,0.90,1.10,-2.09,19.07
26,EPS Diluted,360.22,3.90,13.10,7.40,6.00,14.50,11.60,3.00,1.30,-69.40,-8.80,-2.00,0.90,1.00,-2.09,18.66
27,Weighted Average Shares Outstanding,100000,7484535,7484313,7501456,7508443,7518071,7527660,7537865,7550467,7566948,7581873,11570885,12807070,12904916,12993225,13098871
28,Weighted Average Shares Outstanding Diluted,100000,7484535,7498829,7504205,7515425,7528105,7533698,7540672,7563032,7566948,7581873,11570885,13098591,13105092,12993225,13391362
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1421461/000104746909002312/0001047469-09-002312-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000104746910001642/0001047469-10-001642-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000104746911001266/a2202130z10-k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146112000008/0001421461-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146113000007/0001421461-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146114000007/ipi-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146115000010/ipi-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146116000031/0001421461-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146117000007/0001421461-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146118000007/0001421461-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146119000006/0001421461-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146120000007/0001421461-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146121000011/0001421461-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146122000007/0001421461-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,285947,1960406,116573000,89792000,76133000,73372000,33619000,394000,67589000,9307000,4464000,1068000,33222000,20603000,19515000,36452000
32,Short-Term Investments,- -,- -,- -,11155000,45557000,97242000,24128000,15214000,10434000,50523000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,285947,1960406,116573000,100947000,121690000,170614000,57747000,15608000,78023000,59830000,4464000,1068000,33222000,20603000,19515000,36452000
34,Net Receivables,28267563,23763454,25459000,29004000,31471000,40695000,43936000,44016000,32275000,24625000,20028000,24490000,25758000,24996000,24372000,989000
35,Inventory,20994887,18501012,49318000,61949000,48094000,55390000,53275000,105011000,84094000,106531000,94355000,83126000,82046000,94220000,88673000,78856000
36,Other Current Assets,1304975,3222617,7026000,12439000,7567000,9946000,7398000,13994000,8095000,4813000,4896000,3262000,4332000,5524000,3228000,40553000
37,Total Current Assets,50853372,47447489,198376000,204339000,208822000,276645000,162356000,178629000,202487000,195799000,123743000,111946000,145358000,145343000,135788000,156850000
38,PP&E,42370980,86773601,169034000,255332000,320292000,420905000,637265000,826569000,785250000,419476000,388490000,364542000,346209000,378509000,355497000,341117000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2565000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19184000,19184000,- -
41,Intangible Assets,- -,- -,2565000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19184000,19184000,- -
42,Investments,- -,- -,- -,6189000,21298000,6180000,- -,9505000,11856000,3799000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,327641000,290449000,266040000,215632000,180548000,143849000,146725000,- -,- -,- -,- -,- -,- -,209075000
44,Other Non-Current Assets,36089954,12505970,7461000,12681000,12432000,13508000,14454000,16721000,20401000,21410000,28668000,34566000,33664000,35403000,39719000,59853000
45,Total Non-Current Assets,78460934,99279571,506701000,564651000,620062000,656225000,832267000,996644000,964232000,444685000,417158000,399108000,379873000,433096000,414400000,610045000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,129314306,146727060,705077000,768990000,828884000,932870000,994623000,1175273000,1166719000,640484000,540901000,511054000,525231000,578439000,550188000,766895000
48,Accounts Payable,6232090,7997615,15516000,13652000,18077000,21034000,19431000,27552000,19953000,15709000,10210000,11103000,9107000,9992000,7278000,9068000
49,Short-Term Debt,3808701,5005398,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,- -,42004000,10000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1714000,2642000,1560000,1539000,854000,914000,50000,- -,41000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,3710000,- -,513000,- -,- -,- -,- -
52,Other Current Liabilities,14071209,17312324,23423000,22280000,27328000,28641000,47957000,41076000,26682000,19720000,13910000,11970000,25674000,35449000,49939000,64355000
53,Total Current Liabilities,24112000,30315337,38939000,35932000,45405000,49675000,67388000,68628000,46635000,39139000,24120000,37486000,34781000,87445000,67217000,73423000
54,Long-Term Debt,128380788,96350000,- -,- -,- -,- -,- -,150000000,150000000,150000000,133434000,49437000,49642000,29753000,46879000,1879000
55,Deferred Revenue,- -,- -,- -,10124000,11700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209075000
57,Other Non-Current Liabilities,8279516,9664368,14539000,13712000,13938000,12062000,21499000,22674000,22799000,24819000,19976000,21578000,23545000,26585000,24833000,-180885000
58,Total Non-Current Liabilities,136660304,106014368,14539000,23836000,25638000,12062000,21499000,172674000,172799000,174819000,153410000,71015000,73187000,56338000,71712000,30069000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6212000,2136000,- -
61,Total Liabilities,160772304,136329705,53478000,59768000,71043000,61737000,88887000,241302000,219434000,213958000,177530000,108501000,107968000,143783000,138929000,103492000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,75000,75000,75000,75000,75000,75000,76000,76000,76000,128000,129000,130000,13000,- -
64,Retained Earnings,- -,11035571,98166000,153508000,198793000,308204000,339015000,361290000,371051000,-153725000,-220358000,-243388000,-232068000,-218437000,-245591000,4243000
65,Other Comprehensive Income/Loss,- -,-638216,-1385000,-689000,-702000,-1431000,-1729000,-10000,-28000,-52000,- -,-168658000,- -,-224354000,- -,- -
66,Other Total Stockholders Equity,- -,18089964,554743000,556328000,559675000,564285000,568375000,572616000,576186000,580227000,583653000,814471000,649202000,877317000,656837000,659160000
67,Total Stockholders Equity,-31457998,10397355,651599000,709222000,757841000,871133000,905736000,933971000,947285000,426526000,363371000,402553000,417263000,434656000,411259000,663403000
68,Total Liabilities And Stockholders Equity,129314306,146727060,705077000,768990000,828884000,932870000,994623000,1175273000,1166719000,640484000,540901000,511054000,525231000,578439000,550188000,766895000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,129314306,146727060,705077000,768990000,828884000,932870000,994623000,1175273000,1166719000,640484000,540901000,511054000,525231000,578439000,550188000,766895000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1421461/000104746909002312/0001047469-09-002312-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000104746910001642/0001047469-10-001642-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000104746911001266/a2202130z10-k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146112000008/0001421461-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146113000007/0001421461-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146114000007/ipi-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146115000010/ipi-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146116000031/0001421461-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146117000007/0001421461-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146118000007/0001421461-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146119000006/0001421461-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146120000007/0001421461-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146121000011/0001421461-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146122000007/0001421461-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,36022442,29683904,98173000,55342000,45285000,109411000,87443000,22275000,9761000,-524776000,-66633000,-22910000,11783000,13631000,-27154000,249834000
74,Depreciation and Amortization,- -,9468266,7192000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34335000,36110000,35957000
75,Deferred Income Tax,- -,- -,28719000,29063000,30665000,49028000,38011000,30092000,2121000,150096000,- -,- -,- -,- -,- -,-209075000
76,Stock Based Compensation,- -,- -,- -,2909000,4016000,4984000,5116000,5123000,4237000,5080000,3599000,3622000,4179000,4281000,3821000,3012000
77,Change in Working Capital,-22454346,-9609220,142304848,8970000,-4990000,63553000,-132002000,15033000,45851000,808000,-57037000,-25163000,36117000,-52679000,10673000,14856000
78,Accounts Receivable,- -,- -,- -,-4062000,-4598000,-5537000,-2204000,10671000,-7724000,18818000,-600000,-5599000,-7484000,1337000,1158000,-12615000
79,Inventory,-5615744,565364,-29326000,-15807000,13883000,-9734000,1464000,-57647000,8834000,-55188000,-12239000,-6740000,-67000,-11525000,-291000,7358000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1740000,2280000,2331000,13456000
81,Other Working Capital,26741372,17132152,159437000,168407000,163417000,226970000,94968000,110001000,155852000,156660000,99623000,74460000,110577000,57898000,68571000,83427000
82,Other Non-Cash Items,1222625,12231974,-144417848,-15220000,48318000,-53107000,189266000,-7625000,65516000,391482000,101801000,61666000,12158000,49813000,7695000,-15517000
83,Cash Provided by Operating Activities,14790721,41774924,131971000,81064000,123294000,173869000,187834000,64898000,127486000,22690000,-18270000,17215000,64237000,49381000,31145000,79067000
84,CAPEX,-12150223,-31224880,-68794000,-101416000,-88393000,-137114000,-246406000,-250485000,-61770000,-46016000,-17892000,-13505000,-16891000,-80709000,-16443000,-19789000
85,Acquisitions Net,18652962,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-18479000,-81151000,-102031000,-85359000,-80235000,-20197000,-78568000,-10325000,- -,- -,- -,-3500000,- -
87,Sales/Maturities of Investments,- -,- -,10000,3237000,31672000,63537000,161580000,78193000,22326000,45007000,60727000,1000,- -,- -,- -,- -
88,Other Investing Activites,-5178427,10726564,823000,10137000,1588000,806000,2000,6088000,17000,- -,- -,5652000,110000,-16805000,4786000,4966000
89,Cash Used for Investing Activites,1324312,-20498316,-67961000,-106521000,-136284000,-174802000,-170183000,-246439000,-59624000,-79577000,32510000,-7852000,-16781000,-80641000,-15157000,-14823000
90,Debt Repayment,-57434216,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-93100000,-27400000,-10500000,-35074000,-1258000
91,Common Stock Issued,- -,38782176,1032268000,- -,- -,- -,- -,- -,- -,- -,- -,59130000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1324000,- -,- -,- -,- -,- -,- -,-15000000,-75000000,-10000000,- -,- -,- -
93,Dividends Paid,- -,-26080921,- -,- -,- -,- -,-56474000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,41447757,-32303404,-979705000,- -,-669000,-1828000,-930000,148316000,-667000,-1395000,10917000,96211000,22099000,29295000,18031000,-46024000
95,Cash Used/Provided by Financing Activities,-15986459,-19602149,52563000,-1324000,-669000,-1828000,-57404000,148316000,-667000,-1395000,-19083000,-12759000,-15301000,18795000,-17043000,-47282000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,128574,1674459,- -,-26781000,-13659000,-2761000,-39753000,-33225000,67195000,-58282000,-4843000,-3396000,32155000,-12465000,-1055000,16962000
98,Cash at the End of Period,285947,1960406,116573000,89792000,76133000,73372000,33619000,394000,67589000,9307000,4464000,1068000,33704000,21239000,20184000,37146000
99,Cash at the Beginning of Period,157373,285947,- -,116573000,89792000,76133000,73372000,33619000,394000,67589000,9307000,4464000,1549000,33704000,21239000,20184000
100,Free Cash Flow,2640498,10550044,63177000,-20352000,34901000,36755000,-58572000,-185587000,65716000,-23326000,-36162000,3710000,47346000,-31328000,14702000,59278000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1421461/000104746909002312/0001047469-09-002312-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000104746910001642/0001047469-10-001642-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000104746911001266/a2202130z10-k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146112000008/0001421461-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146113000007/0001421461-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146114000007/ipi-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146115000010/ipi-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146116000031/0001421461-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146117000007/0001421461-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146118000007/0001421461-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146119000006/0001421461-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146120000007/0001421461-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1421461/000142146121000011/0001421461-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1421461/000142146122000007/0001421461-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,
