,https://roic.ai/company/BYRN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,157797,3198180,11844784,13096075,13483848,15905651,16104787,18399830,23326062,24024631,27179827,27307274,31365097,33341695,35612520,58447839,119589000
67,Total Stockholders Equity,-23979,1360047,5179082,2020052,-575202,-472694,-1184952,-925788,1953480,-2945,594497,-993592,326623,157037,-1983993,8409045,66098000
68,Total Liabilities And Stockholders Equity,126,1468285,5353924,2239133,116527,314947,251869,417219,2060009,1557052,2166418,405859,2192357,2657085,3566419,21216120,75314000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,126,1468285,5353924,2239133,116527,314947,251869,417219,2060009,1557052,2166418,405859,2192357,2657085,3566419,21216120,75314000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299313000969/0001062993-13-000969-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299314001394/0001062993-14-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299315005524/0001062993-15-005524-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299316008106/0001062993-16-008106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299318001360/0001062993-18-001360-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299320002511/0001062993-20-002511-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000138713121002902/0001387131-21-002902-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000143774922003122/0001437749-22-003122-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-188699,-1660799,-4827937,-4401786,-2974467,-2320962,-901558,-2019938,-2024211,-2722412,-2550438,-1924110,-2800251,-2153474,-4409785,-12553325,-3283000
74,Depreciation and Amortization,- -,- -,2597,8652,9348,8976,10786,20585,38130,45586,47165,46515,45377,23058,54176,242054,487000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1231056,177990,289670,- -,929365,- -,- -,- -,- -,- -,128799,218154,1252366,3150000
77,Change in Working Capital,16076,1384026,3795075,-3160520,-2599728,103232,30356,593341,1679540,-549872,601240,-2933673,2272810,-1293150,-624930,5467975,-4854000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-20351,12816,-31326,6989,-3292,15690,-419341,-432907,-336000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120246,75927,36996,-149980,28182,-875413,-4491329,-1445000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5336,270177,5937818,- -
81,Other Working Capital,-23979,1360047,5155122,1994602,-605126,-501894,-471538,121803,1801343,1251471,1852711,-1080962,1191848,-101302,-726232,4741743,-3777000
82,Other Non-Cash Items,65250,-241853,-838653,3195563,3091411,415933,-310405,-818248,-1425416,1286648,163209,3151129,-988967,1698647,986036,8128685,63000
83,Cash Provided by Operating Activities,-107373,-518626,-1868918,-3127035,-2295446,-1503151,-1170821,-1294895,-1731957,-1940050,-1738824,-1660139,-1471031,-1596120,-3776349,2537755,-4437000
84,CAPEX,- -,- -,-26557,-10142,-13822,-8252,- -,-147219,-45219,-37625,- -,- -,-21844,-421523,-245971,-1506434,-1838000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-488852,-4044000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,- -,-80000,-138000
89,Cash Used for Investing Activites,- -,- -,-26557,-10142,-13822,-8252,- -,-147219,-45219,-37625,- -,- -,-21844,-421523,-245971,-1995286,-5882000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-324811,- -,- -,- -,-1937355,-40357,-1035930,-136748,-1500000
91,Common Stock Issued,99470,820635,5779045,- -,197000,1662500,160000,649750,3069700,- -,2500000,- -,- -,1275000,- -,500000,55952000
92,Common Stock Repurchased,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8029,1161698,-4227,11700,- -,40800,878328,910000,641965,1253799,23770,-36874,5175421,- -,5068265,7404710,2800000
95,Cash Used/Provided by Financing Activities,107499,1982333,5724818,11700,197000,1703300,1038328,1559750,3386854,1253799,2523770,-36874,3238066,1234643,4032335,7767962,57252000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33267,-18931,38818,27026,344,-18502,171304,-189000
97,Net Change In Cash,- -,1463707,3829343,-3125477,-2112268,191897,-132493,117636,1609678,-757143,766015,-1658195,1772217,-782656,-8487,8481735,46744000
98,Cash at the End of Period,126,1463833,5293176,2167699,55431,247328,114835,232471,1842149,1085006,1851021,192826,1965043,1182387,1173900,9655635,56400000
99,Cash at the Beginning of Period,- -,126,1463833,5293176,2167699,55431,247328,114835,232471,1842149,1085006,1851021,192826,1965043,1182387,1173900,9656000
100,Free Cash Flow,-107373,-518626,-1895475,-3137177,-2309268,-1511403,-1170821,-1442114,-1777176,-1977675,-1738824,-1660139,-1492875,-2017643,-4022320,1031321,-6275000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299313000969/0001062993-13-000969-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299314001394/0001062993-14-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299315005524/0001062993-15-005524-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000106299316008106/0001062993-16-008106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299318001360/0001062993-18-001360-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1354866/000106299320002511/0001062993-20-002511-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000138713121002902/0001387131-21-002902-index.htm,https://www.sec.gov/Archives/edgar/data/1354866/000143774922003122/0001437749-22-003122-index.htm
102,false,,,,,,,,,,,,,,,,,
