,https://roic.ai/company/GROW,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-5315656,3425885,1097635,269196,-1176896,864684,-532348,-172111,153603,2950546,2346341,16020095,21589816,16866464,-3340214,8830173,12321724,2781147,95491,-1228000,-2881000,-3365000,-243000,1085000,-4141000,-4657000,37634000
16,EBITDA ratio,-0.3371,0.1695,0.0784,0.0269,-0.1305,0.0792,-0.0599,-0.0222,0.0205,0.2273,0.1382,0.3572,0.3684,0.3010,-0.1443,0.2521,0.2938,0.1166,0.0051,-0.1074,-0.3074,-0.6113,-0.0359,0.1733,-0.8422,-1.0404,1.7380
17,Operating Income,453518,8648833,1891426,266336,-799488,530146,-648248,-251401,-256002,2915626,2236523,15867340,21345748,16582227,-3610548,8508757,12030019,2499387,-441555,-3402000,-3588000,-4176000,-873000,-2288000,-2964000,-2403000,8165000
18,Operating Income ratio,0.0288,0.4279,0.1350,0.0266,-0.0887,0.0486,-0.0729,-0.0324,-0.0342,0.2246,0.1317,0.3538,0.3642,0.2959,-0.1560,0.2429,0.2869,0.1048,-0.0237,-0.2974,-0.3829,-0.7586,-0.1291,-0.3654,-0.6028,-0.5369,0.3771
19,Total Other Income Expenses (Gains),-6349378,-5648249,-1275301,-454526,-869989,-60914,-110250,-85384,288112,-73145,-81,- -,- -,- -,- -,- -,- -,- -,262567,2165000,434000,485000,346000,3174000,-1452000,-2236000,29273000
20,Income Before Tax,-5895860,3000584,616125,-188190,-1669477,469232,-758498,-336785,32110,2842481,2236442,15867340,21345748,16582227,-3610548,8508757,12030019,2499387,-178988,-1237000,-3154000,-3691000,-527000,886000,-4416000,-4639000,37438000
21,Income Before Tax Ratio,-0.3738,0.1484,0.0440,-0.0188,-0.1851,0.0430,-0.0853,-0.0434,0.0043,0.2189,0.1317,0.3538,0.3642,0.2959,-0.1560,0.2429,0.2869,0.1048,-0.0096,-0.1081,-0.3366,-0.6705,-0.0779,0.1415,-0.8981,-1.0364,1.7289
22,Income Tax expense (Gain),-2005142,1013517,331976,-39571,183329,-26526,36181,-95351,-10502,675839,789971,5431978,7586499,5745417,-1372969,3159472,4197372,968953,15224,-517000,822000,-6000,17000,197000,-977000,-175000,5477000
23,Net Income,-3847434,1987067,284149,-148619,-1852806,495758,-794679,-241434,42612,2166642,1446471,10435362,13759249,10836810,-2237579,5349285,7832647,1530434,-194212,-970000,-4030000,-3675000,-513000,647000,-3388000,-4684000,31961000
24,Net Income ratio,-0.2440,0.0983,0.0203,-0.0148,-0.2055,0.0454,-0.0894,-0.0311,0.0057,0.1669,0.0852,0.2327,0.2348,0.1934,-0.0967,0.1527,0.1868,0.0642,-0.0104,-0.0848,-0.4301,-0.6676,-0.0759,0.1033,-0.6890,-1.0465,1.4760
25,EPS,-0.32,0.15,0.02,-0.01,-0.14,0.04,-0.06,-0.01,0.01,0.14,0.10,0.69,0.91,0.71,-0.15,0.35,0.51,0.10,-0.01,-0.06,-0.26,-0.24,-0.03,0.04,-0.22,-0.31,2.12
26,EPS Diluted,-0.32,0.15,0.02,-0.01,-0.14,0.04,-0.06,-0.01,0.01,0.14,0.10,0.69,0.90,0.71,-0.15,0.35,0.51,0.10,-0.01,-0.06,-0.26,-0.24,-0.03,0.04,-0.22,-0.31,2.12
27,Weighted Average Shares Outstanding,12026786,13202148,13328648,13234306,13124280,14164514,14448709,16095600,18323400,14938328,14959996,15031578,15162492,15246710,15275962,15339038,15384435,15441464,15482612,15459022,15399831,15294893,15212008,15158067,15138351,15108394,15067044
28,Weighted Average Shares Outstanding Diluted,12026786,13202148,13333333,13338726,13127688,14747296,14448709,16095600,18323400,15066268,15128538,15146230,15241534,15275441,15297561,15341820,15384435,15441582,15482612,15459022,15399831,15294893,15212008,15158067,15138351,15108394,15067953
29,SEC Link,https://www.sec.gov/Archives/edgar/data/754811/000075481195000002/0000754811-95-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/754811/000075481197000013/0000754811-97-000013-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/754811/000075481103000018/0000754811-03-000018-index.html,- -,https://www.sec.gov/Archives/edgar/data/754811/000095013405018480/d28870e10vk.htm,https://www.sec.gov/Archives/edgar/data/754811/000095013406017619/d39453e10vk.htm,https://www.sec.gov/Archives/edgar/data/754811/000095013407019889/0000950134-07-019889-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095013408016441/0000950134-08-016441-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012309042459/0000950123-09-042459-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012310084957/0000950123-10-084957-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012311082564/0000950123-11-082564-index.html,https://www.sec.gov/Archives/edgar/data/754811/000119312512374365/0001193125-12-374365-index.html,https://www.sec.gov/Archives/edgar/data/754811/000119312513350565/0001193125-13-350565-index.html,https://www.sec.gov/Archives/edgar/data/754811/000075481114000086/0000754811-14-000086-index.html,https://www.sec.gov/Archives/edgar/data/754811/000075481115000082/0000754811-15-000082-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518516005432/0001185185-16-005432-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518517001986/0001185185-17-001986-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518518001650/0001185185-18-001650-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518519001226/usglobal20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/754811/000118518520001304/0001185185-20-001304-index.htm,https://www.sec.gov/Archives/edgar/data/754811/000118518521001814/0001185185-21-001814-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2772221,666250,722121,1391867,1025247,1356903,1333922,988936,1162243,2831676,3814178,10056043,14854420,25135075,20303594,23837479,27207896,20612721,18085226,5910000,3507000,3993000,3958000,6364000,2949000,1936000,14436000
32,Short-Term Investments,1510316,27323625,721954,901647,884837,1424120,1163693,1409474,723428,1672354,2612529,4659824,6334474,6991843,4511497,5072724,5703916,5216139,4758220,17817000,15640000,10104000,9720000,8179000,8021000,6322000,6322000
33,Cash and Short-Term Investments,4282537,27989875,1444075,2293514,1910084,2781023,2497615,2398410,1885671,4504030,6426707,14715867,21188894,32126918,24815091,28910203,32911812,25828860,22843446,23727000,19147000,14097000,13678000,14543000,10970000,8258000,20758000
34,Net Receivables,1696995,2224209,1804367,1860458,1165144,1227357,1170424,1144865,1744572,1478120,2319312,11482871,14666556,8814395,3843912,3248985,3546819,2159385,1542162,2513000,1837000,2787000,2472000,1251000,700000,974000,4681000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,552544,454567,578816,602027,526057,565806,639514,644694,710104,336673,531952,580813,767779,628790,1229982,956523,816814,768617,800572,576000,410000,1290000,1315000,1328000,1369000,1310000,1350000
37,Total Current Assets,6532076,30668651,3827258,4755999,3601285,4574186,4307553,4187969,4340347,6318823,9277971,26779551,36623229,41570103,29888985,33115711,37275445,28756862,25186180,26816000,21394000,18174000,17465000,17122000,13039000,10542000,26789000
38,PP&E,2664820,2621052,2536081,2596091,2426592,2278744,2029899,1869990,1778832,1811488,1768334,2122889,2260288,2378396,3773121,3906712,3547303,3359376,3124056,3024000,2736000,2466000,2212000,1970000,1746000,1599000,1419000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,41000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,41000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,390251,1212742,890461,82202,856573,1246769,2536665,3028034,4660928,8824311,9707639,7609000,6566000,5405000,5531000,9576000,8879000,6583000,33970000
43,Tax Assets,2224602,1096268,1102531,1068092,878091,836056,605066,739154,735257,193543,165749,62211,53023,299351,955075,933241,482927,815245,677539,298000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,116651624,4921225,3246905,1888775,1422170,1429638,969666,1107908,195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000,33000,301000,312000,264000,72000,92000,99000
45,Total Non-Current Assets,121541046,8638545,6885517,5552958,4726853,4544438,3604631,3717052,3099340,3217773,2824544,2267302,3169884,3924516,7264861,7867987,8691158,12998932,13509234,11030000,9376000,8172000,8055000,11810000,10697000,8274000,35488000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,128073122,39307196,10712775,10308957,8328138,9118624,7912184,7905021,7439687,9536596,12102515,29046853,39793113,45494619,37153846,40983698,45966603,41755794,38695414,37846000,30770000,26346000,25520000,28932000,23736000,18816000,62277000
48,Accounts Payable,167598,276116,367163,275963,346504,498632,280587,695693,70437,99526,193249,343364,272564,289364,137428,174690,55181,67560,307354,465000,452000,401000,375000,618000,564000,142000,327000
49,Short-Term Debt,38325,1574826,44899,63525,68988,68257,69094,65637,70033,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492000,43000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78850,103468,68400,131000,117000,61000,58000,178000,47000,46000,1953000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,113189359,27501703,974998,696972,744684,869288,711080,495665,636992,951724,2006178,8160278,8425347,5971511,2388424,4617136,4853975,2978588,1538819,1678000,1175000,899000,791000,1155000,860000,1375000,4784000
53,Total Current Liabilities,113395282,29352645,1387060,1036460,1160176,1436177,1060761,1256995,777462,1051250,2199427,8503642,8697911,6260875,2525852,4791826,4909156,3046148,1846173,2143000,1627000,1300000,1166000,1773000,1424000,2009000,5154000
54,Long-Term Debt,5835935,1260137,1215386,1193599,1126066,1066705,1013747,955569,886527,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1099000,133000,- -,2799000
57,Other Non-Current Liabilities,180682,150342,143922,137039,129658,131256,122156,112398,102009,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,- -
58,Total Non-Current Liabilities,6016617,1410479,1359308,1330638,1255724,1197961,1135903,1067967,988536,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1099000,133000,43000,2799000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000,43000
61,Total Liabilities,119411899,30763124,2746368,2367098,2415900,2634138,2196664,2324962,1765998,1051250,2199427,8503642,8697911,6260875,2525852,4791826,4909156,3046148,1846173,2143000,1627000,1300000,1166000,2872000,1557000,2052000,7953000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,78539,339189,339464,339814,339814,389814,389814,390414,390414,390439,390664,394989,397789,397789,397789,398389,398389,398389,398389,399000,399000,399000,399000,399000,399000,399000,399000
64,Retained Earnings,-4560227,-2573160,-2289011,-2437630,-4290436,-3794678,-4618088,-4891573,-4848961,-2682319,-1235848,9199514,18991066,26609593,20698564,21444991,25582294,23403815,21272941,19376000,14423000,10290000,9321000,9513000,7761000,2625000,33833000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-10883,533074,390329,24259,-5589,-325397,352334,555352,1042462,466268,652218,906000,-483000,-149000,264000,1858000,-206000,-4000,6587000
66,Other Total Stockholders Equity,13142911,10778043,9915954,10039675,9862860,9889350,9943794,10081218,10143119,10244152,10357943,10924449,11711936,12551759,13179307,13793140,14034302,14441174,14525693,14389000,14230000,13988000,13886000,13772000,13758000,13744000,- -
67,Total Stockholders Equity,8661223,8544072,7966407,7941859,5912238,6484486,5715520,5580059,5673689,8485346,9903088,20543211,31095202,39233744,34627994,36191872,41057447,38709646,36849241,35070000,28569000,24528000,23870000,25542000,21712000,16764000,54324000
68,Total Liabilities And Stockholders Equity,128073122,39307196,10712775,10308957,8328138,9118624,7912184,7905021,7439687,9536596,12102515,29046853,39793113,45494619,37153846,40983698,45966603,41755794,38695414,37213000,30196000,25828000,25036000,28414000,23269000,18816000,62277000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,633000,574000,518000,484000,518000,467000,- -,- -
70,Total Liabilities & Equity,128073122,39307196,10712775,10308957,8328138,9118624,7912184,7905021,7439687,9536596,12102515,29046853,39793113,45494619,37153846,40983698,45966603,41755794,38695414,37846000,30770000,26346000,25520000,28932000,23736000,18816000,62277000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/754811/000075481195000002/0000754811-95-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/754811/000075481197000013/0000754811-97-000013-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/754811/000075481103000018/0000754811-03-000018-index.html,- -,https://www.sec.gov/Archives/edgar/data/754811/000095013405018480/d28870e10vk.htm,https://www.sec.gov/Archives/edgar/data/754811/000095013406017619/d39453e10vk.htm,https://www.sec.gov/Archives/edgar/data/754811/000095013407019889/0000950134-07-019889-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095013408016441/0000950134-08-016441-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012309042459/0000950123-09-042459-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012310084957/0000950123-10-084957-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012311082564/0000950123-11-082564-index.html,https://www.sec.gov/Archives/edgar/data/754811/000119312512374365/0001193125-12-374365-index.html,https://www.sec.gov/Archives/edgar/data/754811/000119312513350565/0001193125-13-350565-index.html,https://www.sec.gov/Archives/edgar/data/754811/000075481114000086/0000754811-14-000086-index.html,https://www.sec.gov/Archives/edgar/data/754811/000075481115000082/0000754811-15-000082-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518516005432/0001185185-16-005432-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518517001986/0001185185-17-001986-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518518001650/0001185185-18-001650-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518519001226/usglobal20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/754811/000118518520001304/0001185185-20-001304-index.htm,https://www.sec.gov/Archives/edgar/data/754811/000118518521001814/0001185185-21-001814-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3847434,1987067,284149,-148619,-1852806,495758,-794679,-241434,42612,2166642,1446471,10435362,13759249,10836810,-2237579,5349285,7832647,1530434,-194212,-970000,-4030000,-3675000,-513000,647000,-3388000,-4684000,31961000
74,Depreciation and Amortization,536920,425301,481510,457386,492581,395452,226150,164674,121493,108065,109899,152755,244068,284237,270334,321416,291705,281760,274479,259000,327000,316000,253000,241000,224000,202000,196000
75,Deferred Income Tax,-2005142,952517,331976,-39571,183329,-26526,36181,-95351,-10502,604296,49624,551815,184481,-13470,-2057356,362889,- -,- -,8612,387000,807000,- -,- -,50000,-966000,-139000,1055000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,324234,439728,292288,207309,226697,72904,12000,12000,12000,6000,21000,6000,102000,62000
77,Change in Working Capital,-208783,108179212,1124192,1279341,-1278430,696900,108783,-315818,631911,1704688,1810971,11197365,9649409,7383910,-7946095,960752,4042404,-6655575,-2370707,1332993,-4906000,-2893000,-575000,-950000,-3734000,-3082000,-274000
78,Accounts Receivable,- -,-700000,200000,1100000,2200000,-31079,199897,-119658,372012,355662,-2029681,-11026246,-4762828,5852161,4970483,594927,-297834,1387434,617223,-634000,655000,1046000,292000,-751000,716000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,100000,- -,-400000,100000,286245,-376866,199033,-484635,391785,1148177,6125508,1243288,-2326751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-106863206,1316006,2440198,3719539,2441109,3138009,3246792,2930974,3562885,5267573,7078544,18275909,27925318,35309228,27363133,28323885,32366289,25710714,23340007,24673000,19767000,16874000,16299000,15349000,11615000,8533000,- -
82,Other Non-Cash Items,4065629,-110598892,229397,-193422,3305828,-305740,456420,444168,-656598,-1913763,-2430845,-16881315,-15019386,-4505835,14571899,345720,-4655536,6433730,2669929,-16209993,7118000,9273000,1519000,-43000,6666000,7361000,-28234000
83,Cash Provided by Operating Activities,-1458810,945205,2451224,1355115,850502,1255844,32855,-43761,128916,2669928,986120,5455982,8817821,14309886,3040931,7632350,7718529,1817046,461005,-15189000,-672000,3033000,690000,-34000,-1192000,-240000,4766000
84,CAPEX,-429651,-372211,-392436,-469633,-323069,-258644,-84493,-4765,-30335,-145548,-67634,-510804,-381467,-402733,-1667133,-554933,-86512,-18374,-39159,-30000,-40000,-13000,- -,- -,- -,- -,-73000
85,Acquisitions Net,- -,- -,- -,- -,-550000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,1236000,- -,- -,- -,1306000,- -,746000,- -
86,Purchases of Investments,-131581341,-896791,-399620,-383630,-97056,-717652,-233310,-269985,-139866,-200520,- -,-8420,-2072531,-895153,-2719649,-230493,-1056384,-5064832,-473195,-2504000,-1186000,-906000,-1305000,-2420000,-1838000,-125000,-16998000
87,Sales/Maturities of Investments,12945530,90139426,26725000,584192,16166,15000,246269,- -,317671,315740,- -,784277,1707211,117284,- -,45143,297295,188734,744319,5348000,836000,2273000,1147000,2172000,77000,10000,25721000
88,Other Investing Activites,445008,-254707,948,-370122,-16091,1792,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017,- -,- -,- -,- -,- -,-2000000,- -,2000000,35000,199000,- -
89,Cash Used for Investing Activites,-118620454,88615717,25933892,-639193,-970050,-859504,-71534,-274750,147470,-30328,-67634,265053,-746787,-1180602,-4386782,-739266,-845601,-4894472,-368035,4050000,-390000,-646000,-158000,3058000,-1726000,830000,8650000
90,Debt Repayment,-14197396,-89801280,-28439967,-59423,-62070,-60092,-52121,-61635,-64646,-956560,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,5108545,295875,8250,87985,52492,47185,157632,150742,36899,68203,77984,304624,322928,191150,187820,205396,189674,188016,185223,156000,121000,59000,6000,6000,4000,3000,13000
92,Common Stock Repurchased,-106988,-3026733,-337282,-67856,-230113,-43862,-81326,-106482,-65649,-72246,-13968,-215196,-836710,- -,- -,- -,- -,- -,-173608,-289000,-292000,-313000,-114000,-141000,-24000,-113000,-314000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3967697,-3218283,-3673450,-3681344,-3692185,-3705765,-2632080,-928000,-924000,-574000,-456000,-455000,-454000,-452000,-640000
94,Other Financing Activites,130788725,865245,439754,-6882,-7381,-7915,-8487,-9100,-9683,-9564,- -,431402,1208822,178504,- -,116749,- -,- -,- -,- -,-27000,-1000000,- -,- -,- -,442000,- -
95,Cash Used/Provided by Financing Activities,121592886,-91666893,-28329245,-46176,-247072,-64684,15698,-26475,-103079,-970167,64016,520830,-3272657,-2848629,-3485630,-3359199,-3502511,-3517749,-2620465,-1061000,-1122000,-1828000,-564000,-590000,-474000,-120000,-941000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,-219000,-73000,-3000,-28000,2000,- -,- -
97,Net Change In Cash,1513622,-2105971,55871,669746,-366620,331656,-22981,-344986,173307,1669433,982502,6241865,4798377,10280655,-4831481,3533885,3370417,-6595175,-2527495,-12175000,-2403000,486000,-35000,2406000,-3390000,470000,12475000
98,Cash at the End of Period,2772221,666250,722121,1391867,1025247,1356903,1333922,988936,1162243,2831676,3814178,10056043,14854420,25135075,20303594,23837479,27207896,20612721,18085226,5910000,3507000,3993000,3958000,7364000,3974000,2961000,15436000
99,Cash at the Beginning of Period,1258599,2772221,666250,722121,1391867,1025247,1356903,1333922,988936,1162243,2831676,3814178,10056043,14854420,25135075,20303594,23837479,27207896,20612721,18085000,5910000,3507000,3993000,4958000,7364000,2491000,2961000
100,Free Cash Flow,-1888461,572994,2058788,885482,527433,997200,-51638,-48526,98581,2524380,918486,4945178,8436354,13907153,1373798,7077417,7632017,1798672,421846,-15219000,-712000,3020000,690000,-34000,-1192000,-240000,4693000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/754811/000075481195000002/0000754811-95-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/754811/000075481197000013/0000754811-97-000013-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/754811/000075481103000018/0000754811-03-000018-index.html,- -,https://www.sec.gov/Archives/edgar/data/754811/000095013405018480/d28870e10vk.htm,https://www.sec.gov/Archives/edgar/data/754811/000095013406017619/d39453e10vk.htm,https://www.sec.gov/Archives/edgar/data/754811/000095013407019889/0000950134-07-019889-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095013408016441/0000950134-08-016441-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012309042459/0000950123-09-042459-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012310084957/0000950123-10-084957-index.html,https://www.sec.gov/Archives/edgar/data/754811/000095012311082564/0000950123-11-082564-index.html,https://www.sec.gov/Archives/edgar/data/754811/000119312512374365/0001193125-12-374365-index.html,https://www.sec.gov/Archives/edgar/data/754811/000119312513350565/0001193125-13-350565-index.html,https://www.sec.gov/Archives/edgar/data/754811/000075481114000086/0000754811-14-000086-index.html,https://www.sec.gov/Archives/edgar/data/754811/000075481115000082/0000754811-15-000082-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518516005432/0001185185-16-005432-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518517001986/0001185185-17-001986-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518518001650/0001185185-18-001650-index.html,https://www.sec.gov/Archives/edgar/data/754811/000118518519001226/usglobal20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/754811/000118518520001304/0001185185-20-001304-index.htm,https://www.sec.gov/Archives/edgar/data/754811/000118518521001814/0001185185-21-001814-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
