,https://roic.ai/company/NBY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,- -,-Infinity,-3.3999,-0.8803,-1.1616,0.1962,-0.3928,-0.4227,-0.9621,-4.5229,-14.1935,-4.2906,-1.0957,-0.4007,-0.5017,-1.4528,-1.1056,-0.6775
17,Operating Income,-953000,- -,-3569000,-5526000,-5876000,-8509000,2740000,-4516000,-4321000,-8309000,-15486000,-16878000,-21014000,-10982000,-7311000,-7871000,-9400000,-6426000,-8862000
18,Operating Income ratio,-Infinity,- -,-Infinity,-3.6047,-0.9937,-1.2658,0.1747,-0.4630,-0.3921,-1.1961,-4.4538,-16.0133,-4.7966,-0.9231,-0.4010,-0.6293,-1.4245,-0.6469,-1.0524
19,Total Other Income Expenses (Gains),-24000,- -,106000,240000,488000,397000,-36000,258000,-762000,1284000,-554000,1686000,2053000,-2167000,-89000,1330000,-252000,-4608000,3038000
20,Income Before Tax,-977000,- -,-3463000,-5286000,-5388000,-8112000,2704000,-4258000,-5083000,-7025000,-16040000,-15192000,-18961000,-13149000,-7400000,-6541000,-9652000,-11034000,-5824000
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-3.4481,-0.9112,-1.2068,0.1724,-0.4365,-0.4613,-1.0112,-4.6132,-14.4137,-4.3280,-1.1052,-0.4059,-0.5229,-1.4626,-1.1107,-0.6916
22,Income Tax expense (Gain),- -,- -,- -,- -,12000,2000,7000,50000,2000,2000,2000,2000,12000,2000,3000,4000,6000,5000,- -
23,Net Income,-977000,-2804000,-3463000,-5286000,-5400000,-8114000,2697000,-4308000,-5085000,-7027000,-16042000,-15194000,-18973000,-13151000,-7403000,-6545000,-9658000,-11039000,-5824000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-3.4481,-0.9132,-1.2071,0.1720,-0.4417,-0.4615,-1.0115,-4.6137,-14.4156,-4.3307,-1.1054,-0.4061,-0.5233,-1.4636,-1.1112,-0.6916
25,EPS,-6.00,-16.00,-17.75,-23.00,-15.00,-9.50,3.00,-4.50,-5.00,-6.00,-10.50,-7.75,-6.82,-1.40,-0.48,-0.39,-0.48,-0.31,-0.27
26,EPS Diluted,-6.00,-16.00,-17.75,-23.00,-15.00,-9.50,3.00,-4.50,-5.00,-6.00,-10.50,-7.75,-6.82,-1.40,-0.48,-0.46,-0.48,-0.31,-0.27
27,Weighted Average Shares Outstanding,161760,175120,194080,228600,358960,852480,896160,933040,1030920,1177920,1527320,1985040,2784000,9408000,15324000,16921000,21641000,35076000,21641000
28,Weighted Average Shares Outstanding Diluted,161760,175120,194080,228600,358960,852480,924600,933040,1030920,1177920,1527320,1985040,2784000,9408000,15324000,17058000,21641000,35076000,21641000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389545/000119312508057350/0001193125-08-057350-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000114036109008390/0001140361-09-008390-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1389545/000143774911001416/0001437749-11-001416-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774912002793/0001437749-12-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774913002813/0001437749-13-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774914003599/0001437749-14-003599-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774915006065/0001437749-15-006065-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774916026877/0001437749-16-026877-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774917005131/0001437749-17-005131-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774918005177/0001437749-18-005177-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774919006017/0001437749-19-006017-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774920006213/0001437749-20-006213-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774921007158/0001437749-21-007158-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774922007543/0001437749-22-007543-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2208000,4903000,10941000,12099000,10992000,11534000,8428000,12735000,10500000,5429000,2385000,9512000,3199000,3183000,6937000,11952000,7504000
32,Short-Term Investments,- -,- -,1004000,6183000,11412000,- -,300000,1272000,5710000,4135000,2553000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,3212000,11086000,22353000,12099000,11292000,12806000,14138000,16870000,13053000,5429000,2385000,9512000,3199000,3183000,6937000,11952000,7504000
34,Net Receivables,- -,- -,- -,- -,- -,- -,3801000,500000,3000,943000,784000,273000,536000,2285000,3715000,3493000,1066000,1106000,1668000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,231000,521000,1345000,873000,504000,280000,492000,608000,3220000
36,Other Current Assets,- -,- -,83000,226000,419000,414000,513000,448000,417000,445000,723000,729000,261000,1801000,1577000,1652000,886000,576000,778000
37,Total Current Assets,- -,- -,3295000,11312000,22772000,12513000,15606000,13754000,14558000,18281000,14791000,6952000,4527000,14471000,8995000,8608000,9381000,14242000,13170000
38,PP&E,- -,- -,267000,554000,1150000,1456000,1812000,1588000,1270000,891000,718000,436000,395000,371000,471000,201000,1362000,520000,604000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4528000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100246,5200000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100246,9728000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,105000,174000,135000,63000,141000,149000,155000,539000,613000,552000,477000,375754,476000
45,Total Non-Current Assets,- -,- -,267000,554000,1150000,1456000,1917000,1762000,1405000,954000,859000,585000,550000,910000,1084000,753000,1839000,996000,10808000
46,Other Assets,1315000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1315000,- -,3562000,11866000,23922000,13969000,17523000,15516000,15963000,19235000,15650000,7537000,5077000,15381000,10079000,9361000,11220000,15238000,23978000
48,Accounts Payable,- -,- -,137000,365000,142000,406000,272000,406000,472000,455000,1674000,1865000,2483000,455000,466000,551000,331000,302000,1045000
49,Short-Term Debt,- -,- -,- -,- -,256000,366000,371000,106000,- -,- -,- -,- -,- -,- -,- -,- -,2611000,87000,200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2500000,3039000,2500000,2167000,1485000,1305000,1221000,337000,425000,170000,2067000,2841000,2323000,822000,730000,- -
52,Other Current Liabilities,- -,- -,173000,521000,1141000,1208000,1228000,726000,1061000,1497000,1616000,1055000,1980000,1801000,1672000,973000,1923000,1714000,2197000
53,Total Current Liabilities,- -,- -,310000,3386000,4578000,4480000,4038000,2723000,2838000,3173000,3627000,3345000,4633000,4323000,4979000,3847000,5687000,2833000,3442000
54,Long-Term Debt,- -,- -,- -,- -,497000,470000,106000,- -,- -,- -,- -,- -,1655000,- -,- -,- -,- -,87000,351000
55,Deferred Revenue,- -,- -,- -,- -,- -,1667000,- -,2303000,1060000,671000,1534000,2000000,2248000,1986000,534000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,34000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,6667000,4527000,7000,- -,- -,2721000,1342000,1973000,344000,1639000,1971000,1972000,560000,4560000,- -,10014000
58,Total Non-Current Liabilities,- -,- -,- -,6667000,5024000,2144000,140000,2303000,3781000,2013000,3507000,2344000,5542000,3957000,2506000,560000,4560000,87000,10365000
59,Other Liabilities,513000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,49000,49000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1435000,503000,- -
61,Total Liabilities,513000,- -,310000,10053000,9602000,6624000,4178000,5026000,6619000,5186000,7134000,5689000,10175000,8280000,7485000,4407000,10247000,2920000,13807000
62,Preferred Stock,65000,- -,175000,192000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,50000,63000,212000,215000,233000,234000,286000,369000,446000,516000,35000,153000,154000,171000,279000,418000,478000
64,Retained Earnings,- -,- -,-7788000,-13074000,-18474000,-26588000,-23891000,-28199000,-33284000,-40311000,-56353000,-71547000,-90520000,-103671000,-111074000,-114981000,-125024000,-136063000,-141887000
65,Other Comprehensive Income/Loss,- -,- -,-79000,-151000,-334000,-638000,- -,-1438000,-1815000,-1335000,-1648000,-1540000,-1702000,-149000,-243000,-509000,-560000,- -,- -
66,Other Total Stockholders Equity,802000,- -,10894000,14783000,32916000,34356000,- -,39893000,44157000,55326000,66071000,74419000,87089000,110768000,113757000,120273000,126278000,147963000,151580000
67,Total Stockholders Equity,802000,- -,3252000,1813000,14320000,7345000,13345000,10490000,9344000,14049000,8516000,1848000,-5098000,7101000,2594000,4954000,973000,12318000,10171000
68,Total Liabilities And Stockholders Equity,1315000,- -,3562000,11866000,23922000,13969000,17523000,15516000,15963000,19235000,15650000,7537000,5077000,15381000,10079000,9361000,11220000,15238000,23978000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1315000,- -,3562000,11866000,23922000,13969000,17523000,15516000,15963000,19235000,15650000,7537000,5077000,15381000,10079000,9361000,11220000,15238000,23978000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1389545/000119312508057350/0001193125-08-057350-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000114036109008390/0001140361-09-008390-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1389545/000143774911001416/0001437749-11-001416-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774912002793/0001437749-12-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774913002813/0001437749-13-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774914003599/0001437749-14-003599-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774915006065/0001437749-15-006065-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774916026877/0001437749-16-026877-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774917005131/0001437749-17-005131-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774918005177/0001437749-18-005177-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774919006017/0001437749-19-006017-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774920006213/0001437749-20-006213-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774921007158/0001437749-21-007158-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774922007543/0001437749-22-007543-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-3463000,-5286000,-5400000,-8114000,2697000,-4308000,-5085000,-7027000,-16042000,-15194000,-18973000,-13151000,-7403000,-6545000,-9658000,-11039000,-5824000
74,Depreciation and Amortization,- -,- -,48000,74000,183000,304000,373000,427000,425000,341000,314000,232000,164000,114000,95000,266000,65000,51000,119000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,983000,1281000,1399000,1221000,1540000,1018000,1042000,1382000,1751000,2038000,594000,621000,701000,693000
77,Change in Working Capital,- -,- -,102000,4941000,10268000,-10161000,3535000,-537000,689000,3388000,-3944000,-7557000,-3713000,10254000,-6132000,745000,-1067000,7715000,-1681000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-3801000,3250000,497000,-940000,159000,555000,-299000,-1585000,-1509000,774000,2319000,-317000,452000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23000,-208000,-451000,-751000,472000,369000,198000,-212000,-116000,-243000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,665000,1414000,-252000,1655000,-2162000,-260000,516000,- -,321000,-163000
81,Other Working Capital,- -,- -,2985000,7926000,18194000,8033000,11568000,11031000,11720000,15108000,11164000,3607000,-106000,10148000,4016000,4761000,3694000,11409000,9728000
82,Other Non-Cash Items,- -,- -,83000,5015000,-11322000,7046000,-9534000,5047000,-392000,-4770000,5685000,6422000,2581000,-11103000,5132000,-628000,2110000,-2149000,-2499000
83,Cash Provided by Operating Activities,- -,- -,-3230000,4744000,-6271000,-9942000,-1648000,2028000,-3142000,-6528000,-12969000,-15055000,-18559000,-12135000,-6270000,-5568000,-7929000,-4721000,-9192000
84,CAPEX,- -,- -,-123000,-362000,-663000,-610000,-731000,-203000,-119000,-148000,-141000,-68000,-123000,-160000,-244000,-44000,-19000,-26000,-52000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1957000,-11293000,-49197000,-32097000,-3975000,-2446000,-7581000,-4872000,-4330000,-4012000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,936000,6141000,44199000,43571000,3635000,1455000,3035000,6377000,5878000,6550000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,1000,1000,1000,- -,2000,- -,- -,6000,- -,128000,37000,- -,- -,- -,- -,- -,-11993000
89,Cash Used for Investing Activites,- -,- -,-1143000,-5513000,-5660000,10864000,-1069000,-1194000,-4665000,1363000,1407000,2598000,-86000,-160000,-244000,-44000,-19000,-26000,-12045000
90,Debt Repayment,- -,- -,- -,- -,- -,-339000,-408000,-371000,-123000,-71000,- -,- -,- -,-3020000,- -,- -,-652000,-2563000,- -
91,Common Stock Issued,- -,- -,1681000,3557000,17284000,- -,1944000,-2000,- -,2800000,6075000,227000,11519000,13648000,- -,5585000,6698000,5220000,1776000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,853000,-93000,685000,575000,74000,81000,4824000,6743000,3252000,7159000,4082000,8794000,201000,12000,5656000,7105000,15013000
95,Cash Used/Provided by Financing Activities,- -,- -,2534000,3464000,17969000,236000,1610000,-292000,4701000,9472000,9327000,7386000,15601000,19422000,201000,5597000,11702000,9762000,16789000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-1839000,2695000,6038000,1158000,-1107000,542000,-3106000,4307000,-2235000,-5071000,-3044000,7127000,-6313000,-15000,3754000,5015000,-4448000
98,Cash at the End of Period,- -,- -,2208000,4903000,10941000,12099000,10992000,11534000,8428000,12735000,10500000,5429000,2385000,9512000,3199000,3658000,7412000,12427000,7979000
99,Cash at the Beginning of Period,- -,- -,4047000,2208000,4903000,10941000,12099000,10992000,11534000,8428000,12735000,10500000,5429000,2385000,9512000,3673000,3658000,7412000,12427000
100,Free Cash Flow,- -,- -,-3353000,4382000,-6934000,-10552000,-2379000,1825000,-3261000,-6676000,-13110000,-15123000,-18682000,-12295000,-6514000,-5612000,-7948000,-4747000,-9244000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1389545/000119312508057350/0001193125-08-057350-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000114036109008390/0001140361-09-008390-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1389545/000143774911001416/0001437749-11-001416-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774912002793/0001437749-12-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774913002813/0001437749-13-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774914003599/0001437749-14-003599-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774915006065/0001437749-15-006065-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774916026877/0001437749-16-026877-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774917005131/0001437749-17-005131-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774918005177/0001437749-18-005177-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774919006017/0001437749-19-006017-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774920006213/0001437749-20-006213-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774921007158/0001437749-21-007158-index.htm,https://www.sec.gov/Archives/edgar/data/1389545/000143774922007543/0001437749-22-007543-index.htm
102,false,,,,,,,,,,,,,,,,,,,
