,https://roic.ai/company/FSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,589062,819137,1468827,4283321,2861247,4563866,7854619,9361730,8314969,10267275,10264886,10914085,14105014,16315780,16303562,15226722,13548202,13129603,13872699,16874284,24685039,27289769,28933011
12,Interest Income ,- -,- -,- -,67228,203310,34258,4653,3114,3996,2483,- -,- -,159,759,2000,- -,2963,2184,913,36843,80731,53101,77999
13,Interest Expense (Gain),- -,- -,- -,- -,- -,68384,64275,3136,10605,18696,66068,77216,95749,128407,109199,94890,55770,41699,44125,93653,428371,260657,- -
14,Depreciation and Amortization,12764,13489,18910,24683,37712,388071,685768,597170,588932,447831,402115,356797,330423,1257644,1298616,789733,578338,540079,286616,342561,620264,1183445,965935
15,EBITDA,182920,243345,-114781,-3079218,2015132,-801090,-426708,-691142,-249953,939693,119725,934113,1734794,1354961,686334,1545401,2942289,3661038,3751296,3559612,2978463,4618083,4896875
16,EBITDA ratio,0.2409,0.2363,-0.0860,-2.7686,0.8682,-0.2361,-0.0636,-0.0825,-0.0336,0.0874,0.0122,0.0813,0.1118,0.0826,0.0434,0.0971,0.1851,0.2253,0.2421,0.1996,0.1085,0.1470,0.1423
17,Operating Income,170156,210512,-134554,-3171129,-540127,-1170929,-1145225,-988133,-883178,470683,-547458,500100,1308463,-34066,-894364,660778,2350467,3085314,1511440,1307024,1907754,4117685,5483324
18,Operating Income ratio,0.2241,0.2045,-0.1008,-2.8512,-0.2327,-0.3451,-0.1707,-0.1180,-0.1188,0.0438,-0.0560,0.0435,0.0843,-0.0021,-0.0566,0.0415,0.1478,0.1899,0.0975,0.0733,0.0695,0.1311,0.1593
19,Total Other Income Expenses (Gains),- -,19344,863,67228,2517547,-86616,-31526,-303315,33688,2483,80000,- -,159,2976,172883,- -,-42286,-6054,1909115,1747823,406867,1073290,1167432
20,Income Before Tax,170156,229856,-133691,-3103901,1977420,-1257545,-1176751,-1291448,-849490,473166,-467458,500100,1308622,-31090,-721481,660778,2308181,3079260,3420555,3054847,2314621,5190975,6650756
21,Income Before Tax Ratio,0.2241,0.2232,-0.1002,-2.7908,0.8519,-0.3706,-0.1754,-0.1542,-0.1143,0.0440,-0.0478,0.0435,0.0843,-0.0019,-0.0457,0.0415,0.1452,0.1895,0.2208,0.1713,0.0844,0.1653,0.1932
22,Income Tax expense (Gain),67308,90885,100264,-21456,-25892,- -,- -,-127079,- -,68561,394983,690180,1125632,1053357,-2543115,257433,803485,1285926,1665814,633130,17436,-409553,-363317
23,Net Income,102848,138971,-233955,-3082445,2003312,-1257545,-1176751,-1164369,-849490,404605,-743441,-190080,182990,-1084447,1821634,403345,1504696,1793334,1754741,2490268,1912392,3583534,4294257
24,Net Income ratio,0.1355,0.1350,-0.1753,-2.7715,0.8631,-0.3706,-0.1754,-0.1391,-0.1143,0.0376,-0.0760,-0.0165,0.0118,-0.0661,0.1153,0.0254,0.0946,0.1104,0.1133,0.1397,0.0697,0.1141,0.1248
25,EPS,0.01,0.02,-0.03,-0.29,0.17,-0.11,-0.09,-0.09,-0.06,0.03,-0.05,-0.01,0.01,-0.08,0.14,0.03,0.11,0.16,0.15,0.21,0.16,0.24,0.35
26,EPS Diluted,0.01,0.02,-0.03,-0.29,0.17,-0.11,-0.09,-0.09,-0.06,0.03,-0.05,-0.01,0.01,-0.08,0.14,0.03,0.11,0.16,0.15,0.21,0.16,0.24,0.35
27,Weighted Average Shares Outstanding,9131316,9131316,9247949,10555754,11734880,11827734,12541084,12994430,13772180,14058033,14020375,13962567,13272049,13169991,13169991,13169991,13173827,11464270,11485580,11630136,11945636,12240641,12240641
28,Weighted Average Shares Outstanding Diluted,9131316,9131316,9247949,10555754,14326338,11827734,12541084,12994430,13772180,14058033,14020375,13962567,13478009,13169991,13169991,13169991,13307021,11635136,11725482,11816054,12085798,12302552,12240641
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069394/000120095207000151/fsi_10ksb-61231.htm,https://www.sec.gov/Archives/edgar/data/1069394/000120095209000115/fsi_10ksba3-71231.htm,https://www.sec.gov/Archives/edgar/data/1069394/000120095209000141/0001200952-09-000141-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000117120010000305/0001171200-10-000305-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000117120011000291/0001171200-11-000291-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448812001479/0001354488-12-001479-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448813001671/0001354488-13-001671-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448814001541/fsi_10k.htm,https://www.sec.gov/Archives/edgar/data/1069394/000135448815001493/fsi_10k.htm,https://www.sec.gov/Archives/edgar/data/1069394/000135448816006741/0001354488-16-006741-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000165495417002917/0001654954-17-002917-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315218004462/0001493152-18-004462-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315219004627/0001493152-19-004627-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315220005195/0001493152-20-005195-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315221007436/0001493152-21-007436-index.htm,https://www.sec.gov/Archives/edgar/data/1069394/000149315222008027/0001493152-22-008027-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,192280,190457,556789,237080,558795,526292,450759,3355854,1894045,2126150,2763420,506903,361867,568087,747517,2498738,2470066,6912138,7857936,3634670,3472776,5710227
32,Short-Term Investments,- -,- -,- -,5062495,5033837,559440,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4776167,- -
33,Cash and Short-Term Investments,- -,192280,190457,5619284,5270917,1118235,526292,450759,3355854,1894045,2126150,2763420,506903,361867,568087,747517,2498738,2470066,6912138,7857936,3634670,8248943,5710227
34,Net Receivables,- -,144383,65115,65304,311823,632905,793691,1319575,1051056,1642001,1544364,1198939,2332019,2199359,2012115,2322373,1954877,3008153,2105471,4422745,4470215,5889813,7129329
35,Inventory,- -,93513,181698,203830,212938,1416588,2314979,1904315,2361270,3591112,2796307,2539190,2890511,3361760,3061536,3467438,3275476,3786093,4686852,8727709,9182786,8372476,- -
36,Other Current Assets,- -,6151,59291,205335,122344,131280,166233,124360,115353,109459,121353,192270,135361,127009,126952,123511,243342,228699,255080,200306,218638,-3473720,10969513
37,Total Current Assets,- -,436327,496561,6093753,5918022,3299008,3801195,3799009,6883533,7236617,6588174,6693819,5864794,6049995,5768690,6660839,7972433,9493011,13959541,21208696,17506309,19037512,23809069
38,PP&E,- -,53064,72753,128566,167589,5250346,4657383,4100553,4743362,5882223,7314926,7867672,8205514,7185730,5831123,4764900,3791109,3393944,1938509,2563261,4794881,5142041,5148980
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2534275,2534275,2534275,2534275
40,Intangible Assets,- -,- -,- -,- -,- -,- -,143822,169758,230438,204203,224505,225180,208206,200512,168868,137404,100623,95890,79452,3191014,2998576,2776000,2600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,143822,169758,230438,204203,224505,225180,208206,200512,168868,137404,100623,95890,79452,5725289,5532851,5310275,5134275
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122480,13414,776357,1915585,4776167,5424010
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000,199000,219000,292111,2700506,2667286,2268296,2026999,1763923,891735,1600161,- -,12697
44,Other Non-Current Assets,- -,- -,- -,32500,303500,271000,369000,416220,48034,32713,7499,7894,7733,7893,4781,4425,10169,26163,18531,30777,1030630,-4776167,22239
45,Total Non-Current Assets,- -,53064,72753,161066,471089,5521346,5170205,4686531,5021834,6119139,7665930,8299746,8640453,7686246,8705278,7574015,6170197,5665476,3813829,9987419,14874108,10452316,15742201
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,489391,569314,6254819,6389111,8820354,8971400,8485540,11905367,13355756,14254104,14993565,14505247,13736241,14473968,14234854,14142630,15158487,17773370,31196115,32380417,29489828,39551270
48,Accounts Payable,- -,12422,20592,53146,157643,250129,691105,423030,339266,- -,597307,512380,514890,677969,570476,815141,826315,902037,939116,1050673,636260,558105,1283486
49,Short-Term Debt,- -,- -,- -,- -,- -,3150000,- -,- -,- -,- -,74146,122726,979389,1523644,1704556,1108214,401193,451193,451193,3569490,3992374,3252767,871289
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000,620000,437998,45998,-281202,140842,293238,893867,1101596,1357299,1770105,2540348,4561396
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,20559,9870,- -,- -,250000,312392,312556,13550,44593,40451,95308,208608,127168,213221,314277,349004
52,Other Current Liabilities,- -,90598,18108,- -,7700,- -,- -,- -,- -,771180,304000,620000,437998,45998,-281202,140842,293238,893867,1101596,1357299,1951339,3766152,7319277
53,Total Current Liabilities,- -,103020,38700,53146,165343,3400129,691105,443589,349136,771180,975453,1505106,2244669,2560167,2007380,2108790,1561197,2342405,2700513,6104630,6793194,7891301,9823056
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,645617,1546836,2211168,2206075,1647603,1407406,993274,754475,553282,352089,150896,4580384,3683671,848794,3873843
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310162
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989569,1058641,- -,310162
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383535,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,645617,1546836,2211168,2206075,1647603,1407406,993274,754475,553282,352089,150896,5569953,5125847,848794,4494167
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4276602,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789205,483113,- -
61,Total Liabilities,- -,103020,38700,53146,165343,3400129,691105,443589,994753,2318016,3186621,3711181,3892272,3967573,3000654,2863265,2114479,2694494,2851409,11674583,11919041,11319109,11845794
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,9131,9272,11570,11794,11832,12981,13058,14058,14063,13963,13963,13170,13170,13170,13170,13178,11458,11598,11700,12216,- -,- -
64,Retained Earnings,- -,215426,-18529,-3100974,-1097662,-2355207,-3308158,-4472527,-5322017,-4991149,-5734591,-5924671,-5741682,-6826129,-5004495,-4601150,-3096454,-1303120,451621,2941889,2456148,- -,4294257
65,Other Comprehensive Income/Loss,- -,-28863,-46862,-37571,3023,100179,153254,131002,394289,-244788,331208,554865,477139,574829,328686,-267552,-1205798,-1087208,-656093,-1222573,-994610,-872121,- -
66,Other Total Stockholders Equity,- -,190677,586733,9328648,7306613,7663421,11422218,12370418,15824284,16259614,16456903,16638227,15864348,16006798,16135953,16227121,16317225,14842863,15114835,15328285,16437473,23768279,20808376
67,Total Stockholders Equity,- -,386371,530614,6201673,6223768,5420225,8280295,8041951,10910614,11037740,11067483,11282384,10612975,9768668,11473314,11371589,12028151,12463993,14921961,17059301,17911227,21206528,25102633
68,Total Liabilities And Stockholders Equity,- -,489391,569314,6254819,6389111,8820354,8971400,8485540,11905367,13355756,14254104,14993565,14505247,13736241,14473968,14234854,14142630,15158487,17773370,28733884,29830268,32525637,36948427
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2462231,2550149,-3035809,2602843
70,Total Liabilities & Equity,- -,489391,569314,6254819,6389111,8820354,8971400,8485540,11905367,13355756,14254104,14993565,14505247,13736241,14473968,14234854,14142630,15158487,17773370,31196115,32380417,29489828,39551270
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069394/000120095207000151/fsi_10ksb-61231.htm,https://www.sec.gov/Archives/edgar/data/1069394/000120095209000115/fsi_10ksba3-71231.htm,https://www.sec.gov/Archives/edgar/data/1069394/000120095209000141/0001200952-09-000141-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000117120010000305/0001171200-10-000305-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000117120011000291/0001171200-11-000291-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448812001479/0001354488-12-001479-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448813001671/0001354488-13-001671-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448814001541/fsi_10k.htm,https://www.sec.gov/Archives/edgar/data/1069394/000135448815001493/fsi_10k.htm,https://www.sec.gov/Archives/edgar/data/1069394/000135448816006741/0001354488-16-006741-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000165495417002917/0001654954-17-002917-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315218004462/0001493152-18-004462-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315219004627/0001493152-19-004627-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315220005195/0001493152-20-005195-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315221007436/0001493152-21-007436-index.htm,https://www.sec.gov/Archives/edgar/data/1069394/000149315222008027/0001493152-22-008027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,102848,138971,-233955,-3082445,2003312,-1257545,-1176751,-1164369,-849490,404605,-743441,-190080,182990,-1084447,1821634,403345,1504696,1793334,1754741,2490268,1912392,3583534,4294257
74,Depreciation and Amortization,12764,13489,18910,24683,37712,388071,685768,597170,588932,447831,402115,356797,330423,1257644,1298616,789733,578338,540079,286616,342561,620264,1183445,965935
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119000,-80000,-20000,-73111,-2408395,-164611,38157,303793,985495,100000,-602421,409553,363317
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,345316,277202,181232,255773,142450,129155,91168,82112,66318,116092,111192,246444,156012,210112
77,Change in Working Capital,-234050,333307,124554,5582746,-287928,-5853800,3211211,245330,3178977,-68960,-852716,-424008,-1568588,-130297,271482,790739,1859187,739370,4108422,3845038,-4390951,433096,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-651757,137270,349083,-1138262,135462,91567,-341439,349470,-1199267,912056,-1048290,-319843,-1420614,-1246495
79,Inventory,-131225,43047,-88185,-22132,-9108,-1203650,-898391,410664,-456955,-1322022,759643,292049,-363860,-459250,187448,-441490,125047,-506278,-887339,-2185462,-478343,1284607,-1275746
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88532,18031,157668,-91512,271103,38523,90111,-407555,-351508,-312701,553478,102856
81,Other Working Capital,- -,333307,457861,6040607,5752679,-101121,3110090,3355420,6534397,6465437,5612721,5188713,3620125,3489828,3761310,4552049,6411236,7150606,11259028,15104066,10713115,11146211,- -
82,Other Non-Cash Items,69286,-327641,164533,-2878689,-2122638,4757749,-3342258,339408,-2891475,-1414959,1824153,1475210,20602,-418079,-632533,-848176,-1325839,-1667668,-6208941,-9050663,4584222,-60199,-1297875
83,Cash Provided by Operating Activities,-49152,158126,74042,-353705,-369542,-1965525,-622030,17539,26944,-286167,788313,1319151,-798800,-305840,479959,1062198,2736651,1775226,1042425,-2161604,2369950,5705441,4535746
84,CAPEX,-52409,- -,-39246,-80496,- -,-2320828,-92805,-66276,-1292421,-1512321,-1276470,-613902,-794848,-96721,-235565,-24535,-59030,-114270,-426480,-180830,-1831319,-1071108,263380
85,Acquisitions Net,- -,-16771,- -,- -,-76735,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,-4110560,-1001000,13419,- -
86,Purchases of Investments,- -,- -,- -,-5062495,-7503,-20985,-98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87500,- -,-700000,- -,-3152025,-500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,28658,4474397,559440,- -,369000,12738,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-18741,-23841,- -,- -,-140481,33081,-814,-21113,25730,- -,- -,- -,2721,- -,-4697,-15925,3374869,2433892,165689,994385,-422919
89,Cash Used for Investing Activites,-52409,-16771,-57987,-5166832,-55580,2132584,228154,-33195,-924235,-1499583,-1249989,-613902,-794848,-96721,-232844,-24535,-63727,-217695,2973389,-2557498,-2666630,-3215329,-659539
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-633472,- -,-82995,-309056,-293397,-327145,-1785043,-893661,-201193,-201193,- -,-1856174,-5555365,-943080
91,Common Stock Issued,- -,- -,4125,5868225,64819,57500,3458286,15285,2893481,- -,- -,- -,- -,- -,- -,- -,8000,32600,156020,102360,363260,39750,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1030349,- -,- -,- -,- -,-1575000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2398133,- -,- -
94,Other Financing Activites,-3261,- -,- -,16783,16217,- -,-3149990,- -,645617,1683815,462155,- -,650000,555000,195000,1005967,- -,50000,- -,-6230665,803125,2818278,-766720
95,Cash Used/Provided by Financing Activities,-3261,- -,4125,5885008,81036,57500,308296,15285,3539098,1050343,462155,-82995,-689405,261603,-132145,-779076,-885661,-1693593,-45173,-6128305,-3087922,-2697337,-1709800
96,Effect of Forex Changes on Cash,7053,-8516,-22003,1861,24377,97156,53075,-22152,263289,-726402,231626,15016,26536,-4078,91250,-79157,-36042,107390,471431,-463405,161336,45331,96391
97,Net Change In Cash,-97769,132839,-1823,366332,-319709,321715,-32503,-22523,2905096,-1461809,232105,637270,-2256517,-145036,206220,179430,1751221,-28672,4442072,945798,-3223266,-161894,2262798
98,Cash at the End of Period,59441,192280,190457,556789,237080,558795,526292,450759,3355855,1894045,2126150,2763420,506903,361867,568087,747517,2498738,2470066,6912138,7857936,4634670,4472776,6735574
99,Cash at the Beginning of Period,157210,59441,192280,190457,556789,237080,558795,473282,450759,3355854,1894045,2126150,2763420,506903,361867,568087,747517,2498738,2470066,6912138,7857936,4634670,4472776
100,Free Cash Flow,-101561,158126,34796,-434201,-369542,-4286353,-714835,-48737,-1265477,-1798488,-488157,705249,-1593648,-402561,244394,1037663,2677621,1660956,615945,-2342434,538631,4634333,4799126
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069394/000120095207000151/fsi_10ksb-61231.htm,https://www.sec.gov/Archives/edgar/data/1069394/000120095209000115/fsi_10ksba3-71231.htm,https://www.sec.gov/Archives/edgar/data/1069394/000120095209000141/0001200952-09-000141-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000117120010000305/0001171200-10-000305-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000117120011000291/0001171200-11-000291-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448812001479/0001354488-12-001479-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448813001671/0001354488-13-001671-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000135448814001541/fsi_10k.htm,https://www.sec.gov/Archives/edgar/data/1069394/000135448815001493/fsi_10k.htm,https://www.sec.gov/Archives/edgar/data/1069394/000135448816006741/0001354488-16-006741-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000165495417002917/0001654954-17-002917-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315218004462/0001493152-18-004462-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315219004627/0001493152-19-004627-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315220005195/0001493152-20-005195-index.html,https://www.sec.gov/Archives/edgar/data/1069394/000149315221007436/0001493152-21-007436-index.htm,https://www.sec.gov/Archives/edgar/data/1069394/000149315222008027/0001493152-22-008027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
