,https://roic.ai/company/JBGS,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,1612000,6700000,-16744000,-39979000,-15950000
66,Other Total Stockholders Equity,- -,2042369000,2108927000,2121984000,3063625000,3155256000,3633042000,3657643000,3539916000
67,Total Stockholders Equity,- -,2041801000,2108412000,2121689000,2970608000,2987148000,3386476000,3206039000,2915910000
68,Total Liabilities And Stockholders Equity,- -,3410630000,3624799000,3660345000,6067601000,5997081000,5986050000,6079380000,5840974000
69,Minority Interest,- -,568000,515000,295000,4206000,204000,201000,167000,545232000
70,Total Liabilities & Equity,- -,3411198000,3625314000,3660640000,6071807000,5997285000,5986251000,6079547000,6386206000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1689796/000168979618000004/0001689796-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000168979619000004/0001689796-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000168979620000003/0001689796-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000155837021001480/0001558370-21-001480-index.htm,https://www.sec.gov/Archives/edgar/data/1689796/000155837022001602/0001558370-22-001602-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,88661000,81299000,46290000,61974000,-71753000,39924000,65571000,-62303000,-79257000
74,Depreciation and Amortization,109898000,113205000,146985000,135072000,163718000,215439000,195004000,225597000,240454000
75,Deferred Income Tax,- -,- -,- -,- -,-10408000,-718000,-1336000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,33693000,52675000,65273000,66051000,51551000
77,Change in Working Capital,-18954000,-29750000,-221018000,448160000,53604000,-247420000,179208000,293645000,633000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,203900000,174150000,-46868000,401292000,454896000,207476000,386684000,680329000,- -
82,Other Non-Cash Items,-1633000,22632000,206653000,-485665000,-94671000,128293000,-329734000,-353969000,4241000
83,Cash Provided by Operating Activities,177972000,187386000,178910000,159541000,74183000,188193000,173986000,169021000,217622000
84,CAPEX,- -,-15228000,- -,- -,-210593000,3888000,-229561000,- -,- -
85,Acquisitions Net,-16828000,-9360000,-9332000,-24993000,-25155000,-31583000,-18668000,-14639000,-41780000
86,Purchases of Investments,- -,- -,- -,- -,-2207000,-665000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-82190000,-212335000,-228621000,-231597000,230279000,94687000,7557000,-153051000,-326961000
89,Cash Used for Investing Activites,-99018000,-236923000,-237953000,-256590000,-7676000,66327000,-240672000,-167690000,-368741000
90,Debt Repayment,-172099000,-85289000,-329424000,-24364000,-406362000,-463759000,-719140000,-807614000,-25581000
91,Common Stock Issued,- -,- -,- -,- -,- -,597000,472780000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-104774000,-157686000
93,Dividends Paid,- -,- -,- -,- -,-26540000,-107372000,-129834000,-120011000,-118115000
94,Other Financing Activites,96671000,118642000,451415000,75447000,672689000,376989000,185864000,1151888000,491260000
95,Cash Used/Provided by Financing Activities,-75428000,33353000,121991000,51083000,239787000,-193545000,-190330000,119489000,189878000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3526000,-16184000,62948000,-45966000,306294000,60975000,-257016000,120820000,38759000
98,Cash at the End of Period,28202000,12018000,74966000,29000000,338557000,399532000,142516000,263336000,302095000
99,Cash at the Beginning of Period,24676000,28202000,12018000,74966000,32263000,338557000,399532000,142516000,263336000
100,Free Cash Flow,177972000,172158000,178910000,159541000,74183000,188193000,173986000,169021000,217622000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1689796/000168979618000004/0001689796-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000168979619000004/0001689796-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000168979620000003/0001689796-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1689796/000155837021001480/0001558370-21-001480-index.htm,https://www.sec.gov/Archives/edgar/data/1689796/000155837022001602/0001558370-22-001602-index.htm
102,false,,,,,,,,,
