,https://roic.ai/company/ASX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,9409014367,8200959576,1015664482,1176382653,3804618290,5568525960,-2752671810,16982439155,13898942209,9221404000,13229409000,24972944000,27809126000,26969183000,25190778000,36000026000,37978222000,44225737000,53599541000,20403477000,21029962000,30084965000,- -
65,Other Comprehensive Income/Loss,-15229511310,-22690296107,-31751543034,1426782662,1473141030,4369635351,987733860,2112125170,3067847068,4204118000,3053365000,-1272418000,3123345000,-309992000,12384901000,13643816000,16003083000,17950970000,20119004000,3353938000,9106677000,14749081000,- -
66,Other Total Stockholders Equity,21239280218,42700294426,52276545989,4295895813,4032699801,359239290,3272550775,997165252,3732081330,-657806000,534469000,4335971000,2665740000,6808027000,5859714000,19122513000,21546827000,13133050000,27020726000,134413876000,125985474000,127765141000,- -
67,Total Stockholders Equity,35573629509,55730955584,54088679117,39524558004,45077287002,51240188432,47199445880,66009719847,75177366343,69671994000,71616026000,88556369000,101169536000,109514885000,121615651000,147481534000,154713792000,154877797000,188120058000,201388435000,199427400000,216115107000,260077000000
68,Total Liabilities And Stockholders Equity,78716664021,108341149840,106326343982,95016699215,104141943503,125370899065,123672362405,125914580394,137818279886,149901239000,158963228000,204856809000,222765137000,243559932000,282593722000,325508957000,353775704000,345967208000,350732143000,516422440000,543848794000,567960841000,658378000000
69,Minority Interest,- -,- -,-0,10102296031,10067471064,8393090047,7922456890,11105153286,14567295301,2288748000,3097668000,3282956000,1112958000,2944183000,4128361000,8209860000,11492545000,11983968000,13190129000,17639487000,13374912000,15616053000,14556000000
70,Total Liabilities & Equity,78716664021,108341149840,106326343982,105118995246,114209414567,133763989113,131594819295,137019733680,152385575187,152189987000,162060896000,208139765000,223878095000,246504115000,286722083000,333718817000,365268249000,357951176000,363922272000,534061927000,557223706000,583576894000,672934000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7934373517,5837151828,-2142238071,129356527,2740034167,4203803344,-4703344240,17413473138,12165887853,7207483000,6744546000,18337500000,13725958000,13091359000,15404505000,22228602000,20013505000,21361606000,22819119000,26220721000,17060591000,26970580000,63908000000
74,Depreciation and Amortization,6170824080,9153608503,11820176527,13133113536,13572191198,15641996299,15602025170,14485974263,16627034473,17244852000,17638082000,19854473000,22945396000,23414291000,25470911000,26350776000,29518664000,29422304000,29205184000,42688903000,50466841000,51259065000,54524000000
75,Deferred Income Tax,-349323873,-226887398,-401748310,-1133043521,-1189303997,-1658383462,-482554490,481833951,2029674959,701722000,229744000,55764000,460403000,571176000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319147000,537973000,445120000,260801000,110157000,133496000,470788000,438765000,215648000,871699000,955575000,- -
77,Change in Working Capital,-1612746366,-93543039,337727321,-1209739176,-2839355057,-3707068020,1126936065,5357751107,-5839138396,4481314000,-9615685000,-2660199000,-7399266000,-9034998000,-3411179000,-7846838000,5963817000,-4873508000,-6509550000,-12755315000,6367173000,-5483132000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,7474046000,-6470810000,-1248494000,765343000,-6686670000,-5767254000,-9703070000,7982736000,-6184873000,-4066374000,-9313539000,995839000,-9396304000,- -
79,Inventory,-452848144,-796622450,477902167,-364069579,-1558540018,-4684880982,87506985,1363680995,-317636364,146620000,-1509143000,-2171624000,-5100085000,-2481191000,-3241115000,-8208824000,-5128726000,3156759000,-2907848000,-9249714000,1407099000,-13559192000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4345030000,3786668000,1656567000,-3197294000,2992599000,4722462000,6422305000,-1272717000,1665420000,4753270000,6989198000,-1024250000,14032779000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-8254135,2365017123,-371635194,- -,1011895000,-1130439000,140266000,119350000,-191631000,-187727000,-247024000,-3050299000,27538000,-281736000,267965000,-316234000,- -
82,Other Non-Cash Items,-4417275927,2972880545,2093287015,421043494,1009303983,4979461003,8960932305,-450193946,3324836096,1093428000,520541000,1058409000,1666242000,530997000,3570917000,5020780000,1918823000,5726677000,1477282000,-5295266000,-2463054000,1358550000,-36746000000
83,Cash Provided by Operating Activities,7725851432,17643210439,11707204483,11340730860,13292870294,19459809164,20503994810,37288838514,28308294984,30728799000,15517228000,36965094000,31936706000,29017945000,41295955000,45863477000,57548305000,52107867000,47430800000,51074691000,72303250000,75060638000,81686000000
84,CAPEX,-10046024100,-30063639859,-11565700966,-12688035258,-17516435984,-1281362872,-15740142170,-17943630600,-17868650824,-18683787000,-11446641000,-34340926000,-30576741000,-40196738000,-29455829000,-39995430000,-30771259000,-27228056000,-25037224000,-41964208000,-58509273000,-63178455000,-69301000000
85,Acquisitions Net,-7404336774,- -,- -,-2087095730,-20950766,-28483675735,- -,- -,-846922197,-26490526000,- -,-6181583000,-2106203000,-261607000,-250387000,-100000000,-35673097000,-16114900000,7020883000,-95430477000,-2189490000,-2818047000,- -
86,Purchases of Investments,- -,-3497317587,-3130070381,-49843480,-509066253,-187702054,-1183235185,-16971425435,-11769280227,-8217126000,-43031285000,-16713886000,-2082839000,-891233000,-56698215000,-112524086000,-102116323000,-66444264000,-62210743000,-105000000,-2712191000,-1082127000,- -
87,Sales/Maturities of Investments,- -,- -,- -,2670817491,261052652,41774959,63237855,7517580674,11825776300,16770572000,39424388000,20915653000,2370511000,858941000,56231541000,113861131000,105303083000,66137947000,62975784000,6419022000,8574593000,1188806000,- -
88,Other Investing Activites,4877209620,10562913,-484230839,-1044417430,-768522979,-871378734,3410569120,5296393609,549750255,161256000,-928197000,3474000,-794260000,-498793000,-66063000,-455970000,-584968000,-24078000,827074000,960576000,-1153764000,3960865000,20210000000
89,Cash Used for Investing Activites,-12573151254,-33550394533,-15180002186,-13198574408,-18553923330,-30782344437,-13449570380,-22101081752,-18109326693,-36359167000,-15980715000,-36085455000,-32030697000,-40093964000,-29925843000,-38817889000,-63351429000,-43159458000,-16086242000,-129542322000,-54579057000,-60946303000,-49091000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19259984000,-33385917000,-28506488000,8810615000,-18969491000,-31382333000,-45150355000,-31459452000,-78278320000,-63030504000,-120418223000,-165249077000,-209117239000,- -
91,Common Stock Issued,- -,4151291042,- -,- -,- -,- -,323160895,848447449,1024258897,- -,- -,- -,- -,- -,3393000000,- -,- -,- -,10290000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1099989000,-1314273000,-1185205000,-2772634000,- -,- -,- -,-5333406000,- -,- -,-71302000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-395475010,- -,-6941363172,-8826628000,-2575673000,-1940654000,-3858259000,-4242167000,-7834877000,-9967215000,-15297474000,-12243766000,-11214221000,-10613626000,-10623030000,-8520982000,-18083000000
94,Other Financing Activites,8719051123,13431091587,603496590,531756542,4206689628,9153470370,-19698115,-13407574681,-2572225370,43048983000,34497314000,33333802000,-2522356000,31667413000,48619081000,52320567000,60726671000,69435066000,44631298000,214214557000,169373299000,195642877000,12269000000
95,Cash Used/Provided by Financing Activities,8719051123,17582382629,603496590,531756542,4206689628,9153470370,-92012230,-12559127232,-8489329645,13862382000,-2778549000,1701455000,-342634000,8455755000,12794871000,-2797003000,8636339000,-21087020000,-19323427000,83111406000,-6498808000,-21995344000,-5814000000
96,Effect of Forex Changes on Cash,-171369977,682185373,473531537,-66017394,-211443140,-414643409,345160960,-162729340,-281702007,748981000,-339400000,-1741031000,1460857000,-1535974000,867872000,2419454000,723556000,-4720046000,-4335589000,796595000,-2612946000,-711795000,-2246000000
97,Net Change In Cash,3700381324,2357383908,-2395769576,-1392104400,-1265806549,-2583708312,7307573160,2465900190,1427936640,8980995000,-3581436000,840063000,1024232000,-4156238000,25032855000,6668039000,3556771000,-16858657000,7685542000,5440370000,8612439000,-8592804000,24535000000
98,Cash at the End of Period,12020760542,14166488876,11770735961,10406643869,8553820693,5966782681,13298167840,15727657130,17158849981,26138930000,22557494000,23397557000,24421789000,20265551000,45026371000,51694410000,55251181000,38392524000,46078066000,51518436000,60130875000,51538071000,76073000000
99,Cash at the Beginning of Period,8320379218,11809104968,14166505536,11798748269,9819627242,8550490993,5990594680,13261756940,15730913341,17157935000,26138930000,22557494000,23397557000,24421789000,19993516000,45026371000,51694410000,55251181000,38392524000,46078066000,51518436000,60130875000,51538000000
100,Free Cash Flow,-2320172668,-12420429420,141503517,-1347304398,-4223565690,18178446292,4763852640,19345207914,10439644160,12045012000,4070587000,2624168000,1359965000,-11178793000,11840126000,5868047000,26777046000,24879811000,22393576000,9110483000,13793977000,11882183000,12385000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,0.0304,0.0307,0.0308,0.0305,0.0313,0.03428,0.033,0.03439,0.03351,0.0316,0.03044,0.0308,0.0337,0.03269,0.03342,0.03558,0.03607
