,https://roic.ai/company/DESP,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-9973000
94,Other Financing Activites,26200000,5142000,30159000,66950000,56216000,212914000,14320000
95,Cash Used/Provided by Financing Activities,198793000,5142000,254114000,-1257000,-53180000,158109000,-1171000
96,Effect of Forex Changes on Cash,-12478000,-2382000,-2034000,-13132000,1181000,-2628000,-4943000
97,Net Change In Cash,81080000,-26148000,295045000,-58588000,-38545000,36841000,-71262000
98,Cash at the End of Period,102116000,75968000,371013000,352189000,313644000,350485000,279223000
99,Cash at the Beginning of Period,21036000,102116000,75968000,410777000,352189000,313644000,350485000
100,Free Cash Flow,-44886000,-59870000,39551000,-44199000,13682000,-121384000,-59399000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1703141/000119312518128984/d534838d20f.htm,https://www.sec.gov/Archives/edgar/data/1703141/000119312519122677/d710852d20f.htm,https://www.sec.gov/Archives/edgar/data/1703141/000119312520103936/d908027d20f.htm,- -,- -
102,false,,,,,,,
