,https://roic.ai/company/SCTC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577445/000149315221007463/0001493152-21-007463-index.htm,https://www.sec.gov/Archives/edgar/data/1577445/000149315222008167/0001493152-22-008167-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19980,36501,11863,8124,2660,10153,3245000,3373000,8581000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19980,36501,11863,8124,2660,10153,3245000,3373000,8581000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,95000,17000,8000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,900000,244000,167000
36,Other Current Assets,- -,- -,1016,- -,- -,- -,- -,78000,395000,- -
37,Total Current Assets,- -,19980,37517,11863,8124,2660,10153,4318000,4029000,8756000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,112000,269000,1263000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,327000,- -,2071000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,439000,269000,3334000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18124000
47,Total Assets,- -,19980,37517,11863,8124,2660,10153,4757000,4298000,23546000
48,Accounts Payable,- -,- -,- -,- -,41326,23274,31458,35000,79000,103000
49,Short-Term Debt,- -,- -,- -,- -,20000,20000,51000,524000,- -,256000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,502000,- -,- -
52,Other Current Liabilities,- -,2000,6051,5701,4946,3716,- -,849000,693000,950000
53,Total Current Liabilities,- -,2000,6051,5701,66272,46990,82458,1910000,772000,1309000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,29000,- -,203000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,296000,1159000,2418000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,325000,1159000,2621000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,53000,107000,- -
61,Total Liabilities,- -,2000,6051,5701,66272,46990,82458,2235000,1931000,3930000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1998,2529,2529,2529,2529,2529,27000,37000,7000
64,Retained Earnings,- -,-2000,-41682,-66986,-131296,-117478,-145453,-1640000,- -,-15294000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,17982,70619,70619,70619,70619,70619,- -,3927000,34903000
67,Total Stockholders Equity,- -,17980,31466,6162,-58148,-44330,-72305,2522000,3964000,19616000
68,Total Liabilities And Stockholders Equity,- -,19980,37517,11863,8124,2660,10153,4757000,5895000,23546000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-1597000,- -
70,Total Liabilities & Equity,- -,19980,37517,11863,8124,2660,10153,4757000,4298000,23546000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577445/000149315221007463/0001493152-21-007463-index.htm,https://www.sec.gov/Archives/edgar/data/1577445/000149315222008167/0001493152-22-008167-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-39682,-25304,-64310,13818,-27975,-1829000,-4667000,-8987000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,6000,66000,114000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,27000,1107000,2030000
77,Change in Working Capital,- -,- -,3035,-25304,-64310,13818,-27975,2579845,849000,4190000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,68000,5000,9000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-819000,693000,77000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,5118,16000,44000,24000
81,Other Working Capital,- -,- -,31466,6162,-58148,-44330,-72305,2408000,3257000,7447000
82,Other Non-Cash Items,- -,- -,- -,25970,104881,-33100,32443,-2582845,-1542000,-3233000
83,Cash Provided by Operating Activities,- -,- -,-36647,-24638,-23739,-5464,-23507,-1799000,-4187000,-5886000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-52000,-276000,-595000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-3000,- -,-11000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-55000,-276000,-11595000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-81000,- -
91,Common Stock Issued,- -,- -,53168,- -,- -,- -,- -,- -,2858000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,20000,- -,31000,5104000,1729000,22559000
95,Cash Used/Provided by Financing Activities,- -,- -,53168,- -,20000,- -,31000,5104000,4506000,22559000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-5000,85000,- -
97,Net Change In Cash,- -,- -,16521,-24638,-3739,-5464,7493,5104000,128000,5208000
98,Cash at the End of Period,- -,- -,36501,11863,8124,2660,10153,3245000,3373000,8581000
99,Cash at the Beginning of Period,- -,- -,19980,36501,11863,8124,2660,- -,3245000,3373000
100,Free Cash Flow,- -,- -,-36647,-24638,-23739,-5464,-23507,-1851000,-4463000,-6481000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577445/000149315221007463/0001493152-21-007463-index.htm,https://www.sec.gov/Archives/edgar/data/1577445/000149315222008167/0001493152-22-008167-index.htm
102,false,,,,,,,,,,
