,https://roic.ai/company/ALXO,2018,2019,2020,2021
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,2009000,10952000,6209000,17134000
62,Preferred Stock,60933000,70363000,- -,- -
63,Common Stock,3000,3000,40000,41000
64,Retained Earnings,-53539000,-72782000,-118522000,-201985000
65,Other Comprehensive Income/Loss,-1020000,-1449000,- -,- -
66,Other Total Stockholders Equity,2778000,3589000,548327000,564993000
67,Total Stockholders Equity,9155000,-276000,429845000,363049000
68,Total Liabilities And Stockholders Equity,11164000,10676000,436054000,380183000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,11164000,10676000,436054000,380183000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810182/000156459021014169/0001564590-21-014169-index.htm,https://www.sec.gov/Archives/edgar/data/1810182/000156459022007364/0001564590-22-007364-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-13731000,-19243000,-45740000,-83505000
74,Depreciation and Amortization,431000,429000,202000,51000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,269000,297000,5436000,13914000
77,Change in Working Capital,-159000,-3510000,424963000,-78064000
78,Accounts Receivable,- -,- -,536000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-269000,2976000,-3744000,3290000
81,Other Working Capital,8335000,4825000,429788000,351724000
82,Other Non-Cash Items,- -,7778000,-423150000,79503000
83,Cash Provided by Operating Activities,-13190000,-14249000,-38289000,-68101000
84,CAPEX,-653000,-353000,-31000,-666000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,641000,-4257000
89,Cash Used for Investing Activites,-653000,-353000,610000,-4923000
90,Debt Repayment,- -,- -,47000,-281000
91,Common Stock Issued,7000,10000,368256000,202000
92,Common Stock Repurchased,-6000,- -,- -,- -
93,Dividends Paid,- -,- -,3000,- -
94,Other Financing Activites,- -,15347000,94575000,2551000
95,Cash Used/Provided by Financing Activities,1000,15357000,462881000,2472000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-13842000,755000,425202000,-70552000
98,Cash at the End of Period,8262000,9017000,434219000,363667000
99,Cash at the Beginning of Period,22104000,8262000,9017000,434219000
100,Free Cash Flow,-13843000,-14602000,-38320000,-68767000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1810182/000156459021014169/0001564590-21-014169-index.htm,https://www.sec.gov/Archives/edgar/data/1810182/000156459022007364/0001564590-22-007364-index.htm
102,false,,,,
