,https://roic.ai/company/ARR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,50363,1161850680,5393674681,19096562000,14648178000,15297529000,12461556000,6511164000,7478966000,7150600000,11941766000,5178322000,4605354000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,249029380,249292394,- -,- -,- -,-18140958000,-14102351000,-14845736000,-12192260000,-5334392000,-6316412000,-5982117000,-10827592000,- -,- -
45,Total Non-Current Assets,249029380,249292394,50363,1161850680,5393674681,955604000,545827000,451793000,269296000,1176772000,1162554000,1168483000,1114174000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5524486000,5277307000
47,Total Assets,249200417,250189469,126693608,1209223950,6207746751,20878878000,15732517000,16285798000,13055277000,7978161000,8928917000,8464610000,1295569000,5524486000,5277307000
48,Accounts Payable,21990,539856,58635972,125872748,120547188,14459000,29986000,23661000,26329000,14214000,9408000,13876000,35522000,4196000,3671000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,9031662,8428413,46566540,974642625,5460593936,- -,- -,- -,- -,- -,- -,- -,-31932000,- -,- -
53,Total Current Liabilities,9053652,8968269,105202512,1100515373,5581141124,- -,- -,- -,- -,- -,- -,- -,3590000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,74249990,74837567,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,74249990,74837567,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,18571103000,13831289000,14536507000,11830111000,6886096000,7602866000,7339297000,11832123000,4586182000,4133668000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,83303642,83805836,105202512,1100515373,5581141124,18571103000,13831289000,14536507000,11830111000,6886096000,7602866000,7339297000,11835713000,4586182000,4133668000
62,Preferred Stock,- -,- -,- -,- -,- -,2000,8000,8000,8000,8000,8000,8000,8000,5000,7000
63,Common Stock,3125,3125,230,16442,95437,309000,358000,353000,37000,37000,42000,44000,59000,65000,94000
64,Retained Earnings,867315,1354173,-1197174,-3826510,-100878380,-149298000,-643138000,-1052969000,-1266938000,-1439088000,-1363223000,-1583245000,-1973437000,-2273822000,-2366562000
65,Other Comprehensive Income/Loss,- -,- -,40839,-4229530,48747904,230564000,-190480000,84354000,-67302000,-29134000,-20111000,-43870000,355473000,179031000,106973000
66,Other Total Stockholders Equity,165026335,165026335,22647201,116748175,678640666,2226198000,2734480000,2717545000,2559361000,2560242000,2709335000,2752376000,3054604000,3033025000,3403127000
67,Total Stockholders Equity,165896775,166383633,21491096,108708577,626605627,2307775000,1901228000,1749291000,1225166000,1092065000,1326051000,1125313000,1436707000,938304000,1143639000
68,Total Liabilities And Stockholders Equity,249200417,250189469,126693608,1209223950,6207746751,20878878000,15732517000,16285798000,13055277000,7978161000,8928917000,8464610000,13272420000,5524486000,5277307000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11976851000,- -,- -
70,Total Liabilities & Equity,249200417,250189469,126693608,1209223950,6207746751,20878878000,15732517000,16285798000,13055277000,7978161000,8928917000,8464610000,1295569000,5524486000,5277307000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1428205/000139843211000258/i11266.htm,https://www.sec.gov/Archives/edgar/data/1428205/000139843212000199/0001398432-12-000199-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000143774913001878/0001437749-13-001878-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000144530514000633/arr10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820515000051/arr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820516000300/0001428205-16-000300-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820517000035/0001428205-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820518000036/0001428205-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820519000045/0001428205-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820520000085/0001428205-20-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820521000051/0001428205-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820522000026/0001428205-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,867315,1074435,-1149427,6536857,-9442054,222306000,-187044000,-179048000,-31205000,-45517000,181154000,-105966000,-249905000,-215112000,15363000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53909000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,145230,741000,1516000,1153000,953000,881000,937000,2397000,2694000,4071000,4768000
77,Change in Working Capital,505996,811421,29511927,-1074582836,-3713926951,24690343054,-4736584000,647315000,-3048024000,-5984592000,964974000,-470236000,-7118322000,-177805000,-132083000
78,Accounts Receivable,- -,- -,- -,- -,- -,-36855000,13411000,703000,6816000,17415000,-3713000,-53000,-12443000,21828000,2263000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,11010000,-4139000,-18931000,-11990000,-5987000,-4485000,4468000,20843000,-31326000,-525000
81,Other Working Capital,-8882615,-8071194,21440733,-1053142103,-4767069054,19923274000,15186690000,15834005000,12785981000,6801389000,7766363000,7296127000,177805000,- -,-134704000
82,Other Non-Cash Items,- -,-822029,-30969326,1077210629,3841295382,-24569709054,5292550000,-154320000,3316531000,5825802000,-1036986000,649028000,7270907000,131022000,123690000
83,Cash Provided by Operating Activities,1373311,1063827,-2606826,9164650,118071607,343681000,370438000,315100000,238255000,-203426000,110079000,75223000,-40717000,-257824000,11738000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73174000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-60315460,-1163971179,-6677722946,- -,- -,- -,- -,- -,- -,-765828000,-1685058000,-4621776000,-987887000
87,Sales/Maturities of Investments,- -,- -,178286,109684377,2080384867,- -,- -,- -,- -,- -,- -,661883000,1786090000,4688815000,779684000
88,Other Investing Activites,-249029380,-1095122,- -,67697617,-142518031,-14129372000,4335491000,-796476000,2196108000,5741374000,-896803000,570203000,-4490803000,7018689000,711779000
89,Cash Used for Investing Activites,-249029380,-1095122,-60137174,-986589185,-4739856110,-14129372000,4335491000,-796476000,2196108000,5668200000,-896803000,466258000,-4389771000,7085728000,503576000
90,Debt Repayment,- -,- -,- -,-2911930693,-34705492454,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,257525000,- -,- -,94117186,561821957,1498233000,438566000,263000,147000,- -,133193000,38014000,321860000,54575000,328780000
92,Common Stock Repurchased,- -,- -,-226478058,- -,- -,- -,-53012000,-5750000,-144942000,-14658000,- -,- -,-71479000,-210360000,- -
93,Dividends Paid,- -,- -,-23368,-8907809,-87295603,-271467000,-306805000,-230783000,-182764000,-126633000,-105289000,-114056000,-140111000,-85273000,-108103000
94,Other Financing Activites,-9835550,- -,295896671,3832836427,39069779141,13077835000,-5059482000,715729000,-2311440000,-5341635000,752279000,-515634000,4361185000,-6688344000,-551443000
95,Cash Used/Provided by Financing Activities,247689450,- -,69395245,1006115111,4838813041,14304601000,-4980733000,479459000,-2638999000,-5482926000,780183000,-591676000,4471455000,-6929402000,-330766000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,247689450,-31295,6651245,28690576,217028538,518910000,-274804000,-1917000,-204636000,-18152000,-6541000,-50195000,40967000,-101498000,184548000
98,Cash at the End of Period,33381,2086,6653331,35343907,252372445,771282000,496478000,494561000,289925000,271773000,265232000,232199000,273166000,171668000,356216000
99,Cash at the Beginning of Period,- -,33381,2086,6653331,35343907,252372000,771282000,496478000,494561000,289925000,271773000,282394000,232199000,273166000,171668000
100,Free Cash Flow,1373311,1063827,-2606826,9164650,118071607,343681000,370438000,315100000,238255000,-203426000,110079000,75223000,-40717000,-257824000,11738000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1428205/000139843211000258/i11266.htm,https://www.sec.gov/Archives/edgar/data/1428205/000139843212000199/0001398432-12-000199-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000143774913001878/0001437749-13-001878-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000144530514000633/arr10k20131231.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820515000051/arr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820516000300/0001428205-16-000300-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820517000035/0001428205-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820518000036/0001428205-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820519000045/0001428205-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1428205/000142820520000085/0001428205-20-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820521000051/0001428205-21-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1428205/000142820522000026/0001428205-22-000026-index.htm
102,false,,,,,,,,,,,,,,,
