,https://roic.ai/company/ABUS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,5837393,5531177,4694860,12832098,8450264,4764318,7193959,6620303,- -,- -,12867279,14470853,- -,- -,- -,- -,- -,515156000,123809000,83011000,66307000,- -,- -,- -
42,Investments,- -,- -,- -,- -,2129398,1543193,575149,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10070000,- -,- -,22224000,- -,- -,35688000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,162475,172613,166722,2203721,0,228512,1163231,0,- -,- -,-0,- -,-0,- -,- -,- -,- -,- -,12601000,12601000,- -,293000,44000,61000
45,Total Non-Current Assets,9015249,8580464,7293721,17825598,14323730,10633263,12363813,7573609,499745,1540500,15012055,17156690,3112918,2152379,1351861,1373157,1760000,528409000,143355000,107795000,98676000,11707000,9376000,43824000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15833335,28798342,32523635,67604147,53216645,50729513,41098015,18495001,6034629,24834277,42342067,41946823,21018880,13703518,52600261,71715810,118178000,712291000,275919000,237161000,227905000,105535000,137080000,204485000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,1664717,1512974,- -,509377,1996631,- -,- -,805867,1217242,2044000,2610000,3215000,1987000,3192000,2398000,2994000,- -
49,Short-Term Debt,- -,- -,- -,- -,135247,416448,775875,49590,83095,76429,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,340000,390000,383000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,373514,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,4652142,377234,1110149,1981947,2750145,3143883,3463255,5779000,868000,15000,2742000,- -,- -,- -,- -
52,Other Current Liabilities,830416,1323450,1905087,2583281,4663345,4117007,10109020,494691,4218064,1735444,3166557,3402879,6150939,4091670,7005252,7841992,12383000,7100000,7355000,9898000,8047000,5090000,6157000,10838000
53,Total Current Liabilities,830416,1323450,1905087,2583281,4798592,4533455,10884894,2208998,5814133,6464015,4053168,6509659,8132886,6841815,10955002,12522489,20206000,10578000,10585000,14627000,11239000,7828000,9541000,11221000
54,Long-Term Debt,- -,- -,- -,- -,- -,602340,869451,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12001000,12001000,- -,- -,2593000,- -
55,Deferred Revenue,- -,- -,- -,974789,319702,- -,7443156,- -,- -,- -,- -,- -,2155133,1655758,722514,- -,9937000,213000,- -,- -,- -,18992000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146324000,41263000,16943000,12661000,- -,- -,- -
57,Other Non-Current Liabilities,574532,597251,589687,2560036,2749769,2211678,32397673,34779581,64969,- -,- -,- -,- -,- -,- -,- -,- -,7497000,9065000,11117000,3771000,5971000,22980000,23825000
58,Total Non-Current Liabilities,574532,597251,589687,3534825,3069471,2814018,40710280,34779581,64969,- -,- -,- -,2155133,1655758,722514,- -,9937000,154034000,62329000,40061000,16432000,24963000,25573000,23825000
59,Other Liabilities,1149063,- -,- -,- -,- -,- -,- -,69559161,129938,- -,- -,- -,- -,3311516,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,302815,338566,219327,135092,148064,76429,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3358000,2983000,- -
61,Total Liabilities,1404948,1920701,2494774,6118106,7868063,7347473,51595174,36988578,5879102,6464015,4053168,6509659,10288019,8497573,11677517,12522489,30143000,164612000,72914000,54688000,27671000,32791000,35114000,35046000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49780000,126136000,137285000,149408000,- -
63,Common Stock,34975507,56879853,68210183,94760930,96075180,138110328,149930887,155190216,154631020,197230405,- -,- -,- -,- -,239483463,216701859,290004000,834240000,867393000,876108000,879405000,898535000,985939000,- -
64,Retained Earnings,-20547120,-30002212,-38181321,-50582953,-79614049,-142483575,-177122547,-191395073,-167525910,-199763426,-174270045,-211872364,-248870942,-253523690,-230245006,-167026633,-205864000,-266985000,-651149000,-738070000,-805221000,-970093000,-1045961000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11577610,-11928496,-15552993,-16147808,-13000000,-15825386,-22313000,-49782000,-49782000,-48185000,-48170000,-48229000,-48171000,-48335000
66,Other Total Stockholders Equity,0,- -,- -,17308064,28887452,47755287,16694501,17711279,13050418,20903284,224136554,259238023,275154795,274877443,44684288,25343481,26208000,30206000,36543000,42840000,48084000,55246000,60751000,169439000
67,Total Stockholders Equity,14428388,26877641,30028862,61486041,45348583,43382041,-10497159,-18493578,155528,18370263,38288899,35437164,10730861,5205945,40922745,59193321,88035000,547679000,203005000,182473000,200234000,72744000,101966000,169439000
68,Total Liabilities And Stockholders Equity,15833335,28798342,32523635,67604147,53216645,50729513,41098015,18495001,6034629,24834277,42342067,41946823,21018880,13703518,52600261,71715810,118178000,712291000,275919000,237161000,227905000,105535000,137080000,204485000
69,Minority Interest,- -,- -,- -,-0,- -,- -,0,- -,-0,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15833335,28798342,32523635,67604147,53216645,50729513,41098015,18495001,6034629,24834277,42342067,41946823,21018880,13703518,52600261,71715810,118178000,712291000,275919000,237161000,227905000,105535000,137080000,204485000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447028/000117184314001457/0001171843-14-001457-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184315001398/0001171843-15-001398-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828016012462/0001628280-16-012462-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828017002760/0001628280-17-002760-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828018003276/0001628280-18-003276-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000006/0001447028-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000038/0001447028-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000021/0001447028-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000019/0001447028-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-8753865,-8173034,-9202926,-14015235,-26794342,-34076487,-28049879,-8059359,18080528,-2582571,-11718097,-9325668,-12413494,-9732543,29947879,-14064226,-38837000,-61121000,-384164000,-84413000,-57060000,-153723000,-63745000,-76247000
74,Depreciation and Amortization,989779,1304540,1257163,3850999,5585033,6801724,1200167,2397486,599774,411652,1114846,1914248,1038407,955448,869537,612837,529000,589000,1092000,2027000,2181000,2028000,1978000,1753000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16185000,-105061000,-24320000,-4282000,-12661000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,380280,- -,253734,650516,613241,986758,903005,3283000,22093000,39159000,15117000,6241000,6799000,6161000,6424000
77,Change in Working Capital,55191,12906757,4430399,23870441,-13100944,1468471,-17713487,-9136914,-8991642,17109011,6447081,-4996370,-8507397,-5063752,35584074,17526766,38391836,77092000,-51325000,-7240000,3251000,-31990000,32163000,31277000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1126402,- -,-401543,-2265472,2387890,-189725,888929,-1887000,628000,735000,-129000,-1029000,227000,-108000,413000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215106,31631,166674,-150707,147631,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45353,- -,- -,- -,- -,-197284,129997,6253000,-2489000,26000,736000,-1266000,-2410000,1666000,1911000
81,Other Working Capital,5987671,18894428,23324827,47195268,34094324,35562795,17849308,8712394,-279248,16829763,23276844,18280474,9773076,4709324,40293398,57820164,96212000,173304000,121979000,114739000,117990000,86000000,118163000,149440000
82,Other Non-Cash Items,- -,-12874776,-4838174,-23710190,16153555,-1157816,34580549,225298,-12311820,-18038061,-4328159,6915052,7985260,5706936,-34117681,-11716941,-15787836,-77253000,442414000,50189000,-18197000,118541000,-27998000,-30739000
83,Cash Provided by Operating Activities,-7708895,-6836512,-8353539,-10003985,-18156698,-26964108,-9982651,-14573489,-2623161,-2719689,-8484329,-5239004,-11246709,-7520670,33270565,-6738559,-12421000,-54785000,-57885000,-48640000,-67866000,-71006000,-51441000,-67532000
84,CAPEX,-3223184,-300631,-203639,-941640,-1950764,-787727,-7148961,-45015,-94871,-1363943,-966442,-1623062,-830815,-58448,-14901,-725100,-1056000,-2287000,-3996000,-7264000,-1138000,-589000,-229000,-809000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2069922,- -,- -,- -,- -,- -,- -,324000,- -,- -,- -,- -,-2500000,- -
86,Purchases of Investments,- -,-2694476,-13001311,-1009765,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41982000,- -,-95152000,- -,- -,-58759000,-85578000,-82219000
87,Sales/Maturities of Investments,10262307,- -,- -,- -,- -,17810845,3936552,- -,- -,- -,2141867,5472741,- -,- -,- -,- -,- -,- -,- -,- -,- -,87675000,73398000,- -
88,Other Investing Activites,96474,2651,-0,58027,4901545,-0,-7129711,424873,14147,1229,- -,-115523,- -,- -,2503,- -,80000,9645000,25000,35089000,-2989000,11000,- -,70350000
89,Cash Used for Investing Activites,7135598,-2992455,-13204950,-1854324,2950781,17023117,-4207603,379858,-80724,-1362714,3245347,3849679,-830815,-58448,-12398,-725100,-42958000,7682000,-99123000,27825000,-4127000,28338000,-14909000,-12678000
90,Debt Repayment,- -,- -,-38527,-95523,-158461,-185914,-680747,-1195343,-99550,-97844,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12001000,- -,- -,- -
91,Common Stock Issued,48905,19888745,13110297,30513157,250657,20133860,631160,- -,- -,15063264,8212915,- -,34907,4462594,3861480,32038317,56477000,142177000,- -,- -,- -,18601000,86297000,2110000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12123000,-12139000
94,Other Financing Activites,- -,- -,- -,5145687,9696211,655995,878686,- -,-2775045,5326231,-62192,7531,- -,- -,706572,678144,4199000,1693000,12638000,49322000,67647000,18856000,12572000,147265000
95,Cash Used/Provided by Financing Activities,48905,19888745,13071770,35563321,9788407,20603940,829100,-1195343,-2874595,20291651,8150722,7531,34907,4462594,4568052,32716461,60676000,143870000,12638000,49322000,55646000,37457000,86746000,137236000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-805059,1437335,-356915,-7186,19682,-29425,-3560395,-1827000,-2175000,1004000,2372000,-1003000,68000,56000,5000
97,Net Change In Cash,-524392,10059778,-8486719,23705012,-5417510,10662949,-13361154,-15388974,-5578478,15404189,4349076,-1738709,-12049802,-3096842,37796793,21692407,3470000,94592000,-143366000,30879000,-17350000,-5143000,20452000,57031000
98,Cash at the End of Period,797591,10907135,2048213,25634242,20504450,35555846,24993575,10481335,4865089,21130482,21543420,23300296,12344035,8995234,47028656,68716531,72187000,166779000,23413000,54292000,36942000,31799000,52251000,109282000
99,Cash at the Beginning of Period,1321983,847357,10534932,1929230,25921960,24892896,38354729,25870308,10443567,5726293,17194343,25039005,24393837,12092076,9231863,47024124,68717000,72187000,166779000,23413000,54292000,36942000,31799000,52251000
100,Free Cash Flow,-10932078,-7137143,-8557178,-10945625,-20107462,-27751835,-17131612,-14618504,-2718032,-4083632,-9450771,-6862066,-12077524,-7579118,33255664,-7463659,-13477000,-57072000,-61881000,-55904000,-69004000,-71595000,-51670000,-67532000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447028/000117184314001457/0001171843-14-001457-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000117184315001398/0001171843-15-001398-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828016012462/0001628280-16-012462-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828017002760/0001628280-17-002760-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000162828018003276/0001628280-18-003276-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702819000006/0001447028-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702820000038/0001447028-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702821000021/0001447028-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1447028/000144702822000019/0001447028-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
