,https://roic.ai/company/SLNO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1484565/000119312515091006/0001193125-15-091006-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000162828016013113/0001628280-16-013113-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000162828017002603/0001628280-17-002603-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000119312518104048/0001193125-18-104048-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459019008508/0001564590-19-008508-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459020008705/0001564590-20-008705-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459021010569/0001564590-21-010569-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459022013023/0001564590-22-013023-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,2155262,1268770,7956710,5494523,2725996,17099507,23099000,20733000,49224000,21304000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,978000,- -,- -,- -
33,Cash and Short-Term Investments,2155262,1268770,7956710,5494523,2725996,17099507,24077000,20733000,49224000,21304000
34,Net Receivables,150782,149605,- -,156127,133337,- -,64000,- -,- -,- -
35,Inventory,- -,- -,109336,551008,660391,- -,- -,- -,- -,- -
36,Other Current Assets,81503,105149,272272,202642,281570,894300,529000,411000,1019000,1118000
37,Total Current Assets,2387547,1523524,8338318,6404300,3801294,17993807,24670000,21144000,50243000,22422000
38,PP&E,105453,63167,57607,85745,102560,22885,12000,444000,158000,454000
39,Goodwill,- -,- -,- -,718003,718003,125530,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,916807,817465,20413056,18469000,16525000,14581000,12637000
41,Intangible Assets,- -,- -,- -,1634810,1535468,20413056,18469000,16525000,14581000,12637000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,21089,- -,- -,76340,125530,591917,- -,59000,- -,40000
45,Total Non-Current Assets,126542,63167,57607,1796895,1763558,21027858,18481000,17028000,14739000,13131000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2514089,1586691,8395925,8201195,5564852,39021665,43151000,38172000,64982000,35553000
48,Accounts Payable,219524,57721,986799,695056,537891,633104,934000,1995000,3489000,3254000
49,Short-Term Debt,- -,- -,101529,- -,- -,- -,- -,- -,- -,282000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,11322597,14120508,201457,2497679,1169487,1099665,943000,2969000,5129000,4471000
53,Total Current Liabilities,11542121,14178229,1289785,3192735,1707378,1732769,1877000,4964000,8618000,8007000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,25167605,25272925,17438731,1784644,422277,10753988,10861000,18261000,10817000,9578000
58,Total Non-Current Liabilities,25167605,25272925,17438731,1784644,422277,10753988,10861000,18261000,10817000,9753000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,305000,139000,- -
61,Total Liabilities,36709726,39451154,18728516,4977379,2129655,12486757,12738000,23225000,19435000,17760000
62,Preferred Stock,- -,- -,- -,5,13,5,- -,- -,- -,- -
63,Common Stock,522,536,6769,14018,16786,19239,32000,45000,80000,80000
64,Retained Earnings,-53393268,-57100511,-70975024,-86246673,-98311887,-113979312,-127032000,-157806000,-182445000,-213355000
65,Other Comprehensive Income/Loss,-216177,-155352,-144834,-211850,-159356,-73647,-93000,-31000,- -,- -
66,Other Total Stockholders Equity,19413286,19390864,60780498,89668316,101889641,140568623,157506000,172739000,227912000,231068000
67,Total Stockholders Equity,-34195637,-37864463,-10332591,3223816,3435197,26534908,30413000,14947000,45547000,17793000
68,Total Liabilities And Stockholders Equity,2514089,1586691,8395925,8201195,5564852,39021665,43151000,38172000,64982000,35553000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2514089,1586691,8395925,8201195,5564852,39021665,43151000,38172000,64982000,35553000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1484565/000119312515091006/0001193125-15-091006-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000162828016013113/0001628280-16-013113-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000162828017002603/0001628280-17-002603-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000119312518104048/0001193125-18-104048-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459019008508/0001564590-19-008508-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459020008705/0001564590-20-008705-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459021010569/0001564590-21-010569-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459022013023/0001564590-22-013023-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-6481884,-3707243,-13874513,-15908546,-12065214,-15667425,-13335000,-30774000,-24639000,-30910000
74,Depreciation and Amortization,43788,42114,28516,108228,131640,1611271,1963000,1958000,1954000,1963000
75,Deferred Income Tax,- -,- -,- -,- -,21700,-1651267,- -,- -,- -,- -
76,Stock Based Compensation,24415,38417,345435,942369,871270,880031,988000,825000,1500000,3276000
77,Change in Working Capital,28877,-3500131,19703238,-3836968,-1117649,14167122,6531962,-6613000,25445000,-27210000
78,Accounts Receivable,- -,-149605,149605,-156127,22790,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-109336,-441672,-109383,- -,- -,- -,- -,- -
80,Accounts Payable,45470,-161803,353897,211945,-149163,190630,249000,1061000,1494000,-235000
81,Other Working Capital,-9154574,-12654705,7048533,3211565,2093916,16261038,22793000,16180000,41625000,14415000
82,Other Non-Cash Items,2888372,6241625,-10687038,8395587,-1339727,-9289690,-7830962,17229000,-29484000,25111000
83,Cash Provided by Operating Activities,-3496432,-885218,-4484362,-10299330,-13497980,-9949958,-11683000,-17375000,-25224000,-27770000
84,CAPEX,-2490,-1274,-30683,-305777,-38680,-2569,-8000,-21000,-7000,-22000
85,Acquisitions Net,- -,- -,- -,-1000000,- -,-1000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-265000,- -,1381351,-172000,549000,- -,- -
89,Cash Used for Investing Activites,-2490,-1274,-30683,-1320777,-38680,378782,-180000,528000,-7000,-22000
90,Debt Repayment,- -,- -,- -,-101529,- -,- -,- -,-2000,-17000,- -
91,Common Stock Issued,27655,- -,10727475,1434194,- -,25008158,16500000,- -,53722000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-7780000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4999243,- -,475510,7825255,18548133,-1063471,1327000,14483000,17000,-128000
95,Cash Used/Provided by Financing Activities,5026898,- -,11202985,9157920,10768133,23944687,17827000,14481000,53722000,-128000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1527976,-886492,6687940,-2462187,-2768527,14373511,5964000,-2366000,28491000,-27920000
98,Cash at the End of Period,2155262,1268770,7956710,5494523,2725996,17099507,23099000,20733000,49224000,21304000
99,Cash at the Beginning of Period,627286,2155262,1268770,7956710,5494523,2725996,17135000,23099000,20733000,49224000
100,Free Cash Flow,-3498922,-886492,-4515045,-10605107,-13536660,-9952527,-11691000,-17396000,-25231000,-27792000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1484565/000119312515091006/0001193125-15-091006-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000162828016013113/0001628280-16-013113-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000162828017002603/0001628280-17-002603-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000119312518104048/0001193125-18-104048-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459019008508/0001564590-19-008508-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459020008705/0001564590-20-008705-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459021010569/0001564590-21-010569-index.htm,https://www.sec.gov/Archives/edgar/data/1484565/000156459022013023/0001564590-22-013023-index.htm
102,false,,,,,,,,,,
